ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2011-06-01T04:30:52Z,1306902652,10A,54.6581026,24.4209804,30.28,-0.2,-0.5,38.5,-161703.45,-192089.64,39.4,Air+FixedWing,Blue,Enemies,Su-27,Blue Su-27 #001,ru,=CNF=801（建军）,0.223181274233047,0.262722313404083,0.000655841797182327,30.2838077545166,2.2838077545166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.698270331583,NaN,,,0.190000057220459,28,NaN,NaN
2011-06-01T04:30:53Z,1306902653,10A,54.6581025,24.4209804,30.24,0,-0.6,38.5,-161703.45,-192089.64,39.5,Air+FixedWing,Blue,Enemies,Su-27,Blue Su-27 #001,ru,=CNF=801（建军）,0.0404739379882812,0,0.000118936896538479,30.2433338165283,2.24333381652832,0,-0.0404739379882812,NaN,NaN,0,NaN,NaN,1.00944120975146,-0.000215966814800639,-0.00774088897842099,8.19069828139618e-05,29.6585789571857,29.6586608641686,,,1.19000005722046,28,0.0096767941951935,0.0416146710986796
2011-06-01T04:30:54Z,1306902654,10A,54.6581027,24.4209806,30.3,-0.1,-0.7,38.5,-161703.44,-192089.62,39.5,Air+FixedWing,Blue,Enemies,Su-27,Blue Su-27 #001,ru,=CNF=801（建军）,0.0568498425714415,0,0.000167059302138134,30.2957134246826,2.29571342468262,0.0220970869120796,0.0523796081542969,NaN,NaN,0,0.145370077735915,NaN,0.989854574773821,-0.00107961821890699,-0.0180826426992374,0.000161595230019884,29.7099458056164,29.7101074008464,,,2.19000005722046,28,0.0367873515867889,0.100594436644561
2011-06-01T04:30:55Z,1306902655,10A,54.6581025,24.4209803,30.25,-0.1,-0.5,38.5,-161703.47,-192089.66,39.5,Air+FixedWing,Blue,Enemies,Su-27,Blue Su-27 #001,ru,=CNF=801（建军）,0.0635833484193253,0,0.000186846328192331,30.25,2.25,0.0441941738241592,-0.0457134246826172,NaN,NaN,0,0.100870594880489,NaN,1.00373360976594,-0.00218367609490286,-0.00414373382767492,0.000202142109810666,29.66511625,29.6653183921098,,,3.19000005722046,28,0.0718636329999968,0.158214524811595
2011-06-01T04:30:56Z,1306902656,10A,54.6581025,24.4209803,30.24,-0.1,-0.4,38.5,-161703.47,-192089.66,39.5,Air+FixedWing,Blue,Enemies,Su-27,Blue Su-27 #001,ru,=CNF=801（建军）,0.00909042358398438,0,2.67131589734811e-05,30.240909576416,2.24090957641602,0,-0.00909042358398438,NaN,NaN,0,0.0139882274201861,NaN,1.0007978895228,-0.00276008737102564,-0.00821648881210379,4.13179004681297e-06,29.656201589756,29.6562057215461,,,4.19000005722046,28,0.0718636329999968,0.167304948278029
2011-06-01T04:30:57Z,1306902657,10A,54.6581024,24.4209802,30.24,-0.1,-0.4,38.5,-161703.47,-192089.67,39.5,Air+FixedWing,Blue,Enemies,Su-27,Blue Su-27 #001,ru,=CNF=801（建军）,0.0156514654483214,0,4.59934651603173e-05,30.2399997711182,2.23999977111816,0.015625,-0.000909805297851562,NaN,NaN,0,0.0139882274201861,NaN,1.0000771956422,-0.000731891394805258,-0.00575250379136461,1.22484185339999e-05,29.6553093755436,29.6553216239621,,,5.19000005722046,28,0.0862304243690791,0.181700586622084
2011-06-01T04:30:58Z,1306902658,10A,54.6581024,24.4209802,30.24,-0.1,-0.4,38.5,-161703.47,-192089.67,39.5,Air+FixedWing,Blue,Enemies,Su-27,Blue Su-27 #001,ru,=CNF=801（建军）,0,0,0,30.2399997711182,2.23999977111816,0,0,NaN,NaN,0,0.0139882274201861,NaN,0.999974072017302,-0.00174518052212985,-0.00698126060888171,0,29.6553093755436,29.6553093755436,,,6.19000005722046,28,0.0907556071440102,0.186225790941255
2011-06-01T04:30:59Z,1306902659,10A,54.6581024,24.4209803,30.24,-0.1,-0.4,38.5,-161703.47,-192089.67,39.5,Air+FixedWing,Blue,Enemies,Su-27,Blue Su-27 #001,ru,=CNF=801（建军）,0,0,0,30.2399997711182,2.23999977111816,0,0,NaN,NaN,0,0.0139882274201861,NaN,0.99998442373301,-0.00073172948687629,-0.0057518561096648,0,29.6553093755436,29.6553093755436,,,7.19000005722046,28,0.0952807899160379,0.19075099494634
2011-06-01T04:31:00Z,1306902660,10A,54.6581024,24.4209803,30.24,-0.1,-0.4,38.5,-161703.47,-192089.66,39.5,Air+FixedWing,Blue,Enemies,Su-27,Blue Su-27 #001,ru,=CNF=801（建军）,0.015625,0,4.59156936775547e-05,30.2399997711182,2.23999977111816,0.015625,0,NaN,NaN,0,0.0139882274201861,NaN,0.999963720301594,-0.00275863155738341,-0.00821066510809862,1.220703125e-05,29.6553093755436,29.6553215825748,,,8.19000005722046,28,0.096412085374932,0.191882296234219
2011-06-01T04:31:01Z,1306902661,10A,54.6581024,24.4209803,30.24,-0.1,-0.4,38.5,-161703.47,-192089.66,39.5,Air+FixedWing,Blue,Enemies,Su-27,Blue Su-27 #001,ru,=CNF=801（建军）,0,0,0,30.2399997711182,2.23999977111816,0,0,NaN,NaN,0.0391037801534618,0.0139882274201861,NaN,0.999974608446028,-0.00140394444992222,-0.00698126060888171,0,29.6553093755436,29.6553093755436,,,9.19000005722046,28,0.096412085374932,0.191882296234219
