UnixTime,104,107,10A,10B,10E,110,202
1,静止,静止,静止,静止,静止,静止,上升飞行
2,静止,静止,静止,静止,静止,静止,上升飞行
3,静止,静止,静止,静止,静止,静止,上升飞行
4,静止,静止,静止,静止,静止,静止,上升飞行
5,静止,静止,静止,静止,静止,静止,上升飞行
6,静止,静止,静止,静止,静止,静止,上升飞行
7,静止,静止,静止,静止,静止,静止,平飞
8,静止,静止,静止,静止,静止,静止,平飞
9,静止,静止,静止,静止,静止,静止,平飞
10,静止,静止,静止,静止,静止,静止,平飞
11,静止,静止,静止,静止,静止,静止,平飞
12,静止,静止,静止,静止,静止,静止,平飞
13,静止,静止,静止,静止,静止,静止,平飞
14,静止,静止,静止,静止,静止,静止,平飞
15,静止,静止,静止,静止,静止,静止,平飞
16,静止,静止,静止,静止,静止,静止,平飞
17,静止,静止,静止,静止,静止,静止,平飞
18,静止,静止,静止,静止,静止,静止,平飞
19,静止,静止,静止,静止,静止,静止,平飞
20,静止,静止,静止,静止,静止,静止,平飞
21,静止,静止,静止,静止,静止,静止,平飞
22,静止,静止,静止,静止,静止,静止,平飞
23,静止,静止,静止,静止,静止,静止,平飞
24,静止,静止,静止,静止,静止,静止,平飞
25,静止,静止,静止,静止,静止,静止,平飞
26,静止,静止,静止,静止,静止,静止,平飞
27,静止,静止,静止,静止,静止,静止,平飞
28,静止,静止,静止,静止,静止,静止,平飞
29,静止,静止,静止,静止,静止,静止,平飞
30,静止,静止,静止,静止,静止,静止,平飞
31,静止,静止,静止,静止,静止,静止,平飞
32,静止,静止,静止,静止,静止,静止,平飞
33,静止,静止,静止,静止,静止,静止,平飞
34,静止,静止,静止,静止,静止,静止,平飞
35,静止,静止,静止,静止,静止,静止,平飞
36,静止,静止,静止,静止,静止,静止,平飞
37,静止,静止,静止,静止,静止,静止,平飞
38,静止,静止,静止,静止,静止,静止,平飞
39,静止,静止,静止,静止,静止,静止,平飞
40,静止,静止,静止,静止,静止,静止,平飞
41,静止,静止,静止,静止,静止,静止,平飞
42,静止,静止,静止,静止,静止,静止,平飞
43,静止,静止,静止,静止,静止,静止,平飞
44,静止,静止,静止,静止,静止,静止,平飞
45,静止,静止,静止,静止,静止,静止,平飞
46,静止,静止,静止,静止,静止,静止,平飞
47,静止,静止,静止,静止,静止,静止,平飞
48,静止,静止,静止,静止,静止,静止,平飞
49,静止,静止,静止,静止,静止,静止,平飞
50,静止,静止,静止,静止,静止,静止,平飞
51,静止,静止,静止,静止,静止,静止,平飞
52,静止,静止,静止,静止,静止,静止,平飞
53,静止,静止,平飞,静止,静止,静止,平飞
54,静止,静止,平飞,静止,静止,静止,平飞
55,静止,静止,平飞,静止,静止,静止,平飞
56,静止,静止,平飞,静止,静止,静止,平飞
57,静止,静止,平飞,静止,静止,静止,平飞
58,静止,静止,平飞,静止,静止,静止,平飞
59,静止,静止,平飞,静止,静止,静止,平飞
60,静止,静止,平飞,静止,静止,静止,平飞
61,静止,静止,平飞,静止,静止,静止,平飞
62,静止,静止,平飞,静止,静止,静止,平飞
63,静止,静止,平飞,静止,静止,静止,平飞
64,静止,静止,平飞,静止,静止,静止,平飞
65,静止,静止,平飞,静止,静止,静止,平飞
66,静止,静止,平飞,静止,静止,静止,平飞
67,静止,静止,平飞,静止,静止,静止,平飞
68,静止,静止,平飞,静止,静止,静止,平飞
69,静止,静止,平飞,静止,静止,静止,平飞
70,静止,静止,平飞,静止,静止,静止,平飞
71,静止,静止,平飞,静止,静止,静止,平飞
72,静止,静止,平飞,静止,静止,静止,平飞
73,静止,静止,平飞,静止,静止,静止,平飞
74,静止,静止,平飞,静止,静止,静止,平飞
75,静止,静止,平飞,静止,静止,静止,平飞
76,静止,静止,平飞,静止,静止,静止,平飞
77,静止,静止,平飞,静止,静止,静止,平飞
78,静止,静止,平飞,静止,静止,静止,平飞
79,静止,平飞,平飞,静止,静止,静止,平飞
80,静止,平飞,平飞,静止,静止,静止,平飞
81,静止,平飞,平飞,静止,静止,静止,平飞
82,静止,平飞,平飞,静止,静止,静止,平飞
83,静止,平飞,平飞,静止,静止,静止,平飞
84,静止,平飞,平飞,静止,静止,静止,平飞
85,静止,平飞,平飞,静止,静止,静止,平飞
86,静止,平飞,平飞,静止,静止,静止,平飞
87,静止,平飞,平飞,静止,静止,静止,平飞
88,静止,平飞,平飞,静止,静止,静止,平飞
89,静止,平飞,平飞,静止,静止,静止,平飞
90,静止,平飞,平飞,静止,静止,静止,平飞
91,静止,平飞,平飞,静止,静止,静止,平飞
92,静止,平飞,平飞,静止,静止,静止,平飞
93,静止,平飞,平飞,静止,静止,静止,平飞
94,静止,平飞,平飞,静止,静止,静止,平飞
95,静止,平飞,平飞,静止,静止,静止,平飞
96,静止,平飞,平飞,静止,静止,静止,平飞
97,静止,平飞,平飞,静止,静止,静止,平飞
98,静止,平飞,平飞,静止,静止,静止,平飞
99,静止,平飞,平飞,静止,静止,静止,平飞
100,静止,平飞,平飞,静止,静止,静止,平飞
101,静止,平飞,平飞,静止,静止,静止,平飞
102,静止,平飞,平飞,静止,静止,静止,平飞
103,静止,平飞,平飞,静止,静止,静止,平飞
104,静止,平飞,平飞,静止,静止,静止,平飞
105,静止,平飞,平飞,静止,静止,静止,平飞
106,静止,平飞,平飞,静止,静止,静止,平飞
107,静止,平飞,平飞,静止,静止,静止,平飞
108,静止,平飞,平飞,静止,静止,静止,平飞
109,静止,平飞,平飞,静止,静止,静止,平飞
110,静止,平飞,平飞,静止,静止,静止,平飞
