UnixTime,102,105,106,108,109,10C,10F
1,上升飞行,静止,静止,静止,静止,静止,静止
2,上升飞行,静止,静止,静止,静止,静止,静止
3,上升飞行,静止,静止,静止,静止,静止,静止
4,上升飞行,静止,静止,静止,静止,静止,静止
5,上升飞行,静止,静止,静止,静止,静止,静止
6,上升飞行,静止,静止,静止,静止,静止,静止
7,平飞,静止,静止,静止,静止,静止,静止
8,平飞,静止,静止,静止,静止,静止,静止
9,平飞,静止,静止,静止,静止,静止,静止
10,平飞,静止,静止,静止,静止,静止,静止
11,平飞,静止,静止,静止,静止,静止,静止
12,平飞,静止,静止,静止,静止,静止,静止
13,平飞,静止,静止,静止,静止,静止,静止
14,平飞,静止,静止,静止,静止,静止,静止
15,平飞,静止,静止,静止,静止,静止,静止
16,平飞,静止,静止,静止,静止,静止,静止
17,平飞,静止,静止,静止,静止,静止,静止
18,平飞,静止,静止,静止,静止,静止,静止
19,平飞,静止,静止,静止,静止,静止,静止
20,平飞,静止,静止,静止,静止,静止,静止
21,平飞,静止,静止,静止,静止,静止,静止
22,平飞,静止,静止,静止,静止,静止,静止
23,平飞,静止,静止,静止,静止,静止,静止
24,平飞,静止,静止,静止,静止,静止,静止
25,平飞,静止,静止,静止,静止,静止,静止
26,平飞,静止,静止,静止,静止,静止,静止
27,平飞,静止,静止,静止,静止,静止,静止
28,平飞,静止,静止,静止,静止,静止,静止
29,平飞,静止,静止,静止,静止,静止,静止
30,平飞,静止,静止,静止,静止,静止,静止
31,平飞,静止,静止,静止,静止,静止,静止
32,平飞,静止,静止,静止,静止,静止,静止
33,平飞,静止,静止,静止,静止,静止,静止
34,平飞,静止,静止,静止,静止,静止,静止
35,平飞,静止,静止,静止,静止,静止,静止
36,平飞,静止,静止,静止,静止,静止,静止
37,平飞,静止,静止,静止,静止,静止,静止
38,平飞,静止,静止,静止,静止,静止,静止
39,平飞,静止,平飞,静止,静止,静止,静止
40,平飞,静止,平飞,静止,静止,静止,静止
41,平飞,静止,平飞,静止,静止,静止,静止
42,平飞,静止,平飞,静止,静止,静止,静止
43,平飞,静止,平飞,静止,静止,静止,静止
44,平飞,静止,平飞,静止,静止,静止,静止
45,平飞,静止,平飞,静止,静止,静止,静止
46,平飞,静止,平飞,静止,静止,静止,静止
47,平飞,静止,平飞,静止,静止,静止,静止
48,平飞,静止,平飞,静止,静止,静止,静止
49,平飞,静止,平飞,静止,静止,静止,静止
50,平飞,静止,平飞,静止,静止,静止,静止
51,平飞,静止,平飞,静止,静止,静止,静止
52,平飞,静止,平飞,静止,静止,静止,静止
53,平飞,静止,平飞,静止,静止,静止,静止
54,平飞,静止,平飞,静止,静止,静止,静止
55,平飞,静止,平飞,静止,静止,静止,静止
56,平飞,静止,平飞,静止,静止,静止,静止
57,平飞,静止,平飞,静止,静止,静止,静止
58,平飞,静止,平飞,静止,静止,静止,静止
59,平飞,静止,平飞,静止,静止,静止,静止
60,平飞,静止,平飞,静止,静止,静止,静止
61,平飞,静止,平飞,静止,静止,静止,静止
62,平飞,静止,平飞,静止,下降飞行,静止,静止
63,平飞,静止,平飞,静止,下降飞行,静止,静止
64,平飞,静止,平飞,静止,平飞,静止,静止
65,平飞,静止,平飞,静止,平飞,静止,静止
66,平飞,静止,平飞,静止,平飞,静止,静止
67,平飞,静止,平飞,静止,平飞,静止,静止
68,平飞,静止,平飞,静止,平飞,静止,静止
69,平飞,静止,平飞,静止,平飞,静止,静止
70,平飞,静止,平飞,静止,平飞,静止,静止
71,平飞,静止,平飞,静止,平飞,静止,静止
72,平飞,静止,平飞,静止,平飞,静止,静止
73,平飞,静止,平飞,静止,平飞,静止,静止
74,平飞,静止,平飞,静止,平飞,静止,静止
75,平飞,静止,平飞,静止,平飞,静止,静止
76,平飞,静止,平飞,静止,平飞,静止,静止
77,平飞,静止,平飞,静止,平飞,静止,静止
78,平飞,静止,平飞,静止,平飞,静止,静止
79,平飞,静止,平飞,静止,平飞,静止,静止
80,平飞,静止,平飞,静止,平飞,静止,静止
81,平飞,静止,平飞,静止,平飞,静止,静止
82,平飞,静止,平飞,静止,平飞,静止,静止
83,平飞,静止,平飞,静止,平飞,静止,静止
84,平飞,静止,平飞,静止,平飞,静止,静止
85,平飞,静止,平飞,静止,平飞,静止,静止
86,平飞,静止,平飞,静止,平飞,静止,静止
87,平飞,静止,平飞,静止,平飞,静止,静止
88,平飞,静止,平飞,静止,平飞,静止,静止
89,平飞,静止,平飞,静止,平飞,静止,静止
90,平飞,静止,平飞,静止,平飞,静止,静止
91,平飞,静止,平飞,静止,平飞,静止,静止
92,平飞,静止,平飞,静止,平飞,静止,静止
93,平飞,静止,平飞,静止,平飞,静止,静止
94,平飞,静止,平飞,静止,平飞,静止,静止
95,平飞,静止,平飞,下降飞行,平飞,静止,静止
96,平飞,静止,平飞,下降飞行,平飞,静止,静止
97,平飞,静止,平飞,平飞,平飞,静止,静止
98,平飞,静止,平飞,平飞,平飞,下降飞行,静止
99,平飞,静止,平飞,平飞,平飞,平飞,静止
100,平飞,静止,平飞,平飞,平飞,平飞,静止
101,平飞,静止,平飞,平飞,平飞,平飞,静止
102,平飞,静止,平飞,平飞,平飞,平飞,静止
103,平飞,静止,平飞,平飞,平飞,平飞,静止
104,平飞,下降飞行,平飞,平飞,平飞,平飞,静止
105,平飞,平飞,平飞,平飞,平飞,平飞,静止
106,平飞,平飞,平飞,平飞,平飞,平飞,静止
107,平飞,平飞,平飞,平飞,平飞,平飞,静止
108,平飞,平飞,平飞,平飞,平飞,平飞,静止
109,平飞,平飞,平飞,平飞,平飞,平飞,静止
110,平飞,平飞,平飞,平飞,平飞,平飞,静止
111,平飞,平飞,平飞,平飞,平飞,平飞,静止
112,平飞,平飞,平飞,平飞,平飞,平飞,静止
113,平飞,平飞,平飞,平飞,平飞,平飞,静止
114,平飞,平飞,平飞,平飞,平飞,平飞,静止
115,平飞,平飞,平飞,平飞,平飞,平飞,静止
116,平飞,平飞,平飞,平飞,平飞,平飞,静止
117,平飞,平飞,平飞,平飞,平飞,平飞,静止
118,平飞,平飞,平飞,平飞,平飞,平飞,静止
119,平飞,平飞,平飞,平飞,平飞,平飞,静止
120,平飞,平飞,平飞,平飞,平飞,平飞,静止
121,平飞,平飞,平飞,平飞,平飞,平飞,静止
122,平飞,平飞,平飞,平飞,平飞,平飞,静止
123,平飞,平飞,平飞,平飞,平飞,平飞,静止
124,平飞,平飞,平飞,平飞,平飞,平飞,静止
125,平飞,平飞,平飞,平飞,平飞,平飞,静止
126,平飞,平飞,平飞,平飞,平飞,平飞,静止
127,平飞,平飞,平飞,平飞,平飞,平飞,静止
128,平飞,平飞,平飞,平飞,平飞,平飞,静止
129,平飞,平飞,平飞,平飞,平飞,平飞,静止
130,平飞,平飞,平飞,平飞,平飞,平飞,静止
131,平飞,平飞,平飞,平飞,平飞,平飞,静止
132,平飞,平飞,平飞,平飞,平飞,平飞,静止
133,平飞,平飞,平飞,平飞,平飞,平飞,静止
134,平飞,平飞,平飞,平飞,平飞,平飞,静止
135,平飞,平飞,平飞,平飞,平飞,平飞,静止
136,平飞,平飞,平飞,平飞,平飞,平飞,静止
137,平飞,平飞,平飞,平飞,平飞,平飞,静止
138,平飞,平飞,平飞,平飞,平飞,平飞,静止
139,平飞,平飞,平飞,平飞,平飞,平飞,静止
140,平飞,平飞,平飞,平飞,平飞,平飞,静止
141,平飞,平飞,平飞,平飞,平飞,平飞,静止
142,平飞,平飞,平飞,平飞,平飞,平飞,静止
143,平飞,平飞,平飞,平飞,平飞,平飞,静止
144,平飞,平飞,平飞,平飞,平飞,平飞,静止
145,平飞,平飞,平飞,平飞,平飞,平飞,静止
146,平飞,平飞,平飞,平飞,平飞,平飞,静止
147,平飞,平飞,平飞,平飞,平飞,平飞,静止
148,平飞,平飞,平飞,平飞,平飞,平飞,静止
149,平飞,平飞,平飞,平飞,平飞,平飞,静止
150,平飞,平飞,平飞,平飞,平飞,平飞,静止
151,平飞,平飞,平飞,平飞,平飞,平飞,静止
152,平飞,平飞,平飞,平飞,平飞,平飞,静止
153,平飞,平飞,平飞,平飞,平飞,平飞,静止
154,平飞,平飞,平飞,平飞,平飞,平飞,静止
155,平飞,平飞,平飞,平飞,平飞,平飞,静止
156,平飞,平飞,平飞,平飞,平飞,平飞,静止
157,平飞,平飞,平飞,平飞,平飞,平飞,静止
158,平飞,平飞,平飞,平飞,平飞,平飞,静止
159,平飞,平飞,平飞,平飞,平飞,平飞,静止
160,平飞,平飞,平飞,平飞,平飞,平飞,静止
161,平飞,平飞,平飞,平飞,平飞,平飞,静止
162,平飞,平飞,平飞,平飞,平飞,平飞,静止
163,平飞,平飞,平飞,平飞,平飞,平飞,静止
164,平飞,平飞,平飞,平飞,平飞,平飞,静止
165,平飞,平飞,平飞,平飞,平飞,平飞,静止
166,平飞,平飞,平飞,平飞,平飞,平飞,静止
167,平飞,平飞,平飞,平飞,平飞,平飞,静止
168,平飞,平飞,平飞,平飞,平飞,平飞,静止
169,平飞,平飞,平飞,平飞,平飞,平飞,静止
170,平飞,平飞,平飞,平飞,平飞,平飞,静止
171,平飞,平飞,平飞,平飞,平飞,平飞,静止
172,平飞,平飞,平飞,平飞,平飞,平飞,静止
173,平飞,平飞,平飞,平飞,平飞,平飞,静止
174,平飞,平飞,平飞,平飞,平飞,平飞,静止
175,平飞,平飞,平飞,平飞,平飞,平飞,静止
176,平飞,平飞,平飞,平飞,平飞,平飞,静止
177,平飞,平飞,平飞,平飞,平飞,平飞,静止
178,平飞,平飞,平飞,平飞,平飞,平飞,静止
179,平飞,平飞,平飞,平飞,平飞,平飞,静止
180,平飞,平飞,平飞,平飞,平飞,平飞,静止
181,平飞,平飞,平飞,平飞,平飞,平飞,静止
182,平飞,平飞,平飞,平飞,平飞,平飞,静止
183,平飞,平飞,平飞,平飞,平飞,平飞,静止
184,平飞,平飞,平飞,平飞,平飞,平飞,静止
185,平飞,平飞,平飞,平飞,平飞,平飞,静止
186,平飞,平飞,平飞,平飞,平飞,平飞,静止
187,平飞,平飞,平飞,平飞,平飞,平飞,静止
188,平飞,平飞,平飞,平飞,平飞,平飞,静止
189,平飞,平飞,平飞,平飞,平飞,平飞,静止
190,平飞,平飞,平飞,平飞,平飞,平飞,静止
191,平飞,平飞,平飞,平飞,平飞,平飞,静止
192,平飞,平飞,平飞,平飞,平飞,平飞,静止
193,平飞,平飞,平飞,平飞,平飞,平飞,静止
194,平飞,平飞,平飞,平飞,平飞,平飞,静止
195,平飞,平飞,平飞,平飞,平飞,平飞,静止
196,平飞,平飞,平飞,平飞,平飞,平飞,静止
197,平飞,平飞,平飞,平飞,平飞,平飞,静止
198,平飞,平飞,平飞,平飞,平飞,平飞,静止
199,平飞,平飞,平飞,平飞,平飞,平飞,静止
200,平飞,平飞,平飞,平飞,平飞,平飞,静止
201,平飞,平飞,平飞,平飞,平飞,平飞,静止
202,平飞,平飞,平飞,平飞,平飞,平飞,静止
203,平飞,平飞,平飞,平飞,平飞,平飞,静止
204,平飞,平飞,平飞,平飞,平飞,平飞,静止
205,平飞,平飞,平飞,平飞,平飞,平飞,静止
206,平飞,平飞,平飞,平飞,平飞,平飞,静止
207,平飞,平飞,平飞,平飞,平飞,平飞,静止
208,平飞,平飞,平飞,平飞,平飞,平飞,静止
209,平飞,平飞,平飞,平飞,平飞,平飞,静止
210,平飞,平飞,平飞,平飞,平飞,平飞,静止
211,平飞,平飞,平飞,平飞,平飞,平飞,静止
212,平飞,平飞,平飞,平飞,平飞,平飞,静止
213,平飞,平飞,平飞,平飞,平飞,平飞,静止
214,平飞,平飞,平飞,平飞,平飞,平飞,静止
215,平飞,平飞,平飞,平飞,平飞,平飞,静止
216,平飞,平飞,平飞,平飞,平飞,平飞,静止
217,平飞,平飞,平飞,平飞,平飞,平飞,静止
218,平飞,平飞,平飞,平飞,平飞,平飞,静止
219,平飞,平飞,平飞,平飞,平飞,平飞,静止
220,平飞,平飞,平飞,平飞,平飞,平飞,静止
221,平飞,平飞,平飞,平飞,平飞,平飞,静止
222,平飞,平飞,平飞,平飞,平飞,平飞,静止
223,平飞,平飞,平飞,平飞,平飞,平飞,静止
