ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2011-06-01T05:05:30Z,1306904730,1250E,55.5316399,25.5189397,574.89,1,32.4,98.4,-71797.61,-71707.11,99.1,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,281.758041134273,275.362060546875,0.833104288312329,574.886901855469,572.855651855469,NaN,NaN,9.37158322667206,NaN,0.169224766876236,7.49520247304634,NaN,NaN,NaN,NaN,NaN,563.771463608093,NaN,,,0.799999952316284,2.03125,NaN,NaN
2011-06-01T05:05:31Z,1306904731,1250E,55.5347309,25.5185827,705.77,1.5,28.1,92.1,-71487.41,-71750.09,92.7,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,339.416291046822,330.600189208984,1.00509052338844,705.767700195312,703.767700195312,313.167104361084,130.880798339844,5.03011763291079,NaN,0.969230737094666,6.13421082283502,2209.03824535545,6.03435802459717,6.03435802459717,6.03435802459717,5760.17093139906,692.121681712036,6452.29261311109,,,1.79999995231628,2,313.053589129761,339.340554271977
2011-06-01T05:05:32Z,1306904732,1250E,55.53876,25.5187281,880.84,3.7,20.7,83,-71082.29,-71738.43,83.6,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,441.480708079061,426.180511474609,1.30995381725796,880.8369140625,878.8369140625,405.285067528911,175.069213867188,0.0925984904658481,NaN,2.81538433908539,10.0593771048688,2830.49763721888,7.18179893493652,7.18179893493652,7.18179893493652,9745.26078029946,863.805932329102,10609.0667126286,,,2.79999995231628,2,718.139669579879,780.68484663107
2011-06-01T05:05:33Z,1306904733,1250E,55.5438685,25.5195329,1049.25,4.8,17,79.2,-70567.88,-71654.94,79.9,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,547.675978615702,521.4384765625,1.6282080484054,1049.25378417969,1047.25378417969,521.13792359854,168.416870117188,0.113107723158335,NaN,0.323095268498283,5.49501568020902,5000,0.996448755264282,0.996448755264282,0.996448755264282,14997.4488776334,1028.96646226257,16026.4153398959,,,3.79999995231628,2,1239.10094653858,1328.26774360802
2011-06-01T05:05:34Z,1306904734,1250E,55.5501123,25.5206211,1245.83,3.9,17.2,79,-69939.06,-71541.27,79.7,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,668.563804046153,627.243530273438,1.99212196272129,1245.82763671875,1243.82763671875,639.011956522422,196.573852539062,0.0430022661076186,NaN,0.769243225083516,0.378202622104121,5000,1.31277716159821,1.31277716159821,1.31277716159821,22348.8780040331,1221.73955936279,23570.6175633959,,,4.79999995231628,2,1877.92997329894,1996.76656029079
2011-06-01T05:05:35Z,1306904735,1250E,55.557142,25.5218642,1470.93,3,17.5,78.9,-69231.09,-71411.27,79.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,754.190701915205,698.37939453125,2.25314879678326,1470.93383789062,1468.93383789062,719.81304034403,225.106201171875,0.0388031557523336,NaN,0.769243225083516,0.289053659035792,5000,1.35930800437927,1.35930800437927,1.35930800437927,28440.1807427675,1442.49333213501,29882.6740749025,,,5.79999995231628,2,2597.5511152969,2750.92038599264
2011-06-01T05:05:36Z,1306904736,1250E,55.5644348,25.5231663,1708.72,2.5,17.7,78.9,-68496.6,-71274.98,79.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,783.953536651074,717.634399414062,2.34857861369055,1708.71765136719,1706.71765136719,747.022091826118,237.783813476562,0.0590388434169028,NaN,0.369212705774209,0.259632325701272,5000,1.22196340560913,1.22196340560913,1.22196340560913,30729.1573813863,1675.679595578,32404.8369769643,,,6.79999995231628,2,3344.35819345876,3534.84641908509
2011-06-01T05:05:37Z,1306904737,1250E,55.5721714,25.5244981,1962.16,2.4,17.6,79.6,-67717.51,-71135.85,80.2,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,831.008914780205,750.985961914062,2.49697031894878,1962.15991210938,1959.15991210938,791.418243986113,253.442260742188,0.0629347212575378,NaN,0,0.588763533754716,5000,1.23885476589203,1.23885476589203,1.23885476589203,34528.7908222087,1924.22155020874,36453.0123724174,,,7.79999995231628,3,4135.5576693343,4365.86382461162
2011-06-01T05:05:38Z,1306904738,1250E,55.5802465,25.5257789,2219.72,2.8,17.1,80.5,-66904.47,-71002.68,81.1,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,863.194765853767,770.246276855469,2.60158705742687,2219.72143554688,2213.72143554688,823.873330944687,257.5615234375,0.0285381285417203,NaN,0.230769040166282,0.943133438049694,5000,1.25451290607452,1.25451290607452,1.25451290607452,37255.260189867,2176.80312159058,39432.0633114576,,,8.79999995231628,6,4959.1703160279,5229.06748591448
2011-06-01T05:05:39Z,1306904739,1250E,55.58826,25.5269372,2464.69,3.5,16.1,81.6,-66097.78,-70882.95,82.2,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,851.520373859474,751.645446777344,2.57388617778589,2464.68627929688,2460.30288219452,815.523863798182,244.96484375,0.0352457453025657,NaN,0.953846589762859,1.43542679299777,5000,2.15747976303101,2.15747976303101,2.15747976303101,36254.3473548889,2417.03157008667,38671.3789249756,,,9.79999995231628,4.38339710235596,5774.41325400986,6080.60553048353
