ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2011-06-01T05:08:11Z,1306904891,27B0E,55.6210002,25.5744925,1989.69,-104.3,-10,86.1,-62752.9,-65650.41,86.7,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,324.603230129815,300.518707275391,0.975666554845842,1989.68530273438,1989.68530273438,NaN,NaN,5.38671857594485,NaN,23.5538800320323,6.81608495066426,NaN,NaN,NaN,NaN,NaN,1951.21473740601,NaN,,,0.670000076293945,0,NaN,NaN
2011-06-01T05:08:12Z,1306904892,27B0E,55.6245938,25.5744765,1907.29,-86.4,-13.3,82,-62391.94,-65655.94,82.6,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,370.286952310234,345.070373535156,1.11189949599928,1907.28918457031,1907.28918457031,361.003194948044,-82.3961181640625,3.86855288110973,NaN,15.5538433817364,4.63043838223776,2258.31441387354,6.62233829498291,6.62233829498291,6.62233829498291,6855.62135256007,1870.41174818665,8726.03310074672,,,1.67000007629395,0,360.83912924725,370.234470894044
2011-06-01T05:08:13Z,1306904893,27B0E,55.6292391,25.5751686,1803.69,-76,-9.9,77.1,-61924.5,-65584.1,77.7,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,484.140274711311,449.785522460938,1.45200985714818,1803.68615722656,1803.68615722656,472.925172012184,-103.60302734375,0.32236660025638,NaN,8.76925255462269,4.94426551091916,4919.19397944984,5.97594738006592,5.97594738006592,5.97594738006592,11719.5902798772,1768.81188537659,13488.4021652538,,,2.67000007629395,0,833.612787427954,854.361091907809
2011-06-01T05:08:14Z,1306904894,27B0E,55.6348611,25.5763306,1723.31,-67.3,-7.5,78.2,-61358.43,-65461.23,78.8,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,584.798502217731,540.466552734375,1.75224681165116,1723.31298828125,1723.31298828125,579.24903272236,-80.3731689453125,0.210039727275949,NaN,10.5077132833094,1.8918862007956,5000,2.82427763938904,2.82427763938904,2.82427763938904,17099.4644098051,1689.99273165283,18789.4571414579,,,3.67000007629395,0,1412.75315792933,1439.21057084676
2011-06-01T05:08:15Z,1306904895,27B0E,55.6416601,25.5774599,1619,-56.8,-9.5,81,-60674.19,-65343.15,81.6,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,702.150924907762,647.349853515625,2.10130642588688,1618.99768066406,1618.99768066406,694.35886827026,-104.315307617188,0.0952573878471958,NaN,10.1846316751894,3.19291557493844,5000,4.14449501037598,4.14449501037598,4.14449501037598,24650.7960674413,1587.69436050842,26238.4904279497,,,4.67000007629395,0,2106.92697512099,2141.35836243622
2011-06-01T05:08:16Z,1306904896,27B0E,55.6493391,25.5783845,1472.18,-47.6,-11.8,84,-59901.77,-65248.63,84.6,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,791.904760461191,732.378234863281,2.36585412984096,1472.18151855469,1467.49905729294,778.176178114295,-146.816162109375,0.0598795205004288,NaN,8.9384841516881,3.66990631793793,5000,4.909752368927,4.909752368927,4.909752368927,31355.6574820548,1443.71688889343,32799.3743709483,,,5.67000007629395,4.68246126174927,2884.82059298544,2933.17069735435
2011-06-01T05:08:17Z,1306904897,27B0E,55.657396,25.5789478,1287.82,-40.4,-13.5,87.1,-59091.82,-65194.46,87.7,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,832.430224110994,775.381225585938,2.48160308130055,1287.82385253906,1283.56097412109,811.758787445354,-184.357666015625,0.0889125457691545,NaN,6.69230131104853,3.37223877650254,5000,5.0035982131958,5.0035982131958,5.0035982131958,34647.003900674,1262.92377835022,35909.9276790242,,,6.67000007629395,4.26287841796875,3696.23343942921,3765.43477319041
2011-06-01T05:08:18Z,1306904898,27B0E,55.6655368,25.5790904,1077.4,-34.5,-14.8,90.1,-58273.94,-65186.91,90.7,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,844.551619350739,793.900512695312,2.51161709792819,1077.40002441406,1070.4325671196,817.917630513719,-210.423828125,0.0679851657048669,NaN,5.66155746340191,2.19871729477621,5000,2.2311635017395,2.2311635017395,2.2311635017395,35663.3718873978,1056.56849494202,36719.9403823398,,,7.67000007629395,6.96745729446411,4513.79763539167,4609.79091470684
2011-06-01T05:08:19Z,1306904899,27B0E,55.6738323,25.5790897,868.71,-30.8,-13.4,89.9,-57440.66,-65195.35,90.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,859.057649071992,814.890563964844,2.54862575875623,868.710754394531,859.074017524719,833.323966418711,-208.689270019531,0.0575143038524855,NaN,3.70767939848221,0.800049886200359,5000,2.93749475479126,2.93749475479126,2.93749475479126,36899.0022214549,851.914231958313,37750.9164534132,,,8.67000007629395,9.63673686981201,5346.7458356592,5468.60732481746
2011-06-01T05:08:20Z,1306904900,27B0E,55.6820969,25.579142,679.94,-27.3,-12.2,89.1,-56610.43,-65197.82,89.7,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,851.420725211852,814.568359375,2.52050980429693,679.9384765625,665.9384765625,830.230256279776,-188.772277832031,0.0287189201212881,NaN,3.36923669491891,1.50193704070124,5000,3.46830916404724,3.46830916404724,3.46830916404724,36245.8625660138,666.791866118164,36912.654432132,,,9.67000007629395,14,6176.60623460166,6319.76563989433
