ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2011-06-01T05:06:43Z,1306904803,290A,55.6185328,25.4351839,802.92,-80.9,5.6,33.3,-63160.98,-81077.17,33.9,Weapon+Missile,Blue,Enemies,R-27ER,,ru,,299.458471577062,290.175476074219,0.88775359013589,802.919982910156,779.140502929688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,787.395525040588,NaN,,,0.389999866485596,23.7794799804688,NaN,NaN
2011-06-01T05:06:44Z,1306904804,290A,55.6206256,25.437521,813.88,-65.4,2.5,33.6,-62947.84,-80820.51,34.2,Weapon+Missile,Blue,Enemies,R-27ER,,ru,,333.806935203471,323.775604248047,0.989704999903143,813.876159667969,790.876159667969,333.627085502341,10.9561767578125,4.9258815607763,NaN,14.8615490678423,10.5471485588898,2952.34279842832,4.06144285202026,4.06144285202026,4.06144285202026,5571.35349949673,798.139864120789,6369.49336361752,,,1.3899998664856,23,334.581897695313,334.803618351058
2011-06-01T05:06:45Z,1306904805,290A,55.6235556,25.4416013,808.78,-52.5,-0.8,27.3,-62648.5,-80371.64,27.9,Weapon+Missile,Blue,Enemies,R-27ER,,ru,,539.548019398907,518.875732421875,1.59961373506097,808.779968261719,786.779968261719,539.523951340841,-5.09619140625,0.233936085934008,NaN,12.6461567199811,6.19282152987655,2890.79792235086,12.13796043396,12.13796043396,12.13796043396,14555.6032618642,793.142207575379,15348.7454694396,,,2.3899998664856,22,875.941258796633,876.255826239176
2011-06-01T05:06:46Z,1306904806,290A,55.6264645,25.447986,786.33,-42.2,-1.8,19.1,-62348.69,-79667.51,19.7,Weapon+Missile,Blue,Enemies,R-27ER,,ru,,765.630419881915,730.26220703125,2.2693025117083,786.328430175781,752.846157073975,765.301161822019,-22.4515380859375,0.876967648988306,NaN,9.52312102388451,5.55882672252986,5000,2.79950737953186,2.79950737953186,2.79950737953186,29309.4969924279,771.124769978333,30080.6217624062,,,3.3899998664856,33.4822731018066,1644.48824022048,1645.22673774276
2011-06-01T05:06:47Z,1306904807,290A,55.6297908,25.4561047,762.54,-34.6,-1.2,21.5,-62004.96,-78771.76,22.1,Weapon+Missile,Blue,Enemies,R-27ER,,ru,,959.733032789548,913.608093261719,2.84384046634747,762.535339355469,734.86083984375,959.438055872624,-23.7930908203125,0.0299159765723681,NaN,7.32305562052087,0.382830768957892,5000,3.79934763908386,3.79934763908386,3.79934763908386,46054.3747113712,747.791718569031,46802.1664299402,,,4.3899998664856,27.6744995117188,2608.11730052871,2609.26646041499
2011-06-01T05:06:48Z,1306904808,290A,55.6334497,25.4641558,744.46,-28.4,-0.9,23.5,-61627.9,-77883.83,24.1,Weapon+Missile,Blue,Enemies,R-27ER,,ru,,964.841526568866,919.184020996094,2.85838569933978,744.456115722656,718.456115722656,964.672127235246,-18.0792236328125,0.0352976622490715,NaN,5.89232906488913,2.09968296690561,5000,4.03342294692993,4.03342294692993,4.03342294692993,46545.958569587,730.062056725159,47276.0206263122,,,5.3899998664856,26,3576.87414740659,3578.30641885756
2011-06-01T05:06:49Z,1306904809,290A,55.6373998,25.4720093,734.06,-23.4,-0.4,25.6,-61221.83,-77018.09,26.2,Weapon+Missile,Blue,Enemies,R-27ER,,ru,,956.291828807437,911.540405273438,2.8327195063618,734.057678222656,709.057678222656,956.235292353002,-10.3984375,0.0510467609479428,NaN,4.75382532270721,2.2147601284761,5000,4.18066596984863,4.18066596984863,4.18066596984863,45724.7030921936,719.864673014221,46444.5677652078,,,6.3899998664856,25,4537.03558148202,4538.63543904509
2011-06-01T05:06:50Z,1306904810,290A,55.6416217,25.4796153,732.74,-19.4,0.2,27.9,-60788.78,-76180.02,28.5,Weapon+Missile,Blue,Enemies,R-27ER,,ru,,943.350229250754,899.369201660156,2.79434189919137,732.741516113281,707.256469726562,943.34931109571,-1.316162109375,0.0735456379075563,NaN,3.87690758045303,2.17446521402419,5000,3.74991774559021,3.74991774559021,3.74991774559021,44495.4827513725,718.573958899231,45214.0567102717,,,7.3899998664856,25.4850463867188,5484.09130308823,5485.80097372297
2011-06-01T05:06:51Z,1306904811,290A,55.6460604,25.4869718,739.44,-16,0.5,29.3,-60334.26,-75369.78,29.9,Weapon+Missile,Blue,Enemies,R-27ER,,ru,,929.038521669654,885.586120605469,2.75215951104815,739.436889648438,716.436889648438,929.014395324077,6.69537353515625,0.0934746544538031,NaN,3.27693693356994,1.37301017648466,5000,1.50236415863037,1.50236415863037,1.50236415863037,43155.6287373068,725.139877387085,43880.7686146939,,,8.3899998664856,23,6416.6092878298,6418.4506115994
2011-06-01T05:06:52Z,1306904812,290A,55.6505876,25.4942644,745.91,-13,0.3,29.5,-59870.97,-74566.71,30.1,Weapon+Missile,Blue,Enemies,R-27ER,,ru,,927.146494669965,883.541809082031,2.74675833239126,745.913024902344,723.913024902344,927.123876432366,6.47613525390625,0.0386611025620615,NaN,2.83075482603886,0.371679044394819,5000,0.706386744976044,0.706386744976044,0.706386744976044,42980.0311289402,731.490796565857,43711.521925506,,,9.3899998664856,22,7347.18566267529,7349.15787514237
