ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2011-06-01T05:08:30Z,1306904910,2A410,55.5249919,25.575257,2792.76,34.2,-13.9,353,-72396.5,-65462.02,353.7,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,328.696433793368,294.706756591797,0.99745826083065,2792.76220703125,2792.76220703125,NaN,NaN,2.2351432388535,NaN,7.90771981347396,3.18231146918882,NaN,NaN,NaN,NaN,NaN,2738.7641497583,NaN,,,0.829999923706055,0,NaN,NaN
2011-06-01T05:08:31Z,1306904911,2A410,55.5244363,25.5791424,2668.85,26.7,-14.6,355.3,-72447.52,-65031.05,356,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,451.328987455477,406.841735839844,1.36756276617576,2668.85229492188,2668.85229492188,433.986392181406,-123.909912109375,1.13228091677738,NaN,7.95383725074989,3.16777706369821,4073.83985583462,6.70399713516235,6.70399713516235,6.70399713516235,10184.8927458793,2617.25003579956,12802.1427816789,,,1.82999992370605,0,436.104237003991,453.545437873581
2011-06-01T05:08:32Z,1306904912,2A410,55.5243452,25.585148,2479.21,18.1,-16.6,3.4,-72449.27,-64365.77,4,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,691.777036617636,614.800109863281,2.09139304505091,2479.21142578125,2479.21142578125,665.275739181181,-189.640869140625,0.334763576463177,NaN,8.69231730381167,7.60772168342772,4151.21563003655,13.8605718612671,13.8605718612671,13.8605718612671,23927.7734195739,2431.27587286377,26359.0492924377,,,2.82999992370605,0,1104.70122305722,1148.77667422034
2011-06-01T05:08:33Z,1306904913,2A410,55.5257263,25.5929867,2206.32,9.9,-17.5,14.3,-72300.89,-63499.09,14.9,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,920.666717077204,820.7724609375,2.77436140550689,2206.32080078125,2206.32080078125,879.293984240098,-272.890625,0.736868253563073,NaN,7.73849504659773,7.99740446614446,5000,10.2202634811401,10.2202634811401,10.2202634811401,42381.3601966858,2163.66158809814,44545.0217847839,,,3.82999992370605,0,1988.25654253115,2073.82418631818
2011-06-01T05:08:34Z,1306904914,2A410,55.5283119,25.6014753,1904.61,8.2,-16.9,15.9,-72030.75,-62561.76,16.6,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1021.07154690408,921.427795410156,3.06598218784272,1904.61376953125,1904.61376953125,975.47935456954,-301.70703125,0.0537189459637772,NaN,1.13845593085773,3.53151281153172,5000,2.56347441673279,2.56347441673279,2.56347441673279,52129.3551948547,1867.78806229736,53997.1432571521,,,4.82999992370605,0,2968.20973326364,3099.47248886502
2011-06-01T05:08:35Z,1306904915,2A410,55.5310205,25.6099657,1615.22,7.2,-16,16.2,-71748.29,-61624.39,16.9,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1020.87716999412,933.791259765625,3.05501421076983,1615.21997070312,1615.21997070312,979.00021727017,-289.393798828125,0.053620563854926,NaN,0.969231163981489,0.83365030813115,5000,2.53503179550171,2.53503179550171,2.53503179550171,52109.5098107606,1583.98969256958,53693.4995033302,,,5.82999992370605,0,3951.68339144033,4124.90071638319
2011-06-01T05:08:36Z,1306904916,2A410,55.5337317,25.6184187,1342.97,6.4,-15.1,16.1,-71465.66,-60691.14,16.8,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1012.40063285409,937.9140625,3.02005458092492,1342.96533203125,1342.96533203125,975.106380414465,-272.254638671875,0.0352973989281051,NaN,0.769243225083516,0.971699957201332,5000,2.82215881347656,2.82215881347656,2.82215881347656,51247.7520701677,1316.99909733643,52564.7511675041,,,6.82999992370605,0,4931.23216016806,5141.7996562923
2011-06-01T05:08:37Z,1306904917,2A410,55.5363892,25.6268051,1091.72,5.8,-14,15.9,-71188.53,-59765.21,16.6,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,998.639980301958,936.09033203125,2.97035219675439,1091.71606445312,1091.71606445312,966.517260993796,-251.249267578125,0.0366515112726562,NaN,0.72307114629423,1.13975089203568,5000,3.06435084342957,3.06435084342957,3.06435084342957,49864.0905128747,1070.60773434692,50934.6982472216,,,7.82999992370605,0,5902.16940021226,6144.89746313006
2011-06-01T05:08:38Z,1306904918,2A410,55.5390135,25.6351894,861.74,5.1,-12.7,15.8,-70914.77,-58839.47,16.4,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,992.384810728568,940.151062011719,2.9439410073856,861.740783691406,861.740783691406,965.369868394153,-229.975280761719,0.0675251347840752,NaN,0.769243225083516,1.21453175177209,5000,3.14834713935852,3.14834713935852,3.14834713935852,49241.3806282388,845.079025638733,50086.4596538775,,,8.82999992370605,0,6871.95438397829,7141.72222787685
2011-06-01T05:08:39Z,1306904919,2A410,55.541599,25.6434807,656.07,4.4,-11.6,15.8,-70645.06,-57923.99,16.4,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,976.294656904522,933.753784179688,2.88939276475242,656.071533203125,656.071533203125,954.385360587591,-205.669250488281,0.0421921933208911,NaN,0.769243225083516,1.16547690626624,5000,2.90982270240784,2.90982270240784,2.90982270240784,47657.5628550159,643.386390108643,48300.9492451245,,,9.82999992370605,0,7830.71071405352,8122.40173726383
