ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2011-06-01T05:09:06Z,1306904946,2BB04,55.5543018,25.5455713,226.01,19.2,3.7,95.2,-69487.95,-68782.38,95.9,Weapon+Missile,Blue,Enemies,R-77,,cn,,229.695395370497,227.517822265625,0.676477854124359,226.005386352539,224.005386352539,NaN,NaN,5.34397890048758,NaN,4.29230944048945,3.20851780574331,NaN,NaN,NaN,NaN,NaN,221.635572207413,NaN,,,0.730000019073486,2,NaN,NaN
2011-06-01T05:09:07Z,1306904947,2BB04,55.5571381,25.5454962,221.72,17.6,2.2,91.1,-69203.06,-68793.8,91.7,Weapon+Missile,Blue,Enemies,R-77,,cn,,285.1517347852,282.665161132812,0.839762036004479,221.717681884766,219.717681884766,285.11949677531,-4.28770446777344,2.74153236812125,NaN,0.800002982010668,2.88154987567919,5000,2.21140027046204,2.21140027046204,2.21140027046204,4065.57559255046,217.430770505524,4283.00636305598,,,1.73000001907349,2,284.991379058448,285.033633129875
2011-06-01T05:09:08Z,1306904948,2BB04,55.5611183,25.5455472,226.44,16,1.1,87.9,-68803.06,-68792.5,88.5,Weapon+Missile,Blue,Enemies,R-77,,cn,,400.030002025988,396.368896484375,1.1781375422055,226.440002441406,226.440002441406,400.002127756182,4.72232055664062,0.115803107867747,NaN,1.73841974755165,4.27772570595101,5000,2.94344115257263,2.94344115257263,2.94344115257263,8001.20012604562,222.061784994202,8223.26191103982,,,2.73000001907349,0,684.795066342972,684.879253575688
2011-06-01T05:09:09Z,1306904949,2BB04,55.5662527,25.5458849,232.48,14.3,0.3,84,-68286.76,-68760.67,84.7,Weapon+Missile,Blue,Enemies,R-77,,cn,,517.320003059028,509.432769775391,1.5236751056293,232.475372314453,232.475372314453,517.28479571266,6.03536987304688,0.0309539134237011,NaN,1.67694804502153,3.68963489246868,5000,3.59202790260315,3.59202790260315,3.59202790260315,13380.9992782496,227.980460990753,13608.9797392404,,,3.73000001907349,0,1201.843492703,1201.98150326734
2011-06-01T05:09:10Z,1306904950,2BB04,55.5725377,25.5466494,233.13,12.7,-0.2,80.7,-67654.34,-68682.8,81.3,Weapon+Missile,Blue,Enemies,R-77,,cn,,637.198845040777,624.401977539062,1.87677099815066,233.126922607422,233.126922607422,637.198511928202,0.65155029296875,0.0523442640875396,NaN,1.53848645016703,3.37305284967424,5000,3.87036967277527,3.87036967277527,3.87036967277527,20301.118406065,228.619413558807,20529.7378196238,,,4.73000001907349,0,1838.8064276437,1838.96802049404
2011-06-01T05:09:11Z,1306904951,2BB04,55.5797845,25.5479008,227.99,11.3,-0.6,77.9,-66924.71,-68551.99,78.5,Weapon+Missile,Blue,Enemies,R-77,,cn,,741.275176285217,724.677856445312,2.18318485938435,227.990768432617,224.376194953918,741.2573823558,-5.13615417480469,0.0708790001737069,NaN,1.38461594854498,2.8491613320784,5000,3.48109364509583,3.48109364509583,3.48109364509583,27474.444348834,223.582566924973,27698.026915759,,,5.73000001907349,3.61457347869873,2579.85553646067,2580.06171526772
2011-06-01T05:09:12Z,1306904952,2BB04,55.588065,25.5496625,218.66,9.8,-0.7,75.9,-66090.63,-68365.75,76.5,Weapon+Missile,Blue,Enemies,R-77,,cn,,854.669279418897,834.532287597656,2.51688442533675,218.657699584961,215.253901958466,854.618318905171,-9.33306884765625,0.0668708991606176,NaN,1.49236901289111,2.03673722417524,5000,2.79183864593506,2.79183864593506,2.79183864593506,36522.9788591208,214.429952963486,36737.4088120843,,,6.73000001907349,3.40379762649536,3434.31106576493,3434.59813093441
2011-06-01T05:09:13Z,1306904953,2BB04,55.5965432,25.5517144,206.37,8.8,-1,73.6,-65236.38,-68147.52,74.3,Weapon+Missile,Blue,Enemies,R-77,,cn,,881.771175677892,861.245788574219,2.59633466770845,206.365371704102,206.365371704102,881.6854909386,-12.2923278808594,0.0550229181740779,NaN,0.84617847589454,2.19414725789123,5000,3.80817914009094,3.80817914009094,3.80817914009094,38876.0203128186,202.375297242203,39078.3956100608,,,7.73000001907349,0,4315.90323405966,4316.30536372917
2011-06-01T05:09:14Z,1306904954,2BB04,55.6040839,25.5538682,187.49,8.1,-1.7,71.6,-64476.24,-67916.95,72.2,Weapon+Missile,Blue,Enemies,R-77,,cn,,794.565862390369,777.462890625,2.33906329138016,187.493835449219,187.493835449219,794.341724194022,-18.8715362548828,0.15883570256235,NaN,0.569255286185543,1.93858505792463,5000,1.35235071182251,1.35235071182251,1.35235071182251,31566.7454838076,183.868642140808,31750.6141259484,,,8.73000001907349,0,5110.26827299027,5110.91905395662
2011-06-01T05:09:15Z,1306904955,2BB04,55.6109574,25.5559459,161.7,7.3,-2.3,71.9,-63783.24,-67694.07,72.5,Weapon+Missile,Blue,Enemies,R-77,,cn,,728.416824498532,714.304016113281,2.14370684964891,161.699996948242,161.699996948242,727.959990732946,-25.7938385009766,0.216103746504411,NaN,0.769243225083516,0.878512911590497,5000,0.452490508556366,0.452490508556366,0.452490508556366,26529.5535106262,158.573527507248,26688.1270381335,,,9.73000001907349,0,5838.28791076537,5839.41540460878
