ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2011-06-01T05:03:53Z,1306904633,DF0E,55.3551109,25.6153025,3045.2,-76.3,10.3,154,-89407.42,-60825.69,154.7,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,291.208137987223,256.905334472656,0.886389629749417,3045.19750976562,3045.19750976562,NaN,NaN,2.29428921882577,NaN,17.0615666598817,3.15576167324656,NaN,NaN,NaN,NaN,NaN,2986.31861591431,NaN,,,0.940000057220459,0,NaN,NaN
2011-06-01T05:03:54Z,1306904634,DF0E,55.3567504,25.6118859,3101.86,-61.1,6.6,155.8,-89247.47,-61206.18,156.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,416.617046279779,370.451904296875,1.26898329434677,3101.8583984375,3101.8583984375,412.746056245,56.660888671875,0.513440654266087,NaN,14.4307417161329,2.9814945397001,5000,1.45144391059875,1.45144391059875,1.45144391059875,8678.48816254437,3041.88396630371,11720.3721288481,,,1.94000005722046,0,414.414806895052,418.468213642891
2011-06-01T05:03:55Z,1306904635,DF0E,55.3590466,25.607396,3155.88,-49.5,5,154.1,-89023.02,-61706.38,154.8,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,550.898329079601,481.645324707031,1.67909221170726,3155.8798828125,3155.8798828125,548.243238178656,54.021484375,0.0388008365983504,NaN,11.0154012443164,2.16349400922645,5000,1.81548643112183,1.81548643112183,1.81548643112183,15174.4484491348,3094.86094527832,18269.3093944131,,,2.94000005722046,0,964.819286184406,971.786124934643
2011-06-01T05:03:56Z,1306904636,DF0E,55.3620798,25.601891,3208.62,-40.2,3.9,152.9,-88725.91,-62319.91,153.7,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,683.726199243365,588.941772460938,2.08527423867735,3208.62451171875,3208.62451171875,681.688726365135,52.74462890625,1.25800764555916,NaN,8.83075840809866,4.56463505911339,5000,9.39628410339355,9.39628410339355,9.39628410339355,23374.0757765889,3146.58575678467,26520.6615333736,,,3.94000005722046,0,1649.11424580703,1658.45122739397
2011-06-01T05:03:57Z,1306904637,DF0E,55.3661307,25.5964055,3258.38,-33.5,4,137.3,-88326.54,-62932.54,138,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,732.997529465602,627.789733886719,2.23689660360268,3258.3798828125,3258.3798828125,731.306899495691,49.75537109375,0.212025506165052,NaN,6.15384334783058,12.3332879522177,2448.06532110021,21.6209354400635,21.6209354400635,21.6209354400635,26864.2689101338,3195.37910777832,30059.6480179122,,,4.94000005722046,0,2382.78355522125,2394.17682930967
2011-06-01T05:03:58Z,1306904638,DF0E,55.3714163,25.5925243,3306.55,-28.7,4.1,120.3,-87800.91,-63368.97,121,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,684.889279053941,587.36474609375,2.0913088520985,3306.5546875,3306.5546875,683.192881078505,48.1748046875,0.275956432841254,NaN,4.44614579116565,16.9555143126389,2374.41206192613,19.7399616241455,19.7399616241455,19.7399616241455,23453.6662281513,3242.62245261719,26696.2886807685,,,5.94000005722046,0,3067.08398125333,3080.52221625538
2011-06-01T05:03:59Z,1306904639,DF0E,55.3774406,25.5902686,3359.01,-26,5.2,105,-87198.87,-63626.24,105.8,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,656.810121269866,563.305419921875,2.00685037268686,3359.00927734375,3359.00927734375,654.71218974971,52.45458984375,1.06010080881474,NaN,1.98459342561725,12.8611181410871,4057.0924754084,11.0205526351929,11.0205526351929,11.0205526351929,21569.9767701268,3294.06283296631,24864.0396030931,,,6.94000005722046,0,3721.96158230097,3737.83832334872
2011-06-01T05:04:00Z,1306904640,DF0E,55.3839721,25.5888828,3423.33,-22.7,5.4,102.1,-86544.64,-63787.75,102.8,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,676.932153378347,577.948669433594,2.0699549160449,3423.33227539062,3423.33227539062,673.869195170477,64.322998046875,1.42119117290011,NaN,3.38462511111895,5.97506869583419,5000,5.49414730072021,5.49414730072021,5.49414730072021,22911.8570138723,3357.14214584595,26268.9991597182,,,7.94000005722046,0,4395.63514977746,4414.93229696803
2011-06-01T05:04:01Z,1306904641,DF0E,55.3904734,25.587679,3426.56,-13.3,-2.7,100.8,-85893.23,-63929.03,101.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,666.564979968709,569.514770507812,2.038333923745,3426.55834960938,3426.55834960938,666.557173066062,3.22607421875,0.20560402817233,NaN,4.84613874443452,4.44900721354106,5000,3.18334722518921,3.18334722518921,3.18334722518921,22215.4436260343,3360.30584391968,25575.7494699539,,,8.94000005722046,0,5061.98754498651,5081.65031658653
2011-06-01T05:04:02Z,1306904642,DF0E,55.3964896,25.5867107,3395.89,-11.3,-2.9,99.2,-85290.21,-64043.61,99.9,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,614.569980131663,528.335205078125,1.87863210251545,3395.89453125,3395.89453125,613.804521588638,-30.663818359375,0.0339673618692659,NaN,1.70769755666493,1.86575304325749,5000,2.16570663452148,2.16570663452148,2.16570663452148,18884.8130239517,3330.23491048828,22215.0479344399,,,9.94000005722046,0,5675.56224085262,5696.31850740716
