Order,Missile_R,Launcher_R,Target_R
1,1200C,10C,10E
2,12406,106,10B
3,15609,109,10B
4,1680C,10C,10E
5,1C10C,10C,10A
6,205,105,10E
7,2070F,10F,10B
8,2130F,10F,10E
9,22A09,109,104
10,22F09,109,10B
11,24F0C,10C,10A DE DA-P
12,2520C,10C,10A LOST
13,27508,108,10E
14,27B08,108,10E DE DA-P
15,2A40F,10F,107
16,2B508,108,104
17,2B608,108,107 LOST
18,2BA08,108,107
19,2BA09,109,10B
20,2BF09,109,10B
21,2D08,108,104
22,2D09,109,10E
23,30C0C,10C,110 DE DA-P
24,32508,108,104
25,3250C,10C,104
26,33E0C,10C,104
27,3709,109,107
28,38008,108,10B
29,706,106,107
30,7D0C,10C,110
31,AA08,108,110
32,B005,105,110
33,D709,109,10B
34,E50F,10F,107
