ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2011-06-01T05:05:39Z,1306904739,1680C,55.6634052,25.5392689,4743.44,-133.4,-18.5,250.1,-58532.45,-69595.23,250.7,Weapon+Missile,Red,Allies,R-27ET,,xu,,346.505160871167,287.100677490234,1.07705034644349,4743.44287109375,4733.68786621094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4651.72840318115,NaN,,,0.170000076293945,9.7550048828125,NaN,NaN
2011-06-01T05:05:40Z,1306904740,1680C,55.6591098,25.5379665,4628.1,-110,-10.2,250.1,-58965.52,-69735.13,250.7,Weapon+Missile,Red,Allies,R-27ET,,xu,,469.500791393625,390.799957275391,1.45724302184989,4628.10009765625,4621.72711181641,455.112115566028,-115.3427734375,0.992738804436215,NaN,21.338439872847,6.71721502001356,3721.68256327254,8.2845287322998,8.2845287322998,8.2845287322998,11021.549655962,4538.61578226807,15560.1654382301,,,1.17000007629395,6.37298583984375,455.154723973575,469.866239934109
2011-06-01T05:05:41Z,1306904741,1680C,55.6524826,25.5355888,4531.76,-93.8,-6.4,244.8,-59634.11,-69991.73,245.4,Weapon+Missile,Red,Allies,R-27ET,,xu,,722.58736971405,584.902954101562,2.24006536027847,4531.76220703125,4527.47442770004,716.136521691357,-96.337890625,0.295809227111191,NaN,14.7999954030421,5.60293138843475,5000,9.32985210418701,9.32985210418701,9.32985210418701,26106.6253435135,4444.1405847583,30550.7659282718,,,2.17000007629395,4.28777933120728,1171.51060768544,1193.18081941261
2011-06-01T05:05:42Z,1306904742,1680C,55.6441292,25.5315822,4419.12,-82.9,-8.1,239.9,-60478.04,-70426.95,240.5,Weapon+Missile,Red,Allies,R-27ET,,xu,,956.198315210864,766.862609863281,2.96009494085652,4419.115234375,4414.013671875,949.539824106118,-112.64697265625,0.172578594017982,NaN,9.67694371418237,4.59734355438811,5000,7.52674531936646,7.52674531936646,7.52674531936646,45715.7609006047,4333.67164131836,50049.4325419231,,,3.17000007629395,5.1015625,2121.76172122179,2150.74761791873
2011-06-01T05:05:43Z,1306904743,1680C,55.6358487,25.5270455,4243.04,-73.7,-12.9,238.2,-61315.29,-70920.91,238.8,Weapon+Missile,Red,Allies,R-27ET,,xu,,987.92789816038,798.123718261719,3.05160797152803,4243.04052734375,4236.47564697266,972.110708462491,-176.07470703125,0.210912203956781,NaN,8.69231730381167,4.75381166232888,5000,6.63205194473267,6.63205194473267,6.63205194473267,48800.0765981793,4161.00133874756,52961.0779369269,,,4.17000007629395,6.56488037109375,3094.85946736228,3140.29699749657
2011-06-01T05:05:44Z,1306904744,1680C,55.6281927,25.5228283,4007.03,-64.7,-14.9,239.7,-62089.49,-71380.07,240.3,Weapon+Missile,Red,Allies,R-27ET,,xu,,930.541655770337,762.005126953125,2.86593870980326,4007.03442382812,4000.03442382812,900.116043756122,-236.006103515625,0.177682832594694,NaN,9.86152274631279,2.27543824840202,5000,2.37613224983215,2.37613224983215,2.37613224983215,43295.38865619,3929.55841324341,47224.9470694335,,,5.17000007629395,7,3995.89741791787,4072.29418410343
2011-06-01T05:05:45Z,1306904745,1680C,55.6204622,25.5187891,3772.9,-54.6,-14.3,240.6,-62871.02,-71819.4,241.2,Weapon+Missile,Red,Allies,R-27ET,,xu,,926.619603627108,767.423400878906,2.84562445066649,3772.90307617188,3763.90307617188,896.552509265758,-234.13134765625,0.0221497422260071,NaN,9.64614639121478,1.40736688178347,5000,2.71408915519714,2.71408915519714,2.71408915519714,42931.194491303,3699.95399519409,46631.1484864971,,,6.17000007629395,9,4893.26844870609,5000.23535351181
2011-06-01T05:05:46Z,1306904746,1680C,55.6126783,25.5149111,3549.99,-46.2,-13.8,242,-63657.79,-72240.77,242.6,Weapon+Missile,Red,Allies,R-27ET,,xu,,919.909546140597,770.155639648438,2.81729997848646,3549.9921875,3545.77734375,892.493310222611,-222.910888671875,0.0622269415489047,NaN,8.07695141053937,1.49710681629757,5000,3.26742935180664,3.26742935180664,3.26742935180664,42311.67865403,3481.35308855469,45793.0317425847,,,7.17000007629395,4.21484375,5786.48920778261,5921.34819940814
2011-06-01T05:05:47Z,1306904747,1680C,55.6047495,25.5112282,3335.93,-39.2,-13.3,243.8,-64458.94,-72640.34,244.4,Weapon+Missile,Red,Allies,R-27ET,,xu,,920.50999463712,778.4697265625,2.8117814857286,3335.92529296875,3331.92529296875,895.273150995035,-214.06689453125,0.143420025622205,NaN,6.55387386713989,1.3992415179921,5000,2.11696624755859,2.11696624755859,2.11696624755859,42366.9325113416,3271.4251774292,45638.3576887708,,,8.17000007629395,4,6682.36926557977,6842.91883979658
2011-06-01T05:05:48Z,1306904748,1680C,55.5968552,25.5077256,3127.88,-33.4,-13.2,244,-65256.46,-73019.93,244.7,Weapon+Missile,Red,Allies,R-27ET,,xu,,907.420693367309,775.28857421875,2.76480435299374,3127.87915039062,3120.31542634964,883.249181890122,-208.046142578125,0.0284679785529305,NaN,5.64612806606685,0.617398514880612,5000,1.22490358352661,1.22490358352661,1.22490358352661,41170.6157375604,3067.40160701782,44238.0173445782,,,9.17000007629395,7.56372404098511,7566.14244302784,7751.2854908038
2011-06-01T05:05:49Z,1306904749,1680C,55.5889778,25.5042522,2922.83,-28.4,-13.1,244.1,-66052.31,-73396.26,244.7,Weapon+Missile,Red,Allies,R-27ET,,xu,,903.902799094462,779.812194824219,2.74727001524789,2922.8330078125,2911.8330078125,880.33876980662,-205.046142578125,0.0964098401559617,NaN,4.81539606298029,0.305669028006774,5000,1.5596752166748,1.5596752166748,1.5596752166748,40852.0135105401,2866.32003160645,43718.3335421466,,,10.1700000762939,11,8446.99528191717,8656.09590694549
