ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2011-06-01T05:06:53Z,1306904813,22F09,55.4811368,25.7115579,678.37,95.6,5.4,233.4,-76628.77,-50315.26,234.1,Weapon+Missile,Red,Allies,R-27ET,,xu,,259.008972158168,251.884399414062,0.766745449678234,678.373046875,678.373046875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,665.256704013672,NaN,,,0.170000076293945,0,NaN,NaN
2011-06-01T05:06:54Z,1306904814,22F09,55.4781717,25.7093184,677.01,76.6,-0.7,232.9,-76929.16,-50559.89,233.5,Weapon+Missile,Red,Allies,R-27ET,,xu,,387.397605655006,377.806823730469,1.14679703583907,677.010009765625,677.010009765625,387.395207762138,-1.363037109375,4.55970891720174,NaN,18.5539083520162,1.5025665643373,4494.82810501272,4.6837100982666,4.6837100982666,4.6837100982666,7503.84524336159,663.920021226807,8167.7652645884,,,1.17000007629395,0,388.068035506398,388.111662096379
2011-06-01T05:06:55Z,1306904815,22F09,55.4734659,25.7056516,621.84,62.8,-3.6,231,-77406.06,-50960.58,231.6,Weapon+Missile,Red,Allies,R-27ET,,xu,,625.329369637397,603.2939453125,1.84996982119943,621.840759277344,621.840759277344,622.890981096745,-55.1692504882812,0.956651848495767,NaN,11.6307739677779,3.31877653799132,5000,3.28810834884644,3.28810834884644,3.28810834884644,19551.8410265552,609.817468196716,20161.6584947519,,,2.17000007629395,0,1012.08342549334,1014.62435473298
2011-06-01T05:06:56Z,1306904816,22F09,55.4668744,25.7008106,569.28,52.9,-3.4,231,-78073.73,-51489.13,231.6,Weapon+Missile,Red,Allies,R-27ET,,xu,,853.170496784547,820.245788574219,2.52249952484561,569.278442382812,569.278442382812,851.549822045821,-52.5623168945312,0.417172622222253,NaN,9.49232370091692,1.89744127902494,5000,6.04276657104492,6.04276657104492,6.04276657104492,36394.9948291795,558.271443699341,36953.2662728789,,,3.17000007629395,0,1865.04306283336,1869.28148761281
2011-06-01T05:06:57Z,1306904817,22F09,55.4604185,25.695388,514.35,44.5,-3.4,221,-78728.59,-52082.23,221.6,Weapon+Missile,Red,Allies,R-27ET,,xu,,885.233383227577,852.817443847656,2.61565870674045,514.345336914062,514.345336914062,883.527303881494,-54.93310546875,0.833088320664413,NaN,7.96924615751744,6.33737223837611,5000,13.5990676879883,13.5990676879883,13.5990676879883,39181.9071390271,504.400469824829,39686.307608852,,,4.17000007629395,0,2750.34255438502,2756.3587101812
2011-06-01T05:06:58Z,1306904818,22F09,55.4552569,25.6895027,473.84,37.6,-2.1,216.8,-79254.23,-52728.05,217.5,Weapon+Missile,Red,Allies,R-27ET,,xu,,833.678456741062,805.118469238281,2.46218981612654,473.836151123047,473.836151123047,832.693686238048,-40.5091857910156,0.167093717945296,NaN,6.75385497584869,5.90336921190881,5000,4.53168916702271,4.53168916702271,4.53168916702271,34750.988461708,464.674529141083,35215.662990849,,,5.17000007629395,0,3585.39714316544,3592.45990117178
2011-06-01T05:06:59Z,1306904819,22F09,55.4505094,25.6835107,442.77,31,-2.3,214.6,-79738.48,-53386.19,215.3,Weapon+Missile,Red,Allies,R-27ET,,xu,,817.680993263441,790.934204101562,2.41408924211104,442.766143798828,442.766143798828,817.090485435463,-31.0700073242188,0.0412551089871869,NaN,6.46152287937214,2.19780397041813,5000,2.77275705337524,2.77275705337524,2.77275705337524,33430.1103372144,434.205260408478,33864.3155976228,,,6.17000007629395,0,4405.00209327595,4412.71239925297
2011-06-01T05:07:00Z,1306904820,22F09,55.4460853,25.6775505,414.23,25.9,-1.4,213.3,-80190.27,-54041.15,214,Weapon+Missile,Red,Allies,R-27ET,,xu,,796.187014785858,771.36572265625,2.34986862911906,414.228454589844,414.228454589844,795.675412972041,-28.5376892089844,0.0949648947812613,NaN,4.584641536966,1.46442019897253,5000,2.73211455345154,2.73211455345154,2.73211455345154,31695.6881256808,406.219347420349,32101.9074731012,,,7.17000007629395,0,5203.25147355393,5211.52532664674
2011-06-01T05:07:01Z,1306904821,22F09,55.4418206,25.6715871,399.22,21.5,-1.1,212.6,-80626.11,-54696.64,213.3,Weapon+Missile,Red,Allies,R-27ET,,xu,,787.297856760813,763.366027832031,2.32323689270593,399.222290039062,399.222290039062,787.15483247303,-15.0061645507812,0.0516288223553668,NaN,4.4153621285764,0.785049563483395,5000,0.793034791946411,0.793034791946411,0.793034791946411,30991.8957630085,391.503327061157,31383.3990900696,,,8.17000007629395,0,5993.03604918375,6001.50280485381
2011-06-01T05:07:02Z,1306904822,22F09,55.4376513,25.6656762,380.65,17.4,-1.8,212.6,-81052.35,-55346.42,213.3,Weapon+Missile,Red,Allies,R-27ET,,xu,,777.333884113685,754.443420410156,2.29335035763309,380.653076171875,380.653076171875,777.112058642524,-18.5692138671875,0.0526914218999504,NaN,3.90768782794769,0.619692124420414,5000,0.537073612213135,0.537073612213135,0.537073612213135,30212.3983695634,373.293148944092,30585.6915185075,,,9.17000007629395,0,6772.75824540581,6781.49374025238
