ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2011-06-01T05:08:55Z,1306904935,2BA09,55.6763709,25.6741788,591.58,64.9,5.6,254.3,-57080.42,-54666.14,254.9,Weapon+Missile,Red,Allies,R-27ER,,xu,,322.237015466173,315.087615966797,0.952974287772451,591.576171875,591.576171875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,580.138046591797,NaN,,,0.0699999332427979,0,NaN,NaN
2011-06-01T05:08:56Z,1306904936,2BA09,55.6733899,25.6731289,592.63,52.4,1.4,254.4,-57380.79,-54779.42,254.9,Weapon+Missile,Red,Allies,R-27ER,,xu,,321.019178283808,313.872589111328,0.949384101881922,592.629211425781,592.629211425781,321.017451135785,1.05303955078125,6.04293780304429,NaN,12.2153835192176,7.44785976364354,3915.97357981691,2.4895179271698,2.4895179271698,2.4895179271698,5152.66564130057,581.170725622864,5733.83636692343,,,1.0699999332428,0,321.10908977533,321.140625845426
2011-06-01T05:08:57Z,1306904937,2BA09,55.6688396,25.6718044,567.31,43.8,-0.4,257.8,-57838.97,-54921.54,258.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,480.381172776066,468.023376464844,1.42027182408089,567.306091308594,567.306091308594,479.713258879968,-25.3231201171875,1.39683365635029,NaN,6.93848864949247,4.18381060486333,2642.44834612648,10.9289951324463,10.9289951324463,10.9289951324463,11538.3035578854,556.337228033142,12094.6407859186,,,2.0699999332428,0,800.861198691571,801.604158140091
2011-06-01T05:08:58Z,1306904938,2BA09,55.6618335,25.6709304,567.31,38.8,0.9,266.4,-58543.16,-55011.24,267,Weapon+Missile,Red,Allies,R-27ER,,xu,,709.886180789341,684.4873046875,2.098815474645,567.314636230469,567.314636230469,709.886180737913,0.008544921875,0.300542978808741,NaN,4.1692567524025,8.58632386695047,4198.96325236113,14.4743518829346,14.4743518829346,14.4743518829346,25196.9194837838,556.345607738953,25753.2650915228,,,3.0699999332428,0,1510.49930437865,1511.305383415
2011-06-01T05:08:59Z,1306904939,2BA09,55.6527751,25.6711286,614.49,37.1,5.1,275,-59452.15,-54980.06,275.6,Weapon+Missile,Red,Allies,R-27ER,,xu,,910.745763004558,873.223571777344,2.69411749074443,614.492309570312,614.492309570312,909.523013435611,47.1776733398438,0.863069101705411,NaN,1.40002485531253,7.01889790527009,5000,6.81319999694824,6.81319999694824,6.81319999694824,41472.8922415378,602.61110076477,42075.5033423025,,,4.0699999332428,0,2419.60374228809,2421.71724406497
2011-06-01T05:09:00Z,1306904940,2BA09,55.643409,25.6718877,686.06,30.4,3.2,274.6,-60391.39,-54886.37,275.2,Weapon+Missile,Red,Allies,R-27ER,,xu,,946.608594185417,904.358581542969,2.80249613225365,686.059997558594,686.059997558594,943.899304280761,71.5676879882812,0.0442400557617234,NaN,6.89231657070319,1.12479875416887,5000,3.79322266578674,3.79322266578674,3.79322266578674,44803.3915292846,672.795027505798,45476.1865567904,,,5.0699999332428,0,3363.11452411268,3368.0343473446
2011-06-01T05:09:01Z,1306904941,2BA09,55.6340873,25.6724231,719.22,24.2,0.9,272.4,-61326.4,-54817.44,273,Weapon+Missile,Red,Allies,R-27ER,,xu,,938.135728998769,894.991882324219,2.77846580391212,719.224609375,719.224609375,937.549334460389,33.1646118164062,0.0636387706373323,NaN,5.95384857874344,3.18378318513131,5000,5.32786178588867,5.32786178588867,5.32786178588867,44004.9323012026,705.318401552734,44710.2507027553,,,6.0699999332428,0,4300.26287253387,4305.87251666008
2011-06-01T05:09:02Z,1306904942,2BA09,55.6248164,25.6725511,715.58,19.3,-1.3,269.1,-62256.8,-54793.61,269.7,Weapon+Missile,Red,Allies,R-27ER,,xu,,930.714540705242,888.12548828125,2.7563716898712,715.583801269531,715.583801269531,930.707419545213,-3.64080810546875,0.0729589614200873,NaN,4.70769422505295,3.86032430803506,5000,6.44617938995361,6.44617938995361,6.44617938995361,43311.4778140085,701.747988471985,44013.2258024805,,,7.0699999332428,0,5230.53473634141,5236.25613987823
2011-06-01T05:09:03Z,1306904943,2BA09,55.6156275,25.67214,681.72,15.5,-2.8,265,-63179.58,-54829.52,265.6,Weapon+Missile,Red,Allies,R-27ER,,xu,,924.092550269177,883.217346191406,2.73570003303511,681.716918945312,681.716918945312,923.471751460016,-33.8668823242188,0.097354858395827,NaN,3.40001352731899,4.338645016932,5000,7.28935766220093,7.28935766220093,7.28935766220093,42697.3520731496,668.535922317505,43365.8879954671,,,8.0699999332428,0,6153.5925779629,6160.03610071087
2011-06-01T05:09:04Z,1306904944,2BA09,55.6066718,25.6711039,630.33,13.8,-3.7,260.3,-64079.69,-54934.85,261,Weapon+Missile,Red,Allies,R-27ER,,xu,,907.711108994673,869.722900390625,2.68562625772151,630.329162597656,630.329162597656,906.255348061402,-51.3877563476562,0.0919999018166761,NaN,1.73847438906501,4.30732902647431,5000,6.16640567779541,6.16640567779541,6.16640567779541,41196.9728696169,618.141748238831,41815.1146178558,,,9.0699999332428,0,7059.50010989528,7067.49297915233
2011-06-01T05:09:05Z,1306904945,2BA09,55.5978479,25.6695338,571.37,12.9,-3.7,258.4,-64967.22,-55099.38,259,Weapon+Missile,Red,Allies,R-27ER,,xu,,904.576332777181,869.047058105469,2.67455079762356,571.370788574219,571.370788574219,902.65289671785,-58.9583740234375,0.0600969645875074,NaN,0.969231163981489,2.22873341485747,5000,1.35104787349701,1.35104787349701,1.35104787349701,40912.9170910306,560.323334377136,41473.2404254078,,,10.0699999332428,0,7961.91374167981,7971.91538657094
2011-06-01T05:09:06Z,1306904946,2BA09,55.5890847,25.6678916,512.63,11.9,-3.7,258.3,-65848.77,-55271.91,258.9,Weapon+Missile,Red,Allies,R-27ER,,xu,,900.194882327737,867.158508300781,2.65981442883701,512.62841796875,512.62841796875,898.276215907277,-58.7423706054688,0.068230223038722,NaN,0.969231163981489,0.213979234567201,5000,0.835215270519257,0.835215270519257,0.835215270519257,40517.5413084524,502.716747507324,41020.2580559597,,,11.0699999332428,0,8859.96031489955,8871.95726701964
2011-06-01T05:09:07Z,1306904947,2BA09,55.5808933,25.6663544,456.07,10.2,-3.9,258.3,-66672.82,-55433.38,258.9,Weapon+Missile,Red,Allies,R-27ER,,xu,,841.618421703112,813.335876464844,2.48513729361098,456.071533203125,456.071533203125,839.715955865818,-56.556884765625,0.0345859814339,NaN,1.70771121704327,0.102315119858987,5000,0.908635497093201,0.908635497093201,0.908635497093201,35416.0783875018,447.253390108643,35863.3317776105,,,12.0699999332428,0,9699.47345179951,9713.43693603067
2011-06-01T05:09:08Z,1306904948,2BA09,55.573363,25.6649407,403.26,8.9,-3.9,258.3,-67430.38,-55581.82,258.9,Weapon+Missile,Red,Allies,R-27ER,,xu,,773.774782441398,750.299865722656,2.28343636691388,403.257690429688,403.257690429688,771.970279190679,-52.8138427734375,0.0282601303316719,NaN,1.3384438697557,0.0171320104161963,5000,1.06108546257019,1.06108546257019,1.06108546257019,29936.3706971116,395.460702985229,30331.8314000969,,,13.0699999332428,0,10471.2466729809,10487.0669895021
2011-06-01T05:09:09Z,1306904949,2BA09,55.5663276,25.6636197,354.52,7.7,-3.8,258.3,-68138.19,-55720.51,258.9,Weapon+Missile,Red,Allies,R-27ER,,xu,,722.908491472786,703.17333984375,2.13214767736595,354.523834228516,354.523834228516,721.263958827295,-48.7338562011719,0.0504397560761622,NaN,1.13845593085773,0.0532655904281015,5000,1.05696737766266,1.05696737766266,1.05696737766266,26129.834352173,347.669115893707,26477.5034680667,,,14.0699999332428,0,11192.3172653765,11209.8252919705
2011-06-01T05:09:10Z,1306904950,2BA09,55.5598537,25.6624038,310.19,6.6,-3.8,258.3,-68789.51,-55848.12,258.9,Weapon+Missile,Red,Allies,R-27ER,,xu,,665.182217238913,649.194519042969,1.96090320808112,310.194610595703,310.194610595703,663.703474499711,-44.3292236328125,0.0280195103305712,NaN,0.969231163981489,0.0532655904281015,5000,1.04497861862183,1.04497861862183,1.04497861862183,22123.3691065438,304.196997799835,22427.5661043436,,,15.0699999332428,0,11855.8526961484,11874.8743385034
