ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2011-06-01T05:10:17Z,1306905017,33E0C,55.6100121,25.6105667,455.82,87.6,-3.4,204.9,-63814.82,-61643.39,205.6,Weapon+Missile,Red,Allies,R-73,,xu,,337.383765137957,331.73193359375,0.996226459590878,455.816131591797,455.500926077366,NaN,NaN,2.22932996354629,NaN,18.9692384950663,1.51470710695193,NaN,NaN,NaN,NaN,NaN,447.002926687469,NaN,,,0.710000038146973,0.315205514431,NaN,NaN
2011-06-01T05:10:18Z,1306905018,33E0C,55.6081797,25.6070586,424.33,71.7,-3.3,205.6,-64002.91,-62030.01,206.2,Weapon+Missile,Red,Allies,R-73,,xu,,431.097310051942,423.485443115234,1.27248798531013,424.332305908203,423.369857609272,429.946112267974,-31.4838256835938,0.559152186039317,NaN,15.0923138391403,1.00457760637972,5000,1.65148067474365,1.65148067474365,1.65148067474365,9292.24453670103,416.127840773468,9708.3723774745,,,1.71000003814697,0.962448298931122,431.670610187925,432.846926420455
2011-06-01T05:10:19Z,1306905019,33E0C,55.6059007,25.6027446,393.42,58.7,-3,205.6,-64236.82,-62505.41,206.2,Weapon+Missile,Red,Allies,R-73,,xu,,530.725587030062,519.025939941406,1.56601462229261,393.418426513672,392.005096435547,529.824481115383,-30.9138793945312,0.0426067322986201,NaN,12.3692540208397,0.191797274762872,5000,1.35896861553192,1.35896861553192,1.35896861553192,14083.4824364202,385.81168123703,14469.2941176572,,,2.71000003814697,1.413330078125,963.615312011307,965.723191886031
2011-06-01T05:10:20Z,1306905020,33E0C,55.6032394,25.5977091,361.37,48.1,-2.9,205.6,-64509.97,-63060.32,206.2,Weapon+Missile,Red,Allies,R-73,,xu,,619.331056727796,604.072021484375,1.82679820024322,361.371520996094,359.371520996094,618.501377261455,-32.0469055175781,0.0355122178746942,NaN,10.0922875176108,0.150657991515041,5000,1.18508291244507,1.18508291244507,1.18508291244507,19178.5478913785,354.384402637634,19532.9322940161,,,3.71000003814697,2,1584.57773738271,1587.54870642389
2011-06-01T05:10:21Z,1306905021,33E0C,55.6002681,25.5920915,327.52,39.4,-2.7,205.6,-64814.96,-63679.38,206.2,Weapon+Missile,Red,Allies,R-73,,xu,,690.935720600931,673.363952636719,2.03722284962241,327.524627685547,326.834215521812,690.10619314389,-33.8468933105469,0.0534475010140043,NaN,8.29228678450236,0.154188278841225,5000,1.19248509407043,1.19248509407043,1.19248509407043,23869.6085001164,321.191939009247,24190.8004391256,,,4.71000003814697,0.690412163734436,2277.43577430881,2281.27035296368
2011-06-01T05:10:22Z,1306905022,33E0C,55.597061,25.586032,293.01,32.3,-2.6,205.6,-65144.18,-64347.11,206.3,Weapon+Missile,Red,Allies,R-73,,xu,,745.280324726347,726.507141113281,2.19659794749282,293.011535644531,293.011535644531,744.480764628595,-34.5130920410156,0.0465736415258101,NaN,6.72309180382695,0.159183535022671,5000,1.18397259712219,1.18397259712219,1.18397259712219,27772.1381212105,287.346157602844,28059.4842788133,,,5.71000003814697,0,3024.88894370467,3029.55622781068
2011-06-01T05:10:23Z,1306905023,33E0C,55.5941982,25.5806259,263.95,26.5,-2.4,205.7,-65438.08,-64942.84,206.3,Weapon+Missile,Red,Allies,R-73,,xu,,664.915840815243,650.193237304688,1.95909092190191,263.953826904297,263.953826904297,664.280607070393,-29.0577087402344,0.042717438327179,NaN,5.47693745013646,0.176938918595023,5000,1.15918600559235,1.15918600559235,1.15918600559235,22105.6537683521,258.850279661102,22364.5040480132,,,6.71000003814697,0,3691.81338243593,3697.14247617918
2011-06-01T05:10:24Z,1306905024,33E0C,55.5918414,25.5761777,241.4,21.7,-2.3,205.7,-65680.05,-65433,206.3,Weapon+Missile,Red,Allies,R-73,,xu,,547.096612673103,537.796203613281,1.61153962230441,241.396148681641,241.396148681641,546.631370076386,-22.5576782226562,0.0187509531509635,NaN,4.58458689545264,0.151305992372332,5000,1.12273919582367,1.12273919582367,1.12273919582367,14965.7351799192,236.728754146881,15202.4639340661,,,7.71000003814697,0,4240.62432589832,4246.4385393553
2011-06-01T05:10:25Z,1306905025,33E0C,55.5898337,25.5723905,223.31,17.7,-2.1,205.7,-65886.18,-65850.34,206.3,Weapon+Missile,Red,Allies,R-73,,xu,,465.818773752851,460.125671386719,1.37184496418978,223.309997558594,223.309997558594,465.4675296067,-18.0861511230469,0.0422873464227922,NaN,3.84616148390422,0.128204331588005,5000,1.12412130832672,1.12412130832672,1.12412130832672,10849.3564990305,218.992298755798,11068.3487977863,,,8.71000003814697,0,4707.93873372074,4714.11981555639
2011-06-01T05:10:26Z,1306905026,33E0C,55.5881172,25.5691538,208.94,14.7,-1.9,205.7,-66062.44,-66206.98,206.3,Weapon+Missile,Red,Allies,R-73,,xu,,398.077775428892,394.711212158203,1.17215581154894,208.937683105469,208.937683105469,397.81823973729,-14.372314453125,0,NaN,2.92310239871202,0.246685835531645,5000,1.26219511032104,1.26219511032104,1.26219511032104,7923.29576452076,204.897873002625,8128.19363752339,,,9.71000003814697,0,5107.34713892522,5113.80024907372
