ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2011-06-01T05:01:53Z,1306904513,7D0C,55.810473,25.6228536,6455.85,-19.3,-0.3,216.7,-43672.05,-60478.48,217.3,Weapon+Missile,Red,Allies,R-27ER,,xu,,261.425874376114,195.427780151367,0.830729439333238,6455.85205078125,6415.47412490845,NaN,NaN,6.31506059966803,NaN,3.33847010780259,4.34330648771121,NaN,NaN,NaN,NaN,NaN,6331.02815137939,NaN,,,0.950000047683716,40.3779258728027,NaN,NaN
2011-06-01T05:01:54Z,1306904514,7D0C,55.8079343,25.6199005,6421.28,-16.2,-0.7,215.8,-43929.89,-60803.26,216.3,Weapon+Missile,Red,Allies,R-27ER,,xu,,416.123736378753,322.807250976562,1.32170876044835,6421.27978515625,6386.63818359375,414.685088262609,-34.572265625,2.12953704339763,NaN,2.44616053425378,1.70913744591933,5000,4.08817720413208,4.08817720413208,4.08817720413208,8657.94819889069,6297.12434051025,14955.0725394009,,,1.95000004768372,34.6416015625,415.931521768192,417.784304183262
2011-06-01T05:01:55Z,1306904515,7D0C,55.8041897,25.6148991,6394.39,-14.7,-3.9,212.6,-44310.89,-61353.79,213.1,Weapon+Missile,Red,Allies,R-27ER,,xu,,670.047986621592,501.436584472656,2.12748013183448,6394.39208984375,6360.00714111328,669.508294359697,-26.8876953125,0.192870565735846,NaN,1.26151544913385,4.32949042901006,5000,6.73901319503784,6.73901319503784,6.73901319503784,22448.2152187824,6270.75651878662,28718.971737569,,,2.95000004768372,34.3849487304688,1087.6833412772,1090.74835524583
2011-06-01T05:01:56Z,1306904516,7D0C,55.7993985,25.6078131,6284.99,-14.2,-9.4,211,-44799.11,-62134.23,211.6,Weapon+Missile,Red,Allies,R-27ER,,xu,,927.051843586442,679.671691894531,2.93926994569219,6284.98974609375,6264.08624267578,920.573868779159,-109.40234375,0.261646613831683,NaN,0.553834426586946,4.66951261381893,5000,5.70769739151001,5.70769739151001,5.70769739151001,42971.2560348511,6163.46946935303,49134.7255042041,,,3.95000004768372,20.9035034179688,2011.5560420456,2021.98799941054
2011-06-01T05:01:57Z,1306904517,7D0C,55.7942283,25.599983,6095.08,-12.7,-11.9,210.7,-45326.21,-62996.73,211.3,Weapon+Missile,Red,Allies,R-27ER,,xu,,1028.49428540732,756.888000488281,3.25280558490154,6095.078125,6075.05755615234,1010.80862248452,-189.91162109375,0.0824687414036687,NaN,1.53846425205223,3.16458800568605,5000,3.2755229473114,3.2755229473114,3.2755229473114,52890.0247557759,5977.22978945313,58867.2545452291,,,4.95000004768372,20.0205688476562,3026.02800261999,3055.05060892598
2011-06-01T05:01:58Z,1306904518,7D0C,55.7890261,25.592036,5860.06,-11.2,-14,210.7,-45856.69,-63872.12,211.2,Weapon+Missile,Red,Allies,R-27ER,,xu,,1050.21444883892,781.320739746094,3.3113573777458,5860.06298828125,5837.23083496094,1023.5811028263,-235.01513671875,0.0638711388407664,NaN,1.3845903353356,2.03524632194547,5000,2.40872287750244,2.40872287750244,2.40872287750244,55147.5194275022,5746.75867040283,60894.278097905,,,5.95000004768372,22.8321533203125,4053.34520220885,4109.84531345325
2011-06-01T05:01:59Z,1306904519,7D0C,55.7837885,25.5840544,5589.65,-9.8,-15.4,210.9,-46390.83,-64751.3,211.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,1063.6652323477,801.740844726562,3.3420645584486,5589.65478515625,5567.10772705078,1028.71916973875,-270.408203125,0.0531818337619119,NaN,1.4615307087885,1.48956916893993,5000,1.32055735588074,1.32055735588074,1.32055735588074,56569.186325264,5481.57880988525,62050.7651351492,,,6.95000004768372,22.5470581054688,5085.81242453146,5178.03238978569
2011-06-01T05:02:00Z,1306904520,7D0C,55.7784683,25.5760495,5295.68,-8.5,-16.2,211.3,-46933.37,-65632.96,211.8,Weapon+Missile,Red,Allies,R-27ER,,xu,,1076.14775182277,822.837585449219,3.36855156051307,5295.67626953125,5275.89323997498,1035.21525109715,-293.978515625,0.0734076355978468,NaN,1.3384438697557,0.88306779399325,5000,1.02801108360291,1.02801108360291,1.02801108360291,57904.6991876602,5193.28436885986,63097.9835565201,,,7.95000004768372,19.7830295562744,6124.76563653071,6258.62951292457
2011-06-01T05:02:01Z,1306904521,7D0C,55.7729799,25.5679638,4989.38,-7,-16.2,212,-47492.94,-66523.39,212.5,Weapon+Missile,Red,Allies,R-27ER,,xu,,1095.35366198906,849.93408203125,3.4153207502486,4989.3828125,4968.12698554993,1051.65772141543,-306.29345703125,0.0359706332964354,NaN,1.33848143579613,0.610305576870966,5000,2.03036761283875,2.03036761283875,2.03036761283875,59989.9822416425,4892.91309582031,64882.8953374628,,,8.95000004768372,21.2558269500732,7180.17157553597,7358.39962085786
2011-06-01T05:02:02Z,1306904522,7D0C,55.7673353,25.5598666,4686.5,-5.6,-15.5,212.7,-48068.3,-67414.91,213.3,Weapon+Missile,Red,Allies,R-27ER,,xu,,1103.44371113343,869.049194335938,3.42740081722694,4686.49658203125,4662.49658203125,1061.059826321,-302.88623046875,0.0193085706470062,NaN,1.40000009587679,0.941939542327117,5000,3.1498339176178,3.1498339176178,3.1498339176178,60879.4011819959,4595.88317061768,65475.2843526135,,,9.95000004768372,24,8244.96810290685,8466.21385193372
2011-06-01T05:02:03Z,1306904523,7D0C,55.761547,25.5518163,4400.85,-4.3,-14.4,213.5,-48658.12,-68301.11,214.1,Weapon+Missile,Red,Allies,R-27ER,,xu,,1102.19215164782,880.499084472656,3.41126779873226,4400.85205078125,4376.85205078125,1064.53498811501,-285.64453125,0.0875369536392084,NaN,1.3384899735326,1.29059423247323,5000,3.46771264076233,3.46771264076233,3.46771264076233,60741.3769577026,4315.76157637939,65057.138534082,,,10.9500000476837,24,9313.15789178781,9572.67148826066
2011-06-01T05:02:04Z,1306904524,7D0C,55.7558132,25.5440959,4145.09,-3.1,-13.4,214.4,-49242.21,-69150.79,215,Weapon+Missile,Red,Allies,R-27ER,,xu,,1062.32213843708,860.328735351562,3.27740981000808,4145.0947265625,4120.0947265625,1031.07541766934,-255.75732421875,0.0576167124551448,NaN,1.15383111356625,1.47958065760902,5000,3.66466093063354,3.66466093063354,3.66466093063354,56426.4162906766,4064.94932002441,60491.365610701,,,11.9500000476837,25,10347.6881524802,10639.0200058394
2011-06-01T05:02:05Z,1306904525,7D0C,55.7502906,25.5369086,3927.1,-1.9,-11.8,215.4,-49804.58,-69941.59,215.9,Weapon+Missile,Red,Allies,R-27ER,,xu,,994.561398367924,815.68017578125,3.06008422556596,3927.09594726562,3900.19737243652,970.375652697775,-217.998779296875,0.0397695364651922,NaN,1.16926947552459,1.80970942012683,5000,4.48125457763672,4.48125457763672,4.48125457763672,49457.618756178,3851.16554712524,53308.7843033033,,,12.9500000476837,26.8985748291016,11321.2498674564,11637.2914253439
2011-06-01T05:02:06Z,1306904526,7D0C,55.7449593,25.5302297,3752.57,-0.7,-9.7,216.5,-50347.27,-70676.25,217.1,Weapon+Missile,Red,Allies,R-27ER,,xu,,929.886175520516,770.777526855469,2.85494175483555,3752.57153320312,3724.79901123047,913.361663482934,-174.5244140625,0,NaN,1.23076647109898,2.40639794767032,5000,5.19336414337158,5.19336414337158,5.19336414337158,43234.4149712086,3680.01556260864,46914.4305338172,,,13.9500000476837,27.7725219726562,12237.523893778,12570.580258394
2011-06-01T05:02:07Z,1306904527,7D0C,55.7398031,25.5240743,3625.34,0.6,-7,218.1,-50871.86,-71353.09,218.6,Weapon+Missile,Red,Allies,R-27ER,,xu,,865.738971777418,723.847961425781,2.65384660538494,3625.33984375,3592.36597824097,856.338755664559,-127.231689453125,0.0915297025007059,NaN,1.36922070215578,3.06577864717124,5000,5.87156677246094,5.87156677246094,5.87156677246094,37475.1983627111,3555.24389787109,41030.4422605822,,,14.9500000476837,32.9738655090332,13096.474282195,13439.3940271118
2011-06-01T05:02:08Z,1306904528,7D0C,55.7347351,25.5184121,3545.62,1.8,-4.1,220.2,-51387.12,-71975.35,220.8,Weapon+Missile,Red,Allies,R-27ER,,xu,,811.821766755876,683.097595214844,2.48613908826557,3545.62060546875,3513.00210952759,807.89815201329,-79.71923828125,0.0702509496729024,NaN,1.33846137211545,3.68106343194714,5000,6.22857141494751,6.22857141494751,6.22857141494751,32952.7290489316,3477.06603106201,36429.7950799936,,,15.9500000476837,32.6184959411621,13906.7153777847,14254.0007370964
2011-06-01T05:02:09Z,1306904529,7D0C,55.7297684,25.5132827,3512.86,3,-1.1,222.2,-51891.68,-72538.7,222.8,Weapon+Missile,Red,Allies,R-27ER,,xu,,756.976033511073,639.958740234375,2.31724957677046,3512.86059570312,3482.81655502319,756.266816057873,-32.760009765625,0.202592912592621,NaN,0.984615311313297,3.01280690161979,5000,3.83984375,3.83984375,3.83984375,28650.6357655078,3444.93943608521,32095.575201593,,,16.9500000476837,30.0440406799316,14665.0073322877,15013.4192147183
2011-06-01T05:02:10Z,1306904530,7D0C,55.7249591,25.5085619,3503.82,3,-0.2,223.3,-52380.05,-73056.92,223.9,Weapon+Missile,Red,Allies,R-27ER,,xu,,712.137056232917,604.172973632812,2.17974787656337,3503.82055664062,3470.14282226562,712.07967570619,-9.0400390625,0.059408093343806,NaN,0.199999891729021,2.06583190904879,5000,3.22377562522888,3.22377562522888,3.22377562522888,25356.9593430042,3436.07418617798,28793.0335291822,,,17.9500000476837,33.677734375,15378.8883532863,15727.7501154437
2011-06-01T05:02:11Z,1306904531,7D0C,55.720299,25.5041965,3512.27,3.4,1.7,224.8,-52853.07,-73535.91,225.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,673.237360607226,572.7392578125,2.06089439171788,3512.26684570312,3475.96563339233,673.18437587221,8.4462890625,0.102472768991738,NaN,0.400000210344865,2.01814331482035,5000,3.22639513015747,3.22639513015747,3.22639513015747,22662.4271858692,3444.35716624146,26106.7843521107,,,18.9500000476837,36.301212310791,16053.6969164782,16402.98265874
2011-06-01T05:02:12Z,1306904532,7D0C,55.71582,25.5001731,3538.23,3.7,3.1,225.7,-53307.56,-73977.18,226.2,Weapon+Missile,Red,Allies,R-27ER,,xu,,634.00013382802,540.68994140625,1.94139911425909,3538.23461914062,3502.66497802734,633.468108460596,25.9677734375,0.0479192092548088,NaN,0.199999891729021,1.78750159364906,5000,2.60064601898193,2.60064601898193,2.60064601898193,20097.8084846973,3469.82285277954,23567.6313374769,,,19.9500000476837,35.5696411132812,16688.6157246161,17038.7829097222
2011-06-01T05:02:13Z,1306904533,7D0C,55.7115244,25.4964226,3576.52,3.7,4.1,226.4,-53743.34,-74388.39,227,Weapon+Missile,Red,Allies,R-27ER,,xu,,600.390770799945,512.967529296875,1.83934434254656,3576.52221679688,3539.22610473633,599.168705397291,38.28759765625,0.0606382826161673,NaN,0.0307631720217374,1.17721522668514,5000,1.7006710767746,1.7006710767746,1.7006710767746,18023.4538830876,3507.37015973511,21530.8240428227,,,20.9500000476837,37.2961120605469,17289.1084000286,17640.8292054386
2011-06-01T05:02:14Z,1306904534,7D0C,55.7074245,25.4929096,3618.45,3.1,4.3,226.8,-54159.23,-74773.47,227.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,568.335399433201,486.500701904297,1.74203503464405,3618.453125,3578.54284667969,566.78648994675,41.930908203125,0.0392612285484564,NaN,0.569255286185543,0.518704415808044,5000,1.06899309158325,1.06899309158325,1.06899309158325,16150.2563124448,3548.49033382813,19698.7466462729,,,21.9500000476837,39.9102783203125,17857.1227236636,18210.7086101197
2011-06-01T05:02:15Z,1306904535,7D0C,55.7034798,25.4895707,3658.67,2.5,4.1,227.2,-54559.35,-75139.41,227.7,Weapon+Missile,Red,Allies,R-27ER,,xu,,543.719017489821,466.060363769531,1.66740441400482,3658.67138671875,3619.58578491211,542.229528340553,40.21826171875,0.0150757667556924,NaN,0.707662239526681,0.400198605995913,5000,1.06831812858582,1.06831812858582,1.06831812858582,14781.5184990048,3587.93097545654,18369.4494744614,,,22.9500000476837,39.0856018066406,18400.5066999397,18755.8880610733
2011-06-01T05:02:16Z,1306904536,7D0C,55.6997011,25.4864342,3696.26,2.4,4.5,228.5,-54942.59,-75483.09,229.1,Weapon+Missile,Red,Allies,R-27ER,,xu,,516.139988490352,443.314331054688,1.5835594763753,3696.263671875,3652.16307449341,514.76917916242,37.59228515625,0.173768763873067,NaN,0.123072324880814,2.00902565260862,5000,3.40411949157715,3.40411949157715,3.40411949157715,13320.024385941,3624.7964137793,16944.8207997203,,,23.9500000476837,44.1005973815918,18916.3433870231,19273.3893599288
2011-06-01T05:02:17Z,1306904537,7D0C,55.6959406,25.4836689,3737.2,2.3,4.7,233.7,-55323.61,-75785.66,234.3,Weapon+Missile,Red,Allies,R-27ER,,xu,,488.262487075111,420.215545654297,1.49878282387609,3737.19750976562,3699.66540527344,486.543602568482,40.933837890625,0.108344870995842,NaN,0.584609551439731,4.43308220060436,5000,4.42304420471191,4.42304420471191,4.42304420471191,11920.0128142387,3664.93879591431,15584.951610153,,,24.9500000476837,37.5321044921875,19403.7352410566,19762.7801393846
