ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2011-06-01T05:04:25Z,1306904665,E50F,55.5110174,25.7041807,1313.38,38,2.4,230.9,-73639.7,-51166.53,231.6,Weapon+Missile,Red,Allies,R-27ER,,xu,,295.047925535775,280.02734375,0.879844287816572,1313.3837890625,1313.3837890625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1287.98951350098,NaN,,,0.0499999523162842,0,NaN,NaN
2011-06-01T05:04:26Z,1306904666,E50F,55.5087712,25.702423,1305.35,30.9,0.4,231,-73867.29,-51358.67,231.6,Weapon+Missile,Red,Allies,R-27ER,,xu,,297.964811837372,282.941955566406,0.888459699313024,1305.34680175781,1305.34680175781,297.856401523192,-8.0369873046875,3.99308436060634,NaN,6.8461444919139,5.14559331608639,5000,0.892321646213531,0.892321646213531,0.892321646213531,4439.15145466402,1280.10792134583,5719.25937600985,,,1.04999995231628,0,298.406287235685,298.575735360591
2011-06-01T05:04:27Z,1306904667,E50F,55.5051851,25.6997541,1282.6,25.6,-0.1,234.1,-74230.5,-51650.22,234.7,Weapon+Missile,Red,Allies,R-27ER,,xu,,466.303930621717,442.611968994141,1.39003977517763,1282.59619140625,1282.59619140625,465.748607557655,-22.7506103515625,0.844758019619443,NaN,4.2769005337219,2.69444431388609,3861.77383557,7.41252994537354,7.41252994537354,7.41252994537354,10871.9677856632,1257.79719404541,12129.7649797086,,,2.04999995231628,0,764.948367958329,765.766733719669
2011-06-01T05:04:28Z,1306904668,E50F,55.4994405,25.6962517,1300.15,23.5,2.6,236.8,-74811.39,-52031.62,237.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,695.132997717703,649.92138671875,2.07259519535274,1300.15234375,1300.15234375,694.911264861121,17.55615234375,0.0644493809659494,NaN,2.50766297263516,3.37915242204648,5000,3.41992139816284,3.41992139816284,3.41992139816284,24160.4942258,1275.01389818359,25435.5081239836,,,3.04999995231628,0,1460.68652783966,1461.86718351841
2011-06-01T05:04:29Z,1306904669,E50F,55.4916957,25.6916531,1350.98,20.4,3.5,236.7,-75594.44,-52532.13,237.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,930.72948066762,862.856628417969,2.77668269170356,1350.97534179688,1350.97534179688,929.340835782731,50.822998046875,0.0576396263368882,NaN,3.01539191477723,1.10154644235662,5000,1.88279485702515,1.88279485702515,1.88279485702515,43312.8683091909,1324.85423356323,44637.7225427541,,,4.04999995231628,0,2391.07854644231,2393.83935535474
2011-06-01T05:04:30Z,1306904670,E50F,55.4834457,25.6867864,1413.84,17.4,3.8,237.2,-76428.59,-53061.7,237.9,Weapon+Missile,Red,Allies,R-27ER,,xu,,990.05310928723,914.447143554688,2.95582420188776,1413.8408203125,1413.8408203125,988.055206362637,62.865478515625,0.040978992136317,NaN,2.90769349194447,0.509569998288504,5000,1.7145322561264,1.7145322561264,1.7145322561264,49010.2579604656,1386.50420805176,50396.7621685173,,,5.04999995231628,0,3380.24398508309,3385.21442078558
2011-06-01T05:04:31Z,1306904671,E50F,55.475262,25.6820569,1480.06,14.9,4.1,237.8,-77255.98,-53576.1,238.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,976.509298108012,899.343078613281,2.91763704142267,1480.06311035156,1480.06311035156,974.261267624544,66.2222900390625,0.0311335944840433,NaN,2.36925601929402,0.721396682730519,5000,2.28057074546814,2.28057074546814,2.28057074546814,47678.5204645701,1451.44609011292,49129.966554683,,,6.04999995231628,0,4355.54498301816,4362.98180797641
2011-06-01T05:04:32Z,1306904672,E50F,55.4670254,25.6774348,1554.62,13.1,4.7,238.9,-78088.61,-54078.5,239.5,Weapon+Missile,Red,Allies,R-27ER,,xu,,975.310784049268,895.166625976562,2.9165903090131,1554.61926269531,1554.61926269531,972.456942815718,74.55615234375,0.153409303551461,NaN,1.78464646785429,1.17476030728705,5000,2.90168809890747,2.90168809890747,2.90168809890747,47561.5562741399,1524.5606992511,49086.116973391,,,7.04999995231628,0,5328.9751121679,5339.49383378952
2011-06-01T05:04:33Z,1306904673,E50F,55.4587634,25.6730981,1618.32,9.3,2,241.4,-78923.48,-54549.21,242.1,Weapon+Missile,Red,Allies,R-27ER,,xu,,960.535993988667,879.212463378906,2.87454495335084,1618.31689453125,1618.31689453125,958.421623006435,63.6976318359375,0.0783069965282875,NaN,4.61535006747438,3.34030465392497,5000,7.63128328323364,7.63128328323364,7.63128328323364,46131.4697873898,1587.02673737549,47718.4965247653,,,8.04999995231628,0,6288.22289923185,6301.09224944251
2011-06-01T05:04:34Z,1306904674,E50F,55.4502181,25.6691899,1621.91,5.7,-1.2,244.6,-79786.3,-54972.08,245.3,Weapon+Missile,Red,Allies,R-27ER,,xu,,960.886013430427,879.382080078125,2.8757131453386,1621.90844726562,1621.90844726562,960.879301241928,3.591552734375,0.139844529190101,NaN,3.00003764952304,4.11468268716045,5000,4.58249378204346,4.58249378204346,4.58249378204346,46165.096540311,1590.54884743774,47755.6453877487,,,9.04999995231628,0,7249.65668712836,7262.7769580644
