ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2011-06-01T04:35:20Z,1306902920,10E,56.3843454,27.233566,9.2,-0.1,0.9,265.4,14799.73,117522.13,265.7,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,=CNF=707（七夕）,0.140247184614451,0,0.000412033337638859,9.20476150512695,2.20476150512695,NaN,NaN,NaN,NaN,0.485708412257947,NaN,NaN,NaN,NaN,NaN,NaN,9.02678744142532,NaN,,,0.940000057220459,7,NaN,NaN
2011-06-01T04:35:21Z,1306902921,10E,56.3843448,27.2335661,9.24,0,0,265.4,14799.67,117522.13,265.7,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,=CNF=707（七夕）,0.0702952668747708,0,0.000206521115993927,9.24047565460205,2.24047565460205,0.060546875,0.0357141494750977,NaN,NaN,0.161902804085982,0.13380539353232,NaN,0.994270099873986,0.000620323339905096,-0.0071496957094949,0.000247071227249762,9.06181105782032,9.06205812904757,,,1.94000005722046,7,0.0613488227847804,0.0709872480412516
2011-06-01T04:35:22Z,1306902922,10E,56.3843449,27.2335661,9.22,-0.1,-0.1,265.4,14799.68,117522.13,265.7,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,=CNF=707（七夕）,0.022684993451952,0,6.66464371196525e-05,9.22000026702881,2.22000026702881,0.009765625,-0.0204753875732422,NaN,NaN,0.199987938897973,0.0261695779877396,NaN,1.0024257642644,-0.00182412453993233,-0.00125650559795611,2.57304463957553e-05,9.04173156186581,9.0417572923122,,,2.94000005722046,7,0.06889012291244,0.0928072589114678
2011-06-01T04:35:23Z,1306902923,10E,56.3843449,27.2335661,9.22,-0.2,-0.1,265.4,14799.68,117522.13,265.7,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,=CNF=707（七夕）,0.00333309173583984,0,9.79231920858049e-06,9.22333335876465,2.22333335876465,0,0.00333309173583984,NaN,NaN,0.199987938897973,0.100384470840548,NaN,1.00033357403886,-0.00355882561138578,-0.000852210936197868,5.55475025976193e-07,9.04500020827293,9.04500076374796,,,3.94000005722046,7,0.0717181100725236,0.097178418229514
2011-06-01T04:35:24Z,1306902924,10E,56.3843448,27.2335661,9.23,-0.2,-0.1,265.4,14799.67,117522.13,265.7,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,=CNF=707（七夕）,0.0110311206006916,0,3.24084276166967e-05,9.22999954223633,2.22999954223633,0.0087890625,0.00666618347167969,NaN,NaN,0,0.0139882274201861,NaN,0.999309963766946,-0.00335365558898439,-0.00353156339830561,6.08428108535009e-06,9.05153750108719,9.05154358536827,,,4.94000005722046,7,0.0816160649389218,0.109111891889915
2011-06-01T04:35:25Z,1306902925,10E,56.3843449,27.2335661,9.23,-0.2,-0.1,265.4,14799.68,117522.13,265.7,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,=CNF=707（七夕）,0.0087890625,0,2.58214651222303e-05,9.22999954223633,2.22999954223633,0.0087890625,0,NaN,NaN,0,0.0139882274201861,NaN,0.999993695873698,-0.00355763927945936,-0.000851617732682256,3.86238098144531e-06,9.05153750108719,9.05154136346817,,,5.94000005722046,7,0.09151401980532,0.119009860963604
2011-06-01T04:35:26Z,1306902926,10E,56.3843449,27.2335661,9.23,-0.3,-0.1,265.5,14799.68,117522.13,265.7,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,=CNF=707（七夕）,0,0,0,9.22999954223633,2.22999954223633,0,0,NaN,NaN,0.200042580411333,0.0139882274201861,NaN,0.999977582654323,-0.00523607979934624,-0.00174531603333632,0,9.05153750108719,9.05153750108719,,,6.94000005722046,7,0.09151401980532,0.119009860963604
2011-06-01T04:35:27Z,1306902927,10E,56.3843449,27.2335661,9.23,-0.3,-0.1,265.4,14799.68,117522.13,265.7,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,=CNF=707（七夕）,6.96182250976562e-05,0,2.04532004388538e-07,9.22992992401123,2.22992992401123,0,-6.96182250976562e-05,NaN,NaN,0,0.0139882274201861,NaN,0.999962314999401,-0.00523599985489277,-0.00174528938585364,2.42334863287397e-10,9.05146922893047,9.05146922917281,,,7.94000005722046,7,0.09151401980532,0.119079479446433
2011-06-01T04:35:28Z,1306902928,10E,56.3843449,27.2335661,9.23,-0.3,-0.1,265.4,14799.68,117522.13,265.7,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,=CNF=707（七夕）,0.000288963317871094,0,8.48947905863359e-07,9.22964096069336,2.22964096069336,0,-0.000288963317871094,NaN,NaN,0,0.0139882274201861,NaN,0.99998468162763,-0.00523611697097109,-0.00174532842356712,4.17498995375354e-09,9.05118585271835,9.05118585689334,,,8.94000005722046,7,0.09151401980532,0.119368442388881
2011-06-01T04:35:29Z,1306902929,10E,56.3843449,27.2335661,9.23,-0.3,-0.1,265.4,14799.68,117522.13,265.7,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,=CNF=707（七夕）,0.000288963317871094,0,8.48947903100323e-07,9.22935199737549,2.22935199737549,0,-0.000288963317871094,NaN,NaN,0,0.0139882274201861,NaN,0.999984584381421,-0.00523611646177075,-0.00174532825383793,4.17498995375354e-09,9.05090247650623,9.05090248068122,,,9.94000005722046,7,0.09151401980532,0.119657405807837
