ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2011-06-01T05:01:10Z,1306904470,1D006,55.7897902,25.7901132,326.89,23.9,0.1,23.5,-45579.03,-41934.89,24,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,365.986540347082,361.621704101562,1.07910289392906,326.885375976562,326.885375976562,NaN,NaN,0.855749301740285,NaN,5.32306694851442,6.49990297579459,NaN,NaN,NaN,NaN,NaN,320.565047232056,NaN,,,0.799999952316284,0,NaN,NaN
2011-06-01T05:01:11Z,1306904471,1D006,55.7923168,25.7947367,334.19,19.5,0.7,30.2,-45320.99,-41425.13,30.7,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,571.395283355093,559.009338378906,1.68488548797722,334.190765380859,334.190765380859,571.348581100976,7.30538940429688,0.486799678267167,NaN,4.07691259482393,6.09276053919633,3736.69463864793,10.7975473403931,10.7975473403931,10.7975473403931,16324.6284920224,327.729186932221,16652.3576789546,,,1.79999995231628,0,573.613861769256,573.69010393405
2011-06-01T05:01:12Z,1306904472,1D006,55.7968446,25.800574,338.53,16.5,-0.4,37.1,-44861.1,-40782.78,37.6,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,790.015933087393,767.995544433594,2.32965169487873,338.534606933594,338.534606933594,790.003990858597,4.34384155273438,0.400526885067484,NaN,2.7077055530465,5.20666473024494,5000,1.41236066818237,1.41236066818237,1.41236066818237,31206.2587265973,331.989040308533,31538.2477669058,,,2.79999995231628,0,1366.19304110804,1366.32298418069
2011-06-01T05:01:13Z,1306904473,1D006,55.8022657,25.8072787,328.74,13.9,-0.8,35.7,-44310.82,-40045.15,36.2,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,920.330182589897,893.729736328125,2.71362932136855,328.735382080078,328.735382080078,920.278012438754,-9.79922485351562,0.0468176843511485,NaN,2.50766297263516,0.743900074972448,5000,1.34198451042175,1.34198451042175,1.34198451042175,42350.3822492976,322.37928346756,42672.7615327652,,,3.79999995231628,0,2289.35841975062,2289.58865709818
2011-06-01T05:01:14Z,1306904474,1D006,55.8074409,25.8138706,312.51,11.6,-1.2,35,-43785.38,-39319.77,35.5,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,895.843828344469,870.75927734375,2.64094435857607,312.513061523438,312.513061523438,895.696935965862,-16.2223205566406,0.036631731122277,NaN,2.30772967525055,0.826873746618292,5000,1.50875985622406,1.50875985622406,1.50875985622406,40126.8082391438,306.470621478882,40433.2788606226,,,4.79999995231628,0,3187.94104916537,3188.36287096426
2011-06-01T05:01:15Z,1306904475,1D006,55.8123516,25.8203303,293.38,9.7,-1.3,34,-43286.62,-38608.77,34.5,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,868.696146017253,845.307250976562,2.56035766376634,293.382293701172,293.382293701172,868.485467827619,-19.1307678222656,0.0263872043780179,NaN,1.98457976523891,1.04243862560957,5000,2.15664958953857,2.15664958953857,2.15664958953857,37731.6497052614,287.70974705246,38019.3594523139,,,5.79999995231628,0,4059.29076029764,4059.96394517583
2011-06-01T05:01:16Z,1306904476,1D006,55.8169746,25.8266952,275.94,7.9,-1.1,32.7,-42816.86,-37908,33.2,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,843.83877453438,821.972229003906,2.48660237853668,275.935394287109,275.935394287109,843.658392424636,-17.4468994140625,0.0909650665610293,NaN,1.73847438906501,1.13510486929619,5000,1.92986929416656,1.92986929416656,1.92986929416656,35603.1938703842,270.600183438568,35873.7940538228,,,6.79999995231628,0,4905.82050302396,4906.71123124653
2011-06-01T05:01:17Z,1306904477,1D006,55.8213654,25.8329901,259.97,6.6,-1.1,31.7,-42370.49,-37214.75,32.2,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,824.679138150347,804.057434082031,2.42970374040069,259.970001220703,259.970001220703,824.524582486559,-15.9653930664062,0.0555646903965494,NaN,1.3384438697557,1.0886336495656,5000,1.90998351573944,1.90998351573944,1.90998351573944,34004.7840450199,254.943481247101,34259.727526267,,,7.79999995231628,0,5733.22171307161,5734.30121329861
2011-06-01T05:01:18Z,1306904478,1D006,55.8255194,25.8392076,244.73,5.4,-1,30.6,-41947.97,-36529.86,31.1,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,804.880185422231,785.480712890625,2.37096209533565,244.733840942383,244.733840942383,804.735964341906,-15.2361602783203,0.0386168658015161,NaN,0.999994336003227,1.1470685859577,5000,1.97732162475586,1.97732162475586,1.97732162475586,32391.6056442662,240.001912127762,32631.607556394,,,8.79999995231628,0,6540.85394808388,6542.1091006906
2011-06-01T05:01:19Z,1306904479,1D006,55.8294692,25.8453998,230.51,4.5,-1,29.4,-41546,-35847.58,29.9,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,792.016249220045,773.546447753906,2.33269280073582,230.51383972168,230.51383972168,791.888584709915,-14.2200012207031,0.0261036362910126,NaN,0.969231163981489,1.12792655392192,5000,1.8688223361969,1.8688223361969,1.8688223361969,31364.4869514294,226.056854630661,31590.5438060601,,,9.79999995231628,0,7335.67049784408,7337.08245168583
