ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2011-06-01T04:57:56Z,1306904276,630D,55.6081289,25.6496978,5886.7,-0.4,-4.2,29.8,-63958.38,-57307.3,30.4,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,344.518382431993,271.286102294922,1.08665231786773,5886.703125,5886.703125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5772.88372007812,NaN,,,0.329999923706055,0,NaN,NaN
2011-06-01T04:57:57Z,1306904277,630D,55.6106185,25.6536683,5847.43,-0.4,-3.6,28.5,-63703.83,-56870.15,29.1,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,507.381613290744,399.252105712891,1.59952711008028,5847.42626953125,5847.42626953125,505.859101064718,-39.27685546875,0.385916695377913,NaN,0.0461720787892862,5.98364689281357,5000,5.51366567611694,5.51366567611694,5.51366567611694,12871.8050752759,5734.36628260986,18606.1713578858,,,1.32999992370605,0,507.711833998252,509.694446395862
2011-06-01T04:57:58Z,1306904278,630D,55.6138982,25.6598003,5813.05,-0.9,-1.1,23.1,-63367.48,-56194.45,23.8,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,755.573676086691,574.788940429688,2.38089454089984,5813.04833984375,5813.04833984375,754.791188306777,-34.3779296875,0.1897318523635,NaN,0.569255286185543,5.0994243569734,5000,9.09267520904541,9.09267520904541,9.09267520904541,28544.5789997578,5700.65305019287,34245.2320499506,,,2.32999992370605,0,1265.5131394948,1268.96712770942
2011-06-01T04:57:59Z,1306904279,630D,55.6174587,25.6682439,5812.59,-1,0.4,20.1,-63000.29,-55262.98,20.7,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,1001.22969702199,748.326232910156,3.15496438377577,5812.5859375,5812.5859375,1001.22959024532,-0.46240234375,0.0821159030899986,NaN,0.123069550116463,3.26061128734973,5000,2.23581457138062,2.23581457138062,2.23581457138062,50123.045309937,5700.19958839844,55823.2448983354,,,3.32999992370605,0,2271.05587948174,2275.42639137262
2011-06-01T04:58:00Z,1306904280,630D,55.6210352,25.6770961,5819.36,-0.9,0.4,20.1,-62631.07,-54286.26,20.7,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,1044.19724574604,778.640075683594,3.29064780947836,5819.35986328125,5819.35986328125,1044.17527357869,6.77392578125,0.0321733381790365,NaN,0.16922060472971,0.265408904830957,5000,1.01520383358002,1.01520383358002,1.01520383358002,54517.3944011807,5706.84254032471,60224.2369415055,,,4.32999992370605,0,3319.77378148829,3325.12243515441
2011-06-01T04:58:01Z,1306904281,630D,55.6246246,25.6859853,5826.31,-0.7,0.4,20.1,-62260.57,-53305.46,20.7,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,1048.46743381526,781.407592773438,3.30440237685586,5826.31005859375,5826.31005859375,1048.44439745571,6.9501953125,0.0314626724588719,NaN,0.199987938897973,0.0139882274201861,5000,1.00194847583771,1.00194847583771,1.00194847583771,54964.1979885578,5713.65835361084,60677.8563421687,,,5.32999992370605,0,4372.80385552155,4379.13677404978
2011-06-01T04:58:02Z,1306904282,630D,55.6281765,25.6947802,5833.2,-0.6,0.4,20.1,-61893.98,-52335.04,20.7,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,1037.37350291399,773.243041992188,3.26973029827288,5833.2021484375,5833.2021484375,1037.35060786873,6.89208984375,0.0303630709808539,NaN,0,0.0139882274201861,5000,1.00242173671722,1.00242173671722,1.00242173671722,53807.1892274022,5720.41718489746,59527.6064122997,,,6.32999992370605,0,5414.67246348538,5421.98044755589
2011-06-01T04:58:03Z,1306904283,630D,55.6317368,25.7035946,5840.13,-0.5,0.4,20.1,-61526.59,-51362.47,20.7,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,1039.67293355167,774.608459472656,3.27727248232637,5840.13427734375,5840.13427734375,1039.64982294461,6.93212890625,0.030010240887045,NaN,0,0.0139882274201861,5000,1.00104582309723,1.00104582309723,1.00104582309723,54045.9904379964,5727.21528109131,59773.2057190877,,,7.32999992370605,0,6458.85231802413,6467.13882612691
2011-06-01T04:58:04Z,1306904284,630D,55.6352941,25.7124004,5847.07,-0.4,0.4,20.1,-61159.55,-50390.85,20.7,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,1038.6593883614,773.617858886719,3.27437204349185,5847.06982421875,5847.06982421875,1038.636232384,6.935546875,0.0295037840030483,NaN,0,0.0139882274201861,5000,1.00204944610596,1.00204944610596,1.00204944610596,53940.666251564,5734.01672916748,59674.6829807315,,,8.32999992370605,0,7502.02273629984,7511.28802366903
2011-06-01T04:58:05Z,1306904285,630D,55.6388283,25.7211476,5853.98,-0.3,0.4,20.1,-60794.95,-49425.68,20.7,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,1031.75984384369,768.447937011719,3.25291266243401,5853.9775390625,5853.9775390625,1031.73671973231,6.90771484375,0.0292552683755872,NaN,0.0153836670841315,0.0139882274201861,5000,1.00054514408112,1.00054514408112,1.00054514408112,53226.4187684178,5740.79088334473,58967.2096517626,,,9.32999992370605,0,8538.26668077189,8548.50549417434
