ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2011-06-01T05:05:46Z,1306904746,3230E,55.9903266,26.1966145,9171.71,-0.2,15.2,15.1,-25124.18,2917.37,15.5,Weapon+Missile,Red,Allies,R-73,,xu,,368.970120719829,249.952774047852,1.21682523830283,9171.7119140625,9171.7119140625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8994.3768642041,NaN,,,0.309999942779541,0,NaN,NaN
2011-06-01T05:05:47Z,1306904747,3230E,55.9914925,26.2005108,9289.88,-0.2,15.2,15.1,-25004.32,3348.01,15.5,Weapon+Missile,Red,Allies,R-73,,xu,,462.360806661686,313.741394042969,1.52738183982865,9289.8828125,9289.8828125,447.004646843094,118.1708984375,0.532873240649631,NaN,0,0.474251151350061,5000,0.953436374664307,0.953436374664307,0.953436374664307,10688.8757768422,9110.26292832031,19799.1387051625,,,1.30999994277954,0,449.095001061571,465.010631206074
2011-06-01T05:05:48Z,1306904748,3230E,55.9930014,26.2055541,9443.68,-0.2,15.2,15.1,-24849.23,3905.4,15.5,Weapon+Missile,Red,Allies,R-73,,xu,,598.665124367775,394.332763671875,1.98200079721006,9443.681640625,9443.681640625,578.572252706315,153.798828125,0.0768765548058626,NaN,0,0,5000,1.34055113792419,1.34055113792419,1.34055113792419,17919.9965567142,9261.08805610352,27181.0846128177,,,2.30999994277954,0,1030.38181738381,1067.12492144497
2011-06-01T05:05:49Z,1306904749,3230E,55.9948463,26.21172,9636.29,-0.2,15.2,15.1,-24659.6,4586.9,15.5,Weapon+Missile,Red,Allies,R-73,,xu,,733.139692541778,465.993530273438,2.43392032013487,9636.2939453125,9636.2939453125,707.385544708982,192.6123046875,0.0607937176575276,NaN,0,0,5000,0.972134947776794,0.972134947776794,0.972134947776794,26874.6904390126,9449.97620187988,36324.6666408925,,,3.30999994277954,0,1741.06732816359,1804.47520186169
2011-06-01T05:05:50Z,1306904750,3230E,55.9970177,26.218976,9862.96,-0.2,15.2,15.1,-24436.45,5388.88,15.5,Weapon+Missile,Red,Allies,R-73,,xu,,862.752545280455,531.415771484375,2.87359966806772,9862.9560546875,9862.9560546875,832.445939723162,226.662109375,0.0613493098011057,NaN,0,0,5000,0.972205221652985,0.972205221652985,0.972205221652985,37217.0977193952,9672.25579937012,46889.3535187653,,,4.30999994277954,0,2577.41117589389,2672.22332287804
2011-06-01T05:05:51Z,1306904751,3230E,55.9995136,26.2273158,10123.47,-0.1,15.2,15.1,-24179.98,6310.65,15.5,Weapon+Missile,Red,Allies,R-73,,xu,,991.618069224323,593.524536132812,3.31534363984608,10123.47265625,10123.47265625,956.784978729547,260.5166015625,0.06110137335757,NaN,0.199987938897973,0,5000,0.968852996826172,0.968852996826172,0.968852996826172,49165.3197606087,9927.73531244141,59093.0550730501,,,5.30999994277954,0,3538.66357611763,3669.60629625972
2011-06-01T05:05:52Z,1306904752,3230E,56.0021307,26.2360591,10396.61,-0.1,15.2,15.1,-23911.09,7277.02,15.5,Weapon+Missile,Red,Allies,R-73,,xu,,1039.60986290732,610.311828613281,3.48972916786269,10396.6083984375,10396.6083984375,1003.08799882855,273.1357421875,0.0609375409400157,NaN,0,0,5000,0.959666132926941,0.959666132926941,0.959666132926941,54039.4333527088,10195.5899750537,64235.0233277625,,,6.30999994277954,0,4546.4463083411,4715.3114758831
2011-06-01T05:05:53Z,1306904753,3230E,56.0045416,26.2441125,10648.18,-0.1,15.2,15.1,-23663.42,8167.15,15.5,Weapon+Missile,Red,Allies,R-73,,xu,,957.575061827991,559.370849609375,3.22631404490945,10648.1845703125,10648.1845703125,923.936918181973,251.576171875,0.0612199156872423,NaN,0,0,5000,0.960643351078033,0.960643351078033,0.960643351078033,45847.4999517441,10442.3019216455,56289.8018733896,,,7.30999994277954,0,5474.70160654866,5678.53204851576
2011-06-01T05:05:54Z,1306904754,3230E,56.0067788,26.2515844,10881.59,-0.1,15.2,15.1,-23433.62,8992.99,15.5,Weapon+Missile,Red,Allies,R-73,,xu,,888.425273848575,517.181701660156,3.00373425145481,10881.5888671875,10881.5888671875,857.217534476052,233.404296875,0.0608115966734271,NaN,0,0,5000,0.96164608001709,0.96164608001709,0.96164608001709,39464.9733606458,10671.1933464404,50136.1667070862,,,8.30999994277954,0,6335.93377355919,6572.23459740005
2011-06-01T05:05:55Z,1306904755,3230E,56.0088447,26.2584834,11097.11,-0.1,15.2,15.1,-23221.45,9755.54,15.5,Weapon+Missile,Red,Allies,R-73,,xu,,820.330962799692,476.59130859375,2.77892852211191,11097.107421875,11097.107421875,791.514144607209,215.5185546875,0.0611468495052151,NaN,0,0,5000,0.962033689022064,0.962033689022064,0.962033689022064,33647.1444263935,10882.544849873,44529.6892762666,,,9.30999994277954,0,7131.14335231911,7397.45424644335
2011-06-01T05:05:56Z,1306904756,3230E,56.0107779,26.2649387,11298.76,-0.1,15.2,15.1,-23022.93,10469.03,15.5,Weapon+Missile,Red,Allies,R-73,,xu,,767.563986835293,444.392761230469,2.60017669975888,11298.7626953125,11298.7626953125,740.600853754124,201.6552734375,0.0612779596365803,NaN,0,0,5000,0.962272942066193,0.962272942066193,0.962272942066193,29457.7236943245,11080.3011185986,40538.0248129231,,,10.3099999427795,0,7875.2069453716,8169.62079388505
