UnixTime,105,107,108,10A,10B,10F,202
1,静止,静止,静止,静止,静止,静止,上升飞行
2,静止,静止,静止,静止,静止,静止,上升飞行
3,静止,静止,静止,静止,静止,静止,上升飞行
4,静止,静止,静止,静止,静止,静止,上升飞行
5,静止,静止,静止,静止,静止,静止,平飞
6,静止,静止,静止,静止,静止,静止,平飞
7,静止,静止,静止,静止,静止,静止,平飞
8,静止,静止,静止,静止,静止,静止,平飞
9,静止,静止,静止,静止,静止,静止,平飞
10,静止,静止,静止,静止,静止,静止,平飞
11,静止,静止,静止,静止,静止,静止,平飞
12,静止,静止,静止,静止,静止,静止,平飞
13,静止,静止,静止,静止,静止,静止,平飞
14,静止,静止,静止,静止,静止,静止,平飞
15,静止,静止,静止,静止,静止,静止,平飞
16,静止,静止,静止,静止,静止,静止,平飞
17,静止,静止,静止,静止,静止,静止,平飞
18,静止,静止,静止,静止,静止,静止,平飞
19,静止,静止,静止,静止,静止,静止,平飞
20,静止,静止,静止,静止,静止,静止,平飞
21,静止,静止,静止,静止,静止,静止,平飞
22,静止,静止,静止,静止,静止,静止,平飞
23,静止,静止,静止,静止,静止,静止,平飞
24,静止,静止,静止,静止,静止,静止,平飞
25,静止,静止,静止,静止,静止,静止,平飞
26,静止,静止,静止,静止,静止,静止,平飞
27,静止,静止,静止,静止,静止,静止,平飞
28,静止,静止,静止,静止,静止,静止,平飞
29,静止,静止,静止,静止,静止,静止,平飞
30,静止,静止,静止,静止,静止,静止,平飞
31,静止,静止,静止,静止,静止,静止,平飞
32,静止,静止,静止,静止,静止,静止,平飞
33,静止,静止,静止,静止,静止,静止,平飞
34,静止,静止,静止,静止,静止,静止,平飞
35,静止,静止,静止,静止,静止,静止,平飞
36,静止,静止,静止,静止,静止,静止,平飞
37,静止,静止,静止,静止,静止,静止,平飞
38,静止,静止,静止,静止,静止,静止,平飞
39,静止,静止,静止,静止,静止,静止,平飞
40,静止,静止,静止,静止,静止,静止,平飞
41,静止,静止,静止,静止,静止,静止,平飞
42,静止,静止,静止,静止,静止,静止,平飞
43,静止,静止,静止,静止,静止,静止,平飞
44,静止,静止,静止,静止,静止,静止,平飞
45,静止,静止,静止,静止,静止,静止,平飞
46,静止,静止,静止,静止,静止,静止,平飞
47,静止,静止,静止,静止,静止,静止,平飞
48,静止,静止,静止,静止,静止,静止,平飞
49,静止,静止,静止,静止,静止,静止,平飞
50,静止,静止,静止,静止,静止,静止,平飞
51,静止,静止,静止,静止,静止,静止,平飞
52,静止,静止,静止,静止,静止,静止,平飞
53,静止,静止,静止,静止,静止,静止,平飞
54,静止,静止,静止,静止,静止,静止,平飞
55,静止,静止,静止,静止,静止,静止,平飞
56,静止,静止,静止,静止,静止,静止,平飞
57,静止,静止,静止,静止,静止,静止,平飞
58,静止,静止,静止,静止,静止,静止,平飞
59,静止,静止,静止,静止,静止,静止,平飞
60,静止,静止,静止,静止,静止,静止,平飞
61,静止,静止,静止,静止,静止,静止,平飞
62,静止,静止,静止,静止,静止,静止,平飞
63,静止,静止,静止,静止,静止,静止,平飞
64,静止,静止,静止,静止,静止,静止,平飞
65,静止,静止,静止,静止,静止,静止,平飞
66,静止,静止,静止,静止,静止,静止,平飞
67,静止,静止,静止,静止,静止,静止,平飞
68,静止,静止,静止,静止,静止,静止,平飞
69,静止,静止,静止,静止,静止,静止,平飞
70,静止,静止,静止,静止,静止,静止,平飞
71,静止,静止,静止,静止,静止,静止,平飞
72,静止,静止,静止,静止,静止,静止,平飞
73,静止,静止,静止,静止,静止,静止,平飞
74,静止,静止,静止,静止,静止,静止,平飞
75,静止,静止,静止,静止,静止,静止,平飞
76,平飞,静止,静止,静止,静止,静止,平飞
77,平飞,静止,静止,静止,静止,静止,平飞
78,平飞,静止,静止,静止,静止,静止,平飞
79,平飞,静止,静止,静止,静止,静止,平飞
80,平飞,静止,静止,静止,静止,静止,平飞
81,平飞,静止,静止,静止,静止,静止,平飞
82,平飞,静止,静止,静止,静止,静止,平飞
83,平飞,静止,静止,静止,静止,静止,平飞
84,平飞,静止,静止,静止,静止,静止,平飞
85,平飞,静止,静止,静止,静止,静止,平飞
86,平飞,静止,静止,静止,静止,静止,平飞
87,平飞,静止,静止,静止,静止,静止,平飞
88,平飞,静止,静止,静止,静止,静止,平飞
89,平飞,静止,静止,静止,静止,静止,平飞
90,平飞,静止,静止,静止,静止,静止,平飞
91,平飞,静止,静止,静止,静止,静止,平飞
92,平飞,静止,静止,静止,静止,静止,平飞
93,平飞,静止,静止,静止,静止,静止,平飞
94,平飞,平飞,静止,静止,静止,静止,平飞
95,平飞,平飞,静止,静止,静止,静止,平飞
96,平飞,平飞,静止,静止,静止,静止,平飞
97,平飞,平飞,静止,静止,静止,静止,平飞
98,平飞,平飞,静止,静止,静止,静止,平飞
99,平飞,平飞,静止,静止,静止,静止,平飞
100,平飞,平飞,静止,静止,静止,静止,平飞
101,平飞,平飞,静止,静止,静止,静止,平飞
102,平飞,平飞,静止,静止,静止,静止,平飞
103,平飞,平飞,静止,静止,静止,静止,平飞
104,平飞,平飞,静止,静止,静止,静止,平飞
105,平飞,平飞,静止,静止,静止,静止,平飞
106,平飞,平飞,静止,静止,静止,静止,平飞
107,平飞,平飞,静止,静止,静止,静止,平飞
108,平飞,平飞,静止,静止,静止,静止,平飞
109,平飞,平飞,静止,静止,静止,静止,平飞
110,平飞,平飞,静止,静止,静止,静止,平飞
111,平飞,平飞,静止,静止,静止,静止,平飞
112,平飞,平飞,静止,静止,静止,静止,平飞
