ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:59:38Z,1531990778,1DC0B,41.2206965,43.7428168,8231.83,-1.1,-1.2,319.7,562507.25,-121852.26,313.9,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,365.761293178916,259.404846191406,1.19046736612131,8231.830078125,6772.97766113281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8072.66764356445,NaN,,,0.149999856948853,1458.85241699219,NaN,NaN
2018-07-19T08:59:39Z,1531990779,1DC0B,41.2166439,43.7462742,8218.54,-0.9,-1.1,319.7,562142.44,-121500.71,313.9,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,506.803725888888,359.637145996094,1.64922447264084,8218.5390625,6714.17761230469,506.629416317801,-13.291015625,0.648068263704939,NaN,0.199987938897973,2.48423778322683,5000,0.477287113666534,0.477287113666534,0.477287113666534,12842.500828743,8059.63360972656,20902.1344384695,,,1.14999985694885,1504.36145019531,504.327202300518,505.15245740501
2018-07-19T08:59:40Z,1531990780,1DC0B,41.2105646,43.7514303,8186.38,-2.3,-3.9,319.2,561595.56,-120976.7,313.5,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,758.083382482346,515.048461914062,2.46583525970639,8186.3837890625,6497.783203125,757.401117761279,-32.1552734375,0.327529625092946,NaN,2.47695444212678,2.56000932899073,5000,4.76220417022705,4.76220417022705,4.76220417022705,28734.5207397938,8028.10005850098,36762.6207982948,,,2.14999985694885,1688.6005859375,1258.27362788862,1260.75298767187
2018-07-19T08:59:41Z,1531990781,1DC0B,41.2024636,43.7584253,8080.79,-3.8,-6.7,321.5,560865.69,-120264.57,315.7,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1025.18345225751,681.547485351562,3.329786852236,8080.7880859375,6348.63708496094,1019.73067927966,-105.595703125,0.0348512317254575,NaN,0.569200644672183,3.36752466531476,5000,6.07222604751587,6.07222604751587,6.07222604751587,52550.0555391312,7924.5460482959,60474.6015874271,,,3.14999985694885,1732.15100097656,2273.47072748535,2282.71475107968
2018-07-19T08:59:42Z,1531990782,1DC0B,41.1941864,43.7663977,7937,-4.4,-8,324.7,560110.88,-119445.19,319,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1123.30124139086,748.029968261719,3.64127197170232,7936.998046875,6513.26428222656,1114.06018848923,-143.7900390625,0.0476030084339573,NaN,0.584609551439731,3.38211117461756,5000,6.24239015579224,6.24239015579224,6.24239015579224,63090.2839455128,7783.53618963867,70873.8201351514,,,4.14999985694885,1423.73376464844,3382.73171471508,3402.63777460576
2018-07-19T08:59:43Z,1531990783,1DC0B,41.1864096,43.7747783,7767.19,-4.8,-9.1,327.5,559392,-118576.38,321.8,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1140.3737165693,765.604736328125,3.68803637066519,7767.18701171875,6415.21484375,1127.65971187289,-169.81103515625,0.0846081923647788,NaN,0.24621465920062,2.88632439135244,5000,4.87751150131226,4.87751150131226,4.87751150131226,65022.6106721044,7617.00845084717,72639.6191229515,,,5.14999985694885,1351.97216796875,4505.74326656296,4539.78237732766
2018-07-19T08:59:44Z,1531990784,1DC0B,41.1790377,43.7834883,7580.29,-4.6,-9.5,329.3,558702.25,-117667.67,323.6,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1156.03947826488,783.26806640625,3.72919980883614,7580.2890625,6361.34265136719,1140.83146515371,-186.89794921875,0.0653635859889592,NaN,0.307703437203659,1.8674053087064,5000,2.66338992118835,2.66338992118835,2.66338992118835,66821.363765347,7433.72417347656,74255.0879388236,,,6.14999985694885,1218.94641113281,5642.04202816439,5692.69802658535
2018-07-19T08:59:45Z,1531990785,1DC0B,41.1718439,43.7924339,7383.93,-4.1,-9.7,330.3,558024.38,-116731.31,324.5,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1172.53588385421,802.167419433594,3.77236935816328,7383.9296875,6343.57751464844,1155.97724665124,-196.359375,0.044330208132226,NaN,0.569242479580849,0.990747753970911,5000,1.93977844715118,1.93977844715118,1.93977844715118,68742.0199462891,7241.16140699219,75983.1813532813,,,7.14999985694885,1040.35217285156,6793.50738362603,6862.11754953351
2018-07-19T08:59:46Z,1531990786,1DC0B,41.1647284,43.8015604,7186.25,-3.4,-9.4,330.9,557350.94,-115774.18,325.2,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1186.88672180976,820.037536621094,3.80838458383975,7186.24609375,5968.71557617188,1170.30820178721,-197.68359375,0.0383077070872889,NaN,0.769192852438387,0.626834954827514,5000,2.02004981040955,2.02004981040955,2.02004981040955,70435.0045204163,7047.30002552734,77482.3045459436,,,8.14999985694885,1217.53051757812,7959.28950577915,8045.85448518458
2018-07-19T08:59:47Z,1531990787,1DC0B,41.1575996,43.8108676,6993.58,-2.7,-9,331.2,556674.69,-114797.02,325.5,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1203.85548490747,839.730224609375,3.85287220576285,6993.58154296875,5596.58349609375,1188.33850371603,-192.66455078125,0.0572752044452455,NaN,0.769239383102108,0.581068898767873,5000,2.22821760177612,2.22821760177612,2.22821760177612,72463.4014270902,6858.36064383545,79321.7620709256,,,9.14999985694885,1396.998046875,9143.11511604661,9246.55432862603
2018-07-19T08:59:48Z,1531990788,1DC0B,41.1504576,43.8202824,6810.91,-2.1,-8.4,331.4,555996.31,-113807.98,325.6,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1213.1669087061,854.129638671875,3.87322766007724,6810.91357421875,5540.07727050781,1199.33580017119,-182.66796875,0.0908047465899184,NaN,0.569200644672183,0.583924344727762,5000,2.01806116104126,2.01806116104126,2.01806116104126,73588.6974189758,6679.22456026123,80267.9219792371,,,10.1499998569489,1270.83630371094,10337.8997359618,10456.5002664244
2018-07-19T08:59:49Z,1531990789,1DC0B,41.143622,43.8294539,6641.63,-1.7,-8.1,332.3,555345.44,-112843.48,326.6,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1175.81450590178,836.278991699219,3.74554999283664,6641.6318359375,5340.30493164062,1163.56497256214,-169.28173828125,0.0673389929882379,NaN,0.353824716460994,0.853084063949687,5000,2.7084014415741,2.7084014415741,2.7084014415741,69126.9876144528,6513.21588438965,75640.2034988425,,,11.1499998569489,1301.32690429688,11497.1033358817,11629.2086634267
2018-07-19T08:59:50Z,1531990790,1DC0B,41.1374131,43.83822,6483.4,-1.9,-8.5,333.7,554749.56,-111918.98,328,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1111.22370775452,798.814880371094,3.53240303682208,6483.40283203125,5340.3037109375,1099.90077325118,-158.22900390625,0.0712572706349482,NaN,0.369212705774209,1.35442203010189,5000,2.64137744903564,2.64137744903564,2.64137744903564,61740.906433785,6358.04623827393,68098.9526720589,,,12.1499998569489,1143.09912109375,12592.9395838713,12737.525366604
2018-07-19T08:59:51Z,1531990791,1DC0B,41.1318305,43.8465797,6319.46,-2.2,-9.5,334.7,554208.69,-111034.62,329,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1049.53024456731,762.883544921875,3.32910036008774,6319.46240234375,5306.07965087891,1036.64712886082,-163.9404296875,0.0283921261074071,NaN,0.230751110919711,1.39787686754027,5000,1.57915663719177,1.57915663719177,1.57915663719177,55075.6867130756,6197.27559679443,61272.9623098701,,,13.1499998569489,1013.38275146484,13625.8473103435,13784.3861504144
2018-07-19T08:59:52Z,1531990792,1DC0B,41.1266865,43.8545411,6146.64,-2.3,-10.5,335.1,553707.56,-110190.98,329.4,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,996.348055834033,732.513244628906,3.15326012466299,6146.64208984375,4962.24060058594,981.245426971082,-172.8203125,0.0441732727994581,NaN,0,0.994198600327354,5000,0.51822954416275,0.51822954416275,0.51822954416275,49635.4724182129,6027.79676503662,55663.2691832495,,,14.1499998569489,1184.40148925781,14603.5943207916,14778.2299389186
