ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T09:02:09Z,1531990929,3610B,41.1609916,43.9320192,1450.72,-71.9,0.9,292.2,555609.75,-101309.27,286.5,Weapon+Missile,Blue,Enemies,R-77,,cn,,270.393284473821,254.746505737305,0.807611251864838,1450.71606445312,549.010192871094,NaN,NaN,8.45556871098922,NaN,16.2461650163873,2.44340821369562,NaN,NaN,NaN,NaN,NaN,1422.66646934692,NaN,,,0.789999961853027,901.705871582031,NaN,NaN
2018-07-19T09:02:10Z,1531990930,3610B,41.1574436,43.9334741,1437.46,-63.7,-1.5,293.1,555308.75,-101175.97,287.3,Weapon+Missile,Blue,Enemies,R-77,,cn,,329.461536705165,311.890777587891,0.983884564532474,1437.45532226562,528.921447753906,329.194557799435,-13.2607421875,5.14444093490993,NaN,5.75386063984546,1.99435077773343,5000,0.375850588083267,0.375850588083267,0.375850588083267,5427.24520840645,1409.66212360962,6836.90733201607,,,1.78999996185303,908.533874511719,327.316887410355,327.659444289136
2018-07-19T09:02:11Z,1531990931,3610B,41.1525599,43.9353036,1412.29,-56.3,-3.5,299.5,554896.5,-101011.67,293.8,Weapon+Missile,Blue,Enemies,R-77,,cn,,444.495924242138,420.570190429688,1.32702797256476,1412.29382324219,476.493286132812,443.783196656617,-25.1614990234375,0.174403084626242,NaN,7.5230982009322,5.58053391748581,5000,3.37298607826233,3.37298607826233,3.37298607826233,9878.8313333936,1384.9871221698,11263.8184555634,,,2.78999996185303,935.800537109375,768.618524851385,769.776237574389
2018-07-19T09:02:12Z,1531990932,3610B,41.1466116,43.9379069,1372.76,-48.8,-4.5,301.9,554390.12,-100769.9,296.1,Weapon+Missile,Blue,Enemies,R-77,,cn,,562.523903050647,528.164733886719,1.67862490580189,1372.75769042969,427.884399414062,561.132814675426,-39.5361328125,0.0620076005516189,NaN,7.29234025982332,2.97398986934955,5000,0.231242895126343,0.231242895126343,0.231242895126343,15821.6570751667,1346.21542048523,17167.8724956519,,,3.78999996185303,944.873291015625,1326.60562617621,1329.28376973163
2018-07-19T09:02:13Z,1531990933,3610B,41.1394015,43.9410967,1314.39,-41.6,-4.7,300.9,553776.12,-100472.95,295.2,Weapon+Missile,Blue,Enemies,R-77,,cn,,684.528329179086,639.902709960938,2.04131375587242,1314.39233398438,347.308837890625,682.035569905062,-58.3653564453125,0.301938545184866,NaN,7.43078819429948,0.746460488776704,5000,3.17724967002869,3.17724967002869,3.17724967002869,23428.9516724356,1288.97855820679,24717.9302306423,,,4.78999996185303,967.08349609375,2004.92661079177,2010.25347878377
2018-07-19T09:02:14Z,1531990934,3610B,41.1310754,43.94483,1267.92,-34.4,-2.9,306.3,553066.56,-100124.48,300.6,Weapon+Missile,Blue,Enemies,R-77,,cn,,791.876672911288,739.006408691406,2.36016207241338,1267.92456054688,302.098449707031,790.512119535692,-46.4677734375,1.0930422213272,NaN,5.29231743687102,3.28648959345444,5000,8.55025672912598,8.55025672912598,8.55025672912598,31353.4332550526,1243.4092391687,32596.8424942213,,,5.78999996185303,965.826110839844,2791.10765619515,2797.96545520831
2018-07-19T09:02:15Z,1531990935,3610B,41.122429,43.9496491,1221.82,-29.4,-3.1,308.1,552319.44,-99657.85,302.4,Weapon+Missile,Blue,Enemies,R-77,,cn,,882.081347717537,823.238159179688,2.62761020452185,1221.82080078125,241.785034179688,880.875670754199,-46.103759765625,0.0581555813901669,NaN,4.90769582432926,3.87953293441526,5000,0.938409447669983,0.938409447669983,0.938409447669983,38903.3751995593,1198.19689559814,40101.5720951575,,,6.78999996185303,980.035766601562,3667.48073609196,3675.72121068418
2018-07-19T09:02:16Z,1531990936,3610B,41.1135122,43.9546919,1170.81,-25,-3.3,308.1,551548.25,-99168.42,302.4,Weapon+Missile,Blue,Enemies,R-77,,cn,,914.807747131123,855.294921875,2.72348996801586,1170.81457519531,154.328369140625,913.384683012912,-51.0062255859375,0.0276535152921597,NaN,4.21539809534052,0.229211276787843,5000,0.705993592739105,0.705993592739105,0.705993592739105,41843.6607105561,1148.17687538391,42991.83758594,,,7.78999996185303,1016.48620605469,4576.21053187814,4586.05152711137
2018-07-19T09:02:17Z,1531990937,3610B,41.1053735,43.9592955,1121.53,-21.3,-3.5,308.1,550844.5,-98721.56,302.4,Weapon+Missile,Blue,Enemies,R-77,,cn,,835.090482170739,783.611206054688,2.48474643515135,1121.5322265625,70.834716796875,833.635030169313,-49.2823486328125,0.0398120702181117,NaN,3.6769333019334,0.200525442769142,5000,0.743203401565552,0.743203401565552,0.743203401565552,34868.8056706078,1099.84740096191,35968.6530715698,,,8.78999996185303,1050.69750976562,5405.65468687457,5417.10726669146
2018-07-19T09:02:18Z,1531990938,3610B,41.0979367,43.9635021,1074.14,-18.1,-3.7,308.1,550201.44,-98313.18,302.4,Weapon+Missile,Blue,Enemies,R-77,,cn,,763.250890731067,718.951171875,2.26975098175125,1074.14001464844,58.8704833984375,761.778117598333,-47.3922119140625,0.0600938101604149,NaN,3.07694899467197,0.200769248505999,5000,0.75816011428833,0.75816011428833,0.75816011428833,29127.5961100884,1053.37151746521,30180.9676275536,,,9.78999996185303,1015.26953125,6163.52918727679,6176.59230614649
