ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T09:02:37Z,1531990957,3AA07,40.9740434,43.8834843,4428.49,125.2,-1.9,51,541123.06,-108177.88,45.4,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,300.465989325329,249.831100463867,0.930259106298156,4428.494140625,2996.43322753906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4342.86920641602,NaN,,,0.279999971389771,1432.06091308594,NaN,NaN
2018-07-19T09:02:38Z,1531990958,3AA07,40.9768105,43.8854113,4429.62,102,2.6,50.6,541324.56,-107942.2,45,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,310.078114876683,258.365478515625,0.96003231661402,4429.6220703125,2853.95971679688,310.076063410412,1.1279296875,4.87924269485138,NaN,21.1230976686948,3.09173965695231,5000,1.38998055458069,1.38998055458069,1.38998055458069,4807.42186627388,4343.97532758301,9151.39719385689,,,1.27999997138977,1575.66235351562,308.709995890041,308.926427086407
2018-07-19T09:02:39Z,1531990959,3AA07,40.9806112,43.8879944,4439.19,86.1,0.4,48.8,541602.12,-107625.54,43.2,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,421.199086077888,355.108306884766,1.30422991462434,4439.19287109375,2787.44091796875,421.090334590161,9.57080078125,0.903401221815367,NaN,14.8000363841771,2.3279047733983,5000,2.15638971328735,2.15638971328735,2.15638971328735,8870.43350564242,4353.36107693115,13223.7945825736,,,2.27999997138977,1651.751953125,727.832845293337,728.449858132445
2018-07-19T09:02:40Z,1531990960,3AA07,40.9855527,43.8912557,4418.92,74.5,-5.1,46.4,541963.88,-107224.59,40.8,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,540.405053469123,449.090942382812,1.67292313121112,4418.916015625,2778.75329589844,540.024509580135,-20.27685546875,0.194011033102537,NaN,10.4769091301526,6.0370957781212,4065.09568844086,7.24051189422607,7.24051189422607,7.24051189422607,14601.8810907483,4333.47627446289,18935.3573652112,,,3.27999997138977,1640.16271972656,1265.39063024416,1266.76295340627
2018-07-19T09:02:41Z,1531990961,3AA07,40.991125,43.8953185,4315.22,66.8,-13.8,42.9,542367.69,-106729.62,37.3,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,647.151059680424,532.895690917969,2.0007820487949,4315.21630859375,2719.29711914062,638.788591638211,-103.69970703125,0.0581527652165282,NaN,6.7076828970594,8.7926425374354,4066.67215401018,10.2335348129272,10.2335348129272,10.2335348129272,20940.2247022748,4231.78160126709,25172.0063035419,,,4.27999997138977,1595.91918945312,1901.29102978594,1911.49303231825
2018-07-19T09:02:42Z,1531990962,3AA07,40.9967709,43.9000337,4095.43,59.2,-19.1,39.5,542770.25,-106161.59,33.9,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,730.090672152954,602.365356445312,2.25104184283072,4095.4267578125,2405.0244140625,696.221906386268,-219.78955078125,0.139666272303752,NaN,9.39997954333835,5.9079155565751,5000,3.08853554725647,3.08853554725647,3.08853554725647,26651.6194782376,4016.2416814502,30667.8611596878,,,5.27999997138977,1690.40234375,2594.55012232975,2639.19461076274
2018-07-19T09:02:43Z,1531990963,3AA07,41.0025077,43.9052171,3836.91,49.8,-19.3,38,543175.06,-105540.77,32.4,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,784.934138252944,652.716369628906,2.41241315564789,3836.91064453125,2240.0615234375,741.141700735323,-258.51611328125,0.517301129950253,NaN,9.10770208837516,2.75788140334988,5000,3.81146502494812,3.81146502494812,3.81146502494812,30806.0800697446,3762.72397721924,34568.8040469638,,,6.27999997138977,1596.84912109375,3332.56917449885,3421.61413272952
2018-07-19T09:02:44Z,1531990964,3AA07,41.0081969,43.9108871,3562.11,41.7,-19.1,36.4,543570.56,-104866.23,30.8,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,828.817631456999,696.251281738281,2.53869991770704,3562.10986328125,2055.62573242188,781.935545194346,-274.80078125,0.3381473844417,NaN,10.4615548648984,0.916935180271052,5000,2.09913516044617,2.09913516044617,2.09913516044617,34346.9333106995,3493.23646907471,37840.1697797742,,,7.27999997138977,1506.48413085938,4111.40073606429,4247.93001780343
2018-07-19T09:02:45Z,1531990965,3AA07,41.0143379,43.9168504,3280.04,34.2,-18.7,36.5,543999.06,-104155.55,30.8,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,876.494984381345,744.410522460938,2.67551360107401,3280.0361328125,1912.0263671875,829.866174889119,-282.07373046875,0.0486992084200659,NaN,6.58463020897245,0.655523616971419,5000,1.59072685241699,1.59072685241699,1.59072685241699,38412.1728822827,3216.61663418457,41628.7895164673,,,8.27999997138977,1368.009765625,4937.95386946387,5121.70845658655
2018-07-19T09:02:46Z,1531990966,3AA07,41.0206525,43.9231211,2989.34,28.6,-18.4,35.5,544438.19,-103409.29,29.9,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,913.364875059737,785.290100097656,2.77825674846772,2989.34057617188,1739.5029296875,865.870364628727,-290.695556640625,0.0269108314334965,NaN,5.5077006221582,1.03867689892418,5000,2.46102142333984,2.46102142333984,2.46102142333984,41711.7697496444,2931.54167613159,44643.311425776,,,9.27999997138977,1249.83764648438,5800.30813885483,6032.14238932268
