Order,Missile_R,Launcher_R,Target_R
1,10606,106,10F
2,1A009,109,108
3,1DA04,104,10A
4,1F506,106,10B
5,1F80E,10E,108
6,26509,109,10A
7,27B06,106,10A
8,2AF04,104,10B
9,2BC09,109,10A DE DA-P
10,30C,10C,10A
11,34A09,109,10B DA-P
12,36009,109,10B DE DA-P
13,3AA04,104,107
14,3AB06,106,107
15,3E304,104,107
16,3E70E,10E,108 DA-P
17,3EB0C,10C,108 DE DA-P
18,40406,106,108 DE DA-P LOST
19,40E06,106,10F
20,4820D,10D,107
21,49606,106,10F
22,49E0C,10C,107
23,4A306,106,10F DA-P
24,4A406,106,10F DE DA-P
25,4DC0C,10C,107 DE DA-P
26,4DD0E,10E,107
27,4DE0E,10E,202
28,AE0E,10E,10F
29,B0E,10E,10F
