ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:59:41Z,1531990781,1DA04,40.8622695,44.0532302,3148.25,-57,4.6,141.9,530332.94,-90184.82,136.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,261.748371182466,228.851348876953,0.797713449386418,3148.25,2450.97253417969,NaN,NaN,4.3282699763014,NaN,12.6461772105486,3.00635547513361,NaN,NaN,NaN,NaN,NaN,3087.37858625,NaN,,,0.779999971389771,697.277465820312,NaN,NaN
2018-07-19T08:59:42Z,1531990782,1DA04,40.8649786,44.0504756,3145.78,-46.4,2.4,140.7,530579.38,-90470.02,135.2,Weapon+Missile,Red,Allies,R-27ER,,xu,,376.926938382892,334.866058349609,1.14870124939882,3145.7783203125,2446.79815673828,376.918834337345,-2.4716796875,2.27661810499805,NaN,9.59998797280383,2.6866877803099,3115.88702892647,5.96694469451904,5.96694469451904,5.96694469451904,7103.69584393501,3084.95469648926,10188.6505404243,,,1.77999997138977,698.980163574219,375.505741653568,375.699149152586
2018-07-19T08:59:43Z,1531990783,1DA04,40.8700668,44.0463714,3168.68,-39.4,3.3,135,531030.94,-90886.82,129.5,Weapon+Missile,Red,Allies,R-27ER,,xu,,614.946656081938,533.7626953125,1.87459711110593,3168.68139648438,2452.7880859375,614.52000693893,22.903076171875,0.230561914361288,NaN,6.38462860969614,5.01586979908299,5000,9.31590938568115,9.31590938568115,9.31590938568115,18907.9694913179,3107.41494168335,22015.3844330012,,,2.77999997138977,715.893310546875,987.455911542996,988.380467112711
2018-07-19T08:59:44Z,1531990784,1DA04,40.8779769,44.0412186,3243.41,-34.8,5.9,130.7,531719.94,-91398.35,125.2,Weapon+Missile,Red,Allies,R-27ER,,xu,,861.376831087928,733.269409179688,2.62819513578376,3243.4130859375,2532.10168457031,858.128906241109,74.731689453125,0.459109129950099,NaN,5.10771108398392,3.43239267940967,5000,0.850423276424408,0.850423276424408,0.850423276424408,37098.502256754,3180.7016939209,40279.2039506749,,,3.77999997138977,711.311401367188,1841.64514518209,1846.2602841519
2018-07-19T08:59:45Z,1531990785,1DA04,40.8871794,44.0353612,3322.19,-27.4,2.9,132.2,532520.06,-91978.12,126.6,Weapon+Missile,Red,Allies,R-27ER,,xu,,991.233036181635,836.999572753906,3.02730518562714,3322.18920898438,2599.42260742188,988.097795997727,78.776123046875,0.0756992699881975,NaN,7.29234025982332,1.95508081854385,5000,5.63506126403809,5.63506126403809,5.63506126403809,49127.1466008931,3257.95468062866,52385.1012815218,,,4.77999997138977,722.7666015625,2825.25954180163,2833.52881342267
2018-07-19T08:59:46Z,1531990786,1DA04,40.8961737,44.029299,3343.62,-21,-0.5,134.4,533305.88,-92582.17,128.8,Weapon+Missile,Red,Allies,R-27ER,,xu,,991.379419961721,836.263061523438,3.02854230986793,3343.619140625,2623.12261962891,991.147775235114,21.429931640625,0.0995884874052878,NaN,6.2461772601254,3.90589063442234,5000,6.64595317840576,6.64595317840576,6.64595317840576,49141.6577161819,3278.97026454102,52420.6279807229,,,5.77999997138977,720.496520996094,3811.95364015105,3820.97107867888
2018-07-19T08:59:47Z,1531990787,1DA04,40.9047774,44.0228961,3312.28,-16.2,-2.9,137.7,534064.19,-93227.04,132.1,Weapon+Missile,Red,Allies,R-27ER,,xu,,995.928411908783,841.255920410156,3.04127861460733,3312.28442382812,2559.80944824219,995.435350573009,-31.334716796875,0.0296376954613143,NaN,4.41538261914391,4.12139377490682,5000,6.84938144683838,6.84938144683838,6.84938144683838,49593.6700823575,3248.24140449341,52841.9114868509,,,6.77999997138977,752.474975585938,4803.06158086542,4813.09110959349
2018-07-19T08:59:48Z,1531990788,1DA04,40.912791,44.0161241,3247.22,-12.9,-4.3,141.7,534779.25,-93917.39,136.1,Weapon+Missile,Red,Allies,R-27ER,,xu,,996.059009368519,843.982849121094,3.03927189645625,3247.21606445312,2412.19421386719,993.93141551741,-65.068359375,0.0828802305218138,NaN,2.90768153911342,4.10165922396053,5000,7.3705587387085,7.3705587387085,7.3705587387085,49606.6775072098,3184.43114184692,52791.1086490567,,,7.77999997138977,835.021850585938,5792.91173593019,5805.58551468711
2018-07-19T08:59:49Z,1531990789,1DA04,40.9201007,44.0089476,3171.52,-10.9,-4.1,145.8,535442.44,-94658.07,140.2,Weapon+Missile,Red,Allies,R-27ER,,xu,,997.072987418059,847.877197265625,3.03957160575589,3171.51611328125,2319.12908935547,994.195181858848,-75.699951171875,0.101212892808496,NaN,1.73846585132854,3.91838347730111,5000,6.69238948822021,6.69238948822021,6.69238948822021,49707.7271119386,3110.19484923096,52817.9219611696,,,8.77999997138977,852.387023925781,6783.20903104471,6799.26876107253
2018-07-19T08:59:50Z,1531990790,1DA04,40.9267316,44.0014895,3105.48,-9.4,-3.5,148.7,536054.31,-95435.27,143.2,Weapon+Missile,Red,Allies,R-27ER,,xu,,991.354995535329,845.794372558594,3.01972292345583,3105.47705078125,2166.43988037109,989.152955511418,-66.0390625,0.100854099717409,NaN,1.49230583364128,2.94464652290153,5000,4.61474990844727,4.61474990844727,4.61474990844727,49139.2363586426,3045.43265200439,52184.669010647,,,9.77999997138977,939.037170410156,7768.69563754839,7787.44942644874
2018-07-19T08:59:51Z,1531990791,1DA04,40.9329868,43.9937894,3050.76,-8.2,-2.5,150.8,536638.75,-96242.23,145.2,Weapon+Missile,Red,Allies,R-27ER,,xu,,997.871538969296,853.435852050781,3.03756079806606,3050.75537109375,2107.45495605469,996.369984522381,-54.7216796875,0.044027292675109,NaN,0.969227748886904,2.52971381148372,5000,5.21828079223633,5.21828079223633,5.21828079223633,49787.3804142475,2991.76901599365,52779.1494302412,,,10.7799999713898,943.300415039062,8761.49744457388,8782.23658100303
2018-07-19T08:59:52Z,1531990792,1DA04,40.9385937,43.9862372,3023.02,-7.5,-0.8,152.8,537169.75,-97037.74,147.3,Weapon+Missile,Red,Allies,R-27ER,,xu,,956.857000140573,820.312622070312,2.91173459396642,3023.02075195312,2079.94439697266,956.454969990297,-27.734619140625,0.12475075023837,NaN,0.846115296644717,2.5345497988595,5000,4.62613391876221,4.62613391876221,4.62613391876221,45778.7659359008,2964.57064571411,48743.3365816149,,,11.7799999713898,943.076354980469,9714.61721990705,9736.21341950493
2018-07-19T08:59:53Z,1531990793,1DA04,40.9435724,43.9790834,3024.43,-6.9,1,153.7,537646.12,-97793.85,148.1,Weapon+Missile,Red,Allies,R-27ER,,xu,,893.664647606318,767.600280761719,2.71948520666838,3024.42602539062,2050.94165039062,893.663542720576,1.4052734375,0.0555334559001483,NaN,0.661553339987218,1.84047301903539,5000,3.58211445808411,3.58211445808411,3.58211445808411,39931.8251190662,2965.9487481897,42897.7738672559,,,12.7799999713898,973.484375,10605.2475336191,10627.267068036
2018-07-19T08:59:54Z,1531990794,1DA04,40.9481621,43.9724247,3049.89,-6.3,2.6,153.3,538086.06,-98497.96,147.7,Weapon+Missile,Red,Allies,R-27ER,,xu,,830.640370076776,714.38818359375,2.52847598375447,3049.88989257812,2113.11145019531,830.249971917579,25.4638671875,0.397608135912732,NaN,0.569242479580849,2.77361196933865,5000,6.27760076522827,6.27760076522827,6.27760076522827,34498.1712200642,2990.92027150513,37489.0914915693,,,13.7799999713898,936.778442382812,11432.6662761321,11455.4713599852
2018-07-19T08:59:55Z,1531990795,1DA04,40.9527909,43.9664708,3110.65,-6.9,6.4,148.3,538521.62,-99123.44,142.7,Weapon+Missile,Red,Allies,R-27ER,,xu,,764.609680910986,657.949096679688,2.3291899922909,3110.65454101562,2241.96398925781,762.191328764023,60.7646484375,0.393139870412251,NaN,0.353858440520021,3.73611518354427,5000,5.18049097061157,5.18049097061157,5.18049097061157,29231.39820714,3050.51003546509,32281.9082426051,,,14.7799999713898,868.690551757812,12192.1529403864,12217.7505816363
2018-07-19T08:59:56Z,1531990796,1DA04,40.9574299,43.961115,3191.45,-5.8,6.6,148,538951.62,-99682.36,142.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,709.804416895347,610.695922851562,2.16435831960192,3191.45458984375,2350.97778320312,705.190514934451,80.800048828125,0.046779641803381,NaN,1.13844824689491,1.50223031194872,5000,1.08494222164154,1.08494222164154,1.08494222164154,25191.1155122072,3129.74781534912,28320.8633275563,,,15.7799999713898,840.476806640625,12894.7247951839,12925.2982499098
2018-07-19T08:59:57Z,1531990797,1DA04,40.9618114,43.9560691,3268.46,-4.8,6.6,148,539357.69,-100208.85,142.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,669.336392408027,575.700500488281,2.04287157764281,3268.4638671875,2427.18933105469,664.891553115833,77.00927734375,0.0509641383173596,NaN,1.12305556182664,0.0139882274201861,5000,1.00969219207764,1.00969219207764,1.00969219207764,22400.5603100896,3205.26811831543,25605.828428405,,,16.7799999713898,841.274536132812,13557.1456627789,13592.5136386129
2018-07-19T08:59:58Z,1531990798,1DA04,40.9659649,43.9512849,3341.64,-4,6.6,148,539742.69,-100708.02,142.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,634.621787809583,545.776489257812,1.93864490606918,3341.64208984375,2463.43395996094,630.388579601109,73.17822265625,0.0570354767623822,NaN,0.769238956215285,0.0139882274201861,5000,1.0040363073349,1.0040363073349,1.0040363073349,20137.2406781316,3277.03144003662,23414.2721181682,,,17.7799999713898,878.208129882812,14185.1780943598,14225.1183042677
2018-07-19T08:59:59Z,1531990799,1DA04,40.9698937,43.9467583,3410.99,-3.4,6.6,148,540106.88,-101180.3,142.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,600.415630841095,516.588806152344,1.83570272216039,3410.9921875,2436.75122070312,596.397093984686,69.35009765625,0.0627740210023332,NaN,0.569221562126516,0.0139882274201861,5000,1.00200998783112,1.00200998783112,1.00200998783112,18024.9464879155,3345.04065355469,21369.9871414702,,,18.7799999713898,974.240966796875,14779.3706778082,14823.6566543315
