ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T09:01:28Z,1531990888,2AF04,41.0710154,44.0481786,1496.12,20.5,5,168.1,547114.19,-89118.42,162.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,303.207288037376,285.808898925781,0.906099274017628,1496.123046875,174.011840820312,NaN,NaN,1.12375075235943,NaN,4.61540470898774,0.880165725799622,NaN,NaN,NaN,NaN,NaN,1467.19550776367,NaN,,,0.629999876022339,1322.11120605469,NaN,NaN
2018-07-19T09:01:29Z,1531990889,2AF04,41.072351,44.0438562,1531.63,16.7,5,167.6,547268.56,-89588.1,161.9,Weapon+Missile,Red,Allies,R-27ER,,xu,,495.672335473071,464.898193359375,1.48187162225591,1531.62536621094,271.6796875,494.399281426559,35.5023193359375,1.55780323872289,NaN,3.53847512217349,1.53462248408751,5000,2.63242173194885,2.63242173194885,2.63242173194885,12284.5532076664,1502.01138975525,13786.5645974217,,,1.62999987602234,1259.94567871094,492.897571656658,494.291183122987
2018-07-19T09:01:30Z,1531990890,2AF04,41.0746374,44.0374551,1571.13,14.1,2.8,165.3,547521.94,-90281.21,159.6,Weapon+Missile,Red,Allies,R-27ER,,xu,,739.02662600273,681.718688964844,2.21042709581045,1571.13305664062,341.520385742188,737.969847851449,39.5076904296875,0.0946811290786197,NaN,2.87693031992273,1.75464005944825,5000,0.703589618206024,0.703589618206024,0.703589618206024,27308.0176970489,1540.75519899048,28848.7728960394,,,2.62999987602234,1229.61267089844,1228.57967399254,1231.212030568
2018-07-19T09:01:31Z,1531990891,2AF04,41.0775559,44.0293167,1617.55,11.4,2.9,165.7,547845.06,-91162.33,160,Weapon+Missile,Red,Allies,R-27ER,,xu,,939.644465514197,860.416381835938,2.81199875873955,1617.54919433594,356.034423828125,938.497343487402,46.4161376953125,0.0343523368648529,NaN,2.50771761414852,0.189745896814767,5000,1.44493496417999,1.44493496417999,1.44493496417999,44146.586078573,1586.27388066345,45732.8599592365,,,3.62999987602234,1261.51477050781,2164.16606631764,2168.18269070926
2018-07-19T09:01:32Z,1531990892,2AF04,41.0804711,44.0210406,1668.52,9.3,3.2,165.9,548169.5,-92058.77,160.2,Weapon+Missile,Red,Allies,R-27ER,,xu,,954.703040421238,871.933532714844,2.8587667556855,1668.51989746094,351.373779296875,953.341430345131,50.970703125,0.0512561186094729,NaN,1.98457976523891,0.236976268059222,5000,1.29946887493134,1.29946887493134,1.29946887493134,45572.8947694778,1636.25906524353,47209.1538347214,,,4.62999987602234,1317.14611816406,3114.54687770586,3120.17381855165
2018-07-19T09:01:33Z,1531990893,2AF04,41.0834118,44.0127674,1722.29,7.5,3.3,164.9,548495.94,-92954.68,159.2,Weapon+Missile,Red,Allies,R-27ER,,xu,,955.04694323991,870.080261230469,2.86159745137699,1722.28991699219,411.158569335938,953.53209111781,53.77001953125,0.169911833721452,NaN,1.64613023148643,1.45105864140869,5000,4.42356824874878,4.42356824874878,4.42356824874878,45605.7331895948,1688.98944144714,47294.7226310419,,,5.62999987602234,1311.13134765625,4065.12435133015,4072.52311994698
2018-07-19T09:01:34Z,1531990894,2AF04,41.0868383,44.004683,1767.35,6.4,2.1,161,548859.31,-93825.76,155.3,Weapon+Missile,Red,Allies,R-27ER,,xu,,944.906820463789,859.206176757812,2.83271046627404,1767.34997558594,558.791748046875,943.831812601438,45.06005859375,0.258981642083298,NaN,0.969231163981489,2.75404155637586,5000,4.12040996551514,4.12040996551514,4.12040996551514,44642.4449679494,1733.17826380798,46375.6232317574,,,6.62999987602234,1208.55822753906,5005.96445208937,5014.69872709474
2018-07-19T09:01:35Z,1531990895,2AF04,41.0907201,43.9967175,1792.42,5.5,1.2,161.1,549258,-94680.02,155.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,943.046507151525,856.552307128906,2.8279651159161,1792.42150878906,635.326293945312,942.713176355107,25.071533203125,0.0909692952177722,NaN,0.969231163981489,1.17029507111715,5000,0.855031073093414,0.855031073093414,0.855031073093414,44466.8357325345,1757.76503891663,46224.6007714512,,,7.62999987602234,1157.09521484375,5945.58642799335,5954.91724806631
2018-07-19T09:01:36Z,1531990896,2AF04,41.0945289,43.9887106,1812.39,4.5,1.2,161.1,549651.38,-95539.42,155.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,945.368635124796,857.833557128906,2.83559323015283,1812.39306640625,711.360473632812,945.157655189896,19.9715576171875,0.0322748599248573,NaN,0.969231163981489,0.254686468329389,5000,0.972488105297089,0.972488105297089,0.972488105297089,44686.092813886,1777.35044646729,46463.4432603532,,,8.62999987602234,1101.03259277344,6887.65408890811,6897.4627413017
2018-07-19T09:01:37Z,1531990897,2AF04,41.0983546,43.9806593,1832.2,3.7,1.2,161.1,550046.69,-96403.62,155.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,950.532176458616,861.648498535156,2.85174433833075,1832.20227050781,749.406127929688,950.325740952025,19.8092041015625,0.0323211541360809,NaN,0.769243225083516,0.00989117029631303,5000,0.985476315021515,0.985476315021515,0.985476315021515,45175.5709241577,1796.77663960754,46972.3475637652,,,9.62999987602234,1082.79614257812,7834.85659785865,7845.14293239859
2018-07-19T09:01:38Z,1531990898,2AF04,41.1020936,43.972789,1851.42,3,1.2,161.1,550433.06,-97248.4,155.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,929.13790227918,841.851440429688,2.78818771943403,1851.42309570312,766.326416015625,928.939072991639,19.2208251953125,0.037603090373778,NaN,0.569255286185543,0.00989117029631303,5000,0.9890016913414,0.9890016913414,0.9890016913414,43164.8620725878,1815.62583014771,44980.4879027355,,,10.6299998760223,1085.0966796875,8760.76146888447,8771.51459983009
2018-07-19T09:01:39Z,1531990899,2AF04,41.1055825,43.9654435,1869.24,2.5,1.2,161.1,550793.75,-98036.84,155.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,867.206222240558,786.203369140625,2.6028861174139,1869.24072265625,768.086669921875,867.023162356404,17.817626953125,0.0409329509941799,NaN,0.569255286185543,0.00989117029631303,5000,0.993565678596497,0.993565678596497,0.993565678596497,37602.331594637,1833.09895328369,39435.4305479207,,,11.6299998760223,1101.15405273438,9624.91261758578,9636.10141291186
2018-07-19T09:01:40Z,1531990900,2AF04,41.1088262,43.958613,1885.72,2,1.2,161.1,551129.06,-98769.99,155.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,806.364821763179,731.798645019531,2.42074208853255,1885.72302246094,842.432983398438,806.196352987479,16.4822998046875,0.0446878657665049,NaN,0.399975877795947,0.00989117029631303,5000,0.994815409183502,0.994815409183502,0.994815409183502,32511.2112888582,1849.26256782166,34360.4738566799,,,12.6299998760223,1043.2900390625,10428.4833498196,10440.0776553159
2018-07-19T09:01:41Z,1531990901,2AF04,41.111855,43.9522335,1901.04,1.6,1.2,161.1,551442.25,-99454.73,155.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,753.122121154548,684.351013183594,2.26131261092841,1901.04150390625,911.976318359375,752.96631631072,15.3184814453125,0.0476454413939207,NaN,0.369212705774209,0.00989117029631303,5000,0.997914254665375,0.997914254665375,0.997914254665375,28359.6464686163,1864.28486642822,30223.9313350445,,,13.6299998760223,989.065185546875,11178.9726929807,11190.9460576247
2018-07-19T09:01:42Z,1531990902,2AF04,41.1146843,43.9462735,1915.3,1.3,1.2,161.1,551734.88,-100094.45,155.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,703.607070108132,640.389038085938,2.11299408707428,1915.30456542969,954.446350097656,703.462489534537,14.2630615234375,0.0499385182444451,NaN,0.307686361730734,0.00989117029631303,5000,0.997521698474884,0.997521698474884,0.997521698474884,24753.1454553075,1878.2721516571,26631.4176069646,,,14.6299998760223,960.858215332031,11880.1204534067,11892.4485976705
