ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T09:01:30Z,1531990890,2BC09,40.9774534,44.0082891,2639.74,-49.4,-12.9,145.7,540048.5,-94285.06,140.1,Weapon+Missile,Red,Allies,R-27ER,,xu,,277.652235907754,248.813568115234,0.841015050643961,2639.73608398438,1694.63507080078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2588.69678680054,NaN,,,0.460000038146973,945.101013183594,NaN,NaN
2018-07-19T09:01:31Z,1531990891,2BC09,40.9794912,44.0058727,2543.5,-40.1,-14.9,146.3,540238,-94537.63,140.7,Weapon+Missile,Red,Allies,R-27ER,,xu,,330.096753279564,299.044372558594,0.998720611306954,2543.49755859375,1605.11193847656,315.756255292508,-96.238525390625,2.75602309759432,NaN,8.81538365227696,6.89915656300511,5000,2.86724019050598,2.86724019050598,2.86724019050598,5448.19332628548,2494.31903329834,7942.51235958382,,,1.46000003814697,938.385620117188,314.612994578186,329.125575239751
2018-07-19T09:01:32Z,1531990892,2BC09,40.9832904,44.0019755,2390.13,-33.2,-14.4,141.4,540584.81,-94940.95,135.8,Weapon+Missile,Red,Allies,R-27ER,,xu,,553.590688233518,499.209197998047,1.67185013252311,2390.12622070312,1407.28149414062,531.920936617934,-153.371337890625,0.0969932369319564,NaN,6.16922493384145,3.9281519284747,4239.56866788901,9.44102764129639,9.44102764129639,9.44102764129639,15323.132504943,2343.91313022583,17667.0456351688,,,2.46000003814697,982.8447265625,844.477994530362,880.93795171034
2018-07-19T09:01:33Z,1531990893,2BC09,40.9897458,43.9968016,2215.08,-30.5,-9.8,135.1,541158.62,-95465.32,129.5,Weapon+Missile,Red,Allies,R-27ER,,xu,,796.787492730537,712.744812011719,2.4013097974251,2215.08227539062,1294.58239746094,777.322279226094,-175.0439453125,0.50649650180925,NaN,0.615379553650639,5.90819089857602,5000,9.53593444824219,9.53593444824219,9.53593444824219,31743.5154285908,2172.25365959595,33915.7690881867,,,3.46000003814697,920.499877929688,1618.38698982449,1674.66841167794
2018-07-19T09:01:34Z,1531990894,2BC09,40.99823,43.9906277,2083.77,-30.2,-7,136,541906,-96084.88,130.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,979.621912657981,877.236633300781,2.9477411346484,2083.77465820312,1160.08624267578,970.781850586538,-131.3076171875,0.0499714666157303,NaN,1.6923296310324,3.13176702573343,5000,3.85886025428772,3.85886025428772,3.85886025428772,47982.9545879841,2043.48487518677,50026.4394631709,,,4.46000003814697,923.688415527344,2584.8259419605,2650.30951489753
2018-07-19T09:01:35Z,1531990895,2BC09,41.0065536,43.9842106,1967,-28.4,-6.5,138.1,542643.31,-96732.63,132.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,988.360373097532,889.761474609375,2.96994077098479,1967,976.27294921875,981.437673166786,-116.774658203125,0.140660330808538,NaN,1.70769072647576,1.75349589604057,5000,3.22425580024719,3.22425580024719,3.22425580024719,48842.8113554746,1928.968055,50771.7794104746,,,5.46000003814697,990.72705078125,3561.93521053346,3634.6800242439
2018-07-19T09:01:36Z,1531990896,2BC09,41.0146031,43.9776295,1854.26,-26.4,-6.4,139,543360.56,-97400.71,133.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,986.654430206615,892.92822265625,2.96088381281523,1854.2568359375,960.568481445312,980.191789194092,-112.7431640625,0.0295466409331718,NaN,1.7692239007084,1.27978076235663,5000,2.12161946296692,2.12161946296692,2.12161946296692,48674.348232317,1818.40478001465,50492.7530123316,,,6.46000003814697,893.688354492188,4537.87532863738,4617.40117288385
2018-07-19T09:01:37Z,1531990897,2BC09,41.0225092,43.9709866,1748.22,-24.7,-6,139.7,544067.06,-98076.7,134.1,Weapon+Missile,Red,Allies,R-27ER,,xu,,983.535342761582,894.547424316406,2.94785244907352,1748.21606445312,836.196044921875,977.80219126577,-106.040771484375,0.0360304041368183,NaN,1.63076913604307,0.884064468003543,5000,2.30968332290649,2.30968332290649,2.30968332290649,48367.0885230571,1714.41430684692,50081.502829904,,,7.46000003814697,912.02001953125,5511.52431360366,5597.08097148655
2018-07-19T09:01:38Z,1531990898,2BC09,41.0302899,43.9642605,1650.54,-23.3,-5.5,140.8,544764.56,-98762.86,135.2,Weapon+Missile,Red,Allies,R-27ER,,xu,,983.294923533132,898.393493652344,2.94376301769072,1650.53527832031,664.754089355469,978.431076094021,-97.6807861328125,0.0662924887874391,NaN,1.38463985420708,1.34343001457151,5000,3.55833745002747,3.55833745002747,3.55833745002747,48343.4453323014,1618.62217871399,49962.0675110154,,,8.46000003814697,985.781188964844,6485.81038414477,6576.50977110284
2018-07-19T09:01:39Z,1531990899,2BC09,41.0377326,43.9574432,1565.67,-22.1,-4.5,142.8,545436.12,-99461.76,137.1,Weapon+Missile,Red,Allies,R-27ER,,xu,,972.963242052753,892.586547851562,2.90994542119226,1565.66918945312,585.557006835938,969.254980563005,-84.8660888671875,0.0454374554897587,NaN,1.1230640995631,1.83517257879605,5000,3.76658487319946,3.76658487319946,3.76658487319946,47332.8735192902,1535.39697567505,48868.2704949653,,,9.46000003814697,980.112182617188,7451.00337399926,7545.66898513494
