ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T09:03:52Z,1531991032,3E70E,40.7402327,43.8759582,6579.94,157.3,-2.8,136.7,522413.19,-110811.45,131.3,Weapon+Missile,Red,Allies,R-77,,xu,,233.333897272453,171.905731201172,0.742677273703237,6579.93994140625,5420.36413574219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6452.71680263916,NaN,,,0.399999856948853,1159.57580566406,NaN,NaN
2018-07-19T09:03:53Z,1531991033,3E70E,40.7427162,43.8744852,6612.49,128.3,3.5,136.4,522628.25,-110956.3,130.9,Weapon+Missile,Red,Allies,R-77,,xu,,261.330316994088,193.824615478516,0.832145123298875,6612.49267578125,5420.25939941406,259.294917159865,32.552734375,8.61135723660298,NaN,26.3077030223547,7.13329688819487,5000,0.869617223739624,0.869617223739624,0.869617223739624,3414.67672901154,6484.64012989502,9899.31685890656,,,1.39999985694885,1192.23327636719,258.077126304393,260.386860406634
2018-07-19T09:03:54Z,1531991034,3E70E,40.7462296,43.8722019,6650.85,107.3,3.9,135.7,522934.5,-111183.36,130.2,Weapon+Missile,Red,Allies,R-77,,xu,,383.167973297567,293.636108398438,1.22072826868666,6650.849609375,5364.45239257812,381.243283752317,38.35693359375,0.676167784121955,NaN,19.5692023117602,1.07947116423744,5000,2.32131767272949,2.32131767272949,2.32131767272949,7340.88478804827,6522.25543217773,13863.140220226,,,2.39999985694885,1286.39721679688,637.676399707369,642.311807827125
2018-07-19T09:03:55Z,1531991035,3E70E,40.7507151,43.8689579,6675.65,91.7,1.1,134.3,523329.03,-111509.77,128.9,Weapon+Missile,Red,Allies,R-77,,xu,,512.651144117038,389.040679931641,1.63378330990428,6675.65380859375,5193.14978027344,512.050727238645,24.80419921875,0.140623737433907,NaN,14.2923074420351,3.07157619711611,5000,4.00063323974609,4.00063323974609,4.00063323974609,13140.5597782254,6546.58004220459,19687.13982043,,,3.39999985694885,1482.50402832031,1147.560068446,1153.33049017753
2018-07-19T09:03:56Z,1531991036,3E70E,40.7564381,43.8650683,6658.13,80.7,-4.7,132.1,523829.81,-111898.52,126.6,Weapon+Missile,Red,Allies,R-77,,xu,,634.209498347329,471.538726806641,2.02071193380884,6658.126953125,5025.93420410156,633.967268186101,-17.52685546875,0.136629268865364,NaN,10.0615789871025,6.12851871393546,4818.96422846103,8.29688549041748,8.29688549041748,8.29688549041748,20111.0843896985,6529.39206848633,26640.4764581848,,,4.39999985694885,1632.19274902344,1778.78830207402,1785.46155615103
2018-07-19T09:03:57Z,1531991037,3E70E,40.763222,43.8608538,6547.93,73.7,-13.1,129.1,524419.38,-112315.27,123.6,Weapon+Missile,Red,Allies,R-77,,xu,,730.348043129558,538.380249023438,2.32363792599628,6547.92822265625,4668.71472167969,721.986498423793,-110.19873046875,0.0884626131899644,NaN,6.04613809480865,8.97964628672118,4089.07721424316,13.0733366012573,13.0733366012573,13.0733366012573,26670.4132051587,6421.32403047119,33091.7372356299,,,5.39999985694885,1879.21350097656,2497.51349131911,2513.3212755091
2018-07-19T09:03:58Z,1531991038,3E70E,40.7707381,43.8567352,6295.79,70.4,-24.1,125.1,525066.81,-112715.74,119.7,Weapon+Missile,Red,Allies,R-77,,xu,,801.951015279738,593.581909179688,2.54299096401637,6295.78759765625,4682.58386230469,761.282165910126,-252.140625,0.749013350983462,NaN,2.32308394050474,9.49606237571386,5000,11.3171291351318,11.3171291351318,11.3171291351318,32156.2715454102,6174.05854445557,38330.3300898657,,,6.39999985694885,1613.20373535156,3255.24990776958,3312.63107399638
2018-07-19T09:03:59Z,1531991039,3E70E,40.7786999,43.8528157,5912.56,62.5,-27.4,123.5,525748.12,-113090.66,118.1,Weapon+Missile,Red,Allies,R-77,,xu,,866.956882572823,650.047424316406,2.73540450251621,5912.56298828125,3920.22424316406,777.658752287766,-383.224609375,0.0688860908365518,NaN,8.64614522502238,5.3454375255935,5000,2.92010307312012,2.92010307312012,2.92010307312012,37580.7118120193,5798.24358290283,43378.9553949222,,,7.39999985694885,1992.33874511719,4029.10152094778,4176.83835021183
2018-07-19T09:04:00Z,1531991040,3E70E,40.7863587,43.8492596,5519.05,55.1,-29.2,121.9,526401.38,-113427.45,116.4,Weapon+Missile,Red,Allies,R-77,,xu,,833.673168205893,638.6259765625,2.6170439720007,5519.04833984375,3498.13806152344,734.953857634316,-393.5146484375,0.0660007762560264,NaN,6.9846060867684,2.40664212693315,5000,3.04924392700195,3.04924392700195,3.04924392700195,34750.5475693226,5412.33754019287,40162.8851095155,,,8.39999985694885,2020.91027832031,4760.33798600125,5007.81328161092
2018-07-19T09:04:01Z,1531991041,3E70E,40.7935241,43.8461646,5127.58,49.2,-31.4,120.2,527010.06,-113716.7,114.8,Weapon+Missile,Red,Allies,R-77,,xu,,779.37022953256,610.804321289062,2.43435383053941,5127.580078125,3291.36022949219,673.921771979905,-391.46826171875,0.098162164304412,NaN,5.76921490509965,2.65299915288928,5000,2.99272561073303,2.99272561073303,2.99272561073303,30370.8977340817,5028.43831731445,35399.3360513962,,,9.39999985694885,1836.21984863281,5430.8795345295,5784.74584866689
