UnixTime,103,104,105,10D,10E,202,20E,50B
1,静止,静止,静止,静止,静止,上升飞行,静止,静止
2,静止,静止,静止,静止,静止,上升飞行,静止,静止
3,静止,静止,静止,静止,静止,上升飞行,静止,静止
4,静止,静止,静止,静止,静止,上升飞行,静止,静止
5,静止,静止,静止,静止,静止,上升飞行,静止,静止
6,静止,静止,静止,静止,静止,平飞,静止,静止
7,静止,静止,静止,静止,静止,平飞,静止,静止
8,静止,静止,静止,静止,静止,平飞,静止,静止
9,静止,静止,静止,静止,静止,平飞,静止,静止
10,静止,静止,静止,静止,静止,平飞,静止,静止
11,静止,静止,静止,静止,静止,平飞,静止,静止
12,静止,静止,静止,静止,静止,平飞,静止,静止
13,静止,静止,静止,静止,静止,平飞,静止,静止
14,静止,静止,静止,静止,静止,平飞,静止,静止
15,静止,静止,静止,静止,静止,平飞,静止,静止
16,静止,静止,静止,静止,静止,平飞,静止,静止
17,静止,静止,静止,静止,静止,平飞,静止,静止
18,静止,静止,静止,静止,静止,平飞,静止,静止
19,静止,静止,静止,静止,静止,平飞,静止,静止
20,静止,静止,静止,静止,静止,平飞,静止,静止
21,静止,静止,静止,静止,静止,平飞,静止,静止
22,静止,静止,静止,静止,静止,平飞,静止,静止
23,静止,静止,静止,静止,静止,平飞,静止,静止
24,静止,静止,静止,静止,静止,平飞,静止,静止
25,静止,静止,静止,静止,静止,平飞,静止,静止
26,静止,静止,静止,静止,静止,平飞,静止,静止
27,静止,静止,静止,静止,静止,平飞,静止,静止
28,静止,静止,静止,静止,静止,平飞,静止,静止
29,静止,静止,静止,静止,静止,平飞,静止,静止
30,静止,静止,静止,静止,静止,平飞,静止,静止
31,静止,静止,静止,静止,静止,平飞,静止,静止
32,静止,静止,静止,静止,静止,平飞,静止,静止
33,静止,静止,静止,静止,静止,平飞,静止,静止
34,静止,静止,静止,静止,静止,平飞,静止,静止
35,静止,静止,静止,静止,静止,平飞,静止,静止
36,静止,静止,静止,静止,静止,平飞,静止,静止
37,静止,静止,静止,静止,静止,平飞,静止,静止
38,静止,静止,静止,静止,静止,平飞,静止,静止
39,静止,静止,静止,静止,静止,平飞,静止,静止
40,静止,静止,静止,静止,静止,平飞,静止,静止
41,静止,静止,静止,静止,静止,平飞,静止,静止
42,静止,静止,静止,静止,静止,平飞,静止,静止
43,静止,静止,静止,静止,静止,平飞,静止,静止
44,静止,静止,静止,静止,静止,平飞,静止,静止
45,静止,静止,静止,静止,静止,平飞,静止,静止
46,静止,静止,静止,静止,静止,平飞,静止,静止
47,静止,静止,静止,静止,静止,平飞,静止,静止
48,静止,静止,静止,静止,静止,平飞,静止,静止
49,静止,静止,静止,静止,静止,平飞,静止,静止
50,静止,静止,静止,静止,静止,平飞,静止,静止
51,静止,静止,静止,静止,静止,平飞,静止,静止
52,静止,静止,静止,静止,静止,平飞,静止,静止
53,静止,静止,静止,静止,静止,平飞,静止,静止
54,静止,静止,静止,静止,静止,平飞,静止,静止
55,静止,静止,静止,静止,静止,平飞,静止,静止
56,静止,静止,静止,静止,静止,平飞,静止,静止
57,静止,静止,静止,静止,静止,平飞,静止,静止
58,静止,静止,静止,静止,静止,平飞,静止,静止
59,静止,静止,静止,静止,静止,平飞,静止,静止
60,静止,静止,静止,静止,静止,平飞,静止,静止
61,静止,静止,静止,静止,静止,平飞,静止,静止
62,静止,静止,静止,静止,静止,平飞,静止,静止
63,静止,静止,静止,静止,静止,平飞,静止,静止
64,静止,静止,静止,静止,静止,平飞,静止,静止
65,静止,静止,静止,静止,静止,平飞,静止,静止
66,静止,静止,静止,静止,静止,平飞,静止,静止
67,静止,静止,静止,静止,静止,平飞,静止,静止
68,静止,静止,静止,静止,静止,平飞,静止,静止
69,静止,静止,静止,静止,静止,平飞,静止,静止
70,静止,静止,静止,静止,静止,平飞,静止,静止
71,静止,静止,静止,静止,静止,平飞,静止,静止
72,静止,静止,静止,静止,静止,平飞,静止,静止
73,静止,静止,静止,静止,静止,平飞,静止,静止
74,静止,静止,静止,静止,静止,平飞,静止,静止
75,静止,静止,静止,静止,静止,平飞,静止,静止
76,静止,静止,静止,静止,静止,平飞,静止,静止
77,静止,静止,静止,静止,静止,平飞,静止,静止
78,静止,静止,静止,静止,静止,平飞,静止,静止
79,静止,静止,静止,静止,静止,平飞,静止,静止
80,静止,静止,静止,静止,静止,平飞,静止,静止
81,静止,静止,静止,静止,静止,平飞,静止,静止
82,静止,静止,静止,静止,静止,平飞,静止,静止
83,静止,静止,静止,静止,静止,平飞,静止,静止
84,静止,静止,静止,静止,静止,平飞,静止,静止
85,静止,静止,静止,静止,静止,平飞,静止,静止
86,静止,静止,静止,静止,静止,平飞,静止,静止
87,静止,静止,静止,静止,静止,平飞,静止,静止
88,静止,静止,静止,静止,静止,平飞,静止,静止
89,静止,静止,静止,静止,静止,平飞,静止,静止
90,静止,静止,静止,静止,静止,平飞,静止,静止
91,静止,静止,静止,静止,静止,平飞,静止,静止
92,静止,静止,静止,静止,静止,平飞,静止,静止
93,静止,静止,静止,静止,静止,平飞,静止,静止
94,静止,静止,静止,静止,静止,平飞,静止,静止
95,静止,静止,静止,静止,静止,平飞,静止,静止
96,静止,静止,静止,静止,静止,平飞,静止,静止
97,静止,静止,静止,静止,静止,平飞,静止,静止
98,静止,静止,静止,静止,静止,平飞,静止,静止
99,静止,静止,静止,静止,静止,平飞,静止,静止
100,静止,静止,静止,静止,静止,平飞,静止,静止
101,静止,静止,静止,静止,静止,平飞,静止,静止
102,静止,静止,静止,静止,静止,平飞,静止,静止
103,静止,静止,静止,静止,静止,平飞,静止,静止
104,静止,静止,静止,静止,静止,平飞,静止,静止
105,静止,静止,静止,静止,静止,平飞,静止,静止
106,静止,静止,静止,静止,静止,平飞,静止,静止
107,静止,静止,静止,静止,静止,平飞,静止,静止
108,静止,静止,静止,静止,静止,平飞,静止,静止
109,静止,静止,静止,静止,静止,平飞,静止,静止
110,静止,静止,静止,静止,静止,平飞,静止,静止
111,静止,静止,静止,静止,静止,平飞,静止,静止
112,静止,静止,静止,静止,静止,平飞,静止,静止
113,静止,静止,静止,静止,静止,平飞,静止,静止
114,静止,静止,静止,静止,静止,平飞,静止,静止
115,静止,静止,静止,静止,静止,平飞,静止,静止
116,静止,静止,静止,静止,静止,平飞,静止,静止
117,静止,静止,静止,静止,静止,平飞,静止,静止
118,静止,静止,静止,静止,静止,平飞,静止,静止
119,静止,静止,静止,静止,静止,平飞,静止,静止
120,静止,静止,静止,静止,静止,平飞,静止,静止
