ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T09:01:43Z,1531990903,2D00B,40.6317084,43.4643423,2466.38,13.8,-4.1,309.9,517922.78,-157359.7,304.6,Weapon+Missile,Blue,Enemies,R-77,,cn,,194.756649764765,174.2314453125,0.588701783120464,2466.37841796875,381.921875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2418.69099125732,NaN,,,0.160000085830688,2084.45654296875,NaN,NaN
2018-07-19T09:01:44Z,1531990904,2D00B,40.6297207,43.4655108,2434.52,11,-4.9,310.8,517749.97,-157244.7,305.5,Weapon+Missile,Blue,Enemies,R-77,,cn,,210.010507570653,188.445709228516,0.634569436742337,2434.51538085938,388.5380859375,207.579286433522,-31.863037109375,3.48864014848934,NaN,2.86152141315518,8.85699662593601,2391.72347371177,2.74582052230835,2.74582052230835,2.74582052230835,2205.22066450417,2387.44402597046,4592.66469047463,,,1.16000008583069,2045.97729492188,206.668434945392,209.188720474605
2018-07-19T09:01:45Z,1531990905,2D00B,40.6268855,43.4674335,2403.13,11.7,-0.3,315.9,517500.84,-157052.23,310.6,Weapon+Missile,Blue,Enemies,R-77,,cn,,316.374430151482,287.761077880859,0.955602212723406,2403.1259765625,408.796875,314.813413550888,-31.389404296875,0.91482433345855,NaN,1.86153732243571,5.13394840190687,2142.67811158421,6.14658546447754,6.14658546447754,6.14658546447754,5004.63900268376,2356.66153580566,7361.30053848942,,,2.16000008583069,1994.3291015625,520.166134873148,524.372254283657
2018-07-19T09:01:46Z,1531990906,2D00B,40.6232184,43.4703526,2414.03,10.7,1.3,318,517174.22,-156755.22,312.7,Weapon+Missile,Blue,Enemies,R-77,,cn,,441.611858104358,402.375671386719,1.33405235485823,2414.0283203125,503.308837890625,441.477261157515,10.90234375,0.270107300851761,NaN,2.72305981830068,2.51561758169729,5000,0.81456458568573,0.81456458568573,0.81456458568573,9751.05166091919,2367.35308273926,12118.4047436584,,,3.16000008583069,1910.71948242188,959.899416590556,964.406672166187
2018-07-19T09:01:47Z,1531990907,2D00B,40.6184178,43.4740846,2416.06,7.8,-0.6,315.7,516747.59,-156376.33,310.4,Weapon+Missile,Blue,Enemies,R-77,,cn,,570.588401825987,513.17822265625,1.72371553119239,2416.06005859375,591.510986328125,570.584784530652,2.03173828125,0.0322364335581513,NaN,2.47695444212678,2.26036700911156,5000,2.54245471954346,2.54245471954346,2.54245471954346,16278.5562149167,2369.34553736084,18647.9017522775,,,4.16000008583069,1824.54907226562,1528.23129684967,1532.95737822049
2018-07-19T09:01:48Z,1531990908,2D00B,40.6122778,43.478499,2402.68,6.3,-1.3,313.9,516205.66,-155931.56,308.6,Weapon+Missile,Blue,Enemies,R-77,,cn,,701.207346571021,624.906494140625,2.11797057489899,2402.67993164062,787.877685546875,701.079678130732,-13.380126953125,0.105705875753065,NaN,1.3384438697557,1.88756012973005,5000,1.31052422523499,1.31052422523499,1.31052422523499,24584.5871442586,2356.22411516235,26940.811259421,,,5.16000008583069,1614.80224609375,2226.433745163,2231.55172170959
2018-07-19T09:01:49Z,1531990909,2D00B,40.6048747,43.4836379,2379.02,4.9,-1.9,313.7,515554.25,-155415.66,308.4,Weapon+Missile,Blue,Enemies,R-77,,cn,,831.293530162197,737.181579589844,2.51018421441178,2379.02465820312,870.93017578125,830.956894988016,-23.6552734375,0.0519007183488994,NaN,1.26156326045804,0.611186671273897,5000,0.516669034957886,0.516669034957886,0.516669034957886,34552.4466644764,2333.02621643677,36885.4728809132,,,6.16000008583069,1508.09448242188,3053.97569560176,3059.74177440071
2018-07-19T09:01:50Z,1531990910,2D00B,40.5964997,43.4894463,2347.01,4.1,-2,313.7,514817.44,-154832.53,308.4,Weapon+Missile,Blue,Enemies,R-77,,cn,,940.187308954221,832.335876464844,2.83792048954553,2347.01293945312,886.731201171875,939.642179652047,-32.01171875,0.0664590120556671,NaN,0.769243225083516,0.0989117513214033,5000,1.01254487037659,1.01254487037659,1.01254487037659,44197.608795929,2301.6334442688,46499.2422401978,,,7.16000008583069,1460.28173828125,3989.71886448633,3996.37882103326
2018-07-19T09:01:51Z,1531990911,2D00B,40.5883216,43.4951164,2315.91,3.4,-1.9,313.6,514098.12,-154263.2,308.4,Weapon+Missile,Blue,Enemies,R-77,,cn,,917.884891180373,814.207275390625,2.76957733144722,2315.9052734375,1159.29272460938,917.357611061393,-31.107666015625,0.0599273543670316,NaN,0.569255286185543,0.0395646845203054,5000,1.02704739570618,1.02704739570618,1.02704739570618,42125.6336728603,2271.12724497559,44396.7609178359,,,8.16000008583069,1156.61254882812,4903.29003044794,4910.81320396449
2018-07-19T09:01:52Z,1531990912,2D00B,40.5807717,43.5003497,2287.41,2.9,-1.9,313.6,513434.16,-153737.73,308.4,Weapon+Missile,Blue,Enemies,R-77,,cn,,847.221245110329,754.036376953125,2.5554956193766,2287.41088867188,791.10693359375,846.741937194046,-28.494384765625,0.055246064560076,NaN,0.47691112860697,0,5000,1.02095675468445,1.02095675468445,1.02095675468445,35889.1919083148,2243.1837991394,38132.3757074542,,,9.16000008583069,1496.30395507812,5746.54292202891,5754.85151399485
