ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:47:54Z,1531990074,DB0B,41.3509106,43.5323133,2987.43,34,-0.1,26.8,575365.94,-144185.66,20.9,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,340.21352283754,303.089477539062,1.0348314195306,2987.42626953125,692.678466796875,NaN,NaN,0.961238971410318,NaN,7.33846452728842,4.02969623621661,NaN,NaN,NaN,NaN,NaN,2929.66438260986,NaN,,,0.529999971389771,2294.74780273438,NaN,NaN
2018-07-19T08:47:55Z,1531990075,DB0B,41.3538411,43.5365179,2985.84,27.3,2,29.8,575555.56,-143694.5,23.9,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,526.492759933361,464.791137695312,1.60140842186495,2985.83764648438,794.191650390625,526.490363196766,-1.588623046875,0.601784056780729,NaN,6.59998447422664,4.01485861866707,4109.31804640651,9.07344913482666,9.07344913482666,9.07344913482666,13859.7313131124,2928.1064755896,16787.837788702,,,1.52999997138977,2191.64599609375,524.406861757844,524.654826101475
2018-07-19T08:47:56Z,1531990076,DB0B,41.3589829,43.5422701,3037.3,21.6,5.9,35.9,575906.56,-143013.3,30,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,768.041211474175,662.963562011719,2.33756788322632,3037.30224609375,918.669921875,766.315011930319,51.464599609375,0.730956556594745,NaN,5.29230377649268,4.93102390855262,5000,4.60552263259888,4.60552263259888,4.60552263259888,29494.3651261359,2978.57600716553,32472.9411333015,,,2.52999997138977,2118.63232421875,1287.41168904737,1289.75277709046
2018-07-19T08:47:57Z,1531990077,DB0B,41.3657773,43.5493289,3138.39,17.5,5.9,34.2,576376.25,-142173.34,28.3,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,967.64996781037,824.800170898438,2.94869139056417,3138.390625,987.53759765625,962.355235790566,101.08837890625,0.0697266798906561,NaN,3.64617354500625,0.868487047662565,5000,2.77653956413269,2.77653956413269,2.77653956413269,46817.3230101705,3077.70984226562,49895.0328524361,,,3.52999997138977,2150.85302734375,2245.53963078107,2253.65998187378
2018-07-19T08:47:58Z,1531990078,DB0B,41.3723993,43.5566226,3237.75,14.2,5.7,32.8,576829.25,-141308.66,26.9,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,981.205807303993,832.103881835938,2.99360593033562,3237.74536132812,1121.60498046875,976.162626131655,99.354736328125,0.0545970657317717,NaN,3.0769182588207,1.47921684331401,5000,2.51220989227295,2.51220989227295,2.51220989227295,48138.2418143541,3175.14355476685,51313.3853691209,,,4.52999997138977,2116.14038085938,3217.47583167796,3231.14447884246
2018-07-19T08:47:59Z,1531990079,DB0B,41.3786412,43.5638761,3331.94,11.4,5.5,31.3,577251.81,-140451.52,25.5,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,960.271771077653,811.20068359375,2.93309515096467,3331.94067382812,1123.61767578125,955.640684269794,94.1953125,0.0389595195761059,NaN,2.569243958192,1.39626558322638,5000,2.44807577133179,2.44807577133179,2.44807577133179,46106.0937164307,3267.51760089966,49373.6113173303,,,5.52999997138977,2208.32299804688,4169.05432820575,4187.86143168439
2018-07-19T08:48:00Z,1531990080,DB0B,41.3845757,43.5711633,3421.06,9.6,5.2,30.1,577649.12,-139593.11,24.3,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,950.084157932162,799.459167480469,2.90513122227594,3421.05517578125,1614.00268554688,945.895614058609,89.114501953125,0.0242276315036324,NaN,1.41537912056672,1.31485997360359,5000,1.93949711322784,1.93949711322784,1.93949711322784,45132.9953576833,3354.90907395752,48487.9044316408,,,6.52999997138977,1807.05249023438,5110.96176936225,5134.47149010763
2018-07-19T08:48:01Z,1531990081,DB0B,41.3902475,43.5784509,3502.59,8.8,4.8,29,578024.94,-138736.77,23.1,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,938.726899798839,787.1484375,2.8732633129458,3502.59375,1782.67163085938,935.178941871721,81.53857421875,0.0402541376083146,NaN,0.769243225083516,1.15034857086319,5000,1.89537012577057,1.89537012577057,1.89537012577057,44060.409620297,3434.87109984375,47495.2807201407,,,7.52999997138977,1719.92211914062,6042.28482201066,6069.86069773151
2018-07-19T08:48:02Z,1531990082,DB0B,41.3956631,43.5857316,3578.66,8,4.6,27.9,578380.12,-137883.3,22.1,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,927.55204389326,775.283569335938,2.84170295520747,3578.65771484375,1819.6591796875,924.427967655032,76.06396484375,0.050404664948924,NaN,0.769243225083516,1.03457056785083,5000,1.72842538356781,1.72842538356781,1.72842538356781,43017.6397065282,3509.46436792725,46527.1040744554,,,8.52999997138977,1758.99853515625,6962.93149337859,6994.15356719803
2018-07-19T08:48:03Z,1531990083,DB0B,41.4008916,43.5930396,3652.47,7.4,4.6,27.1,578719.75,-137028.28,21.2,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,922.954807820562,768.877563476562,2.83017850071678,3652.47314453125,1840.7978515625,919.998293269689,73.8154296875,0.0441228373729192,NaN,0.661544802250755,0.97381240664557,5000,1.98502635955811,1.98502635955811,1.98502635955811,42592.2788639545,3581.85257628174,46174.1314402363,,,9.52999997138977,1811.67529296875,7879.18958127009,7913.89792087283
