Order,Missile_B,Launcher_B,Target_B
1,1440E,20E,107 DA-P
2,1470E,20E,107 DE DA-P
3,14804,104,107 DA-P
4,1B904,104,107 LOST
5,1EE0B,50B,106
6,2910D,10D,108
7,2D00B,50B,108
8,2D204,104,109
9,2F604,104,109 DE DA-P
10,2F705,105,106 LOST
11,30504,104,109 DE DA-P
12,3060D,10D,106
13,30A04,104,109 DE DA-P LOST
14,30E05,105,108
15,30F0B,50B,106 DE DA-P
16,37205,105,108
17,38905,105,108
18,38E04,104,108
19,3BB0D,10D,108
20,5C04,104,109
21,60E,20E,107
22,6B04,104,108
23,DB0B,50B,10A DE DA-P
24,DC0B,50B,10A DE DA-P LOST
25,E30D,10D,10C DE DA-P
26,F00D,10D,107
