ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T09:00:34Z,1531990834,21D09,40.5006103,43.443309,1510.17,1.1,6.7,46.2,507524.91,-160666.09,41,Weapon+Missile,Red,Allies,R-77,,xu,,272.553341066333,256.180114746094,0.814626882589082,1510.16540527344,245.919189453125,NaN,NaN,4.44703181238896,NaN,0.353858440520021,8.23123128590686,NaN,NaN,NaN,NaN,NaN,1480.96635716248,NaN,,,0.879999876022339,1264.24621582031,NaN,NaN
2018-07-19T09:00:35Z,1531990835,21D09,40.5035733,43.4454877,1520.76,1.3,3.4,38.3,507742.84,-160402.3,33.1,Weapon+Missile,Red,Allies,R-77,,xu,,342.341723259098,323.312866210938,1.02334181356805,1520.76306152344,225.050903320312,342.177651470717,10.59765625,2.3626251664689,NaN,0.769230631922234,5.58320622899858,2427.79515420711,5.2747631072998,5.2747631072998,5.2747631072998,5859.89277420044,1491.35910772888,7351.25188192932,,,1.87999987602234,1295.71215820312,340.843018584729,341.088678718584
2018-07-19T09:00:36Z,1531990836,21D09,40.5069414,43.4487849,1532.93,1.9,0.8,36.8,507982.31,-160011.27,31.5,Weapon+Missile,Red,Allies,R-77,,xu,,458.692500347532,431.541320800781,1.37133689306284,1532.93225097656,205.7958984375,458.53104660767,12.169189453125,0.54615319727615,NaN,0.461538080332564,3.5827740215829,5000,3.26920223236084,3.26920223236084,3.26920223236084,10519.9404937536,1503.29300590393,12023.2334996575,,,2.87999987602234,1327.13635253906,797.807760553002,798.324780620965
2018-07-19T09:00:37Z,1531990837,21D09,40.5115074,43.4527949,1527.26,2.6,-1.8,42.5,508311.5,-159532.2,37.3,Weapon+Missile,Red,Allies,R-77,,xu,,581.289528572211,541.676391601562,1.73774587490683,1527.25537109375,213.121337890625,581.261807675767,-5.6768798828125,0.0884371108410684,NaN,0.399999783458042,4.92829140599779,5000,6.14255809783936,6.14255809783936,6.14255809783936,16894.8758013852,1497.72588849365,18392.6016898788,,,3.87999987602234,1314.13403320312,1376.96864963914,1377.65242325149
2018-07-19T09:00:38Z,1531990838,21D09,40.5176003,43.4572297,1498.58,2.3,-2.7,47.5,508759.97,-158994.73,42.3,Weapon+Missile,Red,Allies,R-77,,xu,,700.584932320232,649.311706542969,2.0936754756745,1498.57836914062,212.931274414062,699.997769248678,-28.677001953125,0.0770643454159985,NaN,0.461556863352782,5.09057371246953,5000,5.99369382858276,5.99369382858276,5.99369382858276,24540.9623697072,1469.60335637329,26010.5657260805,,,4.87999987602234,1285.64709472656,2074.19644756453,2075.63496022658
2018-07-19T09:00:39Z,1531990839,21D09,40.5251846,43.4619482,1461.24,1.5,-2.4,51.1,509326.19,-158414.75,45.8,Weapon+Missile,Red,Allies,R-77,,xu,,811.406183336308,750.363952636719,2.42380661041991,1461.23608398438,455.327209472656,810.546450301094,-37.34228515625,0.119437047306079,NaN,0.969231163981489,3.6733798960177,5000,4.50909328460693,4.50909328460693,4.50909328460693,32918.9997178197,1432.98308430054,34351.9828021202,,,5.87999987602234,1005.90887451172,2881.32745273619,2883.8164096216
2018-07-19T09:00:40Z,1531990840,21D09,40.5341881,43.4670029,1418.16,1.4,-3,54,510003.75,-157786.86,48.7,Weapon+Missile,Red,Allies,R-77,,xu,,924.766387822227,854.782043457031,2.7610481403367,1418.16296386719,563.723754882812,923.762728393574,-43.0731201171875,0.112381773436104,NaN,0.184579032130425,2.7756249541531,5000,4.92643642425537,4.92643642425537,4.92643642425537,42759.6436022885,1390.74278296082,44150.3863852493,,,6.87999987602234,854.439208984375,3800.99751193456,3804.70195427946
2018-07-19T09:00:41Z,1531990841,21D09,40.5436358,43.4717574,1367.73,1.3,-3.6,57.4,510720.19,-157189,52.1,Weapon+Missile,Red,Allies,R-77,,xu,,934.48493604018,865.624267578125,2.78842912614114,1367.72912597656,333.56591796875,933.122994937774,-50.433837890625,0.128805551467134,NaN,0.199999891729021,3.46895660302745,5000,6.00389051437378,6.00389051437378,6.00389051437378,43663.1047843009,1341.28408332581,45004.3888676267,,,7.87999987602234,1034.16320800781,4729.81594184766,4735.09117781982
2018-07-19T09:00:42Z,1531990842,21D09,40.5525783,43.4756473,1311.36,0.7,-3.6,61.3,511404.34,-156690.84,56,Weapon+Missile,Red,Allies,R-77,,xu,,848.178482809547,788.940002441406,2.5292415781126,1311.36145019531,98.8253173828125,846.303387579256,-56.36767578125,0.0703168169390091,NaN,1.07692958681425,4.03130315286752,5000,6.18227052688599,6.18227052688599,6.18227052688599,35970.3369350553,1286.00627655579,37256.343211611,,,8.87999987602234,1212.5361328125,5572.06636554754,5579.40219561202
2018-07-19T09:00:43Z,1531990843,21D09,40.561049,43.4787557,1268.12,-0.4,-2.6,65.5,512058.19,-156282.92,60.2,Weapon+Missile,Red,Allies,R-77,,xu,,771.868984319782,720.734924316406,2.30053503413265,1268.11999511719,246.8935546875,770.656801382806,-43.241455078125,0.0790811698243243,NaN,1.16921910287946,4.25635788601944,5000,6.07087707519531,6.07087707519531,6.07087707519531,29789.0864477426,1243.6008950116,31032.6873427542,,,9.87999987602234,1021.22644042969,6338.83511041035,6347.54406480986
