ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:47:15Z,1531990035,CD0C,41.3603461,43.7270645,4437.04,25.2,4.5,161.7,573934.38,-122469.09,155.9,Weapon+Missile,Red,Allies,AIM-120B,,xu,,224.563923884139,183.709228515625,0.695336526059914,4437.04296875,2803.07092285156,NaN,NaN,6.91625973267059,NaN,5.69233429580199,3.48213749823973,NaN,NaN,NaN,NaN,NaN,4351.25274294922,NaN,,,0.819999933242798,1633.97204589844,NaN,NaN
2018-07-19T08:47:16Z,1531990036,CD0C,41.3617154,43.7246203,4433.58,20.7,4.1,158.6,574072.31,-122729.45,152.8,Weapon+Missile,Red,Allies,AIM-120B,,xu,,294.668997087225,244.640060424805,0.912369346062948,4433.580078125,2797.37182617188,294.648648788536,-3.462890625,3.0475914362322,NaN,4.01538625078046,1.64742615315974,4264.19657408832,2.87368774414062,2.87368774414062,2.87368774414062,4341.49089221954,4347.85680731445,8689.347699534,,,1.8199999332428,1636.20825195312,293.54171419703,293.766251870176
2018-07-19T08:47:17Z,1531990037,CD0C,41.3637004,43.7210541,4458.22,17,3.9,158.2,574272.5,-123109.46,152.4,Weapon+Missile,Red,Allies,AIM-120B,,xu,,430.218843658885,362.184967041016,1.33247661870993,4458.22314453125,2868.05334472656,429.512482609394,24.64306640625,0.0448601567379673,NaN,3.50771195015175,1.23842983662603,5000,1.47975993156433,1.47975993156433,1.47975993156433,9254.4126719594,4372.02340003174,13626.4360719911,,,2.8199999332428,1590.16979980469,721.448646418811,722.679971998136
2018-07-19T08:47:18Z,1531990038,CD0C,41.3662964,43.7163607,4496.81,13.9,3.9,158.2,574534.69,-123609.68,152.3,Weapon+Missile,Red,Allies,AIM-120B,,xu,,566.0827956224,467.205932617188,1.75412273814023,4496.80615234375,2966.27478027344,564.766396847239,38.5830078125,0.0414922590461308,NaN,2.87693031992273,0.111905886062555,5000,0.952348351478577,0.952348351478577,0.952348351478577,16022.4865749836,4409.86040538818,20432.3469803718,,,3.8199999332428,1530.53137207031,1284.11402154405,1287.06072176028
2018-07-19T08:47:19Z,1531990039,CD0C,41.3695383,43.7105005,4544.52,11.5,3.9,158.2,574862.19,-124234.25,152.3,Weapon+Missile,Red,Allies,AIM-120B,,xu,,706.838627402423,572.65771484375,2.19159393147565,4544.51904296875,3125.49084472656,705.226435449174,47.712890625,0.0483589276315879,NaN,2.30767503373719,0.0504352774299245,5000,0.951140284538269,0.951140284538269,0.951140284538269,24981.042259407,4456.65076727295,29437.69302668,,,4.8199999332428,1419.02819824219,1986.68475449496,1991.74654759718
2018-07-19T08:47:20Z,1531990040,CD0C,41.3732275,43.7038505,4598.25,9.4,3.8,158.1,575234.69,-124942.91,152.2,Weapon+Missile,Red,Allies,AIM-120B,,xu,,802.394181007702,643.414978027344,2.4895479229921,4598.2451171875,3335.79797363281,800.593486523631,53.72607421875,0.0229151527754724,NaN,1.90769915594124,0.164918999615204,5000,0.888792991638184,0.888792991638184,0.888792991638184,32191.8210857511,4509.33804784668,36701.1591335977,,,5.8199999332428,1262.44714355469,2784.27007937204,2791.70970230948
2018-07-19T08:47:21Z,1531990041,CD0C,41.3772014,43.696772,4653.69,7.8,3.6,157.7,575635,-125696.82,151.8,Weapon+Missile,Red,Allies,AIM-120B,,xu,,855.400706747096,681.782775878906,2.65585892740573,4653.6875,3169.146484375,853.602080182273,55.4423828125,0.0358359365080942,NaN,1.41537912056672,0.4237109452443,5000,0.830398261547089,0.830398261547089,0.830398261547089,36585.5184551716,4563.7084521875,41149.2269073591,,,6.8199999332428,1484.541015625,3634.67013356673,3644.53061773847
2018-07-19T08:47:22Z,1531990042,CD0C,41.3814929,43.6892951,4706.75,6.6,3.1,157.2,576065.56,-126492.4,151.3,Weapon+Missile,Red,Allies,AIM-120B,,xu,,906.170127575447,718.3916015625,2.81536834165628,4706.75048828125,3388.53271484375,904.615177511833,53.06298828125,0.0353771765031133,NaN,1.13845593085773,0.685225334907454,5000,0.849931955337524,0.849931955337524,0.849931955337524,41057.2150055051,4615.74546759033,45672.9604730954,,,7.8199999332428,1318.2177734375,4535.83502572294,4547.91652716477
2018-07-19T08:47:23Z,1531990043,CD0C,41.3861301,43.6814139,4752.26,5.6,2.3,156.7,576528.62,-127330.02,150.8,Weapon+Missile,Red,Allies,AIM-120B,,xu,,958.182615666689,756.077453613281,2.97867338849082,4752.26318359375,3358.17175292969,957.101102042647,45.5126953125,0.0263826030164235,NaN,0.969231163981489,0.915172671300072,5000,1.05169856548309,1.05169856548309,1.05169856548309,45905.6962482929,4660.37817493896,50566.0744232319,,,8.8199999332428,1394.09143066406,5489.27305686565,5503.14641078809
2018-07-19T08:47:24Z,1531990044,CD0C,41.3908755,43.6735628,4783.83,4.9,1.3,156,577000.12,-128163.4,150.1,Weapon+Missile,Red,Allies,AIM-120B,,xu,,958.03042812258,754.802795410156,2.97938636583548,4783.8251953125,3404.66003417969,957.510386693011,31.56201171875,0.0375486403814065,NaN,0.569255286185543,1.17763080100745,5000,1.40392732620239,1.40392732620239,1.40392732620239,45891.1150604367,4691.32993516113,50582.4449955979,,,9.8199999332428,1379.16516113281,6443.11420828866,6458.22226739074
2018-07-19T08:47:25Z,1531990045,CD0C,41.395489,43.6661746,4796.66,4.5,0.2,155.3,577455.88,-128946.41,149.4,Weapon+Missile,Red,Allies,AIM-120B,,xu,,906.082932325065,715.228149414062,2.81829101617951,4796.66064453125,3503.48217773438,905.99201513818,12.83544921875,0.0576306651738365,NaN,0.399975877795947,1.41772571743344,5000,1.75556969642639,1.75556969642639,1.75556969642639,41049.3140125394,4703.91721096924,45753.2312235086,,,10.8199999332428,1293.17846679688,7345.56834172489,7361.4453860376
2018-07-19T08:47:26Z,1531990046,CD0C,41.3999991,43.65923,4788.59,4.4,-1.6,154.1,577898.38,-129680.96,148.3,Weapon+Missile,Red,Allies,AIM-120B,,xu,,857.572422594891,679.064270019531,2.66713169342047,4788.59228515625,3476.6025390625,857.534466696392,-8.068359375,0.070203807501153,NaN,0,2.00492753910661,5000,2.80683469772339,2.80683469772339,2.80683469772339,36771.5229997635,4696.00485332275,41467.5278530862,,,11.8199999332428,1311.98974609375,8199.70077194252,8216.25770245371
2018-07-19T08:47:27Z,1531990047,CD0C,41.4044871,43.6527102,4752.05,4.5,-3.7,152.8,578334.25,-130368.48,146.9,Weapon+Missile,Red,Allies,AIM-120B,,xu,,814.868628247449,648.170227050781,2.53315068777716,4752.04931640625,3303.138671875,814.048826997998,-36.54296875,0.0338563001437386,NaN,0.199999891729021,2.48683153599686,5000,2.68131852149963,2.68131852149963,2.68131852149963,33200.544065094,4660.16844287354,37860.7125079675,,,12.8199999332428,1448.91064453125,9010.51733390008,9028.50313989169
2018-07-19T08:47:28Z,1531990048,CD0C,41.4089197,43.646605,4688.65,4.6,-5.8,151.8,578761.06,-131010.36,145.9,Weapon+Missile,Red,Allies,AIM-120B,,xu,,773.42903276606,618.924377441406,2.40240892414778,4688.6455078125,3122.96911621094,770.825807677227,-63.40380859375,0.076285549134166,NaN,0.107692446417237,2.28441631862259,5000,1.88391399383545,1.88391399383545,1.88391399383545,29909.6234362721,4597.99054691895,34507.6139831911,,,13.8199999332428,1565.67639160156,9778.21684558436,9799.38267636319
2018-07-19T08:47:29Z,1531990049,CD0C,41.4132123,43.6408614,4603.5,4.5,-7.5,151.5,579172.62,-131613.2,145.6,Weapon+Missile,Red,Allies,AIM-120B,,xu,,734.88368863444,592.274841308594,2.28023705114556,4603.5,3080.55895996094,729.934434261265,-85.1455078125,0.0492952239664786,NaN,0.199987938897973,1.78788493801623,5000,1.01323008537292,1.01323008537292,1.01323008537292,27002.701791048,4514.4913275,31517.193118548,,,14.8199999332428,1522.94104003906,10505.1117224196,10531.7732672373
2018-07-19T08:47:30Z,1531990050,CD0C,41.4172773,43.6353897,4503.34,4.2,-8.8,152.1,579562.75,-132187.69,146.2,Weapon+Missile,Red,Allies,AIM-120B,,xu,,701.61334278706,569.760864257812,2.17426980492314,4503.3427734375,2972.32397460938,694.427687195824,-100.1572265625,0.0473938353652461,NaN,0.369212705774209,1.31530649722057,5000,1.12473022937775,1.12473022937775,1.12473022937775,24613.0641388416,4416.27064091309,29029.3347797547,,,15.8199999332428,1531.01879882812,11196.6755339997,11231.0408054506
2018-07-19T08:47:31Z,1531990051,CD0C,41.4210137,43.6301563,4398.34,3.6,-9.2,153.4,579923.69,-132738.41,147.5,Weapon+Missile,Red,Allies,AIM-120B,,xu,,666.777877777099,545.90869140625,2.06360248852524,4398.33935546875,2625.697265625,658.458062831501,-105.00341796875,0.02132990805179,NaN,0.769243225083516,1.33238399785802,5000,2.02859830856323,2.02859830856323,2.02859830856323,22229.6369146466,4313.29746403076,26542.9343786774,,,16.8199999332428,1772.64208984375,11852.4433574223,11895.6140077046
2018-07-19T08:47:32Z,1531990052,CD0C,41.4243706,43.6251181,4298.17,2.8,-9,155.2,580251.81,-133270.55,149.3,Weapon+Missile,Red,Allies,AIM-120B,,xu,,633.146395722065,522.565856933594,1.95706798589166,4298.166015625,2287.84216308594,625.1717047343,-100.17333984375,0.0609577954686769,NaN,0.769243225083516,1.98327349156014,5000,2.80006742477417,2.80006742477417,2.80006742477417,20043.7179207921,4215.06097571289,24258.778896505,,,17.8199999332428,2010.32385253906,12475.1093520972,12526.705491229
2018-07-19T08:47:33Z,1531990053,CD0C,41.4272943,43.6202221,4203.88,2.1,-8.9,158.2,580543.38,-133790.42,152.3,Weapon+Missile,Red,Allies,AIM-120B,,xu,,603.463362121314,501.840850830078,1.86312831542479,4203.8828125,2004.43872070312,596.052604248358,-94.283203125,0.0450918008285101,NaN,0.769243225083516,2.75098013752381,5000,3.45107555389404,3.45107555389404,3.45107555389404,18208.401471138,4122.60073832031,22331.0022094583,,,18.8199999332428,2199.44409179688,13068.8758342482,13128.3017632775
2018-07-19T08:47:34Z,1531990054,CD0C,41.4296973,43.6155037,4116.92,1.6,-8.7,161.4,580790.94,-134294.88,155.5,Weapon+Missile,Red,Allies,AIM-120B,,xu,,568.615384434825,476.689544677734,1.75364295370367,4116.91552734375,1690.02563476562,561.925392493092,-86.96728515625,0.0282841348472727,NaN,0.569255286185543,3.26483341147386,5000,3.56103563308716,3.56103563308716,3.56103563308716,16166.1727707982,4037.31496562256,20203.4877364208,,,19.8199999332428,2426.88989257812,13628.6855599036,13695.1872981814
2018-07-19T08:47:35Z,1531990055,CD0C,41.4315958,43.6109607,4038.01,1,-8.2,165.1,580995.88,-134784,159.2,Weapon+Missile,Red,Allies,AIM-120B,,xu,,536.160884501247,452.909790039062,1.65193438295209,4038.01147460938,1490.86108398438,530.323151042126,-78.904052734375,0.117496974219903,NaN,0.569255286185543,3.45449367745995,5000,3.57132792472839,3.57132792472839,3.57132792472839,14373.424703458,3959.9365227478,18333.3612262058,,,20.8199999332428,2547.150390625,14157.0501889718,14229.7451375478
2018-07-19T08:47:36Z,1531990056,CD0C,41.4330365,43.6065896,3969.81,0.5,-7.1,168,581161.81,-135257.8,162.2,Weapon+Missile,Red,Allies,AIM-120B,,xu,,506.62586412802,430.890106201172,1.55961871798769,3969.81298828125,1493.06201171875,502.014673755674,-68.198486328125,0.101732849930921,NaN,0.400030519309307,3.10201450826545,5000,3.07948040962219,3.07948040962219,3.07948040962219,12833.4883101732,3893.05665415283,16726.544964326,,,21.8199999332428,2476.7509765625,14657.3048936954,14734.9382684328
2018-07-19T08:47:37Z,1531990057,CD0C,41.4341534,43.6024017,3916.52,0,-5.6,170.2,581299.62,-135713.91,164.3,Weapon+Missile,Red,Allies,AIM-120B,,xu,,479.446142964886,410.148254394531,1.47497566892893,3916.51611328125,1605.79760742188,476.474602806005,-53.296875,0.0373746566353485,NaN,0.461556863352782,2.64087706121639,5000,2.83068180084229,2.83068180084229,2.83068180084229,11493.4302001953,3840.79027423096,15334.2204744263,,,22.8199999332428,2310.71850585938,15132.1127138343,15213.0197053606
2018-07-19T08:47:38Z,1531990058,CD0C,41.4350129,43.5984418,3878.82,-0.3,-4.2,172,581414,-136146.81,166.1,Weapon+Missile,Red,Allies,AIM-120B,,xu,,449.344081989699,386.405181884766,1.38172617199487,3878.82470703125,1605.56298828125,447.760496151751,-37.69140625,0.13574114103867,NaN,0.200042580411333,2.03743411691399,5000,1.92317068576813,1.92317068576813,1.92317068576813,10095.5052009583,3803.8276313208,13899.3328322791,,,23.8199999332428,2273.26171875,15578.3394264469,15661.1071491729
2018-07-19T08:47:39Z,1531990059,CD0C,41.4356966,43.5946704,3848.23,-0.3,-3.9,172.8,581512.06,-136560.22,166.9,Weapon+Missile,Red,Allies,AIM-120B,,xu,,425.977563134601,367.598724365234,1.30938032003986,3848.23217773438,1705.88403320312,424.87760760637,-30.592529296875,0.06657315722767,NaN,0,0.993804903954726,5000,1.30708122253418,1.30708122253418,1.30708122253418,9072.84421470463,3773.82660857788,12846.6708232825,,,24.8199999332428,2142.34814453125,16001.7700570174,16085.8973091798
2018-07-19T08:47:40Z,1531990060,CD0C,41.4363219,43.5910851,3821.96,-0.3,-3.5,172.9,581603.31,-136953.45,167,Weapon+Missile,Red,Allies,AIM-120B,,xu,,404.536758020607,349.904235839844,1.24307247401935,3821.96142578125,1804.47045898438,403.682841079034,-26.270751953125,0.0344558927494357,NaN,0,0.421279424580202,5000,1.20450830459595,1.20450830459595,1.20450830459595,8182.49942949116,3748.06380161377,11930.5632311049,,,25.8199999332428,2017.49096679688,16404.0539574729,16489.2794643932
2018-07-19T08:47:41Z,1531990061,CD0C,41.4368986,43.5877046,3799.11,-0.3,-3.3,173.1,581688.31,-137324.3,167.2,Weapon+Missile,Red,Allies,AIM-120B,,xu,,381.146141590712,329.939270019531,1.17086743758226,3799.10766601562,1799.44677734375,380.460361817184,-22.853759765625,0.038501534068704,NaN,0,0.360725101832984,5000,1.19833862781525,1.19833862781525,1.19833862781525,7263.61906247437,3725.65191929321,10989.2709817676,,,26.8199999332428,1999.66088867188,16783.2355284988,16869.375250774
2018-07-19T08:47:42Z,1531990062,CD0C,41.437432,43.5844933,3779.26,-0.3,-3,173.3,581767.88,-137676.72,167.4,Weapon+Missile,Red,Allies,AIM-120B,,xu,,361.836010982025,312.985778808594,1.11127582152819,3779.26000976562,1868.63000488281,361.291252848399,-19.84765625,0.0198714160227956,NaN,0,0.376647259964062,5000,1.18844544887543,1.18844544887543,1.18844544887543,6546.26494216919,3706.18801747681,10252.452959646,,,27.8199999332428,1910.63000488281,17143.2948324929,17230.1947573541
2018-07-19T08:47:43Z,1531990063,CD0C,41.4379201,43.581462,3762.28,-0.3,-2.8,173.5,581841.75,-138009.5,167.6,Weapon+Missile,Red,Allies,AIM-120B,,xu,,341.305293698228,294.541809082031,1.04800254606213,3762.27685546875,1864.47326660156,340.882495849468,-16.983154296875,0.0288180308341524,NaN,0,0.250229823256809,5000,1.02910053730011,1.02910053730011,1.02910053730011,5824.4651753217,3689.53323246826,9513.99840778996,,,28.8199999332428,1897.80358886719,17483.0219946787,17570.546750524
2018-07-19T08:47:44Z,1531990064,CD0C,41.4383667,43.5785902,3746.39,-0.2,-2.9,173.7,581910.44,-138324.91,167.8,Weapon+Missile,Red,Allies,AIM-120B,,xu,,323.189683684757,278.179138183594,0.992183302188562,3746.38671875,1848.81262207031,322.798815356117,-15.89013671875,0.0566114857881463,NaN,0,0.253338386422384,5000,0.979945421218872,0.979945421218872,0.979945421218872,5222.57858201265,3673.95033154297,8896.52891355562,,,29.8199999332428,1897.57409667969,17804.7311633713,17892.8372454963
2018-07-19T08:47:45Z,1531990065,CD0C,41.4387731,43.5758717,3731.1,-0.2,-2.9,174,581974.19,-138623.64,168.1,Weapon+Missile,Red,Allies,AIM-120B,,xu,,305.843048132706,262.553192138672,0.938753143014074,3731.10009765625,1836.7734375,305.460781945311,-15.28662109375,0.044229759979639,NaN,0,0.255070319624659,5000,1.00499105453491,1.00499105453491,1.00499105453491,4676.99850455523,3658.95927726807,8335.95778182329,,,30.8199999332428,1894.32666015625,18109.1246482835,18197.7925405164
2018-07-19T08:47:46Z,1531990066,CD0C,41.4391454,43.5732698,3716.45,-0.1,-2.9,174.3,582033.81,-138909.67,168.4,Weapon+Missile,Red,Allies,AIM-120B,,xu,,292.547054898077,250.677276611328,0.897780752589098,3716.4453125,1817.95104980469,292.17976761159,-14.65478515625,0.0540022184639461,NaN,0.0153836804243447,0.0815647116757973,5000,1.07558786869049,1.07558786869049,1.07558786869049,4279.18896647692,3644.58784238281,7923.77680885973,,,31.8199999332428,1898.49426269531,18400.3247254968,18489.5309368521
2018-07-19T08:47:47Z,1531990067,CD0C,41.4395408,43.5707981,3702.71,-0.1,-2.8,170.7,582093.88,-139181.05,164.8,Weapon+Missile,Red,Allies,AIM-120B,,xu,,278.281394085534,237.977844238281,0.853857578250469,3702.71069335938,1838.89233398438,277.942250352929,-13.734619140625,0.123852730768319,NaN,0,3.40031448252929,2657.15528226613,3.05262422561646,3.05262422561646,3.05262422561646,3872.0267147094,3631.11878210327,7503.14549681267,,,32.8199999332428,1863.818359375,18677.3152473983,18767.0226687872
2018-07-19T08:47:48Z,1531990068,CD0C,41.440244,43.5685184,3690.18,0,-2.7,164.1,582176.62,-139428.55,158.2,Weapon+Missile,Red,Allies,AIM-120B,,xu,,261.267741003845,222.880065917969,0.801530789853955,3690.17993164062,1824.26232910156,260.967071677635,-12.53076171875,0.170410148471036,NaN,0.138453190520168,6.10938692718343,2880.64066681561,2.58887052536011,2.58887052536011,2.58887052536011,3413.0416244626,3618.83030266235,7031.87192712496,,,33.8199999332428,1865.91760253906,18937.3463035982,19027.5060016196
2018-07-19T08:47:49Z,1531990069,CD0C,41.4411757,43.5664157,3678.77,0,-2.6,161.8,582275.75,-139654.48,155.9,Weapon+Missile,Red,Allies,AIM-120B,,xu,,246.989079439709,210.292449951172,0.757619849425182,3678.7744140625,1798.20751953125,246.725595614338,-11.405517578125,0.0790188909455765,NaN,0,2.51019889380794,5000,1.00858080387115,1.00858080387115,1.00858080387115,3050.18026812375,3607.6453107666,6657.82557889035,,,34.8199999332428,1880.56689453125,19183.1856279234,19273.7516208553
2018-07-19T08:47:50Z,1531990070,CD0C,41.4420732,43.5643825,3667.84,0,-2.6,162.8,582371.38,-139872.98,156.9,Weapon+Missile,Red,Allies,AIM-120B,,xu,,238.759412208616,203.108825683594,0.732277635252511,3667.83520507812,1793.75830078125,238.508680397591,-10.939208984375,0.0252181809354576,NaN,0,0.718542784235364,5000,1.07852721214294,1.07852721214294,1.07852721214294,2850.30284591019,3596.91761138794,6447.22045729813,,,35.8199999332428,1874.07690429688,19420.8109123449,19511.7652769797
2018-07-19T08:47:51Z,1531990071,CD0C,41.4429012,43.5623915,3657.19,0,-2.6,163.7,582460.94,-140087.38,157.8,Weapon+Missile,Red,Allies,AIM-120B,,xu,,232.59012342737,197.758880615234,0.713263140439333,3657.18701171875,1782.86608886719,232.346253454065,-10.648193359375,0.00817189137348803,NaN,0,0.968269921577516,5000,1.0775545835495,1.0775545835495,1.0775545835495,2704.90827579796,3586.47530084717,6291.38357664513,,,36.8199999332428,1874.32092285156,19652.2948056926,19743.6267322763
