ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:47:20Z,1531990040,CE0A,41.4209783,43.7303387,3480.54,72.9,5.4,173.3,578782.69,-121607.16,167.4,Weapon+Missile,Red,Allies,AIM-120B,,xu,,341.947896516259,298.608612060547,1.04635496055377,3480.53930664062,2040.421875,NaN,NaN,0.902508665009665,NaN,15.6153970465366,2.73440440314232,NaN,NaN,NaN,NaN,NaN,3413.24307914673,NaN,,,0.5,1440.11743164062,NaN,NaN
2018-07-19T08:47:21Z,1531990041,CE0A,41.4217409,43.7264955,3523.27,58.9,6.4,170.7,578887.81,-122027.91,164.8,Weapon+Missile,Red,Allies,AIM-120B,,xu,,435.783599442597,380.576965332031,1.33418737686951,3523.26538085938,2065.61486816406,433.684018756744,42.72607421875,0.554605705018715,NaN,13.2614952924968,1.64099627710811,5000,2.07703304290771,2.07703304290771,2.07703304290771,9495.36727715731,3455.14304472046,12950.5103218778,,,1.5,1457.65051269531,432.207637188824,434.550507336191
2018-07-19T08:47:22Z,1531990042,CE0A,41.4229626,43.7215587,3581.77,47.9,5.8,169.8,579042.38,-122566.36,163.9,Weapon+Missile,Red,Allies,AIM-120B,,xu,,563.244337839553,483.171875,1.72565424899862,3581.7705078125,2084.03063964844,560.197584989899,58.505126953125,0.0341414072720796,NaN,10.3538564420656,1.93150129798168,5000,0.517764985561371,0.517764985561371,0.517764985561371,15862.2092054158,3512.51697504395,19374.7261804598,,,2.5,1497.73986816406,990.488864059384,996.198149415423
2018-07-19T08:47:23Z,1531990043,CE0A,41.4245208,43.7154408,3647.93,39.1,5,169.4,579237.5,-123233.28,163.5,Weapon+Missile,Red,Allies,AIM-120B,,xu,,698.02299884695,589.071044921875,2.1403211046754,3647.93359375,2061.541015625,694.880243623688,66.1630859375,0.0453695873249934,NaN,8.29228678450236,0.910133485796483,5000,0.597674012184143,0.597674012184143,0.597674012184143,24361.8053459644,3577.40079771484,27939.2061436793,,,3.5,1586.392578125,1682.97202065744,1692.22558217229
2018-07-19T08:47:24Z,1531990044,CE0A,41.4264177,43.7082958,3714.08,31.9,4.2,168.9,579471.69,-124011.52,163,Weapon+Missile,Red,Allies,AIM-120B,,xu,,815.401947289696,680.670104980469,2.50226725350375,3714.08227539062,1997.28173828125,812.714394828242,66.148681640625,0.0254999017821817,NaN,6.76926388261624,0.943548372041772,5000,0.813154637813568,0.813154637813568,0.813154637813568,33244.0167821914,3642.27049459595,36886.2872767873,,,4.5,1716.80053710938,2492.86058713191,2505.27690711125
2018-07-19T08:47:25Z,1531990045,CE0A,41.4285456,43.7006411,3771.73,26.2,3.3,168.4,579730.25,-124844.49,162.5,Weapon+Missile,Red,Allies,AIM-120B,,xu,,874.079219125253,725.549560546875,2.6842354784355,3771.7275390625,2036.36840820312,872.176303784282,57.645263671875,0,NaN,5.38459329255789,1.01865217165988,5000,1.01945519447327,1.01945519447327,1.01945519447327,38200.7240653306,3698.80118709473,41899.5252524254,,,5.5,1735.35913085938,3362.01200130448,3376.84677456433
2018-07-19T08:47:26Z,1531990046,CE0A,41.4308912,43.6926144,3817.69,21.5,2.4,167.8,580010.69,-125716.99,161.9,Weapon+Missile,Red,Allies,AIM-120B,,xu,,917.61319946667,758.6171875,2.81952049616917,3817.68994140625,1971.61108398438,916.461369292918,45.96240234375,0.0278782242123915,NaN,4.4153621285764,1.03877113419039,5000,1.07007551193237,1.07007551193237,1.07007551193237,42100.6991917729,3743.87490638916,45844.5740981621,,,6.5,1846.07885742188,4275.26590068233,4291.7992035537
2018-07-19T08:47:27Z,1531990047,CE0A,41.4334817,43.6841732,3851.56,17.6,1.6,167.2,580315.56,-126633.53,161.3,Weapon+Missile,Red,Allies,AIM-120B,,xu,,966.508969728624,796.302307128906,2.97100085349897,3851.55688476562,2179.04516601562,965.915430414785,33.866943359375,0.0307975515501176,NaN,3.67693671702798,0.991192143153784,5000,1.00898587703705,1.00898587703705,1.00898587703705,46706.9794282943,3777.08703239868,50484.066460693,,,7.5,1672.51171875,5237.7927273066,5255.49998443213
2018-07-19T08:47:28Z,1531990048,CE0A,41.4362591,43.6755032,3872.87,14.5,0.8,166.7,580638.25,-127573.94,160.8,Weapon+Missile,Red,Allies,AIM-120B,,xu,,994.457329986958,817.7353515625,3.05771640452905,3872.86987304688,2667.16101074219,994.228916143215,21.31298828125,0.0234170069890515,NaN,2.87693031992273,1.0910131167177,5000,1.32183980941772,1.32183980941772,1.32183980941772,49447.2690582395,3797.98793405151,53245.256992291,,,8.5,1205.70886230469,6228.49739014886,6247.03364550772
2018-07-19T08:47:29Z,1531990049,CE0A,41.4390249,43.6672595,3875.58,12.2,-0.6,166,580955.12,-128467.08,160.1,Weapon+Missile,Red,Allies,AIM-120B,,xu,,947.690488366307,780.422546386719,2.91401691480254,3875.57543945312,2435.26049804688,947.686626290775,2.70556640625,0,NaN,2.09227818807167,1.52062230383628,5000,1.95270454883575,1.95270454883575,1.95270454883575,44905.8630869985,3800.6411883313,48706.5042753298,,,9.5,1440.31494140625,7172.82115123864,7191.93488338662
2018-07-19T08:47:30Z,1531990050,CE0A,41.4417495,43.6595435,3853.53,10.3,-2.2,165.4,581262.75,-129301.91,159.5,Weapon+Missile,Red,Allies,AIM-120B,,xu,,889.975829768976,735.377868652344,2.73580844600091,3853.53369140625,2140.10314941406,889.702837421583,-22.041748046875,0.0569422821875929,NaN,1.90769915594124,1.53729906446851,5000,1.09246826171875,1.09246826171875,1.09246826171875,39602.8488786489,3779.02561748291,43381.8744961318,,,10.5,1713.43054199219,8059.33712212546,8079.26180759922
