ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:07:11Z,1531987631,10B,43.078608,44.2250019,322.37,0.4,-0.1,32.3,705566.88,-51602.32,25.2,Air+FixedWing,Blue,Enemies,F-15C,Blue F-15C #001,us,=VUF= MAD_MAX[401],0.099205127,0,0.000292489,322.3679504,2.367950439,NaN,NaN,NaN,NaN,0.040707927,NaN,NaN,NaN,NaN,NaN,NaN,316.1349661,NaN,,,0.849999905,320,NaN,NaN
2018-07-19T08:07:12Z,1531987632,10B,43.078608,44.2250019,322.36,0.3,-0.1,32.3,705566.88,-51602.32,25.2,Air+FixedWing,Blue,Enemies,F-15C,Blue F-15C #001,us,=VUF= MAD_MAX[401],0.007965088,0,2.35e-05,322.3599854,2.359985352,0,-0.007965088,NaN,NaN,0.070815401,0.01713201,NaN,1.000796882,0.005240209,-0.001746746,3.17e-06,316.127155,316.1271582,,,1.849999905,320,0,0.007965088
2018-07-19T08:07:13Z,1531987633,10B,43.078608,44.2250019,322.36,0.3,-0.1,32.4,705566.88,-51602.32,25.2,Air+FixedWing,Blue,Enemies,F-15C,Blue F-15C #001,us,=VUF= MAD_MAX[401],0,0,0,322.3599854,2.359985352,0,0,NaN,NaN,0,0.01713201,NaN,0.999984682,0.005235956,-0.001745328,0,316.127155,316.127155,,,2.849999905,320,0,0.007965088
2018-07-19T08:07:14Z,1531987634,10B,43.078608,44.2250019,322.36,0.3,-0.1,32.4,705566.88,-51602.32,25.2,Air+FixedWing,Blue,Enemies,F-15C,Blue F-15C #001,us,=VUF= MAD_MAX[401],0,0,0,322.3599854,2.359985352,0,0,NaN,NaN,0,0.01713201,NaN,0.999983905,0.005744757,-0.00066408,0,316.127155,316.127155,,,3.849999905,320,0,0.007965088
2018-07-19T08:07:15Z,1531987635,10B,43.078608,44.2250019,322.36,0.3,-0.1,32.4,705566.88,-51602.31,25.2,Air+FixedWing,Blue,Enemies,F-15C,Blue F-15C #001,us,=VUF= MAD_MAX[401],0.01171875,0,3.46e-05,322.3599854,2.359985352,0.01171875,0,NaN,NaN,0,0.01713201,NaN,0.999985459,0.004727156,-0.002826577,6.87e-06,316.127155,316.1271619,,,4.849999905,320,0.000379868,0.008344975
2018-07-19T08:07:16Z,1531987636,10B,43.078608,44.225002,322.36,0.3,-0.1,32.4,705566.88,-51602.31,25.2,Air+FixedWing,Blue,Enemies,F-15C,Blue F-15C #001,us,=VUF= MAD_MAX[401],0,0,0,322.3599854,2.359985352,0,0,NaN,NaN,0,0.013988227,NaN,0.999984682,0.005235956,-0.001745328,0,316.127155,316.127155,,,5.849999905,320,0.011073288,0.019038936
2018-07-19T08:07:17Z,1531987637,10B,43.078608,44.2250019,322.36,0.3,-0.1,32.4,705566.88,-51602.31,25.2,Air+FixedWing,Blue,Enemies,F-15C,Blue F-15C #001,us,=VUF= MAD_MAX[401],0,0,0,322.3599854,2.359985352,0,0,NaN,NaN,0,0.019782341,NaN,0.999984682,0.005235956,-0.001745328,0,316.127155,316.127155,,,6.849999905,320,0.021759959,0.029726148
2018-07-19T08:07:18Z,1531987638,10B,43.078608,44.2250019,322.36,0.3,-0.1,32.4,705566.88,-51602.31,25.2,Air+FixedWing,Blue,Enemies,F-15C,Blue F-15C #001,us,=VUF= MAD_MAX[401],0,0,0,322.3599854,2.359985352,0,0,NaN,NaN,0,0.026169578,NaN,0.999984682,0.005235956,-0.001745328,0,316.127155,316.127155,,,7.849999905,320,0.021759959,0.029726148
2018-07-19T08:07:19Z,1531987639,10B,43.078608,44.2250019,322.36,0.3,-0.1,32.4,705566.88,-51602.31,25.3,Air+FixedWing,Blue,Enemies,F-15C,Blue F-15C #001,us,=VUF= MAD_MAX[401],0,0,0,322.3599854,2.359985352,0,0,NaN,NaN,0,0.026169578,NaN,0.999984682,0.005235956,-0.001745328,0,316.127155,316.127155,,,8.849999905,320,0.021759959,0.029726148
2018-07-19T08:07:20Z,1531987640,10B,43.078608,44.2250019,322.36,0.3,-0.1,32.4,705566.88,-51602.31,25.3,Air+FixedWing,Blue,Enemies,F-15C,Blue F-15C #001,us,=VUF= MAD_MAX[401],0,0,0,322.3599854,2.359985352,0,0,NaN,NaN,0,0.026169578,NaN,0.999984682,0.005235956,-0.001745328,0,316.127155,316.127155,,,9.849999905,320,0.021759959,0.029726148
2018-07-19T08:07:21Z,1531987641,10B,43.078608,44.2250019,322.36,0.3,-0.1,32.4,705566.88,-51602.31,25.3,Air+FixedWing,Blue,Enemies,F-15C,Blue F-15C #001,us,=VUF= MAD_MAX[401],0,0,0,322.3599854,2.359985352,0,0,NaN,NaN,0,0.026169578,NaN,0.999984682,0.005235956,-0.001745328,0,316.127155,316.127155,,,10.8499999,320,0.021759959,0.029726148
2018-07-19T08:07:22Z,1531987642,10B,43.078608,44.2250019,322.36,0.3,-0.1,32.4,705566.88,-51602.31,25.3,Air+FixedWing,Blue,Enemies,F-15C,Blue F-15C #001,us,=VUF= MAD_MAX[401],0,0,0,322.3599854,2.359985352,0,0,NaN,NaN,0,0.01713201,NaN,0.999984682,0.005235956,-0.001745328,0,316.127155,316.127155,,,11.8499999,320,0.021759959,0.029726148
