ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:43:02Z,1531989782,37106,43.08583,44.2216839,322.33,-0.1,-0.5,34.2,706189.62,-51899.42,27.1,Air+FixedWing,Blue,Enemies,J-11A,Blue J-11A #004,cn,=UVAF= Recoba [440],0.039062491,0,0.000115169,322.3299866,2.329986572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,316.0977363,NaN,,,0.200000048,320,NaN,NaN
2018-07-19T08:43:03Z,1531989783,37106,43.0858298,44.2216837,322.24,0,-0.5,34.2,706189.62,-51899.45,27.1,Air+FixedWing,Blue,Enemies,J-11A,Blue J-11A #004,cn,=UVAF= Recoba [440],0.094058607,0,0.000277315,322.2399902,2.239990234,0.02734375,-0.089996338,NaN,NaN,0,NaN,NaN,1.01299294,0.00290329,-0.002324587,0.000442351,316.00948,316.0099224,,,1.200000048,320,0.033912393,0.09617436
2018-07-19T08:43:04Z,1531989784,37106,43.08583,44.2216839,322.28,0,-0.7,34.2,706189.62,-51899.41,27.1,Air+FixedWing,Blue,Enemies,J-11A,Blue J-11A #004,cn,=UVAF= Recoba [440],0.051251254,0,0.000151105,322.2772827,2.277282715,0.03515625,0.03729248,NaN,NaN,0,0.119515557,NaN,0.993267267,-0.003084746,-0.018164227,0.000131335,316.0460515,316.0461828,,,2.200000048,320,0.067824785,0.146581658
2018-07-19T08:43:05Z,1531989785,37106,43.0858298,44.2216837,322.25,0,-0.5,34.2,706189.62,-51899.44,27.1,Air+FixedWing,Blue,Enemies,J-11A,Blue J-11A #004,cn,=UVAF= Recoba [440],0.041483841,0,0.000122308,322.25,2.25,0.03125,-0.027282715,NaN,NaN,0,0.01713201,NaN,1.00276547,0.00127019,-0.00626874,8.6e-05,316.0192963,316.0193823,,,3.200000048,320,0.095215556,0.185242706
2018-07-19T08:43:06Z,1531989786,37106,43.0858298,44.2216836,322.25,0,-0.4,34.2,706189.62,-51899.45,27.1,Air+FixedWing,Blue,Enemies,J-11A,Blue J-11A #004,cn,=UVAF= Recoba [440],0.00390625,0,1.15e-05,322.25,2.25,0.00390625,0,NaN,NaN,0,0.071326265,NaN,0.999980513,0.000362911,-0.006272087,7.63e-07,316.0192963,316.019297,,,4.200000048,320,0.106347506,0.196375217
2018-07-19T08:43:07Z,1531989787,37106,43.0858298,44.2216837,322.25,0,-0.4,34.2,706189.62,-51899.44,27.1,Air+FixedWing,Blue,Enemies,J-11A,Blue J-11A #004,cn,=UVAF= Recoba [440],0.00390625,0,1.15e-05,322.25,2.25,0.00390625,0,NaN,NaN,0,0.046393706,NaN,0.999973087,-0.000181456,-0.007335847,7.63e-07,316.0192963,316.019297,,,5.200000048,320,0.114122199,0.204150304
2018-07-19T08:43:08Z,1531989788,37106,43.0858298,44.2216837,322.25,0,-0.4,34.2,706189.62,-51899.44,27.1,Air+FixedWing,Blue,Enemies,J-11A,Blue J-11A #004,cn,=UVAF= Recoba [440],0,0,0,322.25,2.25,0,0,NaN,NaN,0,0.031278628,NaN,0.999979675,0,-0.006355774,0,316.0192963,316.0192963,,,6.200000048,320,0.117479455,0.207507728
2018-07-19T08:43:09Z,1531989789,37106,43.0858298,44.2216837,322.25,0,-0.3,34.2,706189.62,-51899.44,27.1,Air+FixedWing,Blue,Enemies,J-11A,Blue J-11A #004,cn,=UVAF= Recoba [440],0,0,0,322.25,2.25,0,0,NaN,NaN,0,0.048456647,NaN,0.999981821,0,-0.00600828,0,316.0192963,316.0192963,,,7.200000048,320,0.117479455,0.207507728
2018-07-19T08:43:10Z,1531989790,37106,43.0858298,44.2216837,322.25,0,-0.3,34.2,706189.62,-51899.44,27.1,Air+FixedWing,Blue,Enemies,J-11A,Blue J-11A #004,cn,=UVAF= Recoba [440],0,0,0,322.25,2.25,0,0,NaN,NaN,0,0.048456647,NaN,0.999981821,0,-0.00600828,0,316.0192963,316.0192963,,,8.200000048,320,0.117479455,0.207507728
2018-07-19T08:43:11Z,1531989791,37106,43.0858298,44.2216837,322.25,0,-0.3,34.2,706189.62,-51899.44,27.1,Air+FixedWing,Blue,Enemies,J-11A,Blue J-11A #004,cn,=UVAF= Recoba [440],0,0,0,322.25,2.25,0,0,NaN,NaN,0,0.048456647,NaN,0.999981821,0,-0.00600828,0,316.0192963,316.0192963,,,9.200000048,320,0.117479455,0.207507728
