ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:06:52Z,1531987612,105,38.9461119,45.0788217,32.3,-0.3,-0.3,65.4,368482.31,10817.82,61.1,Air+FixedWing,Red,Allies,Su-27,Red Su-27 #001,xu,<51P> Rich,0.126684434,0,0.000372284,32.29856873,2.298568726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.6740759,NaN,,,0.25,30,NaN,NaN
2018-07-19T08:06:53Z,1531987613,105,38.9461114,45.0788216,32.18,0.1,-0.1,65.4,368482.25,10817.8,61.2,Air+FixedWing,Red,Allies,Su-27,Red Su-27 #001,xu,<51P> Rich,0.135475589,0,0.000398118,32.17952347,2.179523468,0.064667317,-0.119045258,NaN,NaN,0.200000012,NaN,NaN,1.01934287,-0.000470269,0.00797829,0.000917682,31.55733238,31.55825006,,,1.25,30,0.042995543,0.126571754
2018-07-19T08:06:54Z,1531987614,105,38.9461117,45.0788217,32.25,0,-0.2,65.4,368482.28,10817.81,61.2,Air+FixedWing,Red,Allies,Su-27,Red Su-27 #001,xu,<51P> Rich,0.077710176,0,0.000228365,32.25,2.25,0.032740341,0.070476532,NaN,NaN,0.133325293,0.091726979,NaN,0.992989866,0.000662521,-0.006738411,0.000301944,31.62644625,31.62674819,,,2.25,30,0.073164863,0.203234253
2018-07-19T08:06:55Z,1531987615,105,38.9461118,45.0788217,32.25,0,-0.2,65.4,368482.28,10817.81,61.2,Air+FixedWing,Red,Allies,Su-27,Red Su-27 #001,xu,<51P> Rich,0.001903534,0,5.59e-06,32.25190353,2.251903534,0,0.001903534,NaN,NaN,0,0.01713201,NaN,0.99960434,0,-0.003821608,1.81e-07,31.62831298,31.62831316,,,3.25,30,0.077531882,0.207998126
2018-07-19T08:06:56Z,1531987616,105,38.9461118,45.0788217,32.25,0,-0.3,65.4,368482.28,10817.81,61.2,Air+FixedWing,Red,Allies,Su-27,Red Su-27 #001,xu,<51P> Rich,0.001903534,0,5.59e-06,32.25,2.25,0,-0.001903534,NaN,NaN,0,0.060973279,NaN,0.999694433,0,-0.005234437,1.81e-07,31.62644625,31.62644643,,,4.25,30,0.077859407,0.209929633
2018-07-19T08:06:57Z,1531987617,105,38.9461116,45.0788217,32.25,0,-0.3,65.4,368482.28,10817.81,61.2,Air+FixedWing,Red,Allies,Su-27,Red Su-27 #001,xu,<51P> Rich,0.004764557,0,1.4e-05,32.24523544,2.245235443,0,-0.004764557,NaN,NaN,0,0.044234663,NaN,1.001603573,0,-0.005244433,1.14e-06,31.62177382,31.62177495,,,5.25,30,0.093253162,0.226043946
2018-07-19T08:06:58Z,1531987618,105,38.9461117,45.0788217,32.26,0,-0.3,65.4,368482.28,10817.81,61.2,Air+FixedWing,Red,Allies,Su-27,Red Su-27 #001,xu,<51P> Rich,0.011096954,0,3.26e-05,32.2563324,2.256332397,0,0.011096954,NaN,NaN,0,0.00989117,NaN,0.998208897,0,-0.005226659,6.16e-06,31.63265621,31.63266237,,,6.25,30,0.101113803,0.239642943
2018-07-19T08:06:59Z,1531987619,105,38.9461117,45.0788217,32.25,-0.1,-0.3,65.4,368482.28,10817.81,61.2,Air+FixedWing,Red,Allies,Su-27,Red Su-27 #001,xu,<51P> Rich,0.006332397,0,1.86e-05,32.25,2.25,0,-0.006332397,NaN,NaN,0.038085135,0.00989117,NaN,1.000630396,-0.001746326,-0.005239345,2e-06,31.62644625,31.62644825,,,7.25,30,0.10120381,0.245975981
2018-07-19T08:07:00Z,1531987620,105,38.9461117,45.0788217,32.25,-0.1,-0.3,65.4,368482.28,10817.81,61.2,Air+FixedWing,Red,Allies,Su-27,Red Su-27 #001,xu,<51P> Rich,0,0,0,32.25,2.25,0,0,NaN,NaN,0,0.00989117,NaN,0.999984682,-0.001745199,-0.005235964,0,31.62644625,31.62644625,,,8.25,30,0.101578841,0.246351013
2018-07-19T08:07:01Z,1531987621,105,38.9461117,45.0788217,32.25,-0.1,-0.3,65.4,368482.28,10817.81,61.2,Air+FixedWing,Red,Allies,Su-27,Red Su-27 #001,xu,<51P> Rich,0,0,0,32.25,2.25,0,0,NaN,NaN,0,0.00989117,NaN,0.999984682,-0.001745199,-0.005235964,0,31.62644625,31.62644625,,,9.25,30,0.101953871,0.246726045
