ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:06:25Z,1531987585,10C,38.9494943,45.0799627,32.1,0.4,0.2,65.5,368739.16,10964.2,61.2,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,<51>Teknetinium,0.399088015,0.371545464,0.001172786,32.09999847,2.099998474,NaN,NaN,NaN,NaN,1.133331475,NaN,NaN,NaN,NaN,NaN,NaN,31.479345,NaN,,,0.639999866,30,NaN,NaN
2018-07-19T08:06:26Z,1531987586,10C,38.9494954,45.0799631,32.26,0.2,-0.2,65.5,368739.25,10964.25,61.2,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,<51>Teknetinium,0.19351333,0.262722313,0.000568672,32.26238251,2.262382507,0.105256043,0.162384033,NaN,NaN,0.27621285,0.051396036,NaN,0.980515605,0.004915319,-0.017001105,0.00187237,31.63858934,31.64046171,,,1.639999866,30,0.09329215,0.187275432
2018-07-19T08:06:27Z,1531987587,10C,38.9494952,45.079963,32.23,0.1,-0.2,65.5,368739.22,10964.24,61.2,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,<51>Teknetinium,0.042745232,0,0.000125614,32.23428345,2.234283447,0.032211763,-0.02809906,NaN,NaN,0,0.128965191,NaN,1.004472713,0.000916087,-0.000330027,9.14e-05,31.61103358,31.61112493,,,2.639999866,30,0.108886136,0.21941158
2018-07-19T08:06:28Z,1531987588,10C,38.9494953,45.079963,32.25,0.1,-0.2,65.5,368739.22,10964.24,61.2,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,<51>Teknetinium,0.015716553,0,4.62e-05,32.25,2.25,0,0.015716553,NaN,NaN,0,0.067085198,NaN,0.998389622,0.00174252,-0.003485057,1.24e-05,31.62644625,31.6264586,,,3.639999866,30,0.115249386,0.236367447
2018-07-19T08:06:29Z,1531987589,10C,38.9494953,45.079963,32.25,0.1,-0.3,65.5,368739.22,10964.24,61.3,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,<51>Teknetinium,0,0,0,32.25,2.25,0,0,NaN,NaN,0,0.070637103,NaN,0.999984682,0.001745304,-0.005235964,0,31.62644625,31.62644625,,,4.639999866,30,0.116746619,0.237864688
2018-07-19T08:06:30Z,1531987590,10C,38.9494953,45.079963,32.25,0.1,-0.3,65.5,368739.22,10964.24,61.3,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,<51>Teknetinium,0,0,0,32.25,2.25,0,0,NaN,NaN,0,0,NaN,0.999984682,0.001745304,-0.005235964,0,31.62644625,31.62644625,,,5.639999866,30,0.119058526,0.240176606
2018-07-19T08:06:31Z,1531987591,10C,38.9494953,45.079963,32.25,0,-0.3,65.5,368739.22,10964.24,61.3,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,<51>Teknetinium,0,0,0,32.25,2.25,0,0,NaN,NaN,0.064914118,0,NaN,0.999985814,0.000838708,-0.005235964,0,31.62644625,31.62644625,,,6.639999866,30,0.121370434,0.242488525
2018-07-19T08:06:32Z,1531987592,10C,38.9494953,45.079963,32.25,0,-0.3,65.5,368739.22,10964.24,61.3,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,<51>Teknetinium,0,0,0,32.25,2.25,0,0,NaN,NaN,0.019801365,0,NaN,0.999986112,0.000444882,-0.005235964,0,31.62644625,31.62644625,,,7.639999866,30,0.121370434,0.242488525
2018-07-19T08:06:33Z,1531987593,10C,38.9494953,45.079963,32.25,0,-0.3,65.5,368739.22,10964.24,61.3,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,<51>Teknetinium,0,0,0,32.25,2.25,0,0,NaN,NaN,0.140592614,0,NaN,0.999986172,7.37e-05,-0.005235964,0,31.62644625,31.62644625,,,8.639999866,30,0.121370434,0.242488525
2018-07-19T08:06:34Z,1531987594,10C,38.9494953,45.079963,32.25,0,-0.3,65.5,368739.22,10964.24,61.3,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,<51>Teknetinium,0,0,0,32.25,2.25,0,0,NaN,NaN,0.059613891,0,NaN,0.999985874,0.000782436,-0.005235964,0,31.62644625,31.62644625,,,9.639999866,30,0.121370434,0.242488525
2018-07-19T08:06:35Z,1531987595,10C,38.9494953,45.079963,32.25,0,-0.3,65.5,368739.22,10964.24,61.3,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,<51>Teknetinium,0,0,0,32.25,2.25,0,0,NaN,NaN,0.047619052,0,NaN,0.999985993,0.000615012,-0.005235964,0,31.62644625,31.62644625,,,10.63999987,30,0.121370434,0.242488525
2018-07-19T08:06:36Z,1531987596,10C,38.9494953,45.079963,32.25,0.1,-0.3,65.5,368739.22,10964.24,61.3,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,<51>Teknetinium,0,0,0,32.25,2.25,0,0,NaN,NaN,0.047619052,0,NaN,0.999985158,0.00144611,-0.005235964,0,31.62644625,31.62644625,,,11.63999987,30,0.121370434,0.242488525
2018-07-19T08:06:37Z,1531987597,10C,38.9494953,45.079963,32.25,0.1,-0.3,65.5,368739.22,10964.24,61.3,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,<51>Teknetinium,0,0,0,32.25,2.25,0,0,NaN,NaN,0.008196227,0,NaN,0.999984801,0.001653978,-0.005235964,0,31.62644625,31.62644625,,,12.63999987,30,0.121370434,0.242488525
2018-07-19T08:06:38Z,1531987598,10C,38.9494953,45.079963,32.25,0.1,-0.3,65.5,368739.22,10964.24,61.3,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,<51>Teknetinium,0,0,0,32.25,2.25,0,0,NaN,NaN,0.008196227,0,NaN,0.999985039,0.00151128,-0.005235964,0,31.62644625,31.62644625,,,13.63999987,30,0.121370434,0.242488525
2018-07-19T08:06:39Z,1531987599,10C,38.9494953,45.079963,32.25,0.1,-0.3,65.5,368739.22,10964.24,61.3,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,<51>Teknetinium,0,0,0,32.25,2.25,0,0,NaN,NaN,0.008196227,0,NaN,0.999985278,0.001368581,-0.005235964,0,31.62644625,31.62644625,,,14.63999987,30,0.121370434,0.242488525
2018-07-19T08:06:40Z,1531987600,10C,38.9494953,45.079963,32.25,0.1,-0.3,65.5,368739.22,10964.24,61.3,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,<51>Teknetinium,0,0,0,32.25,2.25,0,0,NaN,NaN,0.008196227,0,NaN,0.999985456,0.001225883,-0.005235964,0,31.62644625,31.62644625,,,15.63999987,30,0.121370434,0.242488525
2018-07-19T08:06:41Z,1531987601,10C,38.9494953,45.079963,32.25,0.1,-0.3,65.5,368739.22,10964.24,61.3,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,<51>Teknetinium,0,0,0,32.25,2.25,0,0,NaN,NaN,0.008196227,0,NaN,0.999985635,0.001083185,-0.005235964,0,31.62644625,31.62644625,,,16.63999987,30,0.121370434,0.242488525
2018-07-19T08:06:42Z,1531987602,10C,38.9494953,45.079963,32.25,0.1,-0.3,65.5,368739.22,10964.24,61.3,Air+FixedWing,Red,Allies,J-11A,Red J-11A #001,xu,<51>Teknetinium,0,0,0,32.25,2.25,0,0,NaN,NaN,0.008196227,0,NaN,0.999985695,0.000940487,-0.005235964,0,31.62644625,31.62644625,,,17.63999987,30,0.121370434,0.242488525
