ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:41:14Z,1531989674,36F05,38.946112,45.0788217,32.29,-0.2,-0.4,65.4,368482.28,10817.81,61.1,Air+FixedWing,Red,Allies,Su-27,Red Su-27 #001,xu,<51P> Rich,0.161815502,0,0.000475523,32.28523636,2.285236359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.66100131,NaN,,,0.339999914,30,NaN,NaN
2018-07-19T08:41:15Z,1531989675,36F05,38.946112,45.0788217,32.32,-0.2,-0.2,65.4,368482.28,10817.82,61.2,Air+FixedWing,Red,Allies,Su-27,Red Su-27 #001,xu,<51P> Rich,0.039171496,0,0.000115112,32.32380676,2.323806763,0.006835938,0.038570404,NaN,NaN,0.199987939,NaN,NaN,0.993486366,-0.004828369,-0.001240123,7.67e-05,31.69882596,31.69890268,,,1.339999914,30,0.004240743,0.038802837
2018-07-19T08:41:16Z,1531989676,36F05,38.9461121,45.0788218,32.3,-0.2,-0.5,65.4,368482.31,10817.83,61.2,Air+FixedWing,Red,Allies,Su-27,Red Su-27 #001,xu,<51P> Rich,0.041116616,0,0.000120828,32.29857254,2.29857254,0.032462442,-0.025234222,NaN,NaN,0,0.200281344,NaN,0.996594453,-0.002938906,-0.015673592,8.45e-05,31.67407964,31.67416417,,,2.339999914,30,0.018313413,0.067695881
2018-07-19T08:41:17Z,1531989677,36F05,38.9461117,45.0788217,32.24,-0.1,-0.4,65.4,368482.28,10817.81,61.2,Air+FixedWing,Red,Allies,Su-27,Red Su-27 #001,xu,<51P> Rich,0.068397457,0,0.000200998,32.24095154,2.240951538,0.036851489,-0.057621002,NaN,NaN,0.095232474,0.03830834,NaN,1.006798848,-0.001546972,-0.003276887,0.000233911,31.61757274,31.61780665,,,3.339999914,30,0.050612009,0.13375184
2018-07-19T08:41:18Z,1531989678,36F05,38.9461118,45.0788217,32.25,-0.1,-0.3,65.4,368482.28,10817.81,61.2,Air+FixedWing,Red,Allies,Su-27,Red Su-27 #001,xu,<51P> Rich,0.009048462,0,2.66e-05,32.25,2.25,0,0.009048462,NaN,NaN,0,0.052339163,NaN,0.999510509,-0.001744372,-0.005233482,4.09e-06,31.62644625,31.62645034,,,4.339999914,30,0.055775371,0.144169865
2018-07-19T08:41:19Z,1531989679,36F05,38.9461117,45.0788217,32.25,-0.1,-0.3,65.4,368482.28,10817.81,61.2,Air+FixedWing,Red,Allies,Su-27,Red Su-27 #001,xu,<51P> Rich,0.004398346,0,1.29e-05,32.25439835,2.254398346,0,0.004398346,NaN,NaN,0,0.03830834,NaN,1.000107212,-0.001745413,-0.005236606,9.67e-07,31.63075955,31.63076052,,,5.339999914,30,0.060938734,0.15095264
2018-07-19T08:41:20Z,1531989680,36F05,38.9461118,45.0788217,32.26,-0.1,-0.3,65.4,368482.28,10817.81,61.2,Air+FixedWing,Red,Allies,Su-27,Red Su-27 #001,xu,<51P> Rich,0.005599976,0,1.65e-05,32.25999832,2.259998322,0,0.005599976,NaN,NaN,0,0.00989117,NaN,0.998394123,-0.001742423,-0.005227636,1.57e-06,31.63625125,31.63625282,,,6.339999914,30,0.068666143,0.160495867
2018-07-19T08:41:21Z,1531989681,36F05,38.9461117,45.0788217,32.25,-0.1,-0.3,65.4,368482.28,10817.81,61.2,Air+FixedWing,Red,Allies,Su-27,Red Su-27 #001,xu,<51P> Rich,0.009998322,0,2.94e-05,32.25,2.25,0,-0.009998322,NaN,NaN,0,0.00989117,NaN,1.001004211,-0.001746978,-0.005241303,5e-06,31.62644625,31.62645125,,,7.339999914,30,0.074664211,0.172155353
2018-07-19T08:41:22Z,1531989682,36F05,38.9461117,45.0788217,32.25,-0.1,-0.3,65.4,368482.28,10817.81,61.2,Air+FixedWing,Red,Allies,Su-27,Red Su-27 #001,xu,<51P> Rich,0,0,0,32.25,2.25,0,0,NaN,NaN,0,0.00989117,NaN,0.999984682,-0.001745199,-0.005235964,0,31.62644625,31.62644625,,,8.339999914,30,0.076101725,0.173592874
2018-07-19T08:41:23Z,1531989683,36F05,38.9461117,45.0788217,32.25,-0.1,-0.3,65.4,368482.28,10817.81,61.2,Air+FixedWing,Red,Allies,Su-27,Red Su-27 #001,xu,<51P> Rich,0,0,0,32.25,2.25,0,0,NaN,NaN,0,0.00989117,NaN,0.999984682,-0.001745199,-0.005235964,0,31.62644625,31.62644625,,,9.339999914,30,0.076475863,0.173967015
2018-07-19T08:41:24Z,1531989684,36F05,38.9461117,45.0788217,32.25,-0.1,-0.3,65.4,368482.28,10817.81,61.2,Air+FixedWing,Red,Allies,Su-27,Red Su-27 #001,xu,<51P> Rich,0,0,0,32.25,2.25,0,0,NaN,NaN,0,0.00989117,NaN,0.999984682,-0.001745199,-0.005235964,0,31.62644625,31.62644625,,,10.33999991,30,0.076850001,0.174341154
