UnixTime,102,103,105,107,10C,10D,207,36F05
1,上升飞行,静止,静止,静止,静止,静止,静止,静止
2,上升飞行,静止,静止,静止,静止,静止,静止,静止
3,上升飞行,静止,静止,静止,静止,静止,静止,静止
4,上升飞行,静止,静止,静止,静止,静止,静止,静止
5,上升飞行,静止,静止,静止,静止,静止,静止,静止
6,平飞,静止,静止,静止,静止,静止,静止,静止
7,平飞,静止,静止,静止,静止,静止,静止,静止
8,平飞,静止,静止,静止,静止,静止,静止,静止
9,平飞,静止,静止,静止,静止,静止,静止,静止
10,平飞,静止,静止,静止,静止,静止,静止,静止
11,平飞,静止,静止,静止,静止,静止,静止,静止
12,平飞,静止,静止,静止,静止,静止,静止,静止
13,平飞,静止,静止,静止,静止,静止,静止,静止
14,平飞,静止,静止,静止,静止,静止,静止,静止
15,平飞,静止,静止,静止,静止,静止,静止,静止
16,平飞,静止,静止,静止,静止,静止,静止,静止
17,平飞,静止,静止,静止,静止,静止,静止,静止
18,平飞,静止,静止,静止,静止,静止,静止,静止
19,平飞,静止,静止,静止,静止,静止,静止,静止
20,平飞,静止,静止,静止,静止,静止,静止,静止
21,平飞,静止,静止,静止,静止,静止,静止,静止
22,平飞,静止,静止,静止,静止,静止,静止,静止
23,平飞,静止,静止,静止,静止,静止,静止,静止
24,平飞,静止,静止,静止,静止,静止,静止,静止
25,平飞,静止,静止,静止,静止,静止,静止,静止
26,平飞,静止,静止,静止,静止,静止,静止,静止
27,平飞,静止,静止,静止,静止,静止,静止,静止
28,平飞,静止,静止,静止,静止,静止,静止,静止
29,平飞,静止,静止,静止,静止,静止,静止,静止
30,平飞,静止,静止,静止,静止,静止,静止,静止
31,平飞,静止,静止,静止,静止,静止,静止,静止
32,平飞,静止,静止,静止,静止,静止,静止,静止
33,平飞,静止,静止,静止,静止,静止,静止,静止
34,平飞,静止,静止,静止,静止,静止,静止,静止
35,平飞,静止,静止,静止,静止,静止,静止,静止
36,平飞,静止,静止,静止,静止,静止,静止,静止
37,平飞,静止,静止,静止,静止,静止,静止,静止
38,平飞,静止,静止,静止,静止,静止,静止,静止
39,平飞,静止,静止,静止,静止,静止,静止,静止
40,平飞,静止,静止,静止,静止,静止,静止,静止
41,平飞,静止,静止,静止,静止,静止,静止,静止
42,平飞,静止,静止,静止,静止,静止,静止,静止
43,平飞,静止,静止,静止,静止,静止,静止,静止
44,平飞,静止,静止,静止,静止,静止,静止,静止
45,平飞,静止,静止,静止,静止,静止,静止,静止
46,平飞,静止,静止,静止,静止,静止,静止,静止
47,平飞,静止,静止,静止,静止,静止,静止,静止
48,平飞,静止,静止,静止,静止,静止,静止,静止
49,平飞,静止,静止,静止,静止,静止,静止,静止
50,平飞,静止,静止,静止,静止,静止,静止,静止
51,平飞,静止,静止,静止,静止,静止,静止,静止
52,平飞,静止,静止,静止,静止,静止,静止,静止
53,平飞,静止,静止,静止,静止,静止,静止,静止
54,平飞,静止,静止,静止,静止,静止,静止,静止
55,平飞,静止,静止,静止,静止,静止,静止,静止
56,平飞,静止,静止,静止,静止,静止,静止,静止
57,平飞,静止,静止,静止,静止,静止,静止,静止
