ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:36:00Z,1531989360,10A06,41.2130806,44.3537886,3717.92,11.2,-2.4,255.6,555081.62,-54032.8,249.8,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,245.2165928,208.3421021,0.752544677,3717.920654,2968.651672,NaN,NaN,5.356595408,NaN,4.076912595,0.470835865,NaN,NaN,NaN,NaN,NaN,3646.034658,NaN,,,0.539999962,749.2689819,NaN,NaN
2018-07-19T08:36:01Z,1531989361,10A06,41.2093443,44.353099,3670.24,8.6,-3.7,255.7,554791.5,-54139.46,249.9,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,312.7640921,269.5531006,0.959279103,3670.241455,2928.107727,309.1085105,-47.67919922,4.304226625,NaN,1.938407686,2.470390844,5000,1.990172863,1.990172863,1.990172863,4891.068866,3599.277337,8490.346203,,,1.539999962,742.133728,307.1523647,311.0067447
2018-07-19T08:36:02Z,1531989362,10A06,41.2027742,44.3520643,3602.51,4.1,-7.6,259.8,554279.38,-54307.21,254,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,543.1371092,466.6713867,1.664473166,3602.512939,2900.240112,538.8977339,-67.72851563,0.317976787,NaN,4.615404709,4.895194017,5000,7.18585825,7.18585825,7.18585825,14749.89597,3532.858352,18282.75432,,,2.539999962,702.2728271,842.6541147,851.0774379
2018-07-19T08:36:03Z,1531989363,10A06,41.1930987,44.3512218,3466.55,-0.5,-11.7,266.3,553517.56,-54478.49,260.5,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,792.5800042,670.0358276,2.42486735,3466.549072,2778.855286,780.8308971,-135.9638672,0.592943843,NaN,4.384598957,5.738155047,5000,6.128169537,6.128169537,6.128169537,31409.15315,3399.523346,34808.6765,,,3.539999962,687.6937866,1618.517583,1639.187615
2018-07-19T08:36:04Z,1531989364,10A06,41.181101,44.3507767,3262.45,-1.2,-12.3,268.1,552566.12,-54624.14,262.3,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,983.9214609,833.3632813,3.002792608,3262.454346,2503.846252,962.5210563,-204.0947266,0.070841085,NaN,0.969231164,3.271508641,5000,3.140254259,3.140254259,3.140254259,48405.07206,3199.374791,51604.44685,,,4.539999962,758.6080933,2574.83379,2617.533388
2018-07-19T08:36:05Z,1531989365,10A06,41.1690192,44.3506031,3044.76,-1.8,-12.9,269.6,551604.94,-54740.14,263.9,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,992.3351392,849.0587158,3.020488674,3044.756104,2326.628601,968.1614039,-217.6982422,0.050108405,NaN,0.446147957,1.60736624,5000,2.160351753,2.160351753,2.160351753,49236.45143,2985.885744,52222.33717,,,5.539999962,718.1275024,3536.761933,3604.251949
2018-07-19T08:36:06Z,1531989366,10A06,41.1568232,44.3506088,2821.72,-1.5,-12.7,270.4,550632.62,-54837.01,264.6,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1002.257161,866.4788818,3.042496585,2821.7229,2111.836975,977.1261978,-223.0332031,0.053690375,NaN,0.569251017,0.782052498,5000,2.230009556,2.230009556,2.230009556,50225.97081,2767.164888,52993.1357,,,6.539999962,709.8859253,4507.588136,4600.803213
2018-07-19T08:36:07Z,1531989367,10A06,41.1445981,44.3506655,2609.97,-0.4,-11.6,270.3,549657.5,-54928.27,264.5,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1002.016352,875.0059204,3.034049647,2609.969971,1879.363464,979.3862705,-211.7529297,0.077405633,NaN,1.338435545,1.134975629,5000,4.260038376,4.260038376,4.260038376,50201.83851,2559.506201,52761.34471,,,7.539999962,730.6065063,5480.748085,5597.139637
2018-07-19T08:36:08Z,1531989368,10A06,41.1323342,44.3505912,2427.76,2.6,-8.7,266.4,548680.62,-55034.26,260.6,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,999.3593175,880.2678223,3.019429187,2427.761475,1775.133057,982.6083194,-182.2084961,0.137038682,NaN,4.230769436,4.756323038,5000,13.090415,13.090415,13.090415,49935.95227,2380.820706,52316.77298,,,8.539999962,652.628418,6457.00942,6590.638036
2018-07-19T08:36:09Z,1531989369,10A06,41.1204209,44.3495501,2306.97,4.2,-6.6,262,547742.5,-55244.71,256.3,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,968.9988014,858.9003296,2.923495546,2306.973877,1611.448364,961.4411232,-120.7875977,0.070745973,NaN,0.107698423,4.482048254,5000,2.834964991,2.834964991,2.834964991,46947.93386,2262.368537,49210.3024,,,9.539999962,695.5255127,7412.39548,7553.981106
