ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:36:03Z,1531989363,1240B,40.9461928,44.113303,1582.38,-81.7,0,316.3,536409.19,-82861.54,310.7,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,352.707942,332.5449219,1.055087237,1582.378418,582.5702515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1551.783131,NaN,,,0.430000067,999.8081665,NaN,NaN
2018-07-19T08:36:04Z,1531989364,1240B,40.9424243,44.1161916,1589.62,-68.8,-0.3,315.8,536076.38,-82569.92,310.2,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,442.5575495,416.0170288,1.323974472,1589.619995,641.2546387,442.4982985,7.241577148,0.76760684,NaN,9.615376389,1.686281238,5000,1.085873485,1.085873485,1.085873485,9792.859232,1558.884693,11351.74392,,,1.430000067,948.3653564,440.5837941,440.7528441
2018-07-19T08:36:05Z,1531989365,1240B,40.9375902,44.1197824,1578.11,-58.4,-1.4,315.6,535650.75,-82208.54,310,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,558.4681982,520.1937256,1.670513222,1578.106934,679.9553833,558.3495122,-11.51306152,0.030810384,NaN,10.29231644,1.856415534,5000,0.777852893,0.777852893,0.777852893,15594.33642,1547.594236,17141.93066,,,2.430000067,898.1515503,996.4898,996.9160744
2018-07-19T08:36:06Z,1531989366,1240B,40.9316406,44.1241438,1560.39,-49,-1.6,315.5,535127.56,-81770.2,309.9,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,682.7719046,631.6381836,2.041913253,1560.38916,591.6409302,682.5419799,-17.71777344,0.060630258,NaN,9.061523179,0.184517707,5000,0.792356908,0.792356908,0.792356908,23308.87369,1530.219036,24839.09272,,,3.430000067,968.74823,1676.022189,1676.846539
2018-07-19T08:36:07Z,1531989367,1240B,40.9247128,44.129216,1537.52,-41.2,-1.7,315.5,534518.56,-81260.43,309.9,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,794.5270086,732.6182251,2.37549654,1537.515381,598.0475464,794.1976817,-22.8737793,0.040716099,NaN,7.44616295,0.158875923,5000,0.803550661,0.803550661,0.803550661,31563.65837,1507.787521,33071.44589,,,4.430000067,939.4678345,2466.753844,2468.100915
2018-07-19T08:36:08Z,1531989368,1240B,40.9173139,44.1346271,1511.11,-34.6,-1.8,315.5,533868.25,-80716.62,309.9,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,848.1314577,781.8443604,2.53498385,1511.113037,601.7419434,847.7204054,-26.40234375,0.051659277,NaN,6.353831287,0.121141689,5000,0.952748299,0.952748299,0.952748299,35966.34848,1481.895667,37448.24414,,,5.430000067,909.3710938,3310.730272,3312.691822
2018-07-19T08:36:09Z,1531989369,1240B,40.9096741,44.1402485,1482.88,-29,-1.8,315.9,533196.5,-80151.27,310.3,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,878.4461775,810.2764282,2.624727844,1482.877686,636.3026733,877.9922845,-28.23535156,0.043996127,NaN,5.292296946,0.206297166,5000,1.217521906,1.217521906,1.217521906,38583.38434,1454.206245,40037.59059,,,6.430000067,846.5750122,4184.870096,4187.492598
2018-07-19T08:36:10Z,1531989370,1240B,40.9017567,44.1461007,1455.52,-24.1,-1.6,315.4,532500.25,-79562.34,309.8,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,912.3324838,842.0314331,2.725109126,1455.522217,678.2759399,911.922277,-27.35546875,0.08675642,NaN,4.784646551,0.632583946,5000,2.274480343,2.274480343,2.274480343,41617.52805,1427.379695,43044.90774,,,7.430000067,777.2462769,5092.847658,5096.091205
2018-07-19T08:36:11Z,1531989371,1240B,40.8934834,44.151938,1424.16,-20.8,-2.5,313.7,531775.81,-78977.78,308.2,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,931.4001843,860.5841675,2.781048638,1424.164673,599.5574951,930.8721759,-31.35754395,0.017286043,NaN,3.276882292,1.560742622,5000,2.349945068,2.349945068,2.349945068,43375.31517,1396.628449,44771.94362,,,8.430000067,824.6071777,6019.635016,6023.617997
2018-07-19T08:36:12Z,1531989372,1240B,40.8855165,44.1572881,1379.24,-17.8,-3.1,312.2,531081.12,-78444.91,306.6,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,876.6784281,812.4782104,2.616288892,1379.236084,566.8658447,875.5264064,-44.92858887,0.074632031,NaN,3.215383269,1.709939139,5000,3.265381575,3.265381575,3.265381575,38428.25332,1352.568554,39780.82187,,,9.430000067,812.3702393,6891.176856,6896.5084
2018-07-19T08:36:13Z,1531989373,1240B,40.8778804,44.162048,1336.54,-14.9,-3.3,308.8,530419.44,-77974.98,303.3,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,812.6993756,755.7205811,2.42415221,1336.535278,627.114502,811.5768086,-42.70080566,0.295052162,NaN,2.584605054,3.21311714,5000,5.709139824,5.709139824,5.709139824,33024.01375,1310.693369,34334.70712,,,10.43000007,709.4207764,7699.042323,7705.673336
