ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:37:00Z,1531989420,1CC09,41.0413511,44.2464664,1140.32,-4.2,-5.6,235.1,542569.31,-67322.62,229.4,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,151.0106128,143.3060455,0.449417839,1140.322266,480.8652954,NaN,NaN,7.327134827,NaN,1.353798135,3.699080631,NaN,NaN,NaN,NaN,NaN,1118.274135,NaN,,,0.639999866,659.4569702,NaN,NaN
2018-07-19T08:37:01Z,1531989421,1CC09,41.0389707,44.2452863,1089.59,-4,-6.4,234.9,542392.12,-67472.46,229.2,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,237.5290956,226.8057556,0.706488585,1089.589111,441.6047974,232.0478794,-50.7331543,2.951839654,NaN,1.338468629,0.983461436,1785.320839,4.891232491,4.891232491,4.891232491,2821.003563,1068.521906,3889.525469,,,1.639999866,647.984314,230.8391485,236.3878107
2018-07-19T08:37:02Z,1531989422,1CC09,41.0342796,44.242763,1048.21,-0.2,-1.2,232.4,542045.06,-67789.71,226.7,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,472.0300493,451.8476257,1.403300277,1048.207642,408.0720825,470.2126555,-41.38146973,0.736245937,NaN,4.153839308,2.891955242,5000,4.246645927,4.246645927,4.246645927,11140.61837,1027.940547,12168.55892,,,2.639999866,640.1355591,698.6576918,706.1111082
2018-07-19T08:37:03Z,1531989423,1CC09,41.0269991,44.238979,1030.62,-1.3,-2.9,235.6,541505,-68267.34,229.9,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,721.1864757,681.4797974,2.143583785,1030.619995,365.0053711,720.971988,-17.58764648,0.13260384,NaN,2.276966503,1.934439133,5000,4.914338112,4.914338112,4.914338112,26005.49664,1010.692958,27016.1896,,,3.639999866,665.614624,1415.987074,1423.772931
2018-07-19T08:37:04Z,1531989424,1CC09,41.0177858,44.2346863,969.98,-2.2,-4.6,238.9,540816,-68816.61,233.3,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,883.2272503,833.7022705,2.623384661,969.9846191,346.4003296,881.1434201,-60.63537598,0.186760576,NaN,0.461556863,3.706520828,5000,5.690530777,5.690530777,5.690530777,39004.51878,951.2299665,39955.74875,,,4.639999866,623.5842896,2292.522376,2302.540135
2018-07-19T08:37:05Z,1531989425,1CC09,41.0082332,44.2308279,902.29,-1.8,-4.3,241.8,540095,-69320.2,236.2,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,882.0601578,835.1533203,2.617878769,902.2907715,328.7473145,879.4587341,-67.69384766,0.134557599,NaN,0.292290262,2.477280584,5000,2.219193459,2.219193459,2.219193459,38901.5061,884.8449794,39786.35108,,,5.639999866,573.543457,3167.17832,3179.939738
2018-07-19T08:37:06Z,1531989426,1CC09,40.9985154,44.227097,835.23,-1.5,-4.3,242,539359.38,-69810.84,236.3,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,886.7706344,842.0895996,2.62983262,835.2276611,287.0701904,884.2311334,-67.06311035,0.048466501,NaN,0.353879571,0.537600081,5000,0.985824823,0.985824823,0.985824823,39318.1079,819.0785343,40137.18644,,,6.639999866,548.1574707,4046.588186,4062.022424
2018-07-19T08:37:07Z,1531989427,1CC09,40.9887647,44.2233569,767.83,-1.3,-4.4,242,538621.12,-70302.65,236.3,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,889.6265243,847.3297119,2.636263678,767.8276978,214.8276978,887.069669,-67.39996338,0.043254504,NaN,0.199987939,0.050435277,5000,0.985754669,0.985754669,0.985754669,39571.76764,752.9817492,40324.74939,,,7.639999866,553,4928.838551,4946.954119
2018-07-19T08:37:08Z,1531989428,1CC09,40.9790117,44.2196147,700.29,-1.1,-4.4,242,537882.62,-70794.63,236.3,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,889.9392105,850.1968384,2.635151765,700.2930908,163.9159546,887.3730192,-67.53460693,0.057712451,NaN,0.20004258,0.050435277,5000,0.986876011,0.986876011,0.986876011,39599.58992,686.7529239,40286.34284,,,8.639999866,536.3771362,5811.403626,5832.200603
2018-07-19T08:37:09Z,1531989429,1CC09,40.9692772,44.215878,632.78,-0.9,-4.4,242,537145.38,-71285.75,236.3,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,888.4212369,851.3348389,2.628627162,632.7753906,91.96289063,885.851937,-67.5177002,0.049863371,NaN,0.199987939,0.00989117,5000,0.98729527,0.98729527,0.98729527,39464.61471,620.5406784,40085.15539,,,9.639999866,540.8125,6692.423822,6715.895949
