ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:37:03Z,1531989423,1D106,41.0520677,44.3088016,1961.04,-18.8,-4.7,222.2,542741.12,-60312.92,216.5,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,266.7496523,245.8480072,0.801504263,1961.041504,1438.078918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1923.124766,NaN,,,0.480000019,522.9625854,NaN,NaN
2018-07-19T08:37:04Z,1531989424,1D106,41.0493432,44.3067073,1917.23,-15.2,-4,222.3,542546.75,-60567.07,216.6,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,322.9405474,299.7993164,0.969840914,1917.229248,1384.712708,319.9548146,-43.81225586,3.272563504,NaN,3.29231852,1.734203163,5000,0.504469275,0.504469275,0.504469275,5214.529858,1880.159621,7094.689478,,,1.480000019,532.5165405,318.5255003,321.620444
2018-07-19T08:37:05Z,1531989425,1D106,41.0447308,44.3031749,1845.35,-14.7,-8.6,224.5,542217.5,-60995.85,218.8,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,545.3677579,503.0918884,1.636440751,1845.346924,1244.390137,540.6097695,-71.88232422,0.49783042,NaN,0.446130881,2.10898974,5000,2.014834166,2.014834166,2.014834166,14871.29957,1809.667141,16680.96671,,,2.480000019,600.9567871,856.7091172,864.7406553
2018-07-19T08:37:06Z,1531989426,1D106,41.0379429,44.2981562,1745.44,-10.7,-5.6,222.4,541731,-61606.84,216.8,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,787.3881051,719.5200195,2.359883068,1745.439209,1091.182678,781.0239923,-99.90771484,0.394143276,NaN,4.323086273,0.552499285,5000,4.781900883,4.781900883,4.781900883,30999.0014,1711.691142,32710.69255,,,3.480000019,654.2565308,1634.256623,1648.897586
2018-07-19T08:37:07Z,1531989427,1D106,41.0298133,44.291685,1653.14,-8.7,-5.4,222,541153.19,-62389.72,216.3,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,977.3837494,892.9630127,2.92615557,1653.143799,995.3945313,973.016213,-92.29541016,0.051036282,NaN,1.738465851,1.820281486,5000,1.091270804,1.091270804,1.091270804,47763.94968,1621.180263,49385.12994,,,4.480000019,657.7492676,2603.021496,2622.306015
2018-07-19T08:37:08Z,1531989428,1D106,41.0216364,44.2851513,1560.93,-7.2,-5.4,222,540572.12,-63179.84,216.3,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,985.1004487,903.7634277,2.946082366,1560.926147,951.6883545,980.7745913,-92.21765137,0.024691647,NaN,1.507692542,0.05417618,5000,0.956687272,0.956687272,0.956687272,48521.14471,1530.74564,50051.89035,,,5.480000019,609.237793,3579.529239,3603.403385
2018-07-19T08:37:09Z,1531989429,1D106,41.0135321,44.2786727,1469.12,-5.9,-5.4,222,539996.12,-63963.2,216.3,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,976.6585072,899.9331055,2.917711034,1469.123047,868.1230469,972.3343203,-91.80310059,0.015038814,NaN,1.338489974,0.019782341,5000,0.96195209,0.96195209,0.96195209,47693.09198,1440.717553,49133.80954,,,6.480000019,601,4547.655388,4576.10137
2018-07-19T08:37:10Z,1531989430,1D106,41.0054246,44.2721887,1376.92,-4.9,-5.4,222,539419.75,-64747.13,216.3,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,977.3711853,904.4187622,2.916709943,1376.924683,745.3084717,973.0127931,-92.19836426,0.023629329,NaN,0.969226895,0.019782341,5000,0.966716945,0.966716945,0.966716945,47762.7217,1350.301844,49113.02354,,,7.480000019,631.6162109,5516.447951,5549.486401
2018-07-19T08:37:11Z,1531989431,1D106,40.9973593,44.2657358,1284.9,-4.1,-5.4,222,538846.25,-65527.21,216.3,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,972.5736384,903.8549805,2.899293807,1284.896118,626.8022461,968.2098045,-92.02856445,0.036990013,NaN,0.769238956,0.019782341,5000,0.971288145,0.971288145,0.971288145,47294.97411,1260.052652,48555.02676,,,8.480000019,658.0938721,6480.474622,6518.096006
2018-07-19T08:37:12Z,1531989432,1D106,40.9893748,44.2593451,1193.52,-3.4,-5.5,222,538278.38,-66299.67,216.3,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,963.081936,898.9018555,2.867961265,1193.523804,648.6954346,958.7376678,-91.37231445,0.048743271,NaN,0.569196803,0.052339163,5000,0.974784553,0.974784553,0.974784553,46376.34077,1170.447021,47546.78779,,,9.480000019,544.8283691,7435.080913,7477.249908
