ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:37:39Z,1531989459,27F0A,41.1413555,44.2246909,1057.09,110.1,5,270.7,550797.06,-68949.6,264.9,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,170.2508266,162.3096619,0.506191309,1057.089233,355.3464355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1036.650413,NaN,,,0.059999943,701.7427979,NaN,NaN
2018-07-19T08:37:40Z,1531989460,27F0A,41.1392119,44.2243512,1063.37,89.3,-2.1,270.9,550629.56,-69004.42,265.1,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,176.354795,168.1213379,0.5243777,1063.373901,353.3255615,176.2427776,6.284667969,11.10434233,NaN,19.98464174,12.68545462,1040.571544,1.866241336,1.866241336,1.866241336,1555.050686,1042.813567,2597.864253,,,1.059999943,710.0483398,175.1347248,175.2765442
2018-07-19T08:37:41Z,1531989461,27F0A,41.1358246,44.2241289,1042.02,75.2,-4.1,275.3,550361.44,-69056.12,269.6,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,273.8978257,262.5397949,0.814214031,1042.024658,324.6399536,273.0645139,-21.34924316,3.292080923,NaN,12.19997461,3.929288301,1278.258596,6.578107357,6.578107357,6.578107357,3751.000947,1021.877111,4772.878059,,,2.059999943,717.3847046,446.480708,447.5057478
2018-07-19T08:37:42Z,1531989462,27F0A,41.1309152,44.2245624,1020.76,66.9,-1.3,278.5,549964.38,-69047.05,272.8,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,397.7350277,382.9145813,1.182054119,1020.758423,280.6235352,397.1660855,-21.26623535,0.350870559,NaN,7.184648667,3.414517647,5000,3.102875948,3.102875948,3.102875948,7909.657612,1001.022059,8910.679671,,,3.059999943,740.1348877,841.0805393,842.7419333
2018-07-19T08:37:43Z,1531989463,27F0A,41.1245745,44.2252952,1012.68,58.1,-0.6,279.6,549449.75,-69016.09,273.9,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,515.618761,492.6887512,1.532257675,1012.681519,277.4915161,515.5554968,-8.076904297,0.163979243,NaN,8.861542071,1.830364979,5000,1.222495556,1.222495556,1.222495556,13293.13533,993.1013214,14286.23665,,,4.059999943,735.1900024,1353.431181,1355.237897
2018-07-19T08:37:44Z,1531989464,27F0A,41.116733,44.2262771,1002.89,49.9,-0.9,280.3,548812.44,-68969.35,274.6,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,639.0993467,606.5599976,1.89898904,1002.887634,276.246582,639.024299,-9.793884277,0.072899368,NaN,7.892310907,0.765998031,5000,1.310292482,1.310292482,1.310292482,20422.39875,983.4968019,21405.89555,,,5.059999943,726.6410522,1988.437262,1990.419823
2018-07-19T08:37:45Z,1531989465,27F0A,41.1081953,44.2274371,990.83,42.9,-0.9,281.3,548117.56,-68908.3,275.6,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,697.6563499,660.902771,2.072694533,990.8276978,271.9052124,697.5521059,-12.05993652,0.065773806,NaN,6.723091804,0.945413227,5000,1.745892048,1.745892048,1.745892048,24336.21913,971.6700442,25307.88917,,,6.059999943,718.9224854,2681.616343,2683.812128
2018-07-19T08:37:46Z,1531989466,27F0A,41.099211,44.228787,978.34,37.1,-0.9,282.6,547384.94,-68829.62,276.8,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,736.9435972,697.5993652,2.189099673,978.3384399,260.7410278,736.8377595,-12.48925781,0.051561533,NaN,5.584581231,1.232647655,5000,2.209177971,2.209177971,2.209177971,27154.29327,959.4222662,28113.71554,,,7.059999943,717.5974121,3413.863642,3416.278948
2018-07-19T08:37:47Z,1531989467,27F0A,41.0898217,44.2303626,967.95,32.2,-0.5,283.8,546617.56,-68728.98,278.1,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,774.0160507,732.2770996,2.298948852,967.9499512,235.7663574,773.9463328,-10.38848877,0.044436134,NaN,4.584586895,1.347648724,5000,2.476205826,2.476205826,2.476205826,29955.04234,949.2346389,30904.27698,,,8.059999943,732.1835938,4183.075059,4185.677863
2018-07-19T08:37:48Z,1531989468,27F0A,41.0801287,44.2321462,965,28.3,0.2,285,545823.62,-68607.55,279.3,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,803.1753504,759.4385376,2.385475444,964.9968872,265.7764893,803.1699216,-2.953063965,0.018710043,NaN,3.646173545,1.505939638,5000,2.911398411,2.911398411,2.911398411,32254.53217,946.3386724,33200.87085,,,9.059999943,699.2203979,4981.314861,4984.044084
