ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:37:57Z,1531989477,2AD08,40.8792151,44.114498,1178.12,-73,0.7,207.7,531035.31,-83247.46,202.1,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,308.4435602,294.585083,0.918350281,1178.122314,159.7952881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1155.34332,NaN,,,0.319999933,1018.327026,NaN,NaN
2018-07-19T08:37:58Z,1531989478,2AD08,40.87627,44.111008,1178.34,-58.9,3,205.4,530836.94,-83657.91,199.9,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,455.8706427,434.764679,1.357298529,1178.340698,233.3320313,455.8705904,0.218383789,3.756347095,NaN,13.27691786,12.13040841,2910.045993,8.590352058,8.590352058,8.590352058,10390.90214,1155.557481,11546.45962,,,1.319999933,945.008667,454.2517139,454.3356802
2018-07-19T08:37:59Z,1531989479,2AD08,40.872979,44.1053476,1210.85,-47.7,4.4,196,530634.06,-84312.12,190.5,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,685.7237038,643.8247681,2.042425745,1210.845459,343.5639648,684.9528732,32.50476074,0.924401519,NaN,10.63075914,6.984624443,4410.111298,11.79922199,11.79922199,11.79922199,23510.8499,1187.433762,24698.28366,,,2.319999933,867.2814941,1137.062978,1138.047932
2018-07-19T08:38:00Z,1531989480,2AD08,40.8702952,44.0975476,1276.95,-38.7,3.7,192.3,530502.56,-85199.38,186.8,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,899.3821691,837.0389404,2.680859071,1276.948486,484.1272583,896.9496507,66.10302734,0.053029021,NaN,8.446136796,5.572598091,5000,6.302499771,6.302499771,6.302499771,40444.4143,1252.258687,41696.67299,,,3.319999933,792.821228,2031.471637,2035.06996
2018-07-19T08:38:01Z,1531989481,2AD08,40.8682823,44.0894125,1322.85,-31.4,2,188.2,530428.31,-86118.69,182.7,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,923.4397137,857.2966309,2.754035289,1322.847656,572.7920532,922.2983091,45.89916992,0.065967167,NaN,7.076916093,4.046238642,5000,6.257383823,6.257383823,6.257383823,42637.04524,1297.270397,43934.31563,,,4.319999933,750.055603,2951.254567,2956.184636
2018-07-19T08:38:02Z,1531989482,2AD08,40.8670378,44.081444,1339.6,-25.5,-0.2,183.7,530413.81,-87013.57,178.1,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,895.1570901,830.8035889,2.670205465,1339.602295,591.3254395,895.0002783,16.75463867,0.514022131,NaN,5.569261117,6.875802454,5000,13.68217087,13.68217087,13.68217087,40065.3108,1313.701085,41379.01189,,,5.319999933,748.2768555,3843.864294,3849.137864
2018-07-19T08:38:03Z,1531989483,2AD08,40.8674119,44.0738845,1303.35,-20.2,-4.1,173.8,530524.44,-87850.55,168.3,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,845.0334616,786.3513184,2.519629141,1303.354614,579.6066895,844.2556821,-36.24768066,0.555292345,NaN,4.9077129,7.107653225,5000,7.249254227,7.249254227,7.249254227,35704.07756,1278.154253,36982.23181,,,6.319999933,723.7479248,4685.922424,4692.150105
2018-07-19T08:38:04Z,1531989484,2AD08,40.8686072,44.0666016,1242.24,-16.3,-4.3,173.2,530697.94,-88650.48,167.6,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,820.8152829,766.3261719,2.445684473,1242.236084,523.8141479,818.536654,-61.11853027,0.033117859,NaN,3.646197451,2.293444548,5000,0.986166596,0.986166596,0.986166596,33686.88643,1218.217449,34905.10388,,,7.319999933,718.421936,5502.268224,5510.943084
2018-07-19T08:38:05Z,1531989485,2AD08,40.8698218,44.0593739,1181.17,-13.3,-4.3,173.1,530872.44,-89444.13,167.6,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,814.8970294,762.9765625,2.426334658,1181.169922,501.2227783,812.6057423,-61.06616211,0.029731602,NaN,2.876961056,0.052339163,5000,1.044081926,1.044081926,1.044081926,33202.85843,1158.332001,34361.19043,,,8.319999933,679.9471436,6312.692362,6323.818187
2018-07-19T08:38:06Z,1531989486,2AD08,40.8710237,44.052236,1121.32,-10.8,-4.2,173.1,531045,-90227.89,167.6,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,804.7584387,755.6676636,2.394489939,1121.319946,440.1600342,802.5298281,-59.84997559,0.055770141,NaN,2.307669911,0.052339163,5000,1.051448584,1.051448584,1.051448584,32381.80723,1099.639225,33481.44646,,,9.319999933,681.1599121,7113.076768,7126.581227
