ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:37:59Z,1531989479,2BF08,40.8775431,44.110283,1149.22,-36.6,1,186.3,530946.56,-83728.62,180.8,Weapon+Missile,Blue,Enemies,R-73,,cn,,257.6597905,245.6603851,0.76689191,1149.220703,186.3674927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1127.000521,NaN,,,0.220000029,962.8532104,NaN,NaN
2018-07-19T08:38:00Z,1531989480,2BF08,40.8766368,44.1073518,1162,-29.3,4.3,195.1,530905.44,-84061.27,189.5,Weapon+Missile,Blue,Enemies,R-73,,cn,,335.4245298,321.0702209,0.998496405,1162.002197,237.7297363,335.1809192,12.78149414,1.330119932,NaN,6.846137662,1.187292309,5000,2.515380859,2.515380859,2.515380859,5625.480759,1139.534885,6765.015644,,,1.220000029,924.2724609,334.2497335,334.5545385
2018-07-19T08:38:01Z,1531989481,2BF08,40.8751453,44.103486,1189.86,-23.7,4.4,195.4,530827.38,-84502.25,189.8,Weapon+Missile,Blue,Enemies,R-73,,cn,,448.6982716,427.9678955,1.336121735,1189.859985,310.4689941,447.8326502,27.85778809,0.262144747,NaN,5.369269763,1.349463099,5000,1.708994985,1.708994985,1.708994985,10066.50695,1166.854043,11233.36099,,,2.220000029,879.3909912,780.7952152,782.0503014
2018-07-19T08:38:02Z,1531989482,2BF08,40.8733189,44.0986798,1232.97,-19.2,4.4,195.4,530732.56,-85050.3,189.8,Weapon+Missile,Blue,Enemies,R-73,,cn,,557.8558909,526.8977661,1.661997616,1232.969238,409.7559204,556.1877267,43.10925293,0.042424849,NaN,4.21539468,0.00989117,5000,0.982044935,0.982044935,0.982044935,15560.15975,1209.129778,16769.28953,,,3.220000029,823.2133179,1335.383518,1338.416583
2018-07-19T08:38:03Z,1531989483,2BF08,40.8711842,44.0930649,1283.13,-15.6,4.4,195.4,530621.62,-85690.56,189.8,Weapon+Missile,Blue,Enemies,R-73,,cn,,651.7388546,610.9763184,1.942828494,1283.132324,505.8203125,649.805509,50.16308594,0.045364909,NaN,3.446158285,0.00989117,5000,0.9765957,0.9765957,0.9765957,21238.17673,1258.322961,22496.49969,,,4.220000029,777.3120117,1983.314929,1988.414334
2018-07-19T08:38:04Z,1531989484,2BF08,40.8687816,44.0867471,1339.35,-12.6,4.4,195.4,530496.81,-86410.97,189.8,Weapon+Missile,Blue,Enemies,R-73,,cn,,733.2966728,683.4440918,2.187378194,1339.352295,585.7521362,731.1383762,56.2199707,0.048355295,NaN,2.815371532,0.00989117,5000,0.976840079,0.976840079,0.976840079,26886.20052,1313.455918,28199.65643,,,5.220000029,753.6001587,2712.370904,2719.784191
2018-07-19T08:38:05Z,1531989485,2BF08,40.8663375,44.0803213,1396.34,-10.2,4.4,195.4,530369.69,-87143.7,189.8,Weapon+Missile,Blue,Enemies,R-73,,cn,,745.8526291,693.1165161,2.226305345,1396.336182,655.6299438,743.6726303,56.98388672,0.056032119,NaN,2.307663081,0.00989117,5000,0.986206889,0.986206889,0.986206889,27814.80722,1369.338022,29184.14524,,,6.220000029,740.7062378,3453.906572,3463.664683
2018-07-19T08:38:06Z,1531989486,2BF08,40.8642823,44.0749189,1444.1,-8.3,4.4,195.4,530262.75,-87759.72,189.9,Weapon+Missile,Blue,Enemies,R-73,,cn,,627.0581189,584.6505127,1.872754324,1444.099976,737.7171021,625.2363589,47.76379395,0.068019128,NaN,1.799992195,0.051396036,5000,0.991958261,0.991958261,0.991958261,19660.09422,1416.178303,21076.27253,,,7.220000029,706.3828735,4077.353378,4089.076879
2018-07-19T08:38:07Z,1531989487,2BF08,40.8625294,44.0703117,1484.73,-6.7,4.4,195.4,530171.5,-88285.06,189.9,Weapon+Missile,Blue,Enemies,R-73,,cn,,534.7555932,500.87677,1.597842015,1484.731567,801.8874512,533.2097319,40.6315918,0.068719547,NaN,1.49230498,0.071326265,5000,0.99639982,0.99639982,0.99639982,14298.17722,1456.024283,15754.2015,,,8.220000029,682.8441162,4609.035249,4622.43076
2018-07-19T08:38:08Z,1531989488,2BF08,40.8610167,44.0663361,1519.73,-5.4,4.3,195.4,530092.75,-88738.39,189.9,Weapon+Missile,Blue,Enemies,R-73,,cn,,461.4466412,434.2504578,1.379358504,1519.7323,841.5108643,460.1173235,35.00073242,0.060393908,NaN,1.15383154,0.051396036,5000,0.985453606,0.985453606,0.985453606,10646.65013,1490.348276,12136.99841,,,9.220000029,678.2214355,5067.84487,5082.681227
2018-07-19T08:38:09Z,1531989489,2BF08,40.8596995,44.0628747,1550.14,-4.4,4.3,195.4,530024.12,-89133.09,189.9,Weapon+Missile,Blue,Enemies,R-73,,cn,,401.777061,379.2522278,1.201420006,1550.143799,871.1437988,400.624447,30.41149902,0.064388111,NaN,0.969226895,0.00989117,5000,0.990605831,0.990605831,0.990605831,8071.240339,1520.171768,9591.412108,,,10.22000003,679,5467.311219,5483.399378
2018-07-19T08:38:10Z,1531989490,2BF08,40.8585415,44.0598316,1576.85,-3.6,4.3,195.4,529963.88,-89480.08,189.9,Weapon+Missile,Blue,Enemies,R-73,,cn,,353.1873653,333.0762634,1.056453153,1576.847656,896.8476563,352.1764032,26.70385742,0.050197922,NaN,0.769238956,0.00989117,5000,0.991951883,0.991951883,0.991951883,6237.06575,1546.359307,7783.425057,,,11.22000003,680,5818.498653,5835.686453
2018-07-19T08:38:11Z,1531989491,2BF08,40.8575099,44.0571207,1600.61,-2.9,4.3,195.4,529910.12,-89789.19,189.9,Weapon+Missile,Blue,Enemies,R-73,,cn,,314.6463356,295.6097717,0.941430547,1600.609985,913.8965454,313.747778,23.7623291,0.054459197,NaN,0.569251017,0.00989117,5000,0.993268788,0.993268788,0.993268788,4950.115825,1569.662191,6519.778016,,,12.22000003,686.7134399,6131.357512,6149.524122
2018-07-19T08:38:12Z,1531989492,2BF08,40.8565676,44.0546447,1622.29,-2.3,4.3,195.4,529861,-90071.52,189.9,Weapon+Missile,Blue,Enemies,R-73,,cn,,287.3967705,269.1769104,0.860116968,1622.290771,907.0669556,286.5778205,21.68078613,0.038219432,NaN,0.569251017,0.00989117,5000,0.994609058,0.994609058,0.994609058,4129.845186,1590.923779,5720.768965,,,13.22000003,715.2238159,6417.1087,6436.168611
2018-07-19T08:38:13Z,1531989493,2BF08,40.8556806,44.0523138,1642.68,-1.9,4.3,195.4,529814.75,-90337.3,189.9,Weapon+Missile,Blue,Enemies,R-73,,cn,,270.5372341,252.8288422,0.809853025,1642.682251,892.7601318,269.7676455,20.39147949,0.048963803,NaN,0.400030519,0.00989117,5000,0.995781064,0.995781064,0.995781064,3659.519751,1610.92099,5270.44074,,,14.22000003,749.9221191,6686.11361,6706.01394
2018-07-19T08:38:14Z,1531989494,2BF08,40.8548322,44.0500845,1662.18,-1.5,4.3,195.4,529770.56,-90591.5,189.9,Weapon+Missile,Blue,Enemies,R-73,,cn,,258.7504124,241.3870544,0.774745808,1662.176147,891.399231,258.0150459,19.49389648,0.040582175,NaN,0.400030519,0.00989117,5000,0.994756162,0.994756162,0.994756162,3347.588796,1630.037972,4977.626767,,,15.22000003,770.7769165,6943.392491,6964.096751
2018-07-19T08:38:15Z,1531989495,2BF08,40.8540241,44.047961,1680.73,-1.2,4.3,195.4,529728.44,-90833.63,189.9,Weapon+Missile,Blue,Enemies,R-73,,cn,,246.468836,229.5238342,0.738132729,1680.725342,907.7706299,245.7698405,18.54919434,0.039016352,NaN,0.353824716,0.00989117,5000,0.996164978,0.996164978,0.996164978,3037.344356,1648.228517,4685.572874,,,16.22000003,772.9547119,7188.455425,7209.924728
2018-07-19T08:38:16Z,1531989496,2BF08,40.8532508,44.0459289,1698.47,-1,4.3,195.4,529688.12,-91065.34,189.9,Weapon+Missile,Blue,Enemies,R-73,,cn,,235.8599113,219.2930603,0.706507519,1698.469116,931.4883423,235.1915309,17.74377441,0.029012491,NaN,0.199987939,0.00989117,5000,0.995437086,0.995437086,0.995437086,2781.494887,1665.629216,4447.124103,,,17.22000003,766.9807739,7422.980916,7445.182443
