ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:40:10Z,1531989610,33B06,40.8567067,44.1082709,1097.32,-33.9,2.3,223.7,529300.19,-84112.59,218.1,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,410.3384614,393.7072144,1.220588692,1097.323853,375.3016357,NaN,NaN,0.266564218,NaN,7.292292448,4.712536388,NaN,NaN,NaN,NaN,NaN,1076.107096,NaN,,,0.569999933,722.0222168,NaN,NaN
2018-07-19T08:40:11Z,1531989611,33B06,40.8517899,44.1043947,1122.9,-27.7,3.1,218.8,528947.94,-84581.05,213.3,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,586.6768888,555.5770264,1.745638764,1122.898438,426.7401123,586.1191965,25.57458496,0.463646086,NaN,5.676942465,4.776480206,4329.767385,9.72276783,9.72276783,9.72276783,17209.48859,1101.187196,18310.67579,,,1.569999933,696.1583252,583.657429,584.3189592
2018-07-19T08:40:12Z,1531989612,33B06,40.8460983,44.0984615,1155.45,-23.2,2,212.3,528555.56,-85283.91,206.8,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,805.630391,755.3278198,2.398030197,1155.45459,488.177002,804.9723125,32.55615234,0.226221893,NaN,4.753821908,5.497827584,5000,3.63496542,3.63496542,3.63496542,32452.01635,1133.113875,33585.13022,,,2.569999933,667.2775879,1385.674648,1387.139807
2018-07-19T08:40:13Z,1531989613,33B06,40.8395933,44.0910048,1188.42,-19.1,1.9,212.2,528114.06,-86162.28,206.6,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,983.6351399,918.078064,2.928993763,1188.423096,547.909729,983.0824818,32.96850586,0.047277349,NaN,4.046122102,1.086158773,5000,0.896348774,0.896348774,0.896348774,48376.90442,1165.444935,49542.34936,,,3.569999933,640.5133667,2365.216496,2367.416191
2018-07-19T08:40:14Z,1531989614,33B06,40.8331827,44.0836393,1219.9,-15.6,1.8,212.1,527679.12,-87029.73,206.6,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,970.8947359,905.0116577,2.892110001,1219.903809,581.2438354,970.3842296,31.48071289,0.055775964,NaN,3.276895952,0.071326265,5000,0.925917149,0.925917149,0.925917149,47131.82941,1196.316968,48328.14638,,,4.569999933,638.6599731,3332.178046,3335.072516
2018-07-19T08:40:15Z,1531989615,33B06,40.8270084,44.0765437,1249.54,-12.8,1.8,212.1,527260.06,-87865.36,206.6,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,935.286637,871.0482178,2.786996966,1249.544556,584.0429077,934.8168374,29.64074707,0.046036239,NaN,2.676916768,0.013988227,5000,0.943412662,0.943412662,0.943412662,43738.05467,1225.384612,44963.43928,,,5.569999933,665.5016479,4263.678753,4267.224929
2018-07-19T08:40:16Z,1531989616,33B06,40.8209975,44.0696343,1277.86,-10.4,1.8,212.1,526851.94,-88679.02,206.6,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,910.7234487,847.3982544,2.714693723,1277.86377,580.1419678,910.2830451,28.31921387,0.055754858,NaN,2.307680156,0.024228322,5000,0.953713536,0.953713536,0.953713536,41470.86001,1253.156274,42724.01628,,,6.569999933,697.7218018,5170.713213,5174.880993
2018-07-19T08:40:17Z,1531989617,33B06,40.8151152,44.0628712,1305.13,-8.6,1.7,212.1,526452.5,-89475.39,206.6,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,891.344046,828.6159058,2.657767619,1305.125366,564.6351318,890.927053,27.26159668,0.060600952,NaN,1.861535615,0.052339163,5000,0.986125052,0.986125052,0.986125052,39724.71042,1279.890767,41004.60119,,,7.569999933,740.4902344,6058.505703,6063.27163
2018-07-19T08:40:18Z,1531989618,33B06,40.8093551,44.0563136,1330.66,-7.2,1.3,214.9,526060.5,-90247.98,209.4,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,866.7278677,805.1810913,2.585134266,1330.661499,537.2226563,866.3516045,25.53613281,0.619669134,NaN,1.169215688,4.969101359,5000,13.87233067,13.87233067,13.87233067,37560.85983,1304.933159,38865.79299,,,8.569999933,793.4388428,6921.761901,6927.083734
2018-07-19T08:40:19Z,1531989619,33B06,40.8026226,44.050872,1332.54,-7,-1.1,228.8,525578.69,-90903.96,223.4,Weapon+Missile,Blue,Enemies,R-27ET,,cn,,813.9115718,756.9592285,2.427655256,1332.535278,529.8325195,813.9094149,1.873779297,0.184276887,NaN,0,11.95957244,3371.699856,18.99569893,18.99569893,18.99569893,33122.60234,1306.770709,34429.37305,,,9.569999933,802.7027588,7732.355672,7737.848902
