ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:40:13Z,1531989613,33C06,40.8486073,44.1018509,1103.58,-24.9,-1.9,223.1,528720.25,-84888.09,217.6,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,327.5626857,314.1095581,0.974435077,1103.579224,421.1859741,NaN,NaN,1.502355018,NaN,5.353874517,1.2552798,NaN,NaN,NaN,NaN,NaN,1082.241519,NaN,,,0.559999943,682.3932495,NaN,NaN
2018-07-19T08:40:14Z,1531989614,33C06,40.8452808,44.0993416,1080.93,-20.1,-0.9,223,528480.69,-85192.41,217.5,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,387.9613827,372.8067627,1.153807675,1080.929932,417.5766602,387.2996824,-22.64929199,1.470119004,NaN,4.384616032,1.38715838,5000,3.314380646,3.314380646,3.314380646,7525.701722,1060.030151,8585.731873,,,1.559999943,663.3532715,385.6718121,386.4022332
2018-07-19T08:40:15Z,1531989615,33C06,40.8402116,44.095249,1072.08,-15.8,0.8,221.9,528118.44,-85686.01,216.4,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,612.3282511,580.2490845,1.820894841,1072.079956,425.449707,612.2642934,-8.849975586,0.395316011,NaN,4.553871535,1.838024396,5000,3.548307896,3.548307896,3.548307896,18747.29435,1051.35129,19798.64564,,,2.559999943,646.630249,995.4200122,996.3175576
2018-07-19T08:40:16Z,1531989616,33C06,40.833284,44.0894891,1088.98,-13.2,0.6,220.5,527625,-86379.06,215,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,850.9353227,799.3885498,2.530939851,1088.978394,449.9559937,850.767516,16.8984375,0.119612561,NaN,1.815384027,0.47888532,5000,0.431006789,0.431006789,0.431006789,36204.54617,1067.922996,37272.46917,,,3.559999943,639.0223999,1842.714286,1843.923839
2018-07-19T08:40:17Z,1531989617,33C06,40.8250832,44.0826082,1094.98,-11,0.2,221.1,527041.44,-87206.34,215.6,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1012.410712,948.7316895,3.01142522,1094.977661,432.4242554,1012.392937,5.999267578,0.137134146,NaN,2.09233283,0.976321327,5000,3.150926352,3.150926352,3.150926352,51248.77246,1073.806268,52322.57873,,,4.559999943,662.5534058,2851.032615,2852.432642
2018-07-19T08:40:18Z,1531989618,33C06,40.8166492,44.0759347,1100.24,-9.2,0.2,223.6,526436.81,-88012.31,218.1,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1007.563749,944.0033569,2.99718999,1100.23999,351.8616333,1007.550007,5.262329102,0.067960486,NaN,1.446179859,2.125132679,5000,4.631805897,4.631805897,4.631805897,50759.23544,1078.96685,51838.20229,,,5.559999943,748.3783569,3854.41865,3856.005146
2018-07-19T08:40:19Z,1531989619,33C06,40.8079551,44.069652,1096.49,-9,-0.7,226.7,525807,-88776.78,221.2,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,990.5000165,928.3320923,2.946303253,1096.494629,319.7281494,990.4929353,-3.745361328,0.109912734,NaN,0.199987939,2.911947846,5000,5.492306232,5.492306232,5.492306232,49054.51413,1075.293905,50129.80804,,,6.559999943,776.7664795,4840.642715,4842.406157
2018-07-19T08:40:20Z,1531989620,33C06,40.7989076,44.0637792,1073.03,-9.3,-2.1,229.5,525144.44,-89498.32,224,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,979.8767555,919.4674072,2.91391424,1073.026123,325.5325928,979.5956743,-23.46850586,0,NaN,0.400030519,3.210507154,5000,4.964570522,4.964570522,4.964570522,48007.92279,1052.279163,49060.20196,,,7.559999943,747.4935303,5815.890428,5818.102021
2018-07-19T08:40:21Z,1531989621,33C06,40.789637,44.0583026,1022.8,-9.7,-3.8,232,524459.62,-90177.48,226.5,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,965.7921595,908.4750366,2.870366965,1022.801514,289.9983521,964.4853467,-50.22460938,0.062313661,NaN,0.369212706,3.067265067,5000,4.622911453,4.622911453,4.622911453,46637.72477,1003.025646,47640.75041,,,8.559999943,732.8031616,6775.912785,6779.594772
2018-07-19T08:40:22Z,1531989622,33C06,40.7801167,44.05318,950.99,-9.6,-4.7,234.6,523750.97,-90819.12,229.1,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,958.6672564,904.8048706,2.846836156,950.9923096,243.1569824,955.9740304,-71.8092041,0.040421887,NaN,0.199987939,2.647305977,5000,5.696723461,5.696723461,5.696723461,45952.14543,932.6048733,46884.7503,,,9.559999943,707.8353271,7727.365245,7733.900023
2018-07-19T08:40:23Z,1531989623,33C06,40.770343,44.0485385,866.41,-10.4,-6.3,241.8,523016.81,-91409.13,236.3,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,945.6518167,896.0893555,2.805456655,866.4138184,157.7615967,941.8618992,-84.57849121,1.971843873,NaN,1.938462328,2.729202506,5000,5.363334656,5.363334656,5.363334656,44712.86792,849.6617072,45562.52962,,,10.55999994,708.6522217,8664.61777,8675.09402
2018-07-19T08:40:24Z,1531989624,33C06,40.7611042,44.0446278,790.88,-7,-3,237.1,522317.66,-91913.81,231.6,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,865.5782543,823.8525391,2.565678504,790.8845825,72.35681152,862.2766661,-75.52923584,0.291237753,NaN,3.461539018,1.868217674,5000,7.418568611,7.418568611,7.418568611,37461.28572,775.5928291,38236.87855,,,11.55999994,718.527771,9522.512838,9536.418503
2018-07-19T08:40:25Z,1531989625,33C06,40.752843,44.0407647,771.17,-4.2,0.3,237.1,521696.25,-92405.7,231.6,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,792.7691807,756.1907959,2.349332738,771.1730347,6.107788086,792.5240872,-19.71154785,0.055152108,NaN,2.876904707,3.639318596,5000,5.72633028,5.72633028,5.72633028,31424.14869,756.262404,32180.4111,,,12.55999994,765.0652466,10311.1374,10325.38591
2018-07-19T08:40:26Z,1531989626,33C06,40.7453053,44.0371825,797.21,-1.6,3.6,235.9,521129.78,-92860.83,230.4,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,727.1248896,693.9056396,2.155442309,797.2092285,63.27032471,726.6586005,26.03619385,0.138323848,NaN,2.215377193,3.272287923,5000,4.932100296,4.932100296,4.932100296,26435.53026,781.7951881,27217.32544,,,13.55999994,733.9389038,11034.23035,11049.03629
2018-07-19T08:40:27Z,1531989627,33C06,40.7385607,44.0336715,848.42,-0.9,4.6,232.1,520626.09,-93301.98,226.7,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,671.5173735,640.6069336,1.991772917,848.4199829,98.20239258,669.561828,51.21075439,0.176277244,NaN,0.169220711,3.834256891,5000,5.759652615,5.759652615,5.759652615,22546.77915,832.0157825,23378.79493,,,14.55999994,750.2175903,11700.63765,11717.49409
2018-07-19T08:40:28Z,1531989628,33C06,40.7327821,44.0300621,889.07,-2.3,2.5,225.4,520200.78,-93746.72,220,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,616.7161061,588.6975098,1.83008233,889.0699463,145.4957886,615.3749556,40.64996338,0.140008109,NaN,1.676948045,6.914256846,5000,6.998332024,6.998332024,6.998332024,19016.93778,871.8797789,19888.81755,,,15.55999994,743.5741577,12313.28341,12331.57023
