ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:35:02Z,1531989302,6504,40.9088835,44.128236,3376.2,-35.9,-3.2,346.8,533262.38,-81491.97,341.2,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,285.2092015,247.7663727,0.871625007,3376.203857,2420.79657,NaN,NaN,6.680220522,NaN,7.892310907,3.109974915,NaN,NaN,NaN,NaN,NaN,3310.924956,NaN,,,0.960000038,955.4072876,NaN,NaN
2018-07-19T08:35:03Z,1531989303,6504,40.9079011,44.132059,3317.96,-29.6,-4.7,347.1,533142.69,-81074.83,341.5,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,437.8631292,385.4016418,1.337200227,3317.956787,2408.726013,433.9716565,-58.24707031,2.332598044,NaN,5.461569525,1.863153729,5000,2.543283701,2.543283701,2.543283701,9586.205994,3253.804093,12840.01009,,,1.960000038,909.2307739,432.7610655,436.8884001
2018-07-19T08:35:04Z,1531989304,6504,40.9059439,44.1379519,3234.72,-24.4,-7.5,345.7,532922.81,-80435.3,340.1,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,681.3760776,586.3544922,2.078765264,3234.721436,2391.17572,676.2730479,-83.23535156,0.073116776,NaN,5.738482469,2.499189269,5000,2.939330578,2.939330578,2.939330578,23213.66796,3172.178097,26385.84605,,,2.960000038,843.5457153,1107.130653,1116.719117
2018-07-19T08:35:05Z,1531989305,6504,40.9028786,44.1459249,3113.23,-19.7,-8.1,343.5,532591.88,-79573.2,338,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,931.396532,795.6955566,2.837352352,3113.227539,2332.238159,923.4385377,-121.4938965,0.179074334,NaN,4.323082858,2.32765227,5000,4.509448528,4.509448528,4.509448528,43374.97499,3053.033285,46428.00828,,,3.960000038,780.9893799,2027.843602,2045.867658
2018-07-19T08:35:06Z,1531989306,6504,40.8991285,44.1545269,2940.05,-16.5,-11.4,341.6,532199.56,-78646.53,336.1,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1021.081501,877.435791,3.104060315,2940.04541,2079.956543,1006.287922,-173.1821289,0.102178005,NaN,3.246160101,3.474578276,5000,5.999266624,5.999266624,5.999266624,52130.37161,2883.199632,55013.57124,,,4.960000038,860.0888672,3031.168195,3064.498063
2018-07-19T08:35:07Z,1531989307,6504,40.894946,44.1629023,2716.56,-13.3,-13.8,338.8,531775.12,-77748.35,333.2,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1018.243465,884.4042969,3.087123829,2716.559814,1921.153076,993.415292,-223.4855957,0.112671275,NaN,3.246168639,3.522558434,5000,5.897473812,5.897473812,5.897473812,51840.9877,2664.03513,54505.02283,,,5.960000038,795.4067383,4021.537338,4080.198274
2018-07-19T08:35:08Z,1531989308,6504,40.8901756,44.1710045,2467.82,-9.8,-14.4,335.4,531306.62,-76885.06,329.8,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1013.228064,890.5631714,3.062793649,2467.821289,1834.383301,982.2221009,-248.7385254,0.072533521,NaN,3.369238402,3.173867885,5000,5.496928692,5.496928692,5.496928692,51331.55547,2420.105964,53751.66144,,,6.960000038,633.4379883,5000.614403,5090.763506
2018-07-19T08:35:09Z,1531989309,6504,40.8848349,44.1788539,2219.84,-6.9,-14,332.5,530795.44,-76054.23,327,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1006.519377,895.1705322,3.033558198,2219.843018,1609.805481,975.4937383,-247.9782715,0.028387814,NaN,2.676958603,2.769103831,5000,5.20497942,5.20497942,5.20497942,50654.06283,2176.922353,52830.98518,,,7.960000038,610.0375366,5972.895799,6094.516086
2018-07-19T08:35:10Z,1531989310,6504,40.8789896,44.1865493,1988.19,-4.1,-12.2,330.3,530245.62,-75244.37,324.7,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,1005.903106,904.401062,3.023410257,1988.191528,1439.150635,978.8660003,-231.6514893,0.100327578,NaN,2.892288854,2.697987475,5000,5.894121647,5.894121647,5.894121647,50592.05295,1949.749845,52541.8028,,,8.960000038,549.0408936,6948.390502,7097.451902
2018-07-19T08:35:11Z,1531989311,6504,40.8728195,44.1941231,1797.51,-2.2,-10.1,329.2,529671.31,-74450.51,323.6,Weapon+Missile,Blue,Enemies,R-27ER,,cn,,998.2014386,905.6074829,2.99354006,1797.512329,1259.492188,979.8201646,-190.6791992,0.048108817,NaN,1.415366314,2.36426742,5000,3.904837608,3.904837608,3.904837608,49820.3056,1762.757428,51583.06303,,,9.960000038,538.0201416,7924.803146,8092.593182
