ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:33:38Z,1531989218,A0A,41.0322115,44.287789,7522.54,-83,5.8,289,541387.19,-62803.7,283.3,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,259.8576904,183.9046783,0.837603125,7522.544434,6878.849854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7377.096037,NaN,,,0.25,643.6945801,NaN,NaN
2018-07-19T08:33:39Z,1531989219,A0A,41.0282372,44.2889271,7560.83,-67.9,10.1,289.2,541057.56,-62708.5,283.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,345.2251862,251.5012817,1.113347461,7560.828125,6925.612366,343.0958877,38.28369141,3.316565729,NaN,13.35386677,2.319310419,5000,2.104236126,2.104236126,2.104236126,5959.021459,7414.639513,13373.66097,,,1.25,635.2157593,341.0952084,343.6377253
2018-07-19T08:33:40Z,1531989220,A0A,41.0226755,44.2904723,7634.29,-59.4,8.7,289.3,540596.88,-62580.54,283.7,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,483.7411322,353.6894226,1.5616176,7634.289063,7011.376709,478.1307077,73.4609375,0.643201091,NaN,7.676900401,0.783614904,5000,1.83827734,1.83827734,1.83827734,11700.27415,7486.680083,19186.95423,,,2.25,622.9123535,816.4910098,825.2355011
2018-07-19T08:33:41Z,1531989221,A0A,41.0155013,44.292275,7708.97,-54,4.9,289.3,540004.69,-62436.58,283.6,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,613.9925599,436.855011,1.98411253,7708.969727,7099.557007,609.4338865,74.68066406,0.150985316,NaN,4.615418369,3.873317889,5000,4.984619141,4.984619141,4.984619141,18849.34318,7559.916797,26409.25998,,,3.25,609.4127197,1422.347543,1436.40068
2018-07-19T08:33:42Z,1531989222,A0A,41.0069544,44.2944064,7734.75,-50.4,-0.3,289.1,539299.44,-62266.82,283.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,725.8519477,506.2887878,2.346409668,7734.746582,7135.379456,725.3941023,25.77685547,0.369026897,NaN,3.999963684,3.962815565,5000,2.586519003,2.586519003,2.586519003,26343.0525,7585.195257,33928.24775,,,4.25,599.3671265,2143.505539,2158.891742
2018-07-19T08:33:43Z,1531989223,A0A,40.9975636,44.296739,7724.94,-43.8,-1,289.1,538524.62,-62081.23,283.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,796.7880424,550.7907715,2.575375488,7724.944336,7097.437378,796.7277455,-9.802246094,0.065949466,NaN,6.615407041,1.553923105,5000,0.544628203,0.544628203,0.544628203,31743.55923,7575.582537,39319.14176,,,5.25,627.506958,2935.515503,2951.922148
2018-07-19T08:33:44Z,1531989224,A0A,40.9874332,44.2992601,7709.59,-37.8,-1.2,289.2,537688.94,-61880.42,283.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,859.6142083,590.5332031,2.777860589,7709.589844,7074.486694,859.4770658,-15.35449219,0.07408336,NaN,5.70766124,0.255453611,5000,0.657791972,0.657791972,0.657791972,36946.82936,7560.524924,44507.35428,,,6.25,635.1031494,3790.034171,3807.612518
2018-07-19T08:33:45Z,1531989225,A0A,40.9765626,44.3019795,7689.35,-32.6,-1.4,289.3,536792,-61663.24,283.7,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,923.0773461,631.0354614,2.982120679,7689.351563,7066.726807,922.8554594,-20.23828125,0.036095579,NaN,5.015353266,0.275714673,5000,0.639483094,0.639483094,0.639483094,42603.58934,7540.67795,50144.26729,,,7.25,622.6247559,4707.475486,4726.384264
2018-07-19T08:33:46Z,1531989226,A0A,40.9650018,44.3048981,7663.43,-28.3,-1.7,289.5,535838,-61429.2,283.9,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,982.6321587,669.5065308,3.173399988,7663.428223,7036.187012,982.2901505,-25.92333984,0.053415007,NaN,4.246164682,0.341927648,5000,0.648208976,0.648208976,0.648208976,48278.29796,7515.255838,55793.5538,,,8.25,627.2412109,5684.101393,5704.529163
2018-07-19T08:33:47Z,1531989227,A0A,40.9535804,44.3078227,7632.52,-24.5,-2.1,289.9,534895.06,-61193.28,284.2,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,972.4935184,664.1377563,3.139337116,7632.521484,7001.25238,972.0022721,-30.90673828,0.07627594,NaN,3.476921457,0.475810881,5000,0.705979288,0.705979288,0.705979288,47287.18217,7484.946681,54772.12885,,,9.25,631.269104,6650.445949,6672.525986
2018-07-19T08:33:48Z,1531989228,A0A,40.9426816,44.310673,7595.64,-21.5,-2.6,290.3,533994.75,-60961.41,284.7,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,930.4210168,638.6845093,3.002016403,7595.64209,6989.980835,929.6898294,-36.87939453,0.042520748,NaN,2.876961056,0.699638528,5000,0.826561272,0.826561272,0.826561272,43284.16343,7448.78035,50732.94378,,,10.25,605.6612549,7574.790943,7598.708978
2018-07-19T08:33:49Z,1531989229,A0A,40.932229,44.3134812,7550.95,-18.9,-3.3,290.9,533130.56,-60730.65,285.3,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,895.5838034,618.0013428,2.887860794,7550.948242,6990.94458,894.4678915,-44.69384766,0.060192058,NaN,2.507666388,0.854917276,5000,0.9631868,0.9631868,0.9631868,40103.51744,7404.950658,47508.4681,,,11.25,560.0036621,8464.133973,8490.229005
2018-07-19T08:33:50Z,1531989230,A0A,40.9222193,44.3162571,7497.2,-17,-4,291.5,532302.12,-60499.92,285.9,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,861.6451985,598.076416,2.776399772,7497.19873,6974.289368,859.9671145,-53.74951172,0.040998663,NaN,1.861527077,1.021673677,5000,1.528858066,1.528858066,1.528858066,37121.6224,7352.240393,44473.8628,,,12.25,522.9093628,9319.202892,9347.992313
2018-07-19T08:33:51Z,1531989231,A0A,40.9127029,44.3190263,7430.61,-15.7,-5.4,292.8,531513.25,-60266.04,287.2,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,825.5067294,577.0081787,2.657557455,7430.605957,6933.645966,822.8163603,-66.59277344,0.102256875,NaN,0.723084807,1.588498803,5000,1.898223162,1.898223162,1.898223162,34073.06802,7286.935191,41360.00321,,,13.25,496.9599915,10137.43498,10169.88416
2018-07-19T08:33:52Z,1531989232,A0A,40.903786,44.3217728,7349.54,-14.7,-6.8,294,530772.44,-60029.92,288.4,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,781.7447659,551.3045044,2.513919634,7349.536621,6826.266479,777.5298333,-81.06933594,0.040513702,NaN,0.646115405,2.313259354,5000,2.810372353,2.810372353,2.810372353,30556.24395,7207.433331,37763.67728,,,14.25,523.2701416,10910.62255,10948.20119
2018-07-19T08:33:53Z,1531989233,A0A,40.8954065,44.3245711,7247.57,-14.6,-9,296.1,530074,-59783.84,290.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,747.5070647,532.0040283,2.40051783,7247.568848,6743.875946,740.5196723,-101.9677734,0.031740352,NaN,0,2.917109335,5000,3.551471949,3.551471949,3.551471949,27938.34059,7107.437104,35045.7777,,,15.25,503.6929016,11647.08164,11692.52061
2018-07-19T08:33:54Z,1531989234,A0A,40.8875666,44.3274613,7120.67,-14.8,-11.5,298.6,529417.69,-59523.31,293,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,717.4454702,515.7503052,2.300054524,7120.669922,6569.599548,706.133603,-126.8989258,0.090505588,NaN,0.369267347,3.441680243,5000,3.901401281,3.901401281,3.901401281,25736.40013,6982.991769,32719.3919,,,16.25,551.0703735,12349.43791,12407.02714
2018-07-19T08:33:55Z,1531989235,A0A,40.8804085,44.3304185,6972.76,-15,-13.6,301.6,528815.06,-59250.02,296,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,678.0259774,493.5740967,2.169380567,6972.759277,6441.325562,661.6960535,-147.9106445,0.108109591,NaN,0.030763172,3.602895759,5000,3.880123377,3.880123377,3.880123377,22985.9613,6837.940977,29823.90228,,,17.25,531.4337158,13007.67873,13082.3911
2018-07-19T08:33:56Z,1531989236,A0A,40.8738141,44.3335101,6811.45,-14.8,-15.1,304.9,528256,-58957.39,299.4,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,651.3106934,479.6037903,2.079427459,6811.449707,6321.129761,631.0188918,-161.3095703,0.082998575,NaN,0.199987939,3.537742584,5000,3.761920452,3.761920452,3.761920452,21210.28097,6679.750327,27890.03129,,,18.25,490.3199463,13635.50839,13731.26949
2018-07-19T08:33:57Z,1531989237,A0A,40.8678176,44.3367001,6643.37,-14.8,-16.4,308.5,527743.62,-58649.19,302.9,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,621.0998237,463.083252,1.978555323,6643.37207,6206.320129,597.9254962,-168.0776367,0.030992492,NaN,0.199987939,3.846700215,5000,4.1874156,4.1874156,4.1874156,19288.24955,6514.922471,25803.17202,,,19.25,437.0519409,14230.54364,14350.19142
2018-07-19T08:33:58Z,1531989238,A0A,40.8624934,44.3399726,6470.98,-15,-17.7,312.8,527284,-58326.61,307.2,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,587.3943878,443.8265991,1.866927232,6470.976074,6040.943054,561.5263016,-172.3959961,0.041439762,NaN,0.199987939,4.171495347,5000,4.046417713,4.046417713,4.046417713,17251.60834,6345.859752,23597.46809,,,20.25,430.03302,14789.46858,14935.64862
2018-07-19T08:33:59Z,1531989239,A0A,40.8577621,44.3433346,6295.01,-15.1,-18.8,316.9,526870.75,-57989.52,311.3,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,561.5809464,429.5108032,1.780758105,6295.013672,5869.698212,533.3014085,-175.9624023,0.085661579,NaN,0.199987939,4.048105845,5000,3.732685804,3.732685804,3.732685804,15768.65797,6173.299583,21941.95755,,,21.25,425.3154602,15320.46724,15495.54769
2018-07-19T08:34:00Z,1531989240,A0A,40.8536132,44.3467301,6118.79,-15,-19.8,320.8,526503.56,-57644.18,315.3,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,533.9798087,413.4938049,1.689334051,6118.793457,5698.767822,504.064353,-176.2202148,0.133588881,NaN,0,3.761411216,5000,3.184697866,3.184697866,3.184697866,14256.7218,6000.486586,20257.20839,,,22.25,420.0256348,15822.43256,16028.00746
2018-07-19T08:34:01Z,1531989241,A0A,40.8499786,44.3501147,5942.45,-14.6,-20.8,324,526177.62,-57296.11,318.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,508.4161687,398.3942566,1.60476746,5942.452637,5524.590179,476.8552355,-176.3408203,0.147874973,NaN,0.569241626,2.964086735,5000,1.959458232,1.959458232,1.959458232,12924.35003,5827.555315,18751.90534,,,23.25,417.8624573,16297.47602,16535.14581
2018-07-19T08:34:02Z,1531989242,A0A,40.84668,44.3534603,5764.54,-13.4,-21.8,325.3,525878.88,-56949.77,319.8,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,490.7712677,388.5717163,1.545502318,5764.538086,5348.687653,457.3869804,-177.9145508,0.086628209,NaN,1.33846436,1.750142913,5000,0.457968563,0.457968563,0.457968563,12042.82186,5653.080742,17695.9026,,,24.25,415.8504333,16753.15358,17024.71391
2018-07-19T08:34:03Z,1531989243,A0A,40.8435732,44.3566663,5582.73,-11.8,-23.6,324.9,525596.88,-56617.45,319.4,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,472.242995,377.8040466,1.483667691,5582.727051,5168.726624,435.8419368,-181.8110352,0.085293211,NaN,1.738465851,1.689638323,5000,1.120951414,1.120951414,1.120951414,11150.67232,5474.785023,16625.45734,,,25.25,414.0004272,17187.34913,17495.79414
2018-07-19T08:34:04Z,1531989244,A0A,40.8405312,44.3596613,5394.35,-9.4,-25.4,322.7,525322.38,-56308.07,317.2,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,454.4827686,367.3133545,1.424417555,5394.348145,4981.201294,413.6036444,-188.3789063,0.063900437,NaN,2.676918475,2.59954161,5000,2.096520901,2.096520901,2.096520901,10327.72935,5290.048423,15617.77777,,,26.25,413.1468506,17599.38581,17949.17384
2018-07-19T08:34:05Z,1531989245,A0A,40.8374495,44.3623943,5202.05,-6.5,-26.8,319.1,525047.56,-56028.09,313.6,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,436.9087421,356.6008911,1.365975052,5202.050781,4790.043274,392.3148902,-192.2973633,0.125989541,NaN,3.076892646,3.665894436,5000,3.20719552,3.20719552,3.20719552,9544.462448,5101.469129,14645.93158,,,27.25,412.0075073,17990.17556,18385.00492
2018-07-19T08:34:06Z,1531989246,A0A,40.8342471,44.3647985,5013.58,-1.7,-27.1,312.9,524766.62,-55785.56,307.4,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,416.2552557,342.8842468,1.298285465,5013.575195,4603.333252,371.1406625,-188.4755859,0.172748998,NaN,4.907716315,5.589921159,3524.830663,4.722192764,4.722192764,4.722192764,8663.421893,4916.637719,13580.05961,,,28.25,410.2419434,18359.74684,18800.12518
2018-07-19T08:34:07Z,1531989247,A0A,40.8309423,44.3667043,4831.82,2.4,-29.6,304,524482.88,-55599.17,298.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,385.0851107,319.5259705,1.198305276,4831.819824,4422.858917,339.493045,-181.7553711,0.244547004,NaN,4.046154545,7.648933337,2626.544069,5.258228779,5.258228779,5.258228779,7414.527125,4738.396588,12152.92371,,,29.25,408.960907,18697.64913,19184.0383
2018-07-19T08:34:08Z,1531989248,A0A,40.8276752,44.36805,4647.57,3.5,-34.2,296.1,524208.16,-55474.71,290.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,353.4255106,294.4267273,1.097235571,4647.570801,4240.49881,301.5988875,-184.2490234,0.229747492,NaN,0.553846379,7.936099249,2544.057045,4.236458778,4.236458778,4.236458778,6245.479578,4557.710019,10803.1896,,,30.25,407.071991,18997.70888,19536.34132
2018-07-19T08:34:09Z,1531989249,A0A,40.8247179,44.3689709,4450.33,1.8,-40.6,290.7,523962.66,-55395.04,285.1,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,324.8440957,271.2987976,1.006009806,4450.325195,4044.325195,258.1043542,-197.2456055,0.13016859,NaN,1.430733386,7.67999533,2503.853638,3.558756828,3.558756828,3.558756828,5276.184327,4364.278158,9640.462485,,,31.25,406,19254.40765,19860.21493
2018-07-19T08:34:10Z,1531989250,A0A,40.8221099,44.369575,4242.14,1.4,-46.4,284.7,523748.38,-55347.9,279.2,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,302.4535058,253.6957703,0.934237425,4242.143066,3837.143066,219.4044766,-208.1821289,0.083325994,NaN,0.015384574,7.212806976,2830.55252,2.743597507,2.743597507,2.743597507,4573.906158,4160.12123,8734.027388,,,32.25,405,19472.56429,20161.87202
2018-07-19T08:34:11Z,1531989251,A0A,40.8197853,44.3699291,4030.61,2.9,-47.1,281.7,523559.34,-55326.35,276.2,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,284.5065853,240.023819,0.876496458,4030.608398,3626.545074,190.2553056,-211.534668,0.042831049,NaN,1.892307325,1.694180185,5000,2.058190823,2.058190823,2.058190823,4047.199853,3952.676585,7999.876438,,,33.25,404.063324,19661.70043,20445.71319
