ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:35:55Z,1531989355,E108,40.9834172,44.0332601,3416.5,42.3,-18.7,284,540256.31,-91464.18,278.3,Weapon+Missile,Blue,Enemies,R-77,,cn,,197.5949715,169.045639,0.60416481,3416.499268,2323.594849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3350.441254,NaN,,,0.470000029,1092.904419,NaN,NaN
2018-07-19T08:35:56Z,1531989356,E108,40.9808253,44.0336583,3322.82,33.3,-21.2,287.1,540044.25,-91440.18,281.5,Weapon+Missile,Blue,Enemies,R-77,,cn,,233.0715384,201.2986145,0.711824633,3322.819824,2255.660889,213.4162691,-93.67944336,3.373408695,NaN,9.353862106,10.58482657,1660.556507,4.179735661,4.179735661,4.179735661,2716.117101,3258.573103,5974.690204,,,1.470000029,1067.158936,212.1166384,231.9846122
2018-07-19T08:35:57Z,1531989357,E108,40.9769598,44.0347147,3181.72,24.4,-21.4,296.4,539722.94,-91353,290.8,Weapon+Missile,Blue,Enemies,R-77,,cn,,361.5953391,320.452301,1.102457864,3181.719971,2156.939575,332.9294528,-141.0998535,0.167980144,NaN,8.492274723,8.577638428,1854.445803,8.692090034,8.692090034,8.692090034,6537.559462,3120.201415,9657.760877,,,2.470000029,1024.780396,543.0717465,591.9181932
2018-07-19T08:35:58Z,1531989358,E108,40.9722068,44.0368861,3016.21,18.8,-17.4,307.8,539318.5,-91148.86,302.2,Weapon+Missile,Blue,Enemies,R-77,,cn,,482.3242162,427.4803162,1.467601261,3016.209961,2057.50415,453.0376212,-165.5100098,0.552815833,NaN,3.815398312,9.227817795,3458.234937,7.927282333,7.927282333,7.927282333,11631.83248,2957.891541,14589.72402,,,3.470000029,958.7058105,993.7500337,1072.232572
2018-07-19T08:35:59Z,1531989359,E108,40.9666183,44.0401941,2852.61,16.5,-15.2,309.9,538834.88,-90824.92,304.2,Weapon+Missile,Blue,Enemies,R-77,,cn,,604.6429337,532.3782349,1.836163234,2852.611572,1966.585815,582.0898939,-163.5983887,0.023861443,NaN,2.707705553,4.434123378,5000,1.668510437,1.668510437,1.668510437,18279.65387,2797.456328,21077.11019,,,4.470000029,886.0257568,1573.067222,1674.463189
2018-07-19T08:36:00Z,1531989360,E108,40.9598408,44.0442703,2660.57,14,-15.1,309.9,538247.69,-90424.88,304.3,Weapon+Missile,Blue,Enemies,R-77,,cn,,736.0029558,647.2376099,2.229926292,2660.570068,1843.059326,710.507151,-192.0415039,0.044281409,NaN,2.507662973,0.229424613,5000,1.075747967,1.075747967,1.075747967,27085.01755,2609.127946,29694.14549,,,5.470000029,817.5107422,2280.186742,2407.491332
2018-07-19T08:36:01Z,1531989361,E108,40.9518235,44.0490898,2434.61,11.9,-15,309.9,537553.12,-89951.84,304.3,Weapon+Missile,Blue,Enemies,R-77,,cn,,870.1951511,768.720459,2.629391718,2434.613037,1685.480469,840.3469647,-225.9570313,0.053890001,NaN,2.09233283,0.069238208,5000,1.058636785,1.058636785,1.058636785,37861.98005,2387.539794,40249.51985,,,6.470000029,749.1325684,3116.462281,3274.077825
2018-07-19T08:36:02Z,1531989362,E108,40.943025,44.0543754,2187.77,10.1,-15,309.8,536791.19,-89433.05,304.2,Weapon+Missile,Blue,Enemies,R-77,,cn,,954.2688198,850.8218384,2.874987056,2187.772949,1461.023315,921.7911648,-246.8400879,0.060884578,NaN,1.738474389,0.11102818,5000,1.060267568,1.060267568,1.060267568,45531.44902,2145.472359,47676.92138,,,7.470000029,726.7496338,4033.920333,4224.482706
2018-07-19T08:36:03Z,1531989363,E108,40.9347771,44.059327,1957.39,8.6,-14.9,309.8,536076.94,-88947.01,304.2,Weapon+Missile,Blue,Enemies,R-77,,cn,,894.1275415,806.8145752,2.686474713,1957.388428,1234.314575,863.936938,-230.3845215,0.038743397,NaN,1.400024855,0.050435277,5000,1.045640349,1.045640349,1.045640349,39973.20303,1919.542322,41892.74535,,,8.470000029,723.0738525,4893.695707,5114.859713
2018-07-19T08:36:04Z,1531989364,E108,40.9271406,44.0639088,1744.94,7.2,-14.9,309.8,535415.88,-88497.24,304.2,Weapon+Missile,Blue,Enemies,R-77,,cn,,827.301693,755.0727539,2.479493615,1744.937622,1006.133911,799.5578443,-212.4508057,0.053969666,NaN,1.33844387,0.050435277,5000,1.02839303,1.02839303,1.02839303,34221.40456,1711.199253,35932.60381,,,9.470000029,738.8037109,5689.498509,5938.756012
