ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:35:58Z,1531989358,F50A,41.0757349,44.2955989,2687.11,70.8,-0.4,269,544774.5,-61592.85,263.3,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,250.0397324,222.8181,0.757806103,2687.112305,2110.038696,NaN,NaN,2.674771046,NaN,15.87691133,2.321407945,NaN,NaN,NaN,NaN,NaN,2635.156988,NaN,,,0.75,577.0736084,NaN,NaN
2018-07-19T08:35:59Z,1531989359,F50A,41.0711712,44.2953857,2665.79,58.6,-3.4,268.4,544412.69,-61652.61,262.7,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,367.3339361,332.4129944,1.113010291,2665.793945,2094.405884,366.714805,-21.31835938,1.44312316,NaN,10.09228752,2.928074776,5000,1.555153608,1.555153608,1.555153608,6746.711032,2614.250819,9360.961851,,,1.75,571.3880615,364.3985061,365.1742175
2018-07-19T08:36:00Z,1531989360,F50A,41.0649953,44.2952632,2633.39,50.1,-3.8,269.5,543921.25,-61715,263.8,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,496.4415069,445.9667053,1.503618505,2633.385986,2066.075928,495.3825733,-32.40795898,0.028226002,NaN,8.461566193,1.079833698,5000,1.904899597,1.904899597,1.904899597,12322.70849,2582.469468,14905.17796,,,2.75,567.3100586,856.6618844,858.707278
2018-07-19T08:36:01Z,1531989361,F50A,41.0571372,44.295288,2588.15,42.6,-4.5,271.2,543294,-61774.27,265.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,631.6653944,561.1174927,1.912148389,2588.145996,2024.686462,630.0432634,-45.23999023,0.009399767,NaN,7.292292448,1.765957363,5000,2.178128004,2.178128004,2.178128004,19950.05853,2538.104193,22488.16272,,,3.75,563.4595337,1482.778723,1486.712017
2018-07-19T08:36:02Z,1531989362,F50A,41.0480301,44.2955206,2525.85,35.8,-5.3,273.2,542564.75,-61820.22,267.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,733.3474742,648.8536987,2.218303731,2525.846191,1928.298279,730.6964159,-62.29980469,0.085973683,NaN,6.584630209,2.254314608,5000,3.150119543,3.150119543,3.150119543,26889.92589,2477.008955,29366.93485,,,4.75,597.5479126,2208.859103,2215.750268
2018-07-19T08:36:03Z,1531989363,F50A,41.0383606,44.2960472,2443.93,29.5,-6.7,275.7,541787.44,-61837.86,270,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,781.8157365,692.6307983,2.362605812,2443.932861,1781.057251,777.5127344,-81.91333008,0.068071833,NaN,6.076955908,2.767599482,5000,3.880265474,3.880265474,3.880265474,30561.79229,2396.679419,32958.47171,,,5.75,662.8756104,2981.516694,2993.037096
2018-07-19T08:36:04Z,1531989364,F50A,41.02818,44.2969371,2336,23.9,-8.2,278.3,540965.38,-61819.06,272.6,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,829.331265,736.9315796,2.502977861,2335.997803,1695.463318,822.2775506,-107.9350586,0.051636551,NaN,5.384593293,2.845444215,5000,5.073847771,5.073847771,5.073847771,34389.51735,2290.831285,36680.34864,,,6.75,640.5344849,3798.687228,3817.608617
2018-07-19T08:36:05Z,1531989365,F50A,41.0177808,44.298267,2196.14,16.5,-11.8,284.6,540121.06,-61752.98,278.9,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,858.3642731,766.8721924,2.586305625,2196.141357,1579.820251,846.8939721,-139.8564453,1.165977626,NaN,9.938471658,5.148460419,5000,9.2684021,9.2684021,9.2684021,36839.46127,2153.678964,38993.14023,,,7.75,616.321106,4640.353032,4671.110001
2018-07-19T08:36:06Z,1531989366,F50A,41.0078474,44.3002761,2011.88,13.1,-12.7,286.2,539306.56,-61607.71,280.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,847.6239246,763.8974609,2.548387376,2011.878418,1429.121155,827.3533022,-184.2629395,0.051224543,NaN,2.353847113,3.867283417,5000,0.919743299,0.919743299,0.919743299,35923.31588,1972.978749,37896.29463,,,8.75,582.7572632,5462.758312,5514.169652
2018-07-19T08:36:07Z,1531989367,F50A,40.9985872,44.3021992,1837.12,11.3,-12.7,286.2,538546.81,-61466.61,280.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,792.2571061,720.9002686,2.37703182,1837.119995,1224.983032,772.7423994,-174.7584229,0.031771522,NaN,1.738474389,0.079129389,5000,1.050768137,1.050768137,1.050768137,31383.56611,1801.59928,33185.16539,,,9.75,612.1369629,6230.940141,6302.205178
2018-07-19T08:36:08Z,1531989368,F50A,40.9899272,44.3039973,1674.41,9.8,-12.6,286.2,537836.31,-61334.62,280.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,740.7477285,680.1814575,2.218250842,1674.405396,1042.202026,722.6556278,-162.7145996,0.044729577,NaN,1.53848645,0.050435277,5000,1.041340113,1.041340113,1.041340113,27435.35987,1642.030767,29077.39063,,,10.75,632.2033691,6949.302216,7038.957689
2018-07-19T08:36:09Z,1531989369,F50A,40.9818008,44.3056838,1522.34,8.5,-12.6,286.2,537169.62,-61210.79,280.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,694.9321355,643.5754395,2.077357531,1522.336182,892.3070068,678.0896896,-152.0692139,0.033346839,NaN,1.26156326,0.050435277,5000,1.029289484,1.029289484,1.029289484,24146.53365,1492.901812,25639.43546,,,11.75,630.0291748,7623.35476,7730.115867
2018-07-19T08:36:10Z,1531989370,F50A,40.9742167,44.3072569,1380.94,7.3,-12.6,286.2,536547.5,-61095.27,280.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,648.367378,605.4227905,1.934973894,1380.935425,763.8305664,632.7606837,-141.4007568,0.036081139,NaN,1.169219103,0,5000,1.018243551,1.018243551,1.018243551,21019.01284,1354.235038,22373.24788,,,12.75,617.1048584,8252.387693,8374.985416
2018-07-19T08:36:11Z,1531989371,F50A,40.9671562,44.3087207,1249.72,6.3,-12.5,286.2,535968.31,-60987.73,280.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,603.5227393,568.017395,1.798400021,1249.72229,635.4314575,589.0864199,-131.2131348,0.05099743,NaN,0.969231164,0.051396036,5000,1.012327313,1.012327313,1.012327313,18211.98484,1225.55891,19437.54375,,,13.75,614.2908325,8837.950725,8975.187372
2018-07-19T08:36:12Z,1531989372,F50A,40.960561,44.3100874,1127.5,5.5,-12.5,286.1,535427.38,-60887.3,280.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,563.5944855,534.3730469,1.677046875,1127.496094,513.5897217,550.1813347,-122.2261963,0.03131005,NaN,0.769243225,0.051396036,5000,1.005459666,1.005459666,1.005459666,15881.9372,1105.695957,16987.63316,,,14.75,613.9063721,9384.894195,9535.720966
2018-07-19T08:36:13Z,1531989373,F50A,40.9544112,44.3113614,1013.81,4.7,-12.5,286.1,534923,-60793.67,280.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,525.4377576,501.7089844,1.561456925,1013.807678,399.6365356,512.9910148,-113.6884155,0.034394227,NaN,0.769243225,0.01713201,5000,1.000689387,1.000689387,1.000689387,13804.24185,994.2057068,14798.44756,,,15.75,614.1711426,9894.878424,10058.30712
2018-07-19T08:36:14Z,1531989374,F50A,40.9486635,44.3125517,907.79,4.1,-12.5,286.1,534451.56,-60706.17,280.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,491.0692371,471.9450684,1.457543467,907.7915039,292.0018921,479.4888595,-106.0161743,0.051900914,NaN,0.569255286,0.051396036,5000,0.992367029,0.992367029,0.992367029,12057.44978,890.2393552,12947.68914,,,16.75,615.7896118,10371.50189,10546.64902
2018-07-19T08:36:15Z,1531989375,F50A,40.9433024,44.3136615,809.1,3.5,-12.4,286.1,534011.88,-60624.57,280.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,457.9563865,442.7814331,1.357721567,809.0961304,193.901123,447.1948962,-98.69537354,0.040945546,NaN,0.507674301,0.051396036,5000,0.993879914,0.993879914,0.993879914,10486.2026,793.4522567,11279.65485,,,17.75,615.1950073,10816.03829,11002.06815
2018-07-19T08:36:16Z,1531989376,F50A,40.9383142,44.3146937,717.42,3.1,-12.4,286.1,533602.81,-60548.67,280.5,Weapon+Missile,Blue,Enemies,AIM-120B,,us,,426.0250996,414.1447144,1.261727611,717.4223022,97.28991699,416.0448229,-91.67382813,0.022725408,NaN,0.369212706,0,5000,0.99089396,0.99089396,0.99089396,9074.869273,703.550942,9778.420215,,,18.75,620.1323853,11229.63282,11425.749
