ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:35:58Z,1531989358,F708,40.9763676,44.0348051,3203.29,-82.9,-17.6,285.8,539674.5,-91347.58,280.2,Weapon+Missile,Blue,Enemies,R-77,,cn,,210.1907355,181.9660645,0.641012364,3203.289795,2185.571594,NaN,NaN,3.952004576,NaN,19.66154647,7.543559057,NaN,NaN,NaN,NaN,NaN,3141.354187,NaN,,,0.670000076,1017.718201,NaN,NaN
2018-07-19T08:35:59Z,1531989359,F708,40.9734245,44.0356308,3129.95,-68.8,-12.8,290,539429.69,-91278.81,284.4,Weapon+Missile,Blue,Enemies,R-77,,cn,,264.6505689,231.6787872,0.806379497,3129.95459,2151.763916,254.2869862,-73.33520508,3.135791161,NaN,12.76924356,6.309716802,2576.183239,4.484730721,4.484730721,4.484730721,3501.996182,3069.436918,6571.4331,,,1.670000076,978.1906738,252.8325183,263.3739257
2018-07-19T08:36:00Z,1531989360,F708,40.9690961,44.0371156,3049.18,-59.6,-10.9,299.4,539066.69,-91147.63,293.8,Weapon+Missile,Blue,Enemies,R-77,,cn,,394.3379328,351.7163086,1.200357475,3049.175293,2127.668335,385.9755308,-80.77929688,0.234663032,NaN,7.738426745,9.041899192,2472.925653,7.517879963,7.517879963,7.517879963,7775.120261,2990.219489,10765.33975,,,2.670000076,921.506958,636.6354523,655.7675164
2018-07-19T08:36:01Z,1531989361,F708,40.9640071,44.0396632,2942.59,-55.7,-14.2,309.7,538631.31,-90904.27,304.1,Weapon+Missile,Blue,Enemies,R-77,,cn,,510.039121,451.902771,1.550552754,2942.587646,2075.270142,498.777484,-106.5876465,0.814139691,NaN,2.815403976,8.233232115,4595.749247,5.664439201,5.664439201,5.664439201,13006.99525,2885.692714,15892.68796,,,3.670000076,867.3175049,1132.906026,1163.583259
2018-07-19T08:36:02Z,1531989362,F708,40.9582647,44.0432232,2781.99,-48,-15.1,311,538132.69,-90553.49,305.4,Weapon+Missile,Blue,Enemies,R-77,,cn,,630.4454946,555.4997559,1.912894672,2781.986816,1984.443359,609.6465329,-160.6008301,0.079684834,NaN,8.107680432,3.482740138,5000,0.625745118,0.625745118,0.625745118,19873.07609,2728.197101,22601.27319,,,4.670000076,797.543457,1739.694863,1791.529003
2018-07-19T08:36:03Z,1531989363,F708,40.9513465,44.0475597,2582.2,-40.6,-15.3,311.1,537531.44,-90125.55,305.5,Weapon+Missile,Blue,Enemies,R-77,,cn,,764.5616522,673.7007446,2.314281207,2582.19751,1834.138977,737.9964451,-199.7893066,0.045432329,NaN,7.123067682,0.239848843,5000,0.67338419,0.67338419,0.67338419,29227.726,2532.270721,31759.99672,,,5.670000076,748.0585327,2474.181413,2553.001302
2018-07-19T08:36:04Z,1531989364,F708,40.9432901,44.0526159,2346.2,-34.4,-15.5,311.1,536831.38,-89626.47,305.5,Weapon+Missile,Blue,Enemies,R-77,,cn,,891.5487295,790.2928467,2.69108088,2346.20459,1617.343567,859.7479158,-235.9929199,0.06104762,NaN,6.030742848,0.157639512,5000,0.667417109,0.667417109,0.667417109,39742.95685,2300.840724,42043.79757,,,6.670000076,728.8610229,3329.923631,3441.006572
2018-07-19T08:36:05Z,1531989365,F708,40.9347301,44.0579933,2092.17,-29.2,-15.6,311.1,536087.56,-89095.55,305.5,Weapon+Missile,Blue,Enemies,R-77,,cn,,948.5086637,849.5541382,2.854402652,2092.169922,1367.43927,913.8572495,-254.034668,0.052439717,NaN,5.015346436,0.183720656,5000,0.672478497,0.672478497,0.672478497,44983.43425,2051.717816,47035.15207,,,7.670000076,724.7306519,4239.484906,4385.681712
2018-07-19T08:36:06Z,1531989366,F708,40.9268007,44.0629793,1853.89,-24.8,-15.8,311.2,535398.69,-88603.15,305.6,Weapon+Missile,Blue,Enemies,R-77,,cn,,879.6500228,797.7942505,2.639759258,1853.886108,1115.384888,846.7614699,-238.2838135,0.036935629,NaN,4.2769381,0.198317744,5000,0.718254328,0.718254328,0.718254328,38689.20813,1818.04122,40507.24935,,,8.670000076,738.5012207,5082.348493,5261.831127
2018-07-19T08:36:07Z,1531989367,F708,40.919502,44.0675728,1632.06,-21,-16,311.2,534764.56,-88149.4,305.6,Weapon+Missile,Blue,Enemies,R-77,,cn,,810.6838907,744.0169067,2.426480425,1632.064575,834.0651855,779.745842,-221.8215332,0.039885327,NaN,3.646146224,0.161925656,5000,0.745298624,0.745298624,0.745298624,32860.41854,1600.508607,34460.92714,,,9.670000076,797.9993896,5858.43472,6069.199604
