ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:36:37Z,1531989397,19B05,40.6899158,43.9380813,1837.99,53.3,2.3,53.8,517723.03,-104289.2,48.4,Weapon+Missile,Red,Allies,R-27ET,,xu,,314.248919,292.4195251,0.942859746,1837.99231,870.8807373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1802.454728,NaN,,,0.079999924,967.1115723,NaN,NaN
2018-07-19T08:36:38Z,1531989398,19B05,40.6942055,43.940396,1858.69,43.4,4.5,53.5,518043.31,-103999.75,48.1,Weapon+Missile,Red,Allies,R-27ET,,xu,,432.1939939,402.5077515,1.297052805,1858.691528,857.8442993,431.6980318,20.69921875,1.898685077,NaN,9.169228432,5.128009884,5000,2.972530127,2.972530127,2.972530127,9339.582417,1822.753728,11162.33614,,,1.079999924,1000.847229,429.6886179,430.3112733
2018-07-19T08:36:39Z,1531989399,19B05,40.7006043,43.9441386,1876.23,38.7,-0.3,49.3,518518,-103535.77,43.9,Weapon+Missile,Red,Allies,R-27ET,,xu,,664.0105952,606.6477051,1.993166033,1876.22998,813.7857666,663.778934,17.53845215,0.616654961,NaN,4.353835785,5.253699547,5000,8.697069168,8.697069168,8.697069168,22045.50353,1839.953074,23885.4566,,,2.079999924,1062.444214,1090.470503,1091.519273
2018-07-19T08:36:40Z,1531989400,19B05,40.7085117,43.9496357,1832.82,34.1,-3.7,44.3,519095.38,-102865.43,38.8,Weapon+Missile,Red,Allies,R-27ET,,xu,,885.7804416,804.0087891,2.657498371,1832.820801,662.1016846,884.7161318,-43.40917969,0.190696718,NaN,6.000020658,5.092765776,5000,4.836945057,4.836945057,4.836945057,39230.34953,1797.383211,41027.73274,,,3.079999924,1170.719116,1971.450473,1973.823906
2018-07-19T08:36:41Z,1531989401,19B05,40.7167332,43.9559691,1780.42,27.9,-2.6,42.1,519689.12,-102099.77,36.6,Weapon+Missile,Red,Allies,R-27ET,,xu,,970.3226466,881.3973389,2.909349969,1780.423096,639.8544922,968.9068681,-52.39770508,0.058959276,NaN,5.784623812,2.502421016,5000,4.487361431,4.487361431,4.487361431,47076.30193,1745.998615,48822.30055,,,4.079999924,1140.568604,2936.423509,2940.491414
2018-07-19T08:36:42Z,1531989402,19B05,40.7243576,43.9622962,1745.77,22.7,-1.5,40.3,520234.84,-101339.23,34.9,Weapon+Missile,Red,Allies,R-27ET,,xu,,936.7056748,852.7244263,2.80741408,1745.770752,832.8440552,936.0644937,-34.65234375,0.100998418,NaN,5.169251088,1.965993113,5000,3.729668617,3.729668617,3.729668617,43870.87606,1712.016274,45582.89234,,,5.079999924,912.9266968,3868.813708,3873.782879
2018-07-19T08:36:43Z,1531989403,19B05,40.7316915,43.9685634,1735.77,18,0.1,40.6,520757.75,-100587.49,35.2,Weapon+Missile,Red,Allies,R-27ET,,xu,,915.7768976,834.3914185,2.744366369,1735.767578,628.173584,915.7222629,-10.00317383,0.062145419,NaN,4.261546268,1.443789399,5000,3.603017569,3.603017569,3.603017569,41932.36631,1702.206512,43634.57282,,,6.079999924,1107.593994,4780.968888,4786.241845
2018-07-19T08:36:44Z,1531989404,19B05,40.7390735,43.9745888,1744.81,14.6,0.8,42.8,521286.94,-99862.2,37.3,Weapon+Missile,Red,Allies,R-27ET,,xu,,897.8734495,818.045105,2.69099915,1744.809937,562.0333252,897.8279162,9.042358398,0.189463691,NaN,2.953865571,2.202833551,5000,4.670163631,4.670163631,4.670163631,40308.83656,1711.074036,42019.9106,,,7.079999924,1182.776611,5675.206592,5680.769247
2018-07-19T08:36:45Z,1531989405,19B05,40.7466897,43.9801933,1739.44,13.5,-2.2,46.5,521839.19,-99181.84,41.1,Weapon+Missile,Red,Allies,R-27ET,,xu,,876.2916794,798.9658813,2.626151665,1739.443726,474.2019043,876.2752485,-5.366210938,0.056131822,NaN,0.600018458,4.419623313,5000,8.296151161,8.296151161,8.296151161,38394.35537,1705.811581,40100.16695,,,8.079999924,1265.241821,6547.832177,6553.649677
2018-07-19T08:36:46Z,1531989406,19B05,40.7546561,43.9851954,1680.62,12.4,-5.6,51.8,522425.72,-98565.7,46.4,Weapon+Missile,Red,Allies,R-27ET,,xu,,852.7062584,779.9857788,2.553708855,1680.623779,141.6542969,850.6751301,-58.81994629,0.045278391,NaN,1.33844387,6.139222901,5000,9.199966431,9.199966431,9.199966431,36355.39815,1648.128919,38003.52707,,,9.079999924,1538.969482,7394.733021,7402.817195
2018-07-19T08:36:47Z,1531989407,19B05,40.7630603,43.9894859,1581.31,10.8,-8,57.9,523054.75,-98025.25,52.4,Weapon+Missile,Red,Allies,R-27ET,,xu,,835.2449069,767.7836914,2.49851249,1581.305298,62.62097168,829.3189337,-99.31848145,0.208771494,NaN,1.738474389,6.205800597,5000,8.706243515,8.706243515,8.706243515,34881.70273,1550.73076,36432.43349,,,10.07999992,1518.684326,8220.081541,8234.329533
