ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:36:41Z,1531989401,1A003,40.8358403,44.1584361,628.03,53.6,35,136.9,527095.75,-78699.51,131.4,Weapon+Missile,Red,Allies,R-77,,xu,,152.5633264,148.2610626,0.451374125,628.0284424,32.04663086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,615.8855124,NaN,,,0.180000067,595.9818115,NaN,NaN
2018-07-19T08:36:42Z,1531989402,1A003,40.8369796,44.157297,628.26,49.6,35,136.9,527199,-78817.34,131.4,Weapon+Missile,Red,Allies,R-77,,xu,,156.6655194,152.2595367,0.463512127,628.263855,38.41326904,156.6653425,0.235412598,27.41908725,NaN,4.030795158,21.98935507,488.7612529,2.75207901,2.75207901,2.75207901,1227.204248,616.1163733,1843.320621,,,1.180000067,589.8505859,156.0770931,156.0926418
2018-07-19T08:36:43Z,1531989403,1A003,40.8387753,44.1556652,704.95,45.9,35,136.9,527360,-78984.84,131.4,Weapon+Missile,Red,Allies,R-77,,xu,,244.659937,237.5538483,0.724488183,704.953064,116.5286255,232.3300454,76.68920898,5.43707219,NaN,3.646173545,0.013988227,810.8598182,8.215161324,8.215161324,8.215161324,2992.924239,691.3227965,3684.247035,,,2.180000067,588.4244385,387.5130852,399.9267041
2018-07-19T08:36:44Z,1531989404,1A003,40.8412898,44.153731,912.3,42.5,35,136.9,527581.75,-79180.43,131.4,Weapon+Missile,Red,Allies,R-77,,xu,,361.1395334,349.2712097,1.071954416,912.2976685,317.6504517,295.6856059,207.3446045,0.050980129,NaN,3.353841449,0.013988227,5000,0.829550147,0.829550147,0.829550147,6521.088128,894.658393,7415.746521,,,3.180000067,594.6472168,681.942164,760.0686896
2018-07-19T08:36:45Z,1531989405,1A003,40.8446598,44.1511385,1190.21,39.4,35,136.9,527878.94,-79442.59,131.4,Weapon+Missile,Red,Allies,R-77,,xu,,484.0268164,460.4154968,1.441327981,1190.210693,592.2106934,396.2906882,277.9130249,0.053682664,NaN,3.046155087,0.013988227,5000,0.828735232,0.828735232,0.828735232,11714.09795,1167.19797,12881.29592,,,4.180000067,598,1076.580056,1242.796415
2018-07-19T08:36:46Z,1531989406,1A003,40.8488941,44.1478807,1539.44,36.5,35,136.9,528252.38,-79772.02,131.4,Weapon+Missile,Red,Allies,R-77,,xu,,608.2264749,565.4896851,1.818531379,1539.438354,944.5465698,497.9753864,349.2276611,0.054171818,NaN,2.87693032,0.013988227,5000,0.827197492,0.827197492,0.827197492,18496.97224,1509.673314,20006.64555,,,5.180000067,594.8917847,1572.47198,1849.405031
2018-07-19T08:36:47Z,1531989407,1A003,40.8540153,44.1439399,1961.87,33.7,35,137,528704.12,-80170.49,131.4,Weapon+Missile,Red,Allies,R-77,,xu,,735.7359872,667.2609863,2.210691783,1961.866821,1357.178345,602.3799742,422.4284668,0.05205534,NaN,2.707705553,0.013988227,5000,0.826279759,0.826279759,0.826279759,27065.37215,1923.934126,28989.30627,,,6.180000067,604.6884766,2172.300889,2583.188423
2018-07-19T08:36:48Z,1531989408,1A003,40.8599115,44.1394018,2448.28,31.3,35,137,529224.31,-80629.34,131.4,Weapon+Missile,Red,Allies,R-77,,xu,,847.189305,748.4943237,2.560293894,2448.279297,1817.905457,693.637241,486.4124756,0.052005014,NaN,2.461545535,0.013988227,5000,0.82141,0.82141,0.82141,35886.48592,2400.941817,38287.42774,,,7.180000067,630.3738403,2863.001923,3428.170635
2018-07-19T08:36:49Z,1531989409,1A003,40.8656538,44.1349812,2922.08,28.9,35,137,529730.94,-81076.27,131.4,Weapon+Missile,Red,Allies,R-77,,xu,,825.1670116,714.0206909,2.507942192,2922.078369,2236.641174,675.5849585,473.7990723,0.052396452,NaN,2.307675034,0.013988227,5000,0.809586167,0.809586167,0.809586167,34045.02985,2865.579984,36910.60984,,,8.180000067,685.4371948,3535.772989,4251.267017
2018-07-19T08:36:50Z,1531989410,1A003,40.8709388,44.1309119,3358.21,26.8,35,137,530197.38,-81487.67,131.4,Weapon+Missile,Red,Allies,R-77,,xu,,759.6221187,646.5904541,2.320964541,3358.205322,2576.207153,621.9477823,436.1269531,0.055163398,NaN,2.138450267,0.013988227,5000,0.817338288,0.817338288,0.817338288,28851.28816,3293.274422,32144.56258,,,9.180000067,781.9981689,4155.048786,5008.95227
