ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:36:56Z,1531989416,1CE0C,40.9200533,44.1468546,938.52,71.9,0.9,43.8,533955.81,-79336.93,38.2,Weapon+Missile,Red,Allies,R-77,,xu,,284.8000166,274.2964172,0.845614183,938.5184326,101.1109009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,920.3721787,NaN,,,0.359999895,837.4075317,NaN,NaN
2018-07-19T08:36:57Z,1531989417,1CE0C,40.9223732,44.1489724,937.05,58.6,3.6,47,534118.56,-79083.66,41.4,Weapon+Missile,Red,Allies,R-77,,xu,,301.053499,290.1877136,0.893858075,937.0453491,118.4125366,301.049895,-1.473083496,5.938483515,NaN,12.07692192,12.57387752,1575.407467,6.355846882,6.355846882,6.355846882,4531.660464,918.9275773,5450.588041,,,1.359999895,818.6328125,299.8594348,299.9071411
2018-07-19T08:36:58Z,1531989418,1CE0C,40.9261385,44.1513294,950.03,50,3.2,55.2,534394.44,-78792.6,49.6,Weapon+Missile,Red,Allies,R-77,,xu,,401.2393474,387.2342529,1.19149792,950.0307007,147.3615112,401.0291692,12.98535156,0.990130738,NaN,7.923074079,5.848017359,3560.850061,4.876923561,4.876923561,4.876923561,8049.650694,931.6618571,8981.312551,,,2.359999895,802.6691895,698.9793664,699.2972676
2018-07-19T08:36:59Z,1531989419,1CE0C,40.9314695,44.1539784,976.12,42.2,2.6,55.4,534792.31,-78456.93,49.8,Weapon+Missile,Red,Allies,R-77,,xu,,521.2107573,498.5504456,1.548223131,976.1176758,199.0219727,520.557512,26.0869751,0.046773668,NaN,7.523098201,1.680342862,5000,0.4108271,0.4108271,0.4108271,13583.03268,957.2444405,14540.27712,,,3.359999895,777.0957031,1216.902807,1217.955378
2018-07-19T08:37:00Z,1531989420,1CE0C,40.9380196,44.1572332,1001.83,35.7,2,55.5,535281.06,-78044.45,49.9,Weapon+Missile,Red,Allies,R-77,,xu,,640.063469,607.4749756,1.901830698,1001.833862,230.4535522,639.5466536,25.71618652,0.034901544,NaN,6.246126034,0.550192335,5000,0.421054929,0.421054929,0.421054929,20484.06222,982.4634046,21466.52562,,,4.359999895,771.3803101,1853.259311,1854.929876
2018-07-19T08:37:01Z,1531989421,1CE0C,40.9457634,44.1610666,1025.84,30.3,1.6,55.6,535859,-77558.38,50,Weapon+Missile,Red,Allies,R-77,,xu,,755.5477221,713.3510132,2.245592014,1025.839233,226.9033813,755.1662748,24.00537109,0.030856024,NaN,5.030789494,0.431150195,5000,0.504735887,0.504735887,0.504735887,28542.61802,1006.004632,29548.62265,,,5.359999895,798.9358521,2604.627495,2606.800808
2018-07-19T08:37:02Z,1531989422,1CE0C,40.9547229,44.1654495,1045.13,26,0.5,56.3,536528.19,-77001.72,50.7,Weapon+Missile,Red,Allies,R-77,,xu,,870.6607977,819.2363892,2.588299569,1045.130005,349.0541382,870.4470638,19.29077148,0.200406788,NaN,3.430776699,0.874717728,5000,1.028054595,1.028054595,1.028054595,37902.51123,1024.922416,38927.43365,,,6.359999895,696.0758667,3470.625577,3473.154281
2018-07-19T08:37:03Z,1531989423,1CE0C,40.9645598,44.170156,1050.68,22.1,0.2,56.5,537263.88,-76402.19,50.9,Weapon+Missile,Red,Allies,R-77,,xu,,949.0546151,891.7661133,2.821529354,1050.683838,400.3859863,949.0383645,5.553833008,0.063858963,NaN,3.692290982,0.75990625,5000,0.781872571,0.781872571,0.781872571,45035.23312,1030.368866,46065.60199,,,7.359999895,650.2978516,4414.793391,4417.49355
2018-07-19T08:37:04Z,1531989424,1CE0C,40.9738199,44.1745792,1053.88,18.5,0.1,56.5,537956.38,-75838.54,50.9,Weapon+Missile,Red,Allies,R-77,,xu,,892.8975397,839.5239258,2.654672776,1053.878418,391.0961304,892.891825,3.194580078,0.05387052,NaN,3.246143026,0.111905886,5000,0.891627908,0.891627908,0.891627908,39863.30082,1033.501679,40896.8025,,,8.359999895,662.7822876,5303.107389,5305.959848
2018-07-19T08:37:05Z,1531989425,1CE0C,40.9821725,44.1785676,1055.81,15.6,0.1,56.5,538580.94,-75330.21,50.9,Weapon+Missile,Red,Allies,R-77,,xu,,805.2822672,758.3453979,2.39423724,1055.809937,480.8099365,805.2799507,1.931518555,0.040198372,NaN,2.846167148,0.048456647,5000,0.922637999,0.922637999,0.922637999,32423.97649,1035.395851,33459.37234,,,9.359999895,575,6104.245725,6107.233008
