ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:37:02Z,1531989422,1D40C,40.9348562,44.1584096,877.74,-15.7,1.1,40,535015.38,-77938.32,34.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,295.387458,285.3283997,0.87643728,877.7376709,118.1520996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,860.766613,NaN,,,0.309999943,759.5855713,NaN,NaN
2018-07-19T08:37:03Z,1531989423,1D40C,40.9374605,44.1605773,859.06,-12.7,0.5,40,535200.25,-77677.27,34.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,320.4325166,310.087677,0.950544009,859.0646362,72.0604248,319.8879733,-18.67303467,4.003927148,NaN,2.87691666,4.182475632,5000,1.912501097,1.912501097,1.912501097,5133.849886,842.4546215,5976.304507,,,1.309999943,787.0042114,318.5682505,319.1583454
2018-07-19T08:37:04Z,1531989424,1D40C,40.94151,44.1642317,839.02,-10,-0.5,36.8,535484.69,-77239.8,31.2,Weapon+Missile,Red,Allies,R-27ER,,xu,,522.1929231,502.1364746,1.548697802,839.0184326,26.75585938,521.8080094,-20.04620361,0.612558391,NaN,2.553847004,1.393423798,5000,2.512363195,2.512363195,2.512363195,13634.27245,822.7960112,14457.06846,,,2.309999943,812.2625732,838.2487039,839.2944144
2018-07-19T08:37:05Z,1531989425,1D40C,40.9472491,44.169603,831.01,-8.2,-0.9,38.5,535885.56,-76598.43,32.9,Weapon+Missile,Red,Allies,R-27ER,,xu,,756.3840424,720.2058105,2.243045723,831.006897,58.50024414,756.3416125,-8.011535645,0.044562206,NaN,1.83076732,0.697958302,5000,2.071834087,2.071834087,2.071834087,28605.84098,814.9393786,29420.78036,,,3.309999943,772.5066528,1591.591076,1592.778005
2018-07-19T08:37:06Z,1531989426,1D40C,40.954814,44.1763365,812.76,-6.6,-1.1,39.1,536417.69,-75791.48,33.5,Weapon+Missile,Red,Allies,R-27ER,,xu,,966.7797952,918.1544189,2.866371208,812.7637939,77.68774414,966.6076565,-18.24310303,0.036671326,NaN,1.369211311,0.843742126,5000,0.974842787,0.974842787,0.974842787,46733.15862,797.049006,47530.20763,,,4.309999943,735.0760498,2554.235761,2555.719561
2018-07-19T08:37:07Z,1531989427,1D40C,40.9625319,44.1831703,793.69,-5.4,-1.1,39.2,536960.75,-74972.12,33.5,Weapon+Missile,Red,Allies,R-27ER,,xu,,983.1737335,934.4006348,2.914339347,793.6869507,158.2793579,982.988639,-19.07684326,0.045388507,NaN,1.138447393,0.019782341,5000,1.034447312,1.034447312,1.034447312,48331.52951,778.3410135,49109.87053,,,5.309999943,635.4075928,3533.19227,3534.985189
2018-07-19T08:37:08Z,1531989428,1D40C,40.9701704,44.1899309,775.15,-4.5,-1.1,39.2,537498.12,-74161.46,33.5,Weapon+Missile,Red,Allies,R-27ER,,xu,,972.7687769,925.3768921,2.882884115,775.149231,168.0901489,972.5921274,-18.53771973,0.051689391,NaN,0.876924572,0.019782341,5000,1.030640841,1.030640841,1.030640841,47313.95467,760.1617206,48074.11639,,,6.309999943,607.059082,4501.781084,4503.870483
2018-07-19T08:37:09Z,1531989429,1D40C,40.9777213,44.1966116,757.13,-3.7,-1.1,39.2,538029.25,-73360.31,33.5,Weapon+Missile,Red,Allies,R-27ER,,xu,,961.3829599,915.3898315,2.848553122,757.1322632,192.8851318,961.21412,-18.01696777,0.057190143,NaN,0.769238956,0.019782341,5000,1.025738358,1.025738358,1.025738358,46212.85978,742.4931109,46955.35289,,,7.309999943,564.2471313,5459.013166,5461.387068
2018-07-19T08:37:10Z,1531989430,1D40C,40.9852266,44.2032497,739.49,-3.1,-1,39.2,538556.94,-72564.2,33.5,Weapon+Missile,Red,Allies,R-27ER,,xu,,955.284282,910.3640747,2.829910864,739.486145,180.486145,955.1212875,-17.64611816,0.070838749,NaN,0.584630469,0.05417618,5000,1.027204156,1.027204156,1.027204156,45628.40297,725.1881804,46353.59115,,,8.309999943,559,6410.226731,6412.875878
2018-07-19T08:37:11Z,1531989431,1D40C,40.9926392,44.2098036,722.32,-2.5,-1,39.2,539078.12,-71778.09,33.5,Weapon+Missile,Red,Allies,R-27ER,,xu,,943.3446719,899.7888794,2.793991941,722.3161011,166.5519409,943.1884009,-17.17004395,0.063152017,NaN,0.523045214,0.05417618,5000,1.022953749,1.022953749,1.022953749,44494.9585,708.3501193,45203.30862,,,9.309999943,555.7641602,7349.461535,7352.375224
