ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:37:09Z,1531989429,2110C,40.9502092,44.1724855,864.34,10.4,-4,35.1,536091.12,-76255.16,29.5,Weapon+Missile,Red,Allies,R-73,,xu,,276.4081008,266.9223633,0.819997864,864.3391724,94.54772949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,847.6271745,NaN,,,0.019999981,769.7914429,NaN,NaN
2018-07-19T08:37:10Z,1531989430,2110C,40.9529061,44.1747201,851.14,6.3,-1,48.7,536282.62,-75985.9,43.1,Weapon+Missile,Red,Allies,R-73,,xu,,330.6816048,320.2461243,0.980858118,851.1445923,99.06854248,330.4182604,-13.19458008,1.330728895,NaN,4.707694225,0.560834113,2543.318646,4.551112175,4.551112175,4.551112175,5467.516188,834.6877116,6302.203899,,,1.019999981,752.0760498,329.0063701,329.3150535
2018-07-19T08:37:11Z,1531989431,2110C,40.9569538,44.17731,841.72,5.5,-1.3,47,536578.25,-75666.65,41.3,Weapon+Missile,Red,Allies,R-73,,xu,,435.2052049,420.9022522,1.290753277,841.7176514,133.0256958,435.1030948,-9.426940918,0.054038606,NaN,0.569255286,3.210705656,5000,3.0607512,3.0607512,3.0607512,9470.178517,825.4430406,10295.62156,,,2.019999981,708.6919556,762.0827936,762.5515239
2018-07-19T08:37:12Z,1531989432,2110C,40.9617227,44.1807411,827.67,4.9,-1.8,43.3,536922.38,-75248.3,37.7,Weapon+Missile,Red,Allies,R-73,,xu,,541.87709,520.6536255,1.606867031,827.6723022,189.1221313,541.695033,-14.04534912,0.125972438,NaN,0.523083207,3.137490084,5000,2.767542362,2.767542362,2.767542362,14681.53903,811.6692583,15493.20829,,,3.019999981,638.5501709,1301.371172,1302.093324
2018-07-19T08:37:13Z,1531989433,2110C,40.9670469,44.1849415,806.79,4.1,-1.7,41.8,537302.5,-74740.14,36.2,Weapon+Missile,Red,Allies,R-73,,xu,,634.9502876,607.6665649,1.88241262,806.7883911,199.9971924,634.6067523,-20.88391113,0.084214363,NaN,0.953822257,1.657585312,5000,1.435024619,1.435024619,1.435024619,20158.09339,791.1891376,20949.28253,,,4.019999981,606.7911987,1933.262865,1934.410947
2018-07-19T08:37:14Z,1531989434,2110C,40.9729441,44.1897044,785.67,3.6,-1.9,41.7,537722.31,-74164.98,36.1,Weapon+Missile,Red,Allies,R-73,,xu,,712.3920371,680.4772339,2.111489708,785.6654053,191.4335327,712.0788116,-21.12298584,0.031843711,NaN,0.246160018,0.301641564,5000,0.919135094,0.919135094,0.919135094,25375.12072,770.4745647,26145.59529,,,5.019999981,594.2318726,2642.28163,2643.832761
2018-07-19T08:37:15Z,1531989435,2110C,40.9791046,44.1946913,762.64,3,-1.2,41.7,538160.62,-73562.84,36,Weapon+Missile,Red,Allies,R-73,,xu,,745.1253829,711.7973633,2.20792683,762.6422729,186.522583,744.7696097,-23.02313232,0.026485407,NaN,0.969231164,0.655747466,5000,2.653114796,2.653114796,2.653114796,27760.59181,747.8965846,28508.48839,,,6.019999981,576.1196899,3383.872804,3385.8712
2018-07-19T08:37:16Z,1531989436,2110C,40.984347,44.1989405,758.22,1.8,0.5,41.6,538533.5,-73049.8,36,Weapon+Missile,Red,Allies,R-73,,xu,,634.2494922,608.2373657,1.879288442,758.2199707,198.2199707,634.2340747,-4.422302246,0.045692001,NaN,1.169219103,1.470123727,5000,2.453632593,2.453632593,2.453632593,20113.62092,743.5597876,20857.1807,,,7.019999981,560,4015.380233,4017.469403
2018-07-19T08:37:17Z,1531989437,2110C,40.9887504,44.2025083,767.17,1.4,1,41.7,538846.69,-72619.01,36.1,Weapon+Missile,Red,Allies,R-73,,xu,,532.6778328,513.3220215,1.578492267,767.1668701,208.6687012,532.6026911,8.946899414,0.101593573,NaN,0.199987939,0.703265252,5000,1.053484082,1.053484082,1.053484082,14187.28368,752.3336987,14939.61738,,,8.019999981,558.4981689,4545.694431,4547.922472
2018-07-19T08:37:18Z,1531989438,2110C,40.9925712,44.205519,773.13,2,-0.2,43.7,539119.31,-72254.63,38,Weapon+Missile,Red,Allies,R-73,,xu,,455.1143801,440.7093506,1.348739491,773.1307373,220.1307373,455.0753028,5.963867188,0.296426445,NaN,1.030769461,2.928342648,5000,3.120253801,3.120253801,3.120253801,10356.45495,758.1822545,11114.6372,,,9.019999981,553,4998.785575,5001.10757
2018-07-19T08:37:19Z,1531989439,2110C,40.9961023,44.2079344,759.3,3.1,-3.1,50.5,539375.19,-71958.66,44.8,Weapon+Missile,Red,Allies,R-73,,xu,,391.4852766,380.6037598,1.15998971,759.3030396,202.9789429,391.2409956,-13.82769775,0.170339593,NaN,0.061526344,6.438855189,2757.485607,5.19739151,5.19739151,5.19739151,7663.036091,744.6219153,8407.658007,,,10.01999998,556.3240967,5388.259272,5390.873414
2018-07-19T08:37:20Z,1531989440,2110C,40.9995014,44.2096785,740.5,2.1,-3.2,59.4,539627.81,-71738.29,53.7,Weapon+Missile,Red,Allies,R-73,,xu,,335.7650149,326.6080017,0.994673623,740.4984131,181.4984131,335.2380218,-18.80462646,0.094866862,NaN,1.123047024,9.18845883,1911.987068,5.7342906,5.7342906,5.7342906,5636.907261,726.1808763,6363.088138,,,11.01999998,559,5721.815863,5724.998807
2018-07-19T08:37:21Z,1531989441,2110C,41.0027884,44.2108031,726.76,0.4,-2.1,69.9,539878.25,-71587.59,64.3,Weapon+Missile,Red,Allies,R-73,,xu,,292.6072304,284.3247681,0.866686273,726.7645874,166.7645874,292.2847469,-13.73382568,0.289755945,NaN,1.738474389,9.769847947,1762.693218,4.964007378,4.964007378,4.964007378,4280.949563,712.7125941,4993.662157,,,12.01999998,560,6012.445823,6015.986475
2018-07-19T08:37:22Z,1531989442,2110C,41.005987,44.2114615,718.76,-0.8,-1.1,78.8,540126.69,-71489.38,73.1,Weapon+Missile,Red,Allies,R-73,,xu,,267.2651141,259.551178,0.791551813,718.7607422,158.7607422,267.1452407,-8.003845215,0.586682502,NaN,1.461551199,11.27129343,1125.350153,6.20768261,6.20768261,6.20768261,3571.532059,704.8635032,4276.395563,,,13.01999998,560,6277.977017,6281.668348
2018-07-19T08:37:23Z,1531989443,2110C,41.0088656,44.2115629,725.74,-6.7,6.6,98.6,540355.62,-71455.55,92.9,Weapon+Missile,Red,Allies,R-73,,xu,,231.5274651,224.5069427,0.685763412,725.7446289,163.4221191,231.4221088,6.983886719,1.03893256,NaN,7.492280387,18.28055735,603.6014251,8.42788887,8.42788887,8.42788887,2680.248356,711.7123565,3391.960712,,,14.01999998,562.3225098,6507.94193,6511.765313
2018-07-19T08:37:24Z,1531989444,2110C,41.0108149,44.2111606,764.59,-18,21.8,109.4,540515.75,-71484.96,103.8,Weapon+Missile,Red,Allies,R-73,,xu,,167.3725928,161.6985016,0.495963079,764.5884399,192.5474854,162.8027738,38.84381104,1.340230645,NaN,13.16926042,15.4423986,714.3712979,4.541309834,4.541309834,4.541309834,1400.679241,749.8051225,2150.484363,,,15.01999998,572.0409546,6669.793219,6678.230933
2018-07-19T08:37:25Z,1531989445,2110C,41.0121834,44.2109064,821.83,-27.6,30.3,98.2,540627.88,-71502.48,92.6,Weapon+Missile,Red,Allies,R-73,,xu,,127.1049544,122.3409042,0.376888189,821.8322754,242.3817139,113.4848569,57.24383545,0.500455847,NaN,6.876962305,11.46504028,622.1882107,2.794872046,2.794872046,2.794872046,807.7834721,805.9421483,1613.72562,,,16.01999998,579.4505615,6782.596679,6804.740389
2018-07-19T08:37:26Z,1531989446,2110C,41.0132552,44.2108824,872.17,-28.5,27.9,84.8,540713.75,-71496.73,79.1,Weapon+Missile,Red,Allies,R-73,,xu,,99.70874594,95.68359375,0.295824604,872.1745605,282.7835693,86.06676677,50.34228516,0.975297876,NaN,2.092281603,9.766304787,569.2564087,1.300010085,1.300010085,1.300010085,497.0917009,855.3110654,1352.402766,,,17.01999998,589.3909912,6868.158845,6904.023693
