ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:37:47Z,1531989467,2820D,40.9904724,44.2398888,1032.97,23.3,-2,72.1,538577.69,-68452.64,66.4,Weapon+Missile,Red,Allies,R-77,,xu,,311.5553957,299.3259277,0.926061728,1032.970703,496.4812622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1012.998215,NaN,,,0.049999952,536.4894409,NaN,NaN
2018-07-19T08:37:48Z,1531989468,2820D,40.9943489,44.2408293,1009.99,18.9,-0.6,72.4,538877.06,-68317.82,66.8,Weapon+Missile,Red,Allies,R-77,,xu,,329.1349378,316.7872314,0.9780558,1009.994629,479.2185059,328.3320077,-22.97607422,3.376742446,NaN,4.200019924,7.077927302,3776.755881,3.672250509,3.672250509,3.672250509,5416.490364,990.4663828,6406.956746,,,1.049999952,530.776123,326.404182,327.2639886
2018-07-19T08:37:49Z,1531989469,2820D,40.9992844,44.2417038,991.43,15.2,0.7,79.3,539261.75,-68182.03,73.7,Weapon+Missile,Red,Allies,R-77,,xu,,408.3719446,393.3885193,1.213256651,991.4338379,454.7741699,407.949926,-18.56079102,1.32659542,NaN,2.892339227,3.861315539,4963.106305,4.220353603,4.220353603,4.220353603,8338.382256,972.2644646,9310.64672,,,2.049999952,536.659668,731.8762249,733.2241774
2018-07-19T08:37:50Z,1531989470,2820D,41.0057517,44.2425642,997.96,13.1,0.6,79.7,539768.88,-68035.77,74,Weapon+Missile,Red,Allies,R-77,,xu,,527.8349306,504.2290344,1.56829429,997.9607544,416.5482788,527.7945749,6.526916504,0.107327365,NaN,1.938462328,1.127449294,5000,1.361492038,1.361492038,1.361492038,13930.4857,978.6651832,14909.15088,,,3.049999952,581.4124756,1256.456945,1257.927304
2018-07-19T08:37:51Z,1531989471,2820D,41.0136303,44.2435772,1008.75,10.7,1.4,80.1,540387.06,-67861.45,74.5,Weapon+Missile,Red,Allies,R-77,,xu,,642.3860445,609.4391479,1.908883975,1008.753052,366.0115356,642.295381,10.79229736,0.084555068,NaN,2.646179209,0.863911941,5000,2.908564568,2.908564568,2.908564568,20632.99151,989.2488115,21622.24032,,,4.049999952,642.7415161,1894.796276,1896.458265
2018-07-19T08:37:52Z,1531989472,2820D,41.0229801,44.2447117,1040.4,7.6,3.6,80.9,541121.31,-67662.03,75.2,Weapon+Missile,Red,Allies,R-77,,xu,,761.5075997,718.4019165,2.263685633,1040.402344,396.7627563,760.8496216,31.64929199,0.07116736,NaN,3.276906198,1.956257319,5000,4.164008617,4.164008617,4.164008617,28994.69122,1020.286164,30014.97739,,,5.049999952,643.6395874,2651.024512,2653.46987
2018-07-19T08:37:53Z,1531989473,2820D,41.0336267,44.2459066,1108.39,5.2,5.2,81.2,541958.5,-67445.6,75.6,Weapon+Missile,Red,Allies,R-77,,xu,,867.3797079,813.8792114,2.580428863,1108.393799,466.5142212,864.7107723,67.99145508,0.103188972,NaN,1.892290249,1.607670717,5000,2.566819429,2.566819429,2.566819429,37617.37789,1086.963005,38704.34089,,,6.049999952,641.8795776,3510.39143,3515.666578
2018-07-19T08:37:54Z,1531989474,2820D,41.0454308,44.2472466,1200.36,4.1,5.9,80.9,542886.56,-67203.82,75.2,Weapon+Missile,Red,Allies,R-77,,xu,,963.4398699,898.9501953,2.869254223,1200.362305,522.7157593,959.0402373,91.96850586,0.032014596,NaN,1.492314371,1.00623222,5000,2.77696991,2.77696991,2.77696991,46410.81914,1177.1533,47587.97244,,,7.049999952,677.6465454,4463.43405,4473.308084
2018-07-19T08:37:55Z,1531989475,2820D,41.0569072,44.2485927,1306.74,2.7,7.2,80.5,543788.25,-66963.8,74.8,Weapon+Missile,Red,Allies,R-77,,xu,,939.1312329,872.2973022,2.800309605,1306.738403,599.2703857,933.0871332,106.3760986,0.08489094,NaN,1.553840715,1.325830431,5000,3.326440334,3.326440334,3.326440334,44098.37363,1281.472616,45379.84624,,,8.049999952,707.4680176,5390.759405,5406.895917
2018-07-19T08:37:56Z,1531989476,2820D,41.0672872,44.2499632,1420.25,1.6,7.8,78.6,544602.12,-66729.62,72.9,Weapon+Missile,Red,Allies,R-77,,xu,,854.4691476,790.8008423,2.55122565,1420.25,746.7293091,846.895886,113.5115967,0.124153098,NaN,0.692307974,1.850023118,5000,3.386867046,3.386867046,3.386867046,36505.87621,1392.789466,37898.66568,,,9.049999952,673.5206909,6232.400938,6256.335877
