ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:37:52Z,1531989472,29205,40.8292488,43.9921988,2123.58,-73.7,0.8,18.5,528335.12,-97218.96,12.9,Weapon+Missile,Red,Allies,R-27ER,,xu,,353.7696001,326.6838684,1.06501497,2123.579834,1004.634888,NaN,NaN,2.928220846,NaN,16.49231137,3.190026244,NaN,NaN,NaN,NaN,NaN,2082.520418,NaN,,,0.779999971,1118.944946,NaN,NaN
2018-07-19T08:37:53Z,1531989473,29205,40.8312994,43.9960816,2111.69,-59.5,-0.5,16.9,528458.38,-96771.87,11.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,463.923238,426.7306519,1.396433518,2111.689209,1017.608154,463.7708311,-11.890625,1.490723018,NaN,13.53847312,2.923938243,3520.319305,7.68671608,7.68671608,7.68671608,10761.23854,2070.859698,12832.09824,,,1.779999971,1094.081055,462.3730144,462.6793457
2018-07-19T08:37:54Z,1531989474,29205,40.8332813,44.0021225,2089.99,-47.6,-2.5,8.9,528553.19,-96085.52,3.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,693.2013527,626.5036621,2.086037615,2089.987549,1022.912842,692.8615687,-21.70166016,0.209397457,NaN,11.49232603,6.923858811,5000,9.870867729,9.870867729,9.870867729,24026.40577,2049.57764,26075.98341,,,2.779999971,1067.074707,1153.321584,1154.196113
2018-07-19T08:37:55Z,1531989475,29205,40.8345548,44.0103572,2026.25,-38.4,-4.7,7.3,528567.88,-95160.88,1.7,Weapon+Missile,Red,Allies,R-27ER,,xu,,926.9591791,833.1698608,2.787381835,2026.246948,1126.645691,924.7650813,-63.74060059,0.077698338,NaN,8.030758841,2.612661336,5000,5.116933823,5.116933823,5.116933823,42962.66599,1987.069463,44949.73545,,,3.779999971,899.6012573,2075.661119,2079.032418
2018-07-19T08:37:56Z,1531989476,29205,40.8366183,44.0195327,1937.77,-31.5,-5.1,11,528635.81,-94125.66,5.5,Weapon+Missile,Red,Allies,R-27ER,,xu,,1041.211714,937.8816528,3.127677567,1937.768311,957.7124023,1037.445596,-88.4786377,0.073865018,NaN,6.507722279,3.600812551,5000,6.076354504,6.076354504,6.076354504,54206.09168,1900.30156,56106.39324,,,4.779999971,980.0559082,3110.3378,3117.805616
2018-07-19T08:37:57Z,1531989477,29205,40.8393706,44.0284783,1846.7,-26.1,-5.1,14.4,528761.38,-93110.69,8.9,Weapon+Missile,Red,Allies,R-27ER,,xu,,1026.752624,928.9970703,3.080942211,1846.699951,1001.408875,1022.705972,-91.06835938,0.026254204,NaN,5.061552666,3.436261982,5000,6.714765549,6.714765549,6.714765549,52711.04755,1810.994008,54522.04156,,,5.779999971,845.2910767,4130.235066,4142.062013
2018-07-19T08:37:58Z,1531989478,29205,40.842862,44.0371406,1754.74,-21.6,-5.5,18.2,528949.12,-92121.52,12.7,Weapon+Missile,Red,Allies,R-27ER,,xu,,1011.015383,918.8946533,3.030447427,1754.740723,980.5701294,1006.824516,-91.95922852,0.078890132,NaN,4.353832369,3.691934532,5000,6.331143856,6.331143856,6.331143856,51107.60524,1720.812811,52828.41805,,,6.779999971,774.1705933,5134.19144,5150.503441
2018-07-19T08:37:59Z,1531989479,29205,40.8470474,44.0455431,1657.52,-19.9,-5.1,21,529195.12,-91155.85,15.5,Weapon+Missile,Red,Allies,R-27ER,,xu,,1001.243793,914.263916,2.997742943,1657.524658,864.8274536,996.5130055,-97.21606445,0.326731037,NaN,0.76923981,2.130540267,5000,3.348574638,3.348574638,3.348574638,50124.45667,1625.476419,51749.93309,,,7.779999971,792.6972046,6127.703927,6149.025434
2018-07-19T08:38:00Z,1531989480,29205,40.8512999,44.0538455,1583,-18.4,-4.3,19.2,529447.44,-90200.8,13.7,Weapon+Missile,Red,Allies,R-27ER,,xu,,990.6209904,907.8301392,2.963355895,1583.000732,850.7057495,987.813814,-74.52392578,0.162565978,NaN,1.738457314,0.710256591,5000,2.721971035,2.721971035,2.721971035,49066.49733,1552.393413,50618.89074,,,8.779999971,732.2949829,7112.560144,7136.946707
2018-07-19T08:38:01Z,1531989481,29205,40.8552145,44.0621623,1494.71,-16.7,-6.1,19.1,529672.44,-89246.7,13.6,Weapon+Missile,Red,Allies,R-27ER,,xu,,984.2405111,905.7549438,2.941238557,1494.713745,812.2313232,980.2728149,-88.2869873,0.132109287,NaN,1.538469375,1.344959016,5000,3.238967896,3.238967896,3.238967896,48436.46918,1465.813455,49902.28264,,,9.779999971,682.4824219,8089.919812,8118.520701
2018-07-19T08:38:02Z,1531989482,29205,40.8593733,44.0703186,1377.24,-15.5,-8,21.5,529918.62,-88308.58,16,Weapon+Missile,Red,Allies,R-27ER,,xu,,976.9788276,904.0471802,2.915549629,1377.236816,699.6052856,969.8900973,-117.4769287,0.028235985,NaN,1.153878498,2.958079157,5000,5.323620796,5.323620796,5.323620796,47724.38148,1350.607943,49074.98942,,,10.77999997,677.6315308,9056.892128,9092.819097
2018-07-19T08:38:03Z,1531989483,29205,40.8638398,44.0779362,1229.61,-14.8,-9.9,24.7,530195.06,-87427.91,19.2,Weapon+Missile,Red,Allies,R-27ER,,xu,,934.7703962,871.3668213,2.78481534,1229.605347,504.0747681,923.0388089,-147.6314697,0.091791388,NaN,0.446127466,3.622973954,5000,6.002096653,6.002096653,6.002096653,43689.78468,1205.830927,44895.61561,,,11.77999997,725.5305786,9977.041355,10024.92195
2018-07-19T08:38:04Z,1531989484,29205,40.8685557,44.0846826,1081.87,-15.1,-9.5,29,530500.69,-86642.09,23.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,856.0055312,804.3306274,2.545811337,1081.871582,320.9321899,843.1608412,-147.7337646,0.090480557,NaN,0.569200645,4.030024627,5000,6.797478199,6.797478199,6.797478199,36637.27347,1060.953595,37698.22706,,,12.77999997,760.9393921,10817.41417,10878.33141
