ISOTime,UnixTime,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,Type,Color,Coalition,Name,Group,Country,Pilot,TAS,CAS,M,ASL,AGL,GS,VS,AOA,AOS,RRT,TRT,TRD,G,LatG,LonG,Ek,Ep,Em,FFW,FFV,RelativeTime,Elev,GroundDistance,AirDistance
2018-07-19T08:38:00Z,1531989480,2C907,40.7623067,44.1231589,1169.7,-39.8,3.8,100.2,521586.59,-83179.94,94.8,Weapon+Missile,Red,Allies,R-27ER,,xu,,295.6523902,282.2513123,0.880180529,1169.703003,308.1450195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1147.086795,NaN,,,0.269999981,861.5579834,NaN,NaN
2018-07-19T08:38:01Z,1531989481,2C907,40.76614,44.1224684,1159.23,-32.2,1.1,100.2,521900.62,-83227.52,94.8,Weapon+Missile,Red,Allies,R-27ER,,xu,,317.7886632,303.9049988,0.945967439,1159.234619,303.1356201,317.6161952,-10.46838379,4.605871512,NaN,7.16921927,2.940614496,5000,1.071248174,1.071248174,1.071248174,5049.481724,1136.820818,6186.302542,,,1.269999981,856.098999,315.8165496,316.0476275
2018-07-19T08:38:02Z,1531989482,2C907,40.7723654,44.1213903,1136.35,-25.3,-2,105.3,522410.25,-83299.98,99.9,Weapon+Missile,Red,Allies,R-27ER,,xu,,515.2589215,489.9910583,1.533375216,1136.353882,327.602478,514.7506465,-22.8807373,0.934455918,NaN,6.753854976,5.656714432,4480.994235,7.863806725,7.863806725,7.863806725,13274.58781,1114.38248,14388.97029,,,2.269999981,808.7514038,827.570876,828.4052042
2018-07-19T08:38:03Z,1531989483,2C907,40.7810358,44.1191209,1085.01,-19.3,-5.7,114.9,523128.12,-83486.14,109.4,Weapon+Missile,Red,Allies,R-27ER,,xu,,743.3938354,700.3207397,2.210977667,1085.014526,358.5970459,741.6189487,-51.33935547,0.963433858,NaN,5.461511468,7.293824972,5000,6.711308002,6.711308002,6.711308002,27631.71972,1064.03577,28695.75549,,,3.269999981,726.4174805,1565.080019,1567.82722
2018-07-19T08:38:04Z,1531989484,2C907,40.791685,44.115544,995.8,-18.4,-4.4,114,524018.28,-83802.39,108.5,Weapon+Missile,Red,Allies,R-27ER,,xu,,948.8689443,893.8275146,2.819193164,995.7953491,356.157959,944.6651322,-89.21917725,0.077581608,NaN,0.369267347,1.772928531,5000,5.123078346,5.123078346,5.123078346,45017.61368,976.541646,45994.15532,,,4.269999981,639.6373901,2504.68609,2511.812219
2018-07-19T08:38:05Z,1531989485,2C907,40.8027693,44.112107,936.18,-18.2,-3,113.2,524941.88,-84099.66,107.7,Weapon+Missile,Red,Allies,R-27ER,,xu,,972.0831778,917.9598389,2.88618401,936.1846313,298.1846313,970.2537126,-59.61071777,0.325596648,NaN,0.523076377,1.274646808,5000,2.27107358,2.27107358,2.27107358,47247.28523,918.0835015,48165.36873,,,5.269999981,638,3469.662531,3478.773983
2018-07-19T08:38:06Z,1531989486,2C907,40.8136667,44.1085761,883.37,-16.8,-3.2,114.6,525851.62,-84408.67,109.1,Weapon+Missile,Red,Allies,R-27ER,,xu,,962.250233,910.9572754,2.855254991,883.3661499,253.2559814,960.7995207,-52.81848145,0.052137337,NaN,1.338471191,0.680784378,5000,1.054545045,1.054545045,1.054545045,46296.27555,866.2862654,47162.56181,,,6.269999981,630.1101685,4425.242551,4435.948722
2018-07-19T08:38:07Z,1531989487,2C907,40.8244492,44.1050278,829.95,-15.5,-3.2,114.6,526752.44,-84720.39,109.1,Weapon+Missile,Red,Allies,R-27ER,,xu,,954.7173365,906.095459,2.831165792,829.9484253,188.6859741,953.2217681,-53.41772461,0.010851113,NaN,1.153881913,0.081564712,5000,0.996916592,0.996916592,0.996916592,45574.25963,813.9013725,46388.161,,,7.269999981,641.2624512,5373.314604,5385.65159
2018-07-19T08:38:08Z,1531989488,2C907,40.8351247,44.1015124,777.03,-14.3,-3.2,114.6,527644.5,-85029.16,109.1,Weapon+Missile,Red,Allies,R-27ER,,xu,,945.4716996,899.5641479,2.802047323,777.0315552,138.0315552,943.9896925,-52.91687012,0.010357978,NaN,1.169215688,0,5000,0.997659862,0.997659862,0.997659862,44695.83674,762.0076501,45457.84439,,,8.269999981,639,6312.136226,6326.081446
2018-07-19T08:38:09Z,1531989489,2C907,40.8457459,44.0980135,724.37,-13.3,-3.2,114.6,528532.06,-85336.39,109.1,Weapon+Missile,Red,Allies,R-27ER,,xu,,940.7062616,897.2119751,2.78624312,724.3730469,58.29968262,939.2312559,-52.6585083,0.009644673,NaN,1.07694154,0,5000,0.998803914,0.998803914,0.998803914,44246.41353,710.367294,44956.78082,,,9.269999981,666.0733643,7246.2893,7261.827306
2018-07-19T08:38:10Z,1531989490,2C907,40.8562862,44.0945399,672.11,-12.3,-3.2,114.6,529413,-85641.33,109.1,Weapon+Missile,Red,Allies,R-27ER,,xu,,933.6858066,892.6865845,2.76379644,672.1099854,-29.02911377,932.2219466,-52.26306152,0.010874856,NaN,0.969227749,0,5000,0.99944216,0.99944216,0.99944216,43588.45927,659.1147388,44247.57401,,,10.26999998,701.1390991,8173.430203,8190.541415
